time,gFx,gFy,gFz,gFTotal
0.008810997009277344,-0.073,-0.316,-1.001,1.052
0.018623828887939453,-0.079,-0.291,-1.011,1.055
0.0288848876953125,-0.064,-0.272,-1.012,1.05
0.03963780403137207,-0.018,-0.305,-1.006,1.051
0.04934883117675781,0.029,-0.351,-0.976,1.038
0.059783935546875,0.065,-0.374,-0.925,1.0
0.09630298614501953,0.185,-0.355,-1.04,1.114
0.09648489952087402,0.185,-0.355,-1.04,1.114
0.09664487838745117,0.185,-0.355,-1.04,1.114
0.09905576705932617,0.228,-0.394,-1.174,1.259
0.10924291610717773,0.268,-0.395,-1.183,1.276
0.11959695816040039,0.264,-0.33,-1.1,1.178
0.12970280647277832,0.259,-0.287,-0.946,1.022
0.14034175872802734,0.289,-0.288,-0.866,0.957
0.15027379989624023,0.307,-0.34,-0.991,1.092
0.1605677604675293,0.284,-0.419,-0.843,0.983
0.20041179656982422,0.168,-0.327,-0.35,0.508
0.2005939483642578,0.168,-0.327,-0.35,0.508
0.2007608413696289,0.168,-0.327,-0.35,0.508
0.20092391967773438,0.168,-0.327,-0.35,0.508
0.21017980575561523,0.218,-0.388,-0.41,0.605
0.22032594680786133,0.265,-0.443,-0.52,0.733
0.2305748462677002,0.288,-0.479,-0.635,0.846
0.2411808967590332,0.308,-0.488,-0.712,0.916
0.2512998580932617,0.402,-0.502,-0.823,1.044
0.26129579544067383,0.48,-0.491,-0.923,1.15
0.29798173904418945,0.466,-0.374,-0.816,1.011
0.2981598377227783,0.466,-0.374,-0.816,1.011
0.2983207702636719,0.466,-0.374,-0.816,1.011
0.3006010055541992,0.489,-0.372,-0.836,1.037
0.31107282638549805,0.471,-0.475,-0.492,0.83
0.32122802734375,0.478,-0.544,-0.868,1.13
0.33112287521362305,0.386,-0.467,-0.855,1.048
0.34175968170166016,0.261,-0.427,-0.819,0.96
0.35225868225097656,0.141,-0.436,-0.765,0.892
0.36229372024536133,0.07,-0.471,-0.767,0.903
0.40016984939575195,0.14,-0.528,-1.053,1.186
0.40035295486450195,0.14,-0.528,-1.053,1.186
0.4005126953125,0.14,-0.528,-1.053,1.186
0.40206098556518555,0.038,-0.533,-1.032,1.162
0.4117770195007324,-0.067,-0.477,-1.024,1.132
0.4221668243408203,-0.096,-0.381,-1.035,1.107
0.4320716857910156,-0.12,-0.327,-1.03,1.087
0.44261980056762695,-0.1,-0.328,-1.01,1.067
0.45309877395629883,-0.021,-0.369,-0.962,1.031
0.46279478073120117,0.017,-0.404,-0.95,1.032
0.5002946853637695,0.028,-0.401,-0.953,1.034
0.5004777908325195,0.028,-0.401,-0.953,1.034
0.5006368160247803,0.028,-0.401,-0.953,1.034
0.5023097991943359,-0.017,-0.419,-0.957,1.045
0.5125908851623535,-0.067,-0.42,-0.943,1.034
0.5226669311523438,-0.087,-0.426,-0.912,1.01
0.5328738689422607,-0.072,-0.431,-0.891,0.992
0.5434999465942383,-0.051,-0.412,-0.896,0.988
0.5533308982849121,-0.047,-0.392,-0.898,0.981
0.5636577606201172,-0.046,-0.379,-0.89,0.968
0.600132942199707,-0.049,-0.403,-0.891,0.979
0.6003127098083496,-0.049,-0.403,-0.891,0.979
0.6004738807678223,-0.049,-0.403,-0.891,0.979
0.603029727935791,-0.064,-0.403,-0.889,0.978
0.6133289337158203,-0.075,-0.402,-0.893,0.982
0.6236977577209473,-0.109,-0.408,-0.878,0.974
0.6337199211120605,-0.125,-0.424,-0.857,0.964
0.644279956817627,-0.13,-0.428,-0.859,0.968
0.6545538902282715,-0.133,-0.415,-0.886,0.987
0.6643948554992676,-0.138,-0.394,-0.954,1.041
0.7020196914672852,-0.152,-0.346,-0.989,1.059
0.7022008895874023,-0.152,-0.346,-0.989,1.059
0.7023608684539795,-0.152,-0.346,-0.989,1.059
0.7039079666137695,-0.176,-0.311,-0.982,1.045
0.714047908782959,-0.202,-0.283,-0.954,1.015
0.7246007919311523,-0.214,-0.272,-0.928,0.99
0.7342939376831055,-0.226,-0.249,-0.931,0.99
0.7453868389129639,-0.283,-0.177,-0.929,0.987
0.7552599906921387,-0.294,-0.122,-0.899,0.954
0.7652208805084229,-0.293,-0.086,-0.831,0.885
0.803715705871582,-0.153,0.068,-0.605,0.628
0.8038969039916992,-0.153,0.068,-0.605,0.628
0.8040599822998047,-0.153,0.068,-0.605,0.628
