time,gFx,gFy,gFz,gFTotal
0.0025429725646972656,0.089,-0.105,-0.881,0.892
0.012635231018066406,0.104,-0.142,-0.924,0.941
0.022298097610473633,0.121,-0.18,-0.972,0.996
0.03271198272705078,0.129,-0.188,-1.011,1.036
0.042269229888916016,0.13,-0.162,-1.006,1.027
0.056231021881103516,0.115,-0.122,-0.978,0.992
0.061654090881347656,0.094,-0.107,-0.951,0.962
0.07189011573791504,0.079,-0.119,-0.944,0.955
0.0825951099395752,0.071,-0.156,-0.961,0.976
0.09211015701293945,0.067,-0.18,-0.967,0.986
0.1025080680847168,0.067,-0.172,-0.996,1.013
0.11256122589111328,0.078,-0.148,-1.03,1.043
0.12227010726928711,0.077,-0.123,-1.022,1.032
0.13283610343933105,0.062,-0.101,-0.993,1.0
0.1436161994934082,0.05,-0.083,-0.967,0.972
0.15802526473999023,0.039,-0.081,-0.955,0.959
0.1620960235595703,0.035,-0.098,-0.953,0.959
0.17216110229492188,0.048,-0.111,-0.955,0.963
0.18279409408569336,0.07,-0.114,-0.975,0.984
0.1921861171722412,0.092,-0.104,-1.011,1.02
0.20299506187438965,0.105,-0.094,-1.05,1.059
0.21304011344909668,0.107,-0.09,-1.04,1.049
0.22356104850769043,0.094,-0.079,-0.996,1.004
0.23356008529663086,0.07,-0.052,-0.954,0.958
0.2440030574798584,0.043,-0.029,-0.919,0.92
0.2595982551574707,0.023,-0.021,-0.883,0.884
0.2626819610595703,0.019,-0.018,-0.853,0.853
0.2722320556640625,0.03,-0.003,-0.83,0.831
0.283170223236084,0.047,0.034,-0.8,0.802
0.29231905937194824,0.058,0.078,-0.742,0.748
0.30332112312316895,0.082,0.115,-0.705,0.719
0.31290626525878906,0.103,0.123,-0.729,0.746
0.3239321708679199,0.114,0.097,-0.771,0.785
0.3334331512451172,0.132,0.047,-0.782,0.794
0.34366893768310547,0.147,0.003,-0.753,0.767
0.35884809494018555,0.151,-0.005,-0.716,0.732
0.3624129295349121,0.133,0.033,-0.712,0.725
0.37249112129211426,0.087,0.133,-0.743,0.76
0.38318300247192383,-0.009,0.254,-0.797,0.837
0.39265918731689453,-0.102,0.306,-0.861,0.919
0.4032320976257324,-0.13,0.292,-0.89,0.946
0.41325902938842773,-0.119,0.251,-0.845,0.889
0.4233710765838623,-0.102,0.216,-0.817,0.851
0.43357205390930176,-0.09,0.209,-0.862,0.892
0.4433760643005371,-0.082,0.199,-0.913,0.938
0.45740699768066406,-0.088,0.179,-0.897,0.919
0.46289825439453125,-0.109,0.165,-0.853,0.876
0.47415614128112793,-0.128,0.172,-0.869,0.895
0.4836750030517578,-0.145,0.184,-0.958,0.986
0.493117094039917,-0.165,0.197,-1.03,1.062
0.5036270618438721,-0.185,0.227,-1.021,1.062
0.5136690139770508,-0.202,0.267,-0.988,1.043
0.5238761901855469,-0.209,0.303,-0.997,1.063
0.5344271659851074,-0.203,0.333,-1.005,1.078
0.5443460941314697,-0.213,0.36,-0.969,1.055
0.5603542327880859,-0.222,0.38,-0.97,1.065
0.563230037689209,-0.2,0.381,-1.04,1.126
0.5733270645141602,-0.17,0.386,-0.987,1.073
0.5837430953979492,-0.25,0.405,-0.925,1.04
0.5931711196899414,-0.309,0.456,-0.955,1.102
0.6036901473999023,-0.312,0.626,-1.0,1.22
0.614124059677124,-0.258,0.704,-0.958,1.217
0.6241722106933594,-0.208,0.608,-0.99,1.18
0.6341891288757324,-0.183,0.553,-0.995,1.153
0.6447861194610596,-0.167,0.598,-1.005,1.181
0.6598472595214844,-0.144,0.654,-1.014,1.215
0.663661003112793,-0.159,0.718,-1.018,1.256
0.6736869812011719,-0.126,0.668,-1.068,1.266
0.6840760707855225,-0.092,0.641,-1.004,1.195
0.6933801174163818,-0.095,0.671,-0.89,1.119
0.7040801048278809,-0.079,0.697,-0.78,1.049
0.7141542434692383,-0.004,0.675,-0.75,1.009
0.7253060340881348,0.061,0.653,-0.711,0.967
0.7347211837768555,0.073,0.651,-0.694,0.954
0.7451262474060059,0.099,0.703,-0.654,0.965
0.7594151496887207,0.126,0.738,-0.625,0.975
0.7636890411376953,0.116,0.777,-0.498,0.93
0.7737059593200684,0.074,0.786,-0.38,0.876
0.7847590446472168,0.056,0.715,-0.415,0.829
0.7936780452728271,0.032,0.681,-0.426,0.804
0.8043370246887207,0.026,0.7,-0.439,0.827
0.81427001953125,0.046,0.729,-0.439,0.852
0.8247561454772949,0.029,0.776,-0.473,0.909
0.8354392051696777,0.011,0.795,-0.469,0.923
0.8455040454864502,-0.007,0.81,-0.481,0.942
0.8611721992492676,-0.004,0.841,-0.608,1.038
0.86434006690979,0.008,0.827,-0.806,1.155
0.8738160133361816,-0.0,0.807,-0.832,1.159
0.8849010467529297,-0.03,0.833,-0.745,1.118
0.893956184387207,-0.047,0.858,-0.691,1.103
0.9046869277954102,-0.045,0.894,-0.58,1.067
0.9148170948028564,-0.033,0.952,-0.546,1.098
0.924774169921875,-0.002,1.002,-0.459,1.102
0.9357452392578125,-0.123,1.658,-0.531,1.745
0.9454550743103027,-0.156,2.077,-0.593,2.166
0.960395097732544,-0.065,1.777,-0.465,1.838
0.9643559455871582,-0.108,1.383,-0.422,1.45
0.9741010665893555,-0.136,0.936,-0.531,1.085
0.9850261211395264,-0.115,0.561,-0.662,0.875
0.9942810535430908,-0.103,0.391,-0.73,0.834
1.0048799514770508,-0.067,0.37,-0.772,0.859
1.014815092086792,0.022,0.374,-0.849,0.928
1.0251622200012207,0.121,0.446,-1.038,1.136
1.0354599952697754,0.193,0.547,-1.178,1.313
1.0451302528381348,0.266,0.713,-1.145,1.375
1.058861255645752,0.328,0.843,-0.954,1.315
1.0645089149475098,0.359,0.875,-0.873,1.287
1.074368953704834,0.322,0.832,-0.91,1.274
1.0852830410003662,0.238,0.76,-0.958,1.246
1.0944700241088867,0.191,0.701,-0.985,1.224
1.1052861213684082,0.19,0.663,-0.946,1.171
1.1156871318817139,0.212,0.619,-0.935,1.141
1.125446081161499,0.2,0.56,-0.94,1.112
1.1351170539855957,0.142,0.53,-0.865,1.024
1.1457750797271729,0.117,0.556,-0.795,0.977
1.1618962287902832,0.097,0.627,-0.786,1.01
1.1648969650268555,0.093,0.708,-0.73,1.021
1.1747510433197021,0.124,0.752,-0.671,1.015
1.1856250762939453,0.164,0.771,-0.611,0.997
1.194775104522705,0.19,0.76,-0.607,0.991
1.2053751945495605,0.176,0.71,-0.61,0.952
1.2156240940093994,0.149,0.661,-0.639,0.931
1.2262401580810547,0.114,0.619,-0.677,0.924
1.2364261150360107,0.081,0.565,-0.618,0.841
1.2461740970611572,0.069,0.535,-0.528,0.755
1.2621901035308838,0.048,0.519,-0.511,0.73
1.2649030685424805,0.033,0.536,-0.539,0.761
1.275346040725708,0.034,0.6,-0.554,0.817
1.2857332229614258,0.041,0.664,-0.622,0.911
1.2949471473693848,0.033,0.664,-0.67,0.944
1.3060202598571777,0.037,0.664,-0.801,1.041
1.3158140182495117,0.054,0.637,-0.968,1.16
1.3267560005187988,0.041,0.58,-0.905,1.076
1.335719108581543,0.013,0.553,-0.757,0.938
