time,gFx,gFy,gFz,gFTotal
0.004924297332763672,0.083,-0.422,-0.81,0.917
0.012044191360473633,0.056,-0.321,-0.731,0.8
0.022100210189819336,0.054,-0.253,-0.77,0.812
0.0318751335144043,0.05,-0.271,-0.873,0.915
0.041297197341918945,0.056,-0.347,-0.952,1.015
0.051273345947265625,0.083,-0.408,-1.016,1.098
0.07124018669128418,0.065,-0.405,-0.999,1.08
0.07319927215576172,0.065,-0.405,-0.999,1.08
0.08115005493164062,0.035,-0.349,-0.985,1.046
0.09230518341064453,0.01,-0.317,-0.986,1.036
0.1020040512084961,0.001,-0.309,-0.981,1.029
0.11199712753295898,0.014,-0.296,-0.974,1.018
0.12238311767578125,0.04,-0.285,-0.989,1.03
0.1325972080230713,0.078,-0.3,-1.034,1.079
0.14177703857421875,0.093,-0.341,-1.075,1.132
0.15242719650268555,0.091,-0.364,-1.065,1.129
0.16304826736450195,0.072,-0.343,-1.024,1.082
0.17693424224853516,0.051,-0.316,-1.016,1.065
0.18167400360107422,0.053,-0.297,-1.012,1.056
0.1923513412475586,0.066,-0.293,-0.991,1.036
0.20232725143432617,0.063,-0.311,-0.97,1.021
0.21247529983520508,0.042,-0.335,-0.943,1.002
0.2223501205444336,0.028,-0.348,-0.947,1.009
0.23248624801635742,0.015,-0.358,-0.957,1.022
0.24249815940856934,0.007,-0.355,-0.938,1.003
0.25247812271118164,0.004,-0.339,-0.945,1.004
0.26342320442199707,-0.003,-0.322,-0.934,0.988
0.2771182060241699,0.005,-0.284,-0.883,0.928
0.28171610832214355,0.014,-0.235,-0.87,0.901
0.29257631301879883,0.011,-0.247,-0.945,0.977
0.3024771213531494,0.036,-0.322,-1.016,1.066
0.31241703033447266,0.069,-0.372,-1.021,1.089
0.32272911071777344,0.075,-0.375,-0.998,1.069
0.33225202560424805,0.057,-0.372,-0.962,1.033
0.34177422523498535,0.032,-0.366,-0.961,1.029
0.3518800735473633,0.01,-0.337,-0.991,1.047
0.3719601631164551,-0.035,-0.339,-0.972,1.03
0.37401914596557617,-0.035,-0.339,-0.972,1.03
0.38234615325927734,-0.067,-0.331,-0.916,0.976
0.3925032615661621,-0.067,-0.32,-0.836,0.898
0.40291619300842285,-0.046,-0.311,-0.816,0.874
0.4129822254180908,-0.025,-0.319,-0.835,0.894
0.4226992130279541,-0.02,-0.343,-0.876,0.941
0.43352222442626953,-0.014,-0.362,-0.929,0.997
0.4431142807006836,-0.007,-0.365,-0.957,1.024
