time,gFx,gFy,gFz,gFTotal
0.004168987274169922,0.065,0.004,-0.846,0.849
0.004338979721069336,0.065,0.004,-0.846,0.849
0.004486083984375,0.065,0.004,-0.846,0.849
0.007863044738769531,0.038,0.053,-0.801,0.804
0.01794290542602539,0.023,0.056,-0.808,0.81
0.02806997299194336,0.036,0.003,-0.921,0.922
0.037976980209350586,0.059,-0.06,-1.111,1.114
0.049963951110839844,0.058,-0.078,-1.133,1.137
0.059854984283447266,0.062,-0.043,-1.056,1.059
0.06956696510314941,0.068,0.014,-0.992,0.994
0.10080599784851074,0.125,0.051,-0.89,0.9
0.10095405578613281,0.125,0.051,-0.89,0.9
0.10109090805053711,0.125,0.051,-0.89,0.9
0.10832881927490234,0.079,0.068,-0.869,0.875
0.11996293067932129,0.055,0.05,-0.859,0.862
0.12993383407592773,0.056,0.025,-0.837,0.839
0.13974499702453613,0.05,0.02,-0.849,0.851
0.14988493919372559,0.07,-0.028,-0.867,0.87
0.16026782989501953,0.08,-0.084,-0.885,0.893
0.17000102996826172,0.078,-0.118,-0.91,0.921
0.2000727653503418,-0.069,-0.001,-0.788,0.791
0.20022201538085938,-0.069,-0.001,-0.788,0.791
0.20035505294799805,-0.069,-0.001,-0.788,0.791
0.20839786529541016,-0.05,-0.029,-0.775,0.777
0.2185831069946289,0.039,-0.088,-0.813,0.819
0.2303938865661621,0.136,-0.145,-0.878,0.9
0.24021005630493164,0.159,-0.165,-0.902,0.931
0.2500629425048828,0.12,-0.179,-0.889,0.915
0.26030898094177246,0.033,-0.228,-0.842,0.873
0.270366907119751,-0.063,-0.29,-0.751,0.808
0.299731969833374,-0.069,-0.484,-0.748,0.894
0.29987597465515137,-0.069,-0.484,-0.748,0.894
0.30000782012939453,-0.069,-0.484,-0.748,0.894
0.3086099624633789,0.006,-0.524,-0.87,1.016
0.3190929889678955,0.098,-0.54,-0.873,1.031
0.33121395111083984,0.16,-0.546,-0.785,0.97
0.3402678966522217,0.137,-0.588,-0.669,0.901
0.3502950668334961,0.216,-0.713,-0.372,0.833
0.360443115234375,0.326,-0.714,-0.479,0.92
0.3706088066101074,0.085,-0.53,-0.901,1.049
0.397885799407959,-0.104,-0.61,-0.804,1.015
0.39803504943847656,-0.104,-0.61,-0.804,1.015
0.39912986755371094,-0.132,-0.521,-0.789,0.955
0.4091799259185791,-0.169,-0.443,-0.885,1.004
0.4195070266723633,-0.197,-0.466,-0.994,1.115
0.4309868812561035,-0.17,-0.535,-1.016,1.161
0.4407839775085449,-0.124,-0.585,-0.988,1.155
0.45066404342651367,-0.087,-0.559,-0.995,1.145
0.46088099479675293,-0.04,-0.472,-1.009,1.115
0.4718019962310791,-0.021,-0.34,-0.986,1.043
0.5003948211669922,0.007,-0.21,-1.058,1.079
0.5005397796630859,0.007,-0.21,-1.058,1.079
0.5006709098815918,0.007,-0.21,-1.058,1.079
0.5091590881347656,0.027,-0.25,-1.119,1.147
0.5193378925323486,0.03,-0.241,-1.083,1.11
0.5313301086425781,0.016,-0.18,-1.026,1.042
0.5394530296325684,-0.042,-0.121,-0.973,0.981
0.5510878562927246,-0.135,-0.073,-0.919,0.932
0.560966968536377,-0.179,-0.119,-1.027,1.049
0.5710349082946777,-0.147,-0.251,-1.14,1.177
0.6009030342102051,-0.011,-0.273,-1.062,1.097
0.6010479927062988,-0.011,-0.273,-1.062,1.097
0.6011788845062256,-0.011,-0.273,-1.062,1.097
0.6095860004425049,-0.018,-0.243,-1.125,1.151
0.6195619106292725,-0.103,-0.257,-1.181,1.213
0.6314020156860352,-0.181,-0.322,-1.101,1.161
0.6412379741668701,-0.187,-0.384,-1.082,1.163
0.6507821083068848,-0.191,-0.419,-1.108,1.2
0.6610751152038574,-0.224,-0.444,-1.093,1.201
0.6712439060211182,-0.272,-0.511,-1.012,1.166
0.6983671188354492,-0.403,-0.553,-0.881,1.116
0.6985139846801758,-0.403,-0.553,-0.881,1.116
0.6996359825134277,-0.36,-0.688,-1.003,1.268
0.7102839946746826,-0.329,-0.769,-1.016,1.316
0.7201900482177734,-0.337,-0.708,-0.921,1.21
0.7315609455108643,-0.366,-0.656,-0.796,1.094
0.741663932800293,-0.417,-0.722,-0.728,1.107
0.7515439987182617,-0.432,-0.72,-0.659,1.067
0.7615671157836914,-0.411,-0.712,-0.586,1.01
0.7720699310302734,-0.379,-0.678,-0.535,0.943
0.8030579090118408,-0.185,-1.328,-1.455,1.979
0.8032031059265137,-0.185,-1.328,-1.455,1.979
0.8033318519592285,-0.185,-1.328,-1.455,1.979
0.809912919998169,-0.449,-0.103,0.575,0.737
0.8201069831848145,-0.471,-0.314,-0.469,0.735
0.8302187919616699,-0.241,-0.918,-1.087,1.443
0.8414468765258789,-0.269,-0.466,-0.344,0.639
0.8516678810119629,-0.261,-0.624,-0.779,1.032
0.8616957664489746,-0.359,-0.639,-0.596,0.945
0.8722500801086426,-0.51,-0.691,-0.506,0.997
0.9026618003845215,-1.103,-0.552,-0.497,1.33
0.9028058052062988,-1.103,-0.552,-0.497,1.33
0.9029350280761719,-1.103,-0.552,-0.497,1.33
0.9101619720458984,-0.574,-1.199,0.087,1.332
0.9206879138946533,-0.516,-0.729,-0.705,1.138
