time,gFx,gFy,gFz,gFTotal
0.004862070083618164,0.004,-0.217,-0.954,0.978
0.011240959167480469,0.009,-0.214,-0.937,0.961
0.02117919921875,0.006,-0.209,-0.961,0.983
0.03044605255126953,-0.002,-0.22,-0.977,1.001
0.04180002212524414,-0.007,-0.244,-0.966,0.996
0.050785064697265625,-0.008,-0.263,-0.96,0.995
0.060621023178100586,-0.012,-0.269,-0.979,1.015
0.09211206436157227,-0.021,-0.247,-1.003,1.033
0.09289789199829102,-0.021,-0.247,-1.003,1.033
0.09353399276733398,-0.021,-0.247,-1.003,1.033
0.10209894180297852,-0.013,-0.235,-1.004,1.031
0.11150002479553223,-0.008,-0.226,-1.002,1.027
0.12077713012695312,-0.005,-0.227,-0.996,1.022
0.13103914260864258,-0.002,-0.235,-0.984,1.012
0.14313912391662598,-0.006,-0.246,-0.97,1.001
0.15100717544555664,-0.012,-0.26,-0.957,0.992
0.16390514373779297,-0.015,-0.267,-0.951,0.988
0.18761110305786133,-0.008,-0.264,-0.955,0.991
0.18849802017211914,-0.008,-0.264,-0.955,0.991
0.19092106819152832,0.001,-0.262,-0.957,0.992
0.20268917083740234,0.013,-0.265,-0.96,0.996
0.21086692810058594,0.019,-0.265,-0.962,0.998
0.22126102447509766,0.019,-0.265,-0.96,0.996
0.23128008842468262,0.014,-0.26,-0.953,0.988
0.24348211288452148,0.005,-0.25,-0.951,0.983
0.2510371208190918,-0.001,-0.245,-0.967,0.998
0.262969970703125,0.003,-0.242,-0.987,1.016
0.2861762046813965,0.018,-0.248,-1.009,1.039
0.2870669364929199,0.018,-0.248,-1.009,1.039
0.2912120819091797,0.022,-0.244,-0.99,1.02
0.30263519287109375,0.019,-0.236,-0.977,1.005
0.311413049697876,0.016,-0.227,-0.967,0.993
0.3214700222015381,0.018,-0.226,-0.961,0.987
0.3320460319519043,0.025,-0.232,-0.955,0.983
0.3480091094970703,0.03,-0.237,-0.953,0.982
0.35201120376586914,0.033,-0.239,-0.976,1.005
0.3616981506347656,0.035,-0.238,-0.982,1.011
0.393665075302124,0.036,-0.212,-0.963,0.987
0.3945200443267822,0.036,-0.212,-0.963,0.987
0.39501309394836426,0.036,-0.212,-0.963,0.987
0.4026789665222168,0.027,-0.22,-0.961,0.986
0.411823034286499,0.021,-0.229,-0.97,0.997
0.42154693603515625,0.032,-0.236,-1.008,1.036
0.4318408966064453,0.055,-0.232,-1.02,1.047
0.4427471160888672,0.073,-0.212,-1.029,1.053
0.4520301818847656,0.085,-0.192,-1.053,1.074
0.46552610397338867,0.099,-0.193,-1.056,1.078
0.4909090995788574,0.104,-0.214,-1.023,1.05
0.49243593215942383,0.096,-0.224,-0.998,1.027
0.4936220645904541,0.096,-0.224,-0.998,1.027
0.5030701160430908,0.08,-0.23,-0.973,1.003
0.5120391845703125,0.067,-0.236,-0.946,0.977
0.5220870971679688,0.062,-0.242,-0.914,0.948
0.531796932220459,0.068,-0.25,-0.89,0.927
0.543100118637085,0.084,-0.265,-0.912,0.953
0.5533041954040527,0.107,-0.285,-0.958,1.005
0.5646641254425049,0.122,-0.296,-0.987,1.038
0.5925531387329102,0.085,-0.204,-0.992,1.016
0.593419075012207,0.085,-0.204,-0.992,1.016
0.5939090251922607,0.085,-0.204,-0.992,1.016
0.6035211086273193,0.071,-0.205,-0.984,1.008
0.6120891571044922,0.063,-0.22,-0.949,0.976
0.6221351623535156,0.057,-0.226,-0.911,0.94
0.6322250366210938,0.059,-0.227,-0.888,0.918
0.6484310626983643,0.073,-0.227,-0.902,0.933
0.6528270244598389,0.098,-0.23,-0.963,0.995
0.6640450954437256,0.125,-0.227,-1.007,1.04
0.6887612342834473,0.168,-0.238,-0.968,1.011
0.6896672248840332,0.168,-0.238,-0.968,1.011
