time,gFx,gFy,gFz,gFTotal
0.00695490837097168,0.069,0.016,-1.009,1.011
0.01700592041015625,0.025,0.054,-0.916,0.918
0.02701592445373535,0.004,0.072,-0.88,0.883
0.03875303268432617,0.014,0.036,-0.916,0.917
0.06358599662780762,0.067,-0.026,-0.978,0.981
0.06516408920288086,0.067,-0.026,-0.978,0.981
0.06720781326293945,0.075,-0.012,-0.944,0.947
0.0771329402923584,0.058,0.015,-0.94,0.942
0.08736991882324219,0.038,0.025,-0.915,0.916
0.09763693809509277,0.021,0.012,-0.896,0.896
0.10944700241088867,0.011,-0.007,-0.893,0.893
0.11761283874511719,0.008,-0.031,-0.905,0.906
0.1293349266052246,0.022,-0.063,-0.98,0.982
0.1390218734741211,0.049,-0.086,-1.002,1.007
0.165618896484375,0.065,-0.023,-0.962,0.964
0.16742181777954102,0.061,-0.027,-0.951,0.953
0.16872596740722656,0.061,-0.027,-0.951,0.953
0.17742204666137695,0.068,-0.041,-0.941,0.944
0.18781590461730957,0.066,-0.059,-0.926,0.93
0.19750094413757324,0.053,-0.077,-0.885,0.89
0.2074570655822754,0.049,-0.059,-0.822,0.826
0.2196199893951416,0.05,-0.001,-0.805,0.807
0.22748088836669922,0.039,0.024,-0.881,0.882
0.23867297172546387,0.024,-0.002,-0.947,0.947
0.2681119441986084,-0.018,-0.068,-0.988,0.991
0.2697138786315918,-0.018,-0.068,-0.988,0.991
0.269989013671875,-0.018,-0.068,-0.988,0.991
0.2775130271911621,-0.016,-0.112,-0.977,0.984
0.2878890037536621,-0.002,-0.118,-0.915,0.923
0.29769301414489746,0.01,-0.097,-0.849,0.855
0.30777406692504883,-0.003,-0.071,-0.825,0.828
0.3198709487915039,-0.037,-0.027,-0.808,0.809
0.329617977142334,-0.044,0.004,-0.751,0.752
0.3390178680419922,-0.037,-0.003,-0.685,0.686
0.35781097412109375,-0.046,-0.044,-0.56,0.564
0.35933780670166016,-0.046,-0.044,-0.56,0.564
0.3680911064147949,-0.039,-0.075,-0.565,0.571
0.377896785736084,0.016,-0.168,-0.701,0.721
0.39009594917297363,0.096,-0.241,-0.735,0.779
0.39820003509521484,0.14,-0.301,-0.668,0.746
0.41202306747436523,0.204,-0.383,-0.666,0.795
