time,gFx,gFy,gFz,gFTotal
0.004073143005371094,-0.112,-0.171,-0.93,0.952
0.015460014343261719,-0.096,-0.184,-0.911,0.934
0.02324819564819336,-0.088,-0.182,-0.942,0.963
0.03291893005371094,-0.095,-0.192,-0.996,1.019
0.04376792907714844,-0.088,-0.211,-1.012,1.038
0.05361008644104004,-0.083,-0.234,-1.014,1.044
0.06333708763122559,-0.079,-0.251,-1.001,1.035
0.07266807556152344,-0.074,-0.264,-0.982,1.02
0.08337688446044922,-0.073,-0.274,-0.982,1.022
0.09375810623168945,-0.072,-0.268,-0.973,1.012
0.10307693481445312,-0.062,-0.269,-0.946,0.985
0.11614203453063965,-0.057,-0.29,-1.001,1.044
0.12340998649597168,-0.062,-0.295,-1.047,1.09
0.13225698471069336,-0.084,-0.296,-1.069,1.112
0.14331817626953125,-0.09,-0.252,-1.056,1.089
0.15303993225097656,-0.075,-0.196,-1.053,1.074
0.1627969741821289,-0.063,-0.254,-1.011,1.044
0.17201900482177734,-0.046,-0.279,-0.982,1.022
0.18250203132629395,-0.043,-0.282,-0.985,1.025
0.19475102424621582,-0.031,-0.315,-0.937,0.989
0.2027580738067627,-0.021,-0.337,-0.897,0.958
0.21776199340820312,-0.02,-0.356,-0.902,0.97
0.22287607192993164,-0.021,-0.38,-0.885,0.963
0.2316889762878418,-0.031,-0.387,-0.851,0.935
0.24254512786865234,-0.049,-0.389,-0.837,0.924
0.2525970935821533,-0.059,-0.395,-0.822,0.914
0.26233506202697754,-0.063,-0.391,-0.832,0.921
0.2715611457824707,-0.077,-0.384,-0.869,0.953
0.2820560932159424,-0.104,-0.384,-0.878,0.964
0.292741060256958,-0.09,-0.354,-0.857,0.932
0.3020310401916504,-0.073,-0.354,-0.843,0.917
0.314892053604126,-0.057,-0.402,-0.864,0.955
0.3221149444580078,-0.036,-0.437,-0.864,0.969
0.33088111877441406,-0.018,-0.431,-0.825,0.931
0.3419809341430664,-0.024,-0.417,-0.804,0.906
0.3518190383911133,-0.034,-0.417,-0.824,0.924
0.3620481491088867,-0.055,-0.435,-0.865,0.97
0.37047410011291504,-0.073,-0.413,-0.886,0.98
0.3814859390258789,-0.074,-0.403,-0.856,0.949
0.39174509048461914,-0.076,-0.377,-0.812,0.898
0.40158510208129883,-0.083,-0.345,-0.781,0.858
0.4144020080566406,-0.083,-0.326,-0.785,0.854
0.42139387130737305,-0.076,-0.342,-0.829,0.9
0.4301490783691406,-0.071,-0.363,-0.877,0.952
0.4412710666656494,-0.063,-0.379,-0.898,0.977
0.45150089263916016,-0.054,-0.383,-0.905,0.984
0.46114587783813477,-0.055,-0.382,-0.891,0.971
0.47015810012817383,-0.067,-0.385,-0.865,0.949
0.4822869300842285,-0.08,-0.386,-0.835,0.923
0.49451708793640137,-0.084,-0.386,-0.834,0.923
0.5008511543273926,-0.081,-0.394,-0.85,0.94
0.5163800716400146,-0.079,-0.388,-0.889,0.973
0.5209331512451172,-0.08,-0.393,-0.927,1.01
0.5298919677734375,-0.09,-0.405,-0.933,1.021
0.5406641960144043,-0.107,-0.414,-0.906,1.002
0.5505361557006836,-0.115,-0.431,-0.876,0.983
0.5605769157409668,-0.114,-0.445,-0.884,0.996
0.5696959495544434,-0.103,-0.451,-0.92,1.03
0.5803279876708984,-0.097,-0.45,-0.958,1.063
0.5903201103210449,-0.11,-0.432,-0.986,1.082
0.6002950668334961,-0.12,-0.415,-0.969,1.061
0.6132240295410156,-0.119,-0.42,-0.929,1.026
0.6202950477600098,-0.106,-0.443,-0.902,1.01
0.6291980743408203,-0.085,-0.459,-0.91,1.023
0.6400651931762695,-0.072,-0.463,-0.941,1.051
0.6512641906738281,-0.072,-0.459,-0.966,1.072
0.6598989963531494,-0.054,-0.454,-1.01,1.109
0.6690058708190918,-0.04,-0.46,-1.066,1.162
0.6800761222839355,-0.022,-0.453,-1.096,1.186
0.6896681785583496,0.0,-0.441,-1.106,1.191
