time,gFx,gFy,gFz,gFTotal
0.007221221923828125,0.183,-0.012,-0.975,0.992
0.016921043395996094,0.173,0.006,-0.977,0.992
0.027292251586914062,0.165,0.014,-0.977,0.991
0.037122249603271484,0.16,0.014,-0.987,1.0
0.047222137451171875,0.161,0.024,-1.001,1.014
0.057105064392089844,0.158,0.04,-1.01,1.023
0.06661510467529297,0.158,0.047,-1.013,1.026
0.07685017585754395,0.162,0.041,-1.015,1.029
0.08706116676330566,0.165,0.035,-1.004,1.018
0.09667515754699707,0.166,0.032,-0.99,1.004
0.10655713081359863,0.164,0.024,-0.982,0.996
0.11640310287475586,0.161,0.016,-0.976,0.989
0.12659120559692383,0.156,0.009,-0.967,0.98
0.13637304306030273,0.147,0.004,-0.958,0.969
0.14660406112670898,0.138,-0.0,-0.953,0.963
0.15628814697265625,0.134,-0.002,-0.953,0.962
0.16626620292663574,0.133,0.0,-0.957,0.966
0.17611408233642578,0.135,0.001,-0.959,0.968
0.18652105331420898,0.144,0.001,-0.968,0.979
0.19636201858520508,0.152,0.003,-0.984,0.996
0.20592808723449707,0.155,0.008,-0.991,1.003
0.21578717231750488,0.146,0.01,-0.99,1.001
0.22576904296875,0.136,0.01,-0.989,0.998
0.23593807220458984,0.13,0.008,-0.986,0.995
0.24580001831054688,0.128,0.007,-0.987,0.995
0.2558012008666992,0.131,0.009,-0.99,0.999
0.2651190757751465,0.131,0.012,-0.99,0.999
0.2756330966949463,0.128,0.013,-0.985,0.993
0.2867891788482666,0.122,0.013,-0.975,0.983
0.29558801651000977,0.119,0.012,-0.967,0.974
0.3057422637939453,0.116,0.012,-0.969,0.976
0.31593918800354004,0.114,0.014,-0.973,0.98
0.3252902030944824,0.113,0.016,-0.968,0.975
0.3352081775665283,0.11,0.017,-0.969,0.975
0.34510016441345215,0.107,0.013,-0.976,0.982
0.35514020919799805,0.101,0.006,-0.981,0.986
0.3651890754699707,0.093,0.001,-0.982,0.986
0.3749680519104004,0.09,0.002,-0.981,0.985
0.38631629943847656,0.094,0.005,-0.984,0.988
0.3947420120239258,0.103,0.006,-1.004,1.009
0.4044632911682129,0.115,0.005,-1.018,1.024
0.41465115547180176,0.13,0.0,-1.024,1.032
0.42456912994384766,0.142,-0.004,-1.022,1.032
0.4346022605895996,0.148,-0.012,-1.018,1.029
0.4444890022277832,0.146,-0.019,-1.004,1.015
0.4542679786682129,0.135,-0.02,-0.989,0.998
0.46430397033691406,0.125,-0.02,-0.982,0.99
0.4743800163269043,0.114,-0.018,-0.979,0.986
0.4847602844238281,0.104,-0.013,-0.976,0.982
0.4944591522216797,0.096,-0.007,-0.978,0.983
0.5041732788085938,0.09,-0.002,-0.978,0.982
0.5138711929321289,0.086,0.001,-0.978,0.982
0.5241942405700684,0.083,0.0,-0.976,0.98
0.534142017364502,0.085,-0.002,-0.974,0.978
0.5438981056213379,0.093,0.0,-0.982,0.986
0.5541391372680664,0.1,0.004,-0.992,0.997
0.5643839836120605,0.112,0.0,-1.0,1.006
0.5736632347106934,0.129,-0.007,-1.006,1.014
0.5842132568359375,0.149,-0.01,-1.011,1.022
0.593724250793457,0.162,-0.011,-1.007,1.02
0.6035091876983643,0.168,-0.014,-1.0,1.014
0.6134452819824219,0.169,-0.018,-0.996,1.01
0.6236362457275391,0.166,-0.021,-0.985,0.999
0.6332361698150635,0.156,-0.02,-0.971,0.984
0.6431012153625488,0.146,-0.02,-0.966,0.977
0.6529302597045898,0.143,-0.021,-0.966,0.977
0.6640830039978027,0.147,-0.023,-0.973,0.984
0.6733779907226562,0.154,-0.027,-0.973,0.985
0.6845951080322266,0.16,-0.03,-0.971,0.985
0.6931741237640381,0.164,-0.037,-0.97,0.984
0.7029953002929688,0.163,-0.048,-0.969,0.984
0.7129740715026855,0.159,-0.056,-0.968,0.983
0.7226161956787109,0.159,-0.061,-0.97,0.985
0.7330021858215332,0.172,-0.055,-0.975,0.992
0.7427000999450684,0.203,-0.038,-0.994,1.015
0.7531652450561523,0.255,-0.016,-1.039,1.07
0.762516975402832,0.321,0.012,-1.112,1.157
0.7729482650756836,0.389,0.038,-1.197,1.259
0.7840940952301025,0.44,0.055,-1.25,1.326
0.7949299812316895,0.466,0.069,-1.271,1.355
0.8023390769958496,0.474,0.086,-1.257,1.346
0.8121490478515625,0.472,0.105,-1.23,1.322
0.8223600387573242,0.463,0.125,-1.181,1.275
0.8320403099060059,0.465,0.132,-1.162,1.259
0.8424251079559326,0.456,0.127,-1.131,1.226
0.852074146270752,0.444,0.122,-1.117,1.208
0.8619720935821533,0.462,0.123,-1.145,1.241
0.8722562789916992,0.496,0.138,-1.169,1.277
0.882606029510498,0.543,0.147,-1.22,1.343
0.8918752670288086,0.609,0.159,-1.274,1.421
0.9017820358276367,0.663,0.175,-1.31,1.479
0.9116191864013672,0.697,0.192,-1.339,1.522
0.9216179847717285,0.712,0.207,-1.34,1.531
0.9316761493682861,0.696,0.216,-1.279,1.472
0.9415249824523926,0.649,0.211,-1.183,1.366
0.9514679908752441,0.584,0.192,-1.079,1.242
0.9613633155822754,0.51,0.17,-0.981,1.119
0.9714679718017578,0.453,0.146,-0.906,1.023
0.9820752143859863,0.409,0.116,-0.846,0.947
0.9912312030792236,0.372,0.082,-0.788,0.875
