time;gFx;gFy;gFz;TgF
0.001428;-0,0508;1,0132;0,0432;1,015
0.001721039;-0,0491;1,0137;0,0430;1,016
0.001889;-0,0454;1,0146;0,0450;1,017
0.003167616;-0,0437;1,0141;0,0489;1,016
0.005443423;-0,0435;1,0139;0,0518;1,016
0.007319654;-0,0406;1,0093;0,0542;1,012
0.010993654;-0,0415;1,0078;0,0579;1,010
0.0147595;-0,0369;1,0054;0,0643;1,008
0.014924654;-0,0369;1,0054;0,0643;1,008
0.015181693;-0,0359;1,0061;0,0655;1,009
0.017265385;-0,0340;1,0078;0,0677;1,011
0.019495808;-0,0340;1,0102;0,0711;1,013
0.021700577;-0,0359;1,0137;0,0718;1,017
0.022993077;-0,0369;1,0144;0,0718;1,018
0.025695385;-0,0398;1,0159;0,0708;1,019
0.029841385;-0,0430;1,0156;0,0726;1,019
0.030041192;-0,0452;1,0151;0,0733;1,019
0.034703769;-0,0552;1,0144;0,0689;1,018
0.034891923;-0,0567;1,0151;0,0687;1,019
0.035157692;-0,0567;1,0151;0,0687;1,019
0.037365539;-0,0569;1,0112;0,0667;1,015
0.039488231;-0,0589;1,0105;0,0633;1,014
0.042199731;-0,0599;1,0105;0,0611;1,014
0.044259269;-0,0616;1,0124;0,0569;1,016
0.046011808;-0,0655;1,0156;0,0513;1,019
0.047154462;-0,0657;1,0163;0,0508;1,020
0.049253116;-0,0628;1,0173;0,0515;1,021
0.056108308;-0,0591;1,0183;0,0530;1,021
0.056430385;-0,0591;1,0183;0,0530;1,021
0.056569616;-0,0599;1,0193;0,0535;1,022
0.057306462;-0,0574;1,0195;0,0533;1,023
0.059436885;-0,0542;1,0198;0,0537;1,023
0.061390231;-0,0550;1,0195;0,0545;1,022
0.063329577;-0,0552;1,0193;0,0542;1,022
0.065725077;-0,0555;1,0200;0,0535;1,023
0.067046462;-0,0506;1,0178;0,0533;1,020
0.069669808;-0,0376;1,0107;0,0564;1,013
0.074769231;-0,0083;1,0080;0,0611;1,010
0.074975577;-0,0083;1,0080;0,0611;1,010
0.075103885;-0,0010;1,0127;0,0596;1,014
0.080501808;0,0061;1,0195;0,0572;1,021
0.080837;0,0061;1,0293;0,0559;1,031
0.081365846;-0,0281;1,0378;0,0584;1,040
0.083403;-0,0569;1,0410;0,0586;1,044
0.088286192;-0,1126;1,0356;0,0515;1,043
0.088734923;-0,1366;1,0232;0,0418;1,033
0.089390462;-0,1351;1,0171;0,0352;1,027
0.096615923;-0,1073;1,0063;0,0107;1,012
0.097012039;-0,1026;1,0078;0,0088;1,013
0.097181577;-0,1026;1,0078;0,0088;1,013
0.097336539;-0,0882;1,0105;0,0083;1,014
0.099949808;-0,0669;1,0139;0,0078;1,016
0.101490539;-0,0569;1,0146;0,0071;1,016
0.103245231;-0,0415;1,0132;0,0147;1,014
0.105948923;-0,0303;1,0093;0,0254;1,010
0.107502769;-0,0274;1,0068;0,0310;1,008
0.110314654;-0,0244;1,0022;0,0418;1,003
0.115060885;-0,0352;1,0000;0,0493;1,002
0.115217423;-0,0352;1,0000;0,0493;1,002
0.115780423;-0,0393;0,9997;0,0498;1,002
0.117554039;-0,0459;0,9978;0,0484;1,000
0.119537462;-0,0493;0,9968;0,0479;0,999
0.121540154;-0,0579;0,9983;0,0469;1,001
0.123453692;-0,0611;1,0005;0,0459;1,003
0.126135846;-0,0628;0,9995;0,0459;1,003
0.128196769;-0,0691;1,0000;0,0476;1,003
0.129687077;-0,0721;1,0010;0,0498;1,005
0.134653077;-0,0708;1,0061;0,0525;1,010
0.134907462;-0,0708;1,0061;0,0525;1,010
0.135821962;-0,0704;1,0049;0,0528;1,009
0.137561769;-0,0728;1,0046;0,0528;1,009
0.139571731;-0,0735;1,0078;0,0508;1,012
0.141186192;-0,0708;1,0115;0,0496;1,015
0.144502846;-0,0701;1,0124;0,0501;1,016
0.145945692;-0,0665;1,0151;0,0491;1,018
0.148100846;-0,0638;1,0159;0,0511;1,019
0.149574615;-0,0625;1,0159;0,0511;1,019
0.154597462;-0,0579;1,0195;0,0489;1,022
0.154780077;-0,0579;1,0193;0,0489;1,022
0.155025923;-0,0579;1,0193;0,0489;1,022
0.158836885;-0,0550;1,0207;0,0508;1,023
0.159409077;-0,0545;1,0188;0,0523;1,022
0.1618;-0,0547;1,0195;0,0523;1,022
0.163174231;-0,0537;1,0188;0,0525;1,022
0.1650685;-0,0533;1,0178;0,0515;1,021
0.167109539;-0,0530;1,0178;0,0513;1,020
0.169347808;-0,0540;1,0188;0,0506;1,021
0.176069231;-0,0496;1,0141;0,0462;1,016
0.176501577;-0,0496;1,0141;0,0462;1,016
0.176715846;-0,0508;1,0144;0,0440;1,017
0.18037;-0,0498;1,0137;0,0432;1,016
0.180557769;-0,0489;1,0129;0,0428;1,015
0.181048846;-0,0469;1,0078;0,0430;1,010
0.183616;-0,0428;1,0054;0,0428;1,007
0.186437923;-0,0386;1,0051;0,0445;1,007
0.187825308;-0,0169;1,0054;0,0562;1,007
0.189877385;0,0137;1,0063;0,0770;1,009
0.196538462;-0,0073;0,9931;0,0652;0,995
0.196734;-0,0073;0,9931;0,0652;0,995
0.196842346;-0,0166;0,9914;0,0608;0,993
0.197234077;-0,0254;0,9904;0,0545;0,992
0.199288615;-0,0415;0,9907;0,0401;0,992
0.201153808;-0,0525;0,9934;0,0261;0,995
0.203067423;-0,0581;0,9948;0,0200;0,997
0.205135692;-0,0655;0,9961;0,0120;0,998
0.207056154;-0,0733;0,9975;0,0086;1,000
0.209064154;-0,0767;0,9973;0,0073;1,000
0.214549269;-0,0792;1,0014;0,0117;1,005
0.214698385;-0,0792;1,0027;0,0142;1,006
0.215167769;-0,0794;1,0027;0,0142;1,006
0.216866115;-0,0794;1,0034;0,0186;1,007
0.218903039;-0,0804;1,0058;0,0249;1,009
0.221133923;-0,0796;1,0078;0,0283;1,011
0.223129654;-0,0752;1,0100;0,0342;1,013
0.225509308;-0,0708;1,0127;0,0376;1,016
0.227650192;-0,0699;1,0141;0,0403;1,017
0.229271885;-0,0672;1,0156;0,0440;1,019
0.234744615;-0,0621;1,0198;0,0489;1,023
0.234907462;-0,0621;1,0198;0,0489;1,023
0.235046962;-0,0606;1,0205;0,0506;1,024
0.237092346;-0,0569;1,0185;0,0567;1,022
0.239148462;-0,0533;1,0178;0,0616;1,021
0.241114462;-0,0493;1,0171;0,0621;1,020
0.244423269;-0,0484;1,0156;0,0564;1,018
0.245936846;-0,0476;1,0144;0,0537;1,017
0.248113;-0,0486;1,0139;0,0501;1,016
0.249689077;-0,0472;1,0124;0,0464;1,015
0.254851346;-0,0472;1,0127;0,0393;1,015
0.255022154;-0,0472;1,0127;0,0393;1,015
0.255272192;-0,0462;1,0129;0,0374;1,015
0.257804154;-0,0472;1,0132;0,0352;1,015
