time;gFx;gFy;gFz;TgF
0.001542116;0,4752;0,5952;0,5656;0,949
0.001720462;0,4752;0,5952;0,5656;0,949
0.002560385;0,4862;0,5986;0,5812;0,966
0.004526077;0,4969;0,6010;0,5927;0,980
0.006644116;0,5043;0,6027;0,6000;0,989
0.008548539;0,5309;0,6032;0,6145;1,012
0.010514039;0,5483;0,6025;0,6386;1,035
0.012495231;0,5402;0,6035;0,6506;1,039
0.015248;0,5136;0,6035;0,6721;1,039
0.017498193;0,4947;0,5976;0,6834;1,034
0.020881231;0,4862;0,5861;0,6782;1,020
0.021250654;0,4862;0,5861;0,6782;1,020
0.022495577;0,4864;0,5817;0,6772;1,017
0.024453039;0,4884;0,5800;0,6787;1,018
0.026733808;0,4886;0,5805;0,6878;1,024
0.028695424;0,4911;0,5807;0,6975;1,032
0.032891385;0,4913;0,5812;0,7009;1,035
0.033065577;0,4920;0,5847;0,7044;1,039
0.034612116;0,4893;0,5873;0,7046;1,040
0.036778039;0,4867;0,5927;0,7080;1,044
0.040776539;0,4473;0,6311;0,7271;1,062
0.0409385;0,4473;0,6311;0,7271;1,062
0.043770385;0,4573;0,6286;0,7229;1,062
0.04469;0,4820;0,6240;0,7198;1,068
0.047612193;0,5070;0,6242;0,7298;1,086
0.048514616;0,5177;0,6250;0,7386;1,097
0.050449808;0,5382;0,6345;0,7564;1,124
0.052538539;0,5512;0,6435;0,7689;1,144
0.05442127;0,5588;0,6487;0,7742;1,154
0.056438116;0,5734;0,6587;0,7852;1,174
0.0606315;0,5917;0,6760;0,7974;1,201
0.06075577;0,5917;0,6760;0,7974;1,201
0.062682847;0,6003;0,6829;0,7987;1,210
0.064700116;0,6049;0,6853;0,8004;1,215
0.066746;0,6088;0,6860;0,8018;1,218
0.068478;0,6103;0,6856;0,8009;1,218
0.070814462;0,6081;0,6856;0,7979;1,215
0.0729845;0,6066;0,6841;0,7965;1,213
0.075006731;0,6052;0,6826;0,7933;1,209
0.076469462;0,6005;0,6809;0,7962;1,208
0.08206927;0,5956;0,6794;0,7960;1,204
0.082255923;0,5956;0,6794;0,7960;1,204
0.082711693;0,5915;0,6775;0,7899;1,197
0.084666154;0,5888;0,6782;0,7862;1,194
0.086559039;0,5829;0,6792;0,7799;1,187
0.088808654;0,5729;0,6746;0,7672;1,171
0.090984462;0,5644;0,6692;0,7547;1,156
0.093051808;0,5490;0,6621;0,7359;1,132
0.095322308;0,5436;0,6670;0,7308;1,129
0.096624462;0,5431;0,6714;0,7308;1,131
0.1012745;0,5365;0,6748;0,7068;1,115
0.101417731;0,5365;0,6748;0,7068;1,115
0.103027;0,5355;0,6787;0,7039;1,115
0.104834539;0,5238;0,6875;0,7046;1,115
0.107651462;0,5060;0,6919;0,7122;1,114
0.109251193;0,5026;0,6919;0,7119;1,113
0.111320423;0,4994;0,6887;0,7083;1,107
0.113021154;0,5026;0,6826;0,7105;1,106
0.115587616;0,5057;0,6804;0,7122;1,107
0.123647577;0,5177;0,6765;0,7215;1,116
0.123929231;0,5370;0,6699;0,7259;1,124
0.124016154;0,5421;0,6675;0,7273;1,126
0.124103116;0,5485;0,6653;0,7322;1,131
0.1251045;0,5636;0,6623;0,7481;1,147
0.126951847;0,5685;0,6638;0,7562;1,156
0.128865039;0,5729;0,6670;0,7711;1,169
0.131851;0,5807;0,6692;0,7833;1,183
0.132976731;0,5859;0,6707;0,7877;1,189
0.134595231;0,5927;0,6726;0,7992;1,201
0.13713077;0,6064;0,6711;0,8077;1,213
0.141374385;0,6257;0,6775;0,8216;1,235
0.142648154;0,6257;0,6775;0,8216;1,235
0.143048616;0,6357;0,6831;0,8253;1,246
0.144965847;0,6411;0,6875;0,8211;1,248
0.147332654;0,6516;0,7002;0,8180;1,259
0.149066308;0,6636;0,7049;0,8111;1,263
0.151474423;0,6675;0,7009;0,8045;1,259
0.153250693;0,6685;0,6836;0,7835;1,236
0.154902577;0,6663;0,6716;0,7664;1,218
0.156519847;0,6616;0,6689;0,7606;1,210
0.161409923;0,6699;0,6753;0,7447;1,208
0.1615445;0,6699;0,6753;0,7447;1,208
0.162634923;0,6890;0,6824;0,7378;1,218
0.165945462;0,6995;0,7000;0,7256;1,227
0.16764827;0,7254;0,7144;0,7261;1,250
0.169658731;0,7559;0,7180;0,7315;1,274
0.174296116;0,7662;0,7276;0,7344;1,287
0.174446385;0,7801;0,7366;0,7515;1,310
0.175137154;0,7960;0,7395;0,7745;1,334
0.176804077;0,8026;0,7522;0,7896;1,354
0.181944077;0,7999;0,7488;0,8138;1,365
0.18213677;0,7908;0,7559;0,8172;1,366
0.18269777;0,7781;0,7684;0,8226;1,368
0.185038116;0,7437;0,7908;0,8407;1,373
0.186535385;0,7007;0,8060;0,8536;1,367
0.188392846;0,6819;0,8111;0,8578;1,363
0.190511923;0,6235;0,7772;0,8314;1,298
0.192479154;0,5202;0,6953;0,7601;1,154
0.194496539;0,4854;0,6836;0,7547;1,128
0.197151654;0,4376;0,6890;0,7862;1,133
0.201648385;0,3892;0,7151;0,8634;1,187
0.202161654;0,3892;0,7151;0,8634;1,187
0.2028055;0,3689;0,7305;0,9074;1,222
0.20449477;0,3589;0,7447;0,9372;1,250
0.206478923;0,3540;0,7510;0,9475;1,260
0.208756423;0,3457;0,7674;0,9697;1,284
0.2105025;0,3293;0,7779;0,9802;1,294
0.212778116;0,3186;0,7825;0,9804;1,294
0.214993231;0,2995;0,7911;0,9741;1,290
0.216624885;0,2814;0,7979;0,9648;1,283
0.22119177;0,2526;0,8016;0,9250;1,250
0.221387116;0,2526;0,8016;0,9250;1,250
0.222453385;0,2326;0,7987;0,8932;1,221
0.224400308;0,2213;0,7965;0,8768;1,205
0.226456962;0,1950;0,7830;0,8353;1,161
0.228413116;0,1463;0,7620;0,8092;1,121
0.234243962;0,0938;0,7522;0,8084;1,108
0.234451731;-0,0188;0,7359;0,8143;1,098
0.234648385;-0,0743;0,7222;0,7982;1,079
0.237065616;-0,0794;0,7122;0,7825;1,061
0.2423965;-0,0386;0,5522;0,7711;0,949
0.242763423;-0,0386;0,5522;0,7711;0,949
0.242973654;-0,0227;0,5079;0,7750;0,927
0.244984654;0,0205;0,4151;0,8141;0,914
0.247958308;0,0718;0,3230;0,8551;0,917
0.248976616;0,0479;0,3349;0,8216;0,889
0.250480693;-0,0921;0,5079;0,7193;0,885
0.252494808;-0,1884;0,6401;0,7051;0,971
0.254445154;-0,2184;0,6897;0,6987;1,006
0.256398577;-0,2377;0,7571;0,7217;1,073
0.261297154;-0,1471;0,7811;0,7747;1,110
0.261482616;-0,1080;0,7703;0,7857;1,106
0.263001654;-0,0716;0,7522;0,7948;1,097
0.265438462;-0,0044;0,7056;0,7938;1,062
0.266941077;0,0266;0,6802;0,7789;1,034
0.268894423;0,0897;0,6452;0,7388;0,985
0.270797846;0,1500;0,6421;0,7383;0,990
0.272807346;0,1705;0,6462;0,7435;1,000
0.27528177;0,1884;0,6641;0,7168;0,995
0.276825154;0,2099;0,6997;0,6572;0,983
0.281948693;0,2714;0,7474;0,5825;0,986
0.282173962;0,2714;0,7474;0,5825;0,986
0.282740423;0,3161;0,7606;0,5461;0,988
0.284466962;0,3347;0,7703;0,5250;0,991
0.286981077;0,3696;0,7960;0,4796;1,000
0.288810308;0,4014;0,8136;0,4202;1,000
0.291459731;0,4153;0,8170;0,3919;0,997
0.293236846;0,4395;0,8092;0,4065;1,007
0.295361154;0,4517;0,7855;0,5424;1,056
0.297554846;0,4463;0,7850;0,5983;1,083
0.301076116;0,3821;0,8243;0,7576;1,183
0.301288231;0,3821;0,8243;0,7576;1,183
0.302505;0,3538;0,8275;0,7779;1,190
0.304568962;0,2954;0,8131;0,7999;1,178
0.306455962;0,2362;0,8009;0,8153;1,167
0.309089654;0,2160;0,7904;0,8211;1,160
0.310460231;0,1940;0,7684;0,8033;1,128
