time,gFx,gFy,gFz,TgF
0.001302769,-0.1237,0.3188,0.8693,0.934
0.001958154,-0.1179,0.3112,0.8730,0.934
0.002460846,-0.1140,0.3127,0.8756,0.937
0.004796231,-0.1173,0.3090,0.8789,0.939
0.006448846,-0.1168,0.3061,0.8938,0.952
0.008968539,-0.1124,0.3049,0.8857,0.943
0.011419077,-0.1088,0.3002,0.8901,0.946
0.021537539,-0.1022,0.2936,0.8954,0.948
0.022129846,-0.0917,0.3016,0.9047,0.958
0.022529462,-0.0819,0.3029,0.9174,0.970
0.022868923,-0.0804,0.2978,0.9208,0.971
0.023707616,-0.0683,0.2932,0.9331,0.980
0.026272,-0.0702,0.2870,0.9485,0.993
0.040742077,-0.0578,0.2816,0.9460,0.989
0.041247616,-0.0523,0.2885,0.9658,1.009
0.041627077,-0.0499,0.2811,0.9709,1.012
0.041925539,-0.0529,0.2948,0.9681,1.013
0.042180539,-0.0485,0.2927,0.9727,1.017
0.042433154,-0.0448,0.2827,0.9742,1.015
0.043325154,-0.0411,0.2821,0.9839,1.024
0.046267308,-0.0345,0.2790,0.9837,1.023
0.048629769,-0.0389,0.2783,0.9795,1.019
0.050958077,-0.0443,0.2785,0.9776,1.017
0.053615616,-0.0487,0.2660,0.9791,1.016
0.055837769,-0.0384,0.2665,0.9709,1.008
0.058301769,-0.0441,0.2672,0.9717,1.009
0.061109462,-0.0511,0.2533,0.9668,1.001
0.063522385,-0.0494,0.2528,0.9690,1.003
0.065819308,-0.0531,0.2508,0.9604,0.994
0.068266077,-0.0560,0.2580,0.9583,0.994
0.071493231,-0.0515,0.2582,0.9595,0.995
0.073014692,-0.0515,0.2531,0.9536,0.988
0.075509154,-0.0487,0.2604,0.9480,0.984
0.077996539,-0.0531,0.2629,0.9409,0.978
0.080884231,-0.0453,0.2713,0.9451,0.984
0.082900231,-0.0465,0.2650,0.9409,0.979
0.085551077,-0.0506,0.2687,0.9429,0.982
0.087893231,-0.0480,0.2762,0.9387,0.980
0.090319308,-0.0529,0.2687,0.9402,0.979
0.092823308,-0.0541,0.2657,0.9353,0.974
0.096120846,-0.0509,0.2616,0.9341,0.971
0.097807385,-0.0518,0.2660,0.9358,0.974
0.100285769,-0.0594,0.2580,0.9238,0.961
0.103262077,-0.0590,0.2667,0.9274,0.967
0.105260616,-0.0604,0.2533,0.9316,0.967
0.107516,-0.0590,0.2577,0.9465,0.983
0.110023616,-0.0553,0.2531,0.9446,0.979
0.112612231,-0.0667,0.2536,0.9472,0.983
0.115085769,-0.0729,0.2467,0.9539,0.988
0.117505154,-0.0667,0.2364,0.9521,0.983
0.120109154,-0.0690,0.2533,0.9637,0.999
0.122372539,-0.0807,0.2389,0.9532,0.986
0.124772231,-0.0695,0.2317,0.9727,1.002
0.127252,-0.0776,0.2264,0.9676,0.997
0.131450769,-0.0711,0.2317,0.9830,1.012
0.132430077,-0.0748,0.2228,0.9832,1.011
0.135127385,-0.0553,0.2313,0.9779,1.006
0.138125231,-0.0678,0.2289,0.9832,1.012
0.140021769,-0.0597,0.2264,0.9807,1.008
0.142292923,-0.0653,0.2203,0.9940,1.020
0.144616539,-0.0541,0.2303,1.0012,1.029
0.147084231,-0.0457,0.2269,0.9993,1.026
0.149624308,-0.0487,0.2303,1.0126,1.040
0.152109462,-0.0474,0.2273,1.0228,1.049
0.154653846,-0.0380,0.2282,1.0250,1.051
0.156838077,-0.0306,0.2359,1.0350,1.062
0.159378462,-0.0264,0.2371,1.0271,1.054
0.161935692,-0.0255,0.2611,1.0226,1.056
0.164496,-0.0084,0.2623,1.0289,1.062
0.166844923,-0.0061,0.2631,1.0235,1.057
0.169600616,-0.0089,0.2723,1.0191,1.055
0.172011077,0.0112,0.2770,1.0355,1.072
0.174010692,0.0072,0.2746,1.0252,1.061
0.176436923,0.0051,0.2748,1.0138,1.050
0.179478769,0.0041,0.2618,1.0033,1.037
0.181657231,0.0000,0.2638,0.9928,1.027
0.184128308,-0.0037,0.2599,0.9712,1.005
0.186430077,-0.0022,0.2638,0.9529,0.989
0.189251616,-0.0017,0.2492,0.9395,0.972
0.191539616,-0.0059,0.2482,0.9358,0.968
0.193874769,-0.0162,0.2428,0.9199,0.952
0.196592308,-0.0169,0.2394,0.9226,0.953
0.199020923,-0.0191,0.2371,0.9092,0.940
0.201612846,-0.0210,0.2335,0.9077,0.937
0.203904539,-0.0247,0.2387,0.8938,0.925
0.206482385,-0.0291,0.2315,0.8945,0.924
0.209272923,-0.0306,0.2279,0.8882,0.917
0.210939692,-0.0284,0.2338,0.8938,0.924
0.213616308,-0.0267,0.2362,0.9008,0.932
0.216503077,-0.0306,0.2279,0.9055,0.934
0.218743,-0.0240,0.2401,0.9043,0.936
0.221675923,-0.0162,0.2335,0.8971,0.927
0.223424616,-0.0269,0.2181,0.9067,0.933
0.225967,-0.0262,0.2333,0.9052,0.935
0.228610692,-0.0240,0.2222,0.9194,0.946
0.231110154,-0.0250,0.2286,0.9138,0.942
0.233548923,-0.0284,0.2144,0.9113,0.937
0.236142769,-0.0291,0.2237,0.9245,0.952
0.238202692,-0.0282,0.2103,0.9238,0.948
0.240772308,-0.0152,0.2159,0.9285,0.953
0.243059385,-0.0010,0.2222,0.9204,0.947
0.246251308,0.0051,0.2191,0.9128,0.939
0.248189769,0.0109,0.2115,0.9177,0.942
0.250755923,0.0207,0.2122,0.9131,0.938
0.253208,0.0966,0.1680,0.8891,0.910
0.255819692,0.0792,0.1658,0.8884,0.907
0.258153769,0.0559,0.1685,0.8864,0.904
0.260697769,0.0251,0.1968,0.8661,0.889
0.263278154,-0.0135,0.2112,0.8747,0.900
0.265414154,-0.0367,0.2212,0.8845,0.912
0.268078769,-0.0562,0.2286,0.8828,0.914
0.270557231,-0.0513,0.2480,0.8945,0.930
0.272892,-0.0371,0.2620,0.9120,0.950
0.275388846,-0.0326,0.2641,0.9035,0.942
0.277918154,-0.0220,0.2665,0.9092,0.948
0.290239308,-0.0374,0.2592,0.9157,0.952
0.291168308,-0.0331,0.2471,0.9374,0.970
