time,gFx,gFy,gFz,TgF
0.001050538,-0.0529,0.1734,0.8346,0.854
0.001448923,-0.0699,0.1541,0.8849,0.901
0.004111692,-0.0907,0.1423,0.9140,0.929
0.005416923,-0.0284,0.0798,0.9392,0.943
0.007952615,-0.0704,0.1418,0.9861,0.999
0.01032223,-0.0772,0.1692,1.0130,1.030
0.013349538,-0.0746,0.1817,1.0389,1.057
0.024328923,-0.0914,0.1788,1.0585,1.077
0.024875153,-0.0954,0.1704,1.0751,1.093
0.02536523,-0.1091,0.1676,1.0934,1.111
0.026002153,-0.1422,0.1462,1.1107,1.129
0.02632123,-0.1701,0.1128,1.1017,1.120
0.028275153,-0.1520,0.1429,1.0956,1.115
0.030669923,-0.0860,0.1621,1.0841,1.100
0.032689,-0.0262,0.1851,1.0809,1.097
0.036254538,0.0473,0.1966,1.0760,1.095
0.039515461,0.1311,0.1768,1.0609,1.084
0.039826846,0.2362,0.1590,1.0478,1.086
0.042482538,0.2196,0.1362,1.0259,1.058
0.044988923,0.2137,0.1196,1.0077,1.037
0.047525846,0.2335,0.1022,0.9919,1.024
0.049704923,0.2599,0.0822,0.9467,0.985
0.052207384,0.2648,0.0863,0.9399,0.980
0.055025307,0.2608,0.0786,0.9257,0.965
0.057219692,0.2648,0.0819,0.9096,0.951
0.059490153,0.2520,0.0968,0.9120,0.951
0.062230153,0.2293,0.0933,0.9201,0.953
0.065481538,0.1819,0.1029,0.9360,0.959
0.067112384,0.1478,0.1071,0.9695,0.987
0.069518153,0.1145,0.1071,1.0059,1.018
0.072079384,0.0669,0.0989,1.0438,1.051
0.074601307,0.0373,0.0781,1.0450,1.049
0.077526153,-0.0045,0.0812,1.0565,1.060
0.079297846,-0.0423,0.0837,1.0748,1.079
0.081888307,-0.0795,0.0942,1.0963,1.103
0.084144923,-0.1007,0.1040,1.0958,1.105
0.086908384,-0.1144,0.1138,1.1173,1.129
0.090518769,-0.1281,0.1194,1.1347,1.148
0.091441615,-0.1208,0.1233,1.1626,1.175
0.09404623,-0.1179,0.1259,1.1831,1.196
0.098828615,-0.1022,0.1259,1.1755,1.187
0.099281923,-0.0790,0.1387,1.1669,1.178
0.103161846,-0.0560,0.1338,1.1638,1.173
0.108061923,-0.0384,0.1399,1.1484,1.157
0.108675153,-0.0394,0.1243,1.1326,1.140
0.109002846,-0.0318,0.1220,1.1320,1.139
0.111330538,-0.0338,0.1194,1.1014,1.108
0.114120307,-0.0206,0.1280,1.0641,1.072
0.116421307,-0.0303,0.1277,1.0509,1.059
0.118591153,-0.0279,0.1364,1.0054,1.015
0.121167384,-0.0257,0.1413,1.0033,1.013
0.123573307,-0.0404,0.1474,0.9641,0.976
0.126143461,-0.0369,0.1570,0.9282,0.942
0.128707153,-0.0331,0.1587,0.8808,0.896
0.131105923,-0.0394,0.1658,0.8319,0.849
0.133532,-0.0401,0.1651,0.7904,0.808
0.136046153,-0.0406,0.1707,0.7542,0.774
0.138630153,-0.0423,0.1793,0.7230,0.746
0.141064615,-0.0431,0.1770,0.7027,0.726
0.143433307,-0.0416,0.1890,0.6853,0.712
0.145945538,-0.0348,0.1973,0.6657,0.695
0.150397615,-0.0277,0.1727,0.6701,0.693
0.150996076,-0.0389,0.1636,0.6591,0.680
0.153175153,-0.0509,0.1247,0.6716,0.685
0.155562538,-0.0621,0.1118,0.6687,0.681
0.158074538,-0.0765,0.0866,0.6659,0.676
0.160764307,-0.0683,0.0722,0.6821,0.689
0.163236692,-0.0851,0.0613,0.7088,0.716
0.165689307,-0.0683,0.0420,0.7332,0.738
0.168152384,-0.0494,0.0442,0.7486,0.751
0.170316307,-0.0228,0.0501,0.7831,0.785
0.172935692,0.0012,0.0477,0.8243,0.826
0.175316923,0.0261,0.0620,0.8771,0.880
0.17820923,0.0517,0.0591,0.9236,0.927
0.180484615,0.0682,0.0559,0.9705,0.975
0.183096692,0.0638,0.0615,1.0096,1.013
0.185628692,0.0722,0.0622,1.0387,1.043
0.188665615,0.0711,0.0557,1.0469,1.051
0.190234769,0.0796,0.0515,1.0772,1.081
0.193240923,0.0722,0.0540,1.0814,1.085
0.195192384,0.0652,0.0526,1.1081,1.111
0.197682769,0.0515,0.0528,1.1386,1.141
0.199944307,0.0386,0.0683,1.1477,1.150
0.202763384,0.0124,0.0622,1.1760,1.178
0.205042153,-0.0098,0.0828,1.1919,1.195
