time,gFx,gFy,gFz,TgF
0.001734692,0.1643,0.2286,0.6755,0.732
0.002631923,0.1639,0.2364,0.6794,0.738
0.003170769,0.1714,0.2240,0.6848,0.741
0.003597538,0.1893,0.2259,0.6874,0.748
0.004075384,0.2027,0.2277,0.6911,0.755
0.010597461,0.2273,0.2156,0.7100,0.776
0.011164846,0.2435,0.2068,0.7121,0.781
0.011714769,0.2606,0.2054,0.7249,0.797
0.023065461,0.2774,0.1910,0.7251,0.800
0.023707615,0.2880,0.1946,0.7415,0.819
0.024479076,0.3004,0.1849,0.7435,0.823
0.024862384,0.3068,0.1778,0.7415,0.822
0.025208307,0.3212,0.1832,0.7430,0.830
0.029630153,0.3342,0.1837,0.7510,0.842
0.029994461,0.3557,0.1732,0.7442,0.843
0.032107076,0.4276,0.1905,0.7258,0.864
0.034662692,0.6842,0.2184,0.6564,0.973
0.03732523,0.6521,0.2362,0.6811,0.972
0.039764846,0.5881,0.2147,0.7072,0.945
0.041094384,0.5314,0.2108,0.7302,0.927
0.043635,0.4556,0.1942,0.7552,0.903
0.04626923,0.3901,0.1849,0.7740,0.886
0.048782461,0.3491,0.1700,0.7869,0.878
0.050985153,0.2874,0.1531,0.7960,0.860
0.054259,0.2657,0.1304,0.8197,0.871
0.057348538,0.2531,0.1269,0.8412,0.888
0.058726384,0.2467,0.1103,0.8673,0.908
0.060960538,0.2631,0.1094,0.8845,0.929
0.063582384,0.2872,0.1171,0.8812,0.934
0.06595223,0.3403,0.1211,0.8752,0.947
0.068047615,0.3799,0.1231,0.8517,0.941
0.070788307,0.4200,0.1223,0.8308,0.939
0.073206769,0.4544,0.1247,0.8131,0.940
0.075323384,0.4879,0.1252,0.7715,0.921
0.079035923,0.5080,0.1226,0.7486,0.913
0.082134692,0.5290,0.1208,0.7270,0.907
0.083369538,0.5204,0.1189,0.7004,0.881
0.086335923,0.5287,0.1191,0.6782,0.868
0.089028846,0.5169,0.1005,0.6477,0.835
0.090308923,0.5026,0.0893,0.6405,0.819
0.093141461,0.4764,0.0773,0.6342,0.797
0.095821153,0.4463,0.0658,0.6266,0.772
0.098402461,0.4136,0.0688,0.6345,0.760
0.100241538,0.3715,0.0620,0.6564,0.757
0.103378692,0.3400,0.0573,0.6694,0.753
0.106315076,0.3183,0.0584,0.6869,0.759
0.107628,0.3183,0.0661,0.6974,0.769
0.110092846,0.3039,0.0584,0.7100,0.774
0.121199615,0.3072,0.0690,0.7230,0.789
0.121755076,0.3242,0.0661,0.7424,0.813
0.122246076,0.3300,0.0749,0.7515,0.824
0.122587923,0.3412,0.0749,0.7671,0.843
0.122842384,0.3520,0.0866,0.7806,0.861
0.126545846,0.3726,0.0881,0.7818,0.871
0.127638384,0.3764,0.0981,0.7862,0.877
0.130051,0.3799,0.1071,0.7887,0.882
0.13272023,0.3967,0.1150,0.7843,0.886
0.135363615,0.3929,0.1194,0.7940,0.894
0.141191923,0.3848,0.1243,0.7859,0.884
0.141430769,0.3784,0.1184,0.8041,0.897
0.142344615,0.3647,0.1135,0.8234,0.908
0.145461769,0.3398,0.0964,0.8527,0.923
0.148989846,0.3371,0.0828,0.8977,0.962
0.151296307,0.3559,0.0886,0.9152,0.986
0.152531615,0.4031,0.1001,0.9458,1.033
0.155405461,0.4630,0.1098,0.9621,1.073
0.157496923,0.5255,0.1147,0.9791,1.117
0.159235923,0.5842,0.1131,0.9776,1.144
0.162503384,0.6238,0.1096,0.9719,1.160
0.164443,0.6478,0.0984,0.9817,1.180
0.166888,0.6534,0.0879,0.9837,1.184
0.169686692,0.6446,0.0549,0.9770,1.172
0.17168023,0.6299,0.0420,0.9791,1.165
0.174255307,0.6231,0.0163,0.9876,1.168
0.176998153,0.6297,0.0072,1.0035,1.185
0.180332615,0.6248,-0.0103,1.0005,1.180
0.18255723,0.6402,-0.0128,1.0126,1.198
0.184022384,0.6474,-0.0120,1.0012,1.192
0.186524,0.6490,-0.0047,1.0057,1.197
0.189436923,0.6534,-0.0008,0.9859,1.183
0.191647,0.6597,0.0193,0.9717,1.175
0.194234692,0.6590,0.0559,0.9372,1.147
0.197459,0.6627,0.0693,0.9059,1.125
0.200377769,0.6648,0.0924,0.8700,1.099
0.201862769,0.6387,0.1162,0.8320,1.055
0.205670384,0.6360,0.1385,0.8116,1.040
0.206183307,0.6211,0.1516,0.7733,1.003
0.208935384,0.6064,0.1700,0.7349,0.968
0.212099923,0.5908,0.1697,0.7034,0.934
0.214054384,0.5698,0.1863,0.6704,0.899
0.216576846,0.5505,0.1921,0.6457,0.870
0.21895623,0.5556,0.1907,0.6205,0.854
0.221572307,0.5468,0.1958,0.6090,0.842
0.223548923,0.5514,0.2103,0.5904,0.835
0.226084846,0.5565,0.2152,0.5941,0.842
0.229886461,0.5693,0.2224,0.5844,0.846
0.232711076,0.5964,0.2247,0.5953,0.872
0.23484823,0.6326,0.2286,0.5953,0.898
0.237731692,0.7364,0.2352,0.5706,0.961
0.238306153,0.7120,0.2240,0.6256,0.974
