time,gFx,gFy,gFz,TgF
0.003795,0.1345,0.1998,1.0861,1.113
0.004963077,0.1382,0.1993,1.0680,1.095
0.006108615,0.1338,0.2030,1.0355,1.064
0.007511384,0.1364,0.2044,1.0113,1.041
0.008611615,0.1523,0.2027,0.9727,1.005
0.009375923,0.1394,0.2044,0.9451,0.977
0.010038692,0.1271,0.2005,0.9265,0.956
0.010931077,0.1328,0.2019,0.9128,0.944
0.012215692,0.1315,0.1861,0.9120,0.940
0.01344823,0.1294,0.1907,0.8764,0.906
0.015209154,0.1184,0.2085,0.8421,0.876
0.016196615,0.1280,0.2215,0.8300,0.869
0.020599,0.1262,0.2345,0.8216,0.864
0.021399615,0.1208,0.2369,0.8016,0.845
0.028936307,0.1057,0.2377,0.8106,0.851
0.029459384,0.2616,0.2333,0.7718,0.848
0.029878384,0.3874,0.1917,0.7009,0.824
0.030544615,0.3417,0.1824,0.7515,0.845
0.033184615,0.2701,0.2007,0.8043,0.872
0.035804923,0.2103,0.1555,0.8495,0.889
0.038016615,0.1394,0.1084,0.8363,0.855
0.041079307,0.1616,0.1462,0.8360,0.864
0.043072538,0.1553,0.1741,0.8001,0.833
0.045584307,0.1634,0.1917,0.7659,0.806
0.047891923,0.1469,0.2142,0.7498,0.794
0.050683692,0.1338,0.2266,0.7471,0.792
0.053171307,0.1274,0.2401,0.7379,0.786
0.055634692,0.1243,0.2533,0.7498,0.801
0.057661461,0.1150,0.2611,0.7677,0.819
0.06048823,0.0833,0.2629,0.8055,0.851
0.063170769,0.0722,0.2650,0.8453,0.889
0.065129461,0.0430,0.2643,0.8884,0.928
0.067700538,0.0146,0.2694,0.9455,0.983
0.070012923,-0.0189,0.2655,0.9964,1.031
0.07254,-0.0416,0.2469,1.0429,1.073
0.07490823,-0.0604,0.2338,1.0863,1.113
0.077371,-0.0790,0.2254,1.1257,1.151
0.079926077,-0.0802,0.2147,1.1741,1.196
0.082147923,-0.0753,0.2345,1.2237,1.248
0.084911384,-0.0788,0.2303,1.2526,1.276
0.087531307,-0.0770,0.2315,1.2869,1.310
0.089562692,-0.0716,0.2313,1.3107,1.333
0.092416923,-0.0739,0.2433,1.3329,1.357
0.09533723,-0.0844,0.2317,1.3498,1.372
0.097466384,-0.0851,0.2433,1.3576,1.382
0.099406077,-0.0834,0.2357,1.3671,1.390
0.101871923,-0.0829,0.2435,1.3358,1.360
0.104886154,-0.0792,0.2359,1.3176,1.341
0.107386461,-0.0313,0.2555,1.2769,1.303
0.109267692,-0.0284,0.2608,1.2417,1.269
0.112044538,-0.0255,0.2487,1.2085,1.234
0.114348923,0.0701,0.2899,1.0807,1.121
0.117145846,0.2694,0.3303,0.8928,0.989
0.119152307,0.2328,0.3114,0.9064,0.986
0.121889769,0.1968,0.2662,0.9115,0.970
0.124402461,0.1565,0.2352,0.8991,0.942
0.126843,0.1201,0.2063,0.8908,0.922
0.129086461,0.0932,0.1853,0.9057,0.929
0.131611077,0.0752,0.1861,0.9031,0.925
0.133939923,0.0573,0.1927,0.9045,0.927
0.136352615,0.0454,0.2051,0.8945,0.919
0.139009154,0.0422,0.2137,0.9050,0.931
0.141426461,0.0417,0.2222,0.9201,0.947
0.143830384,0.0279,0.2422,0.8994,0.932
0.146205846,0.0183,0.2482,0.9101,0.944
0.148803307,0.0178,0.2562,0.9052,0.941
0.15120823,-0.0003,0.2577,0.9028,0.939
0.153783,-0.0150,0.2594,0.8966,0.934
0.156231923,-0.0355,0.2492,0.9018,0.936
0.15876923,-0.0453,0.2496,0.8866,0.922
0.161859923,-0.0627,0.2406,0.8866,0.921
0.163557769,-0.0832,0.2408,0.8700,0.907
0.165833846,-0.0961,0.2328,0.8556,0.892
0.168363077,-0.1010,0.2322,0.8315,0.869
0.171207077,-0.1042,0.2413,0.8183,0.859
0.173351615,-0.0942,0.2447,0.8148,0.856
0.176074384,-0.0870,0.2494,0.7967,0.839
0.178438692,-0.0832,0.2699,0.8006,0.849
0.180738461,-0.0680,0.2706,0.7899,0.838
0.183243384,-0.0685,0.2718,0.7913,0.840
0.185621769,-0.0550,0.2804,0.7960,0.846
0.188470154,-0.0348,0.2806,0.8150,0.863
0.190454769,-0.0022,0.2960,0.8407,0.891
0.193727384,0.0263,0.3041,0.8835,0.935
0.195949769,0.0677,0.3312,0.8964,0.958
0.197954692,0.1105,0.3517,0.9177,0.989
0.200476923,0.1448,0.3620,0.9502,1.027
0.202996307,0.1721,0.3831,0.9705,1.057
0.205799615,0.1990,0.3843,0.9930,1.083
0.208098384,0.2369,0.3970,1.0045,1.106
0.210432923,0.2538,0.3987,1.0478,1.149
0.212733461,0.2697,0.3965,1.0609,1.164
0.215243923,0.2848,0.3826,1.0900,1.190
0.217744307,0.2874,0.3894,1.1014,1.203
0.22088423,0.2870,0.3647,1.1277,1.219
0.222545769,0.2156,0.3097,1.2298,1.286
0.225286461,0.1154,0.2501,1.3034,1.332
0.228358384,0.0044,0.1788,1.3434,1.355
0.229996307,-0.0851,0.1280,1.3724,1.381
0.232525154,-0.1499,0.0979,1.3473,1.359
0.234982077,-0.1785,0.0968,1.3034,1.319
0.237960923,-0.1667,0.1292,1.2557,1.273
0.240078077,-0.1674,0.1538,1.1919,1.213
0.242479307,-0.1629,0.1667,1.1147,1.139
0.245114077,-0.2102,0.1538,1.0269,1.059
0.24716923,-0.2132,0.1692,0.9133,0.953
0.249524538,-0.1785,0.1824,0.8593,0.896
0.252326154,-0.2024,0.1695,0.8294,0.870
0.255440307,-0.2368,0.1138,0.8434,0.883
0.257493538,-0.2324,0.1073,0.8583,0.896
0.259979307,-0.2097,0.1133,0.8644,0.897
0.262002077,-0.1792,0.1264,0.8747,0.902
0.264570692,-0.1266,0.1409,0.8737,0.894
0.267287,-0.0914,0.1485,0.8722,0.890
0.271080923,-0.0594,0.1469,0.8791,0.893
0.272234384,-0.0343,0.1467,0.8666,0.880
0.274977846,0.0232,0.1660,0.8234,0.840
0.276975615,0.0833,0.1998,0.7794,0.809
0.279241769,0.1296,0.2205,0.7407,0.784
0.281700307,0.1711,0.2415,0.7129,0.772
0.284164307,0.1954,0.2518,0.6692,0.741
0.288135,0.2333,0.2545,0.5827,0.677
0.289242077,0.2545,0.2697,0.4944,0.618
0.291507,0.2445,0.2867,0.3771,0.533
0.293845461,0.2823,0.3166,0.2891,0.513
0.296559692,0.3112,0.3420,0.2530,0.527
0.298884846,0.3517,0.3955,0.2356,0.579
0.301344,0.4143,0.4544,0.2412,0.661
0.304018384,0.4782,0.5111,0.2637,0.748
0.306747692,0.4980,0.5463,0.2632,0.785
0.309078077,0.5141,0.5707,0.2136,0.797
0.311567615,0.5160,0.5837,0.1391,0.791
0.314220615,0.4777,0.5768,0.0308,0.750
0.316148615,0.4141,0.5514,-0.0889,0.695
0.319090154,0.3222,0.4960,-0.1180,0.603
0.321198154,0.2501,0.4197,-0.0493,0.491
0.323632615,0.1934,0.3571,0.0711,0.412
0.326176538,0.1807,0.3004,0.2180,0.413
0.330191615,0.1827,0.2650,0.3735,0.493
0.331244615,0.2088,0.2467,0.5137,0.607
0.333268307,0.2420,0.2433,0.6547,0.739
0.335756538,0.2853,0.2494,0.7940,0.880
0.338322077,0.3200,0.2538,0.9285,1.014
0.340626154,0.3363,0.2772,1.0269,1.116
0.343110692,0.3748,0.3205,1.1482,1.250
0.345666769,0.3882,0.3582,1.2677,1.373
0.348100307,0.3953,0.3764,1.3705,1.475
0.350537461,0.3811,0.3941,1.4556,1.555
0.353122769,0.3510,0.4041,1.5296,1.621
0.35590823,0.3219,0.4006,1.5893,1.670
0.358107923,0.2596,0.3838,1.6110,1.676
0.360558769,0.1914,0.3613,1.6073,1.659
0.363243615,0.1509,0.3291,1.6061,1.646
0.365513538,0.1040,0.3044,1.5976,1.630
0.367846461,0.0699,0.2772,1.5807,1.606
0.370554154,0.0471,0.2552,1.5348,1.557
0.373105154,0.0291,0.2513,1.4966,1.518
0.375271384,0.0322,0.2511,1.4521,1.474
0.377704846,0.0461,0.2536,1.4118,1.435
0.38064823,0.0540,0.2650,1.3635,1.390
0.382561154,0.0762,0.2685,1.3195,1.349
0.385575384,0.1012,0.2860,1.2708,1.307
0.387941846,0.1259,0.2972,1.2002,1.243
0.390238384,0.1360,0.3235,1.1264,1.180
0.392447923,0.1506,0.3393,1.0627,1.126
0.395290154,0.1560,0.3550,1.0069,1.079
0.397426384,0.1482,0.3594,0.9436,1.021
0.400106154,0.1426,0.3708,0.9022,0.986
0.402289769,0.1374,0.3780,0.8563,0.946
0.405480615,0.1267,0.3972,0.8348,0.933
0.408260846,0.1098,0.3872,0.8031,0.898
0.409489154,0.0989,0.3880,0.7684,0.866
0.412791615,0.0848,0.3862,0.7322,0.832
0.414505538,0.0566,0.3878,0.7060,0.807
0.417114769,0.0403,0.3794,0.6862,0.785
0.419739384,0.0168,0.3850,0.6774,0.779
0.421944846,0.0134,0.3813,0.6648,0.767
0.424839077,-0.0033,0.3772,0.6657,0.765
0.427135923,-0.0166,0.3703,0.6692,0.765
0.429655307,-0.0208,0.3538,0.6669,0.755
0.431722769,-0.0228,0.3635,0.6767,0.769
0.434111692,0.0344,0.3510,0.5976,0.694
0.437313846,0.2415,0.3400,0.3316,0.533
0.439149154,0.8513,0.3745,-0.0176,0.930
0.44183723,1.7418,0.3689,-0.3804,1.821
0.444138384,1.1737,0.2338,0.1899,1.212
0.446718769,0.4652,0.1490,0.5455,0.732
0.44928023,0.4358,0.1401,0.2803,0.537
0.451803692,0.9190,0.1814,0.0259,0.937
0.454128,1.0141,0.1741,0.3791,1.097
0.456583077,0.6856,0.1069,0.9192,1.152
0.458771923,0.3315,0.0676,1.2659,1.310
0.461700307,0.1292,0.0724,1.4023,1.410
0.463721769,0.0862,0.1145,1.4524,1.460
0.466675077,0.2085,0.3322,1.5245,1.574
0.468930154,0.3270,0.4170,1.6560,1.739
0.471415,0.3897,0.4368,1.6716,1.771
0.474164,0.4256,0.4249,1.5837,1.694
0.476247307,0.3699,0.3772,1.3996,1.496
0.479088923,0.2068,0.2978,1.0970,1.155
0.481036538,0.0046,0.2426,0.8419,0.876
0.48368023,-0.0590,0.2320,0.7129,0.752
0.485954769,0.0415,0.2734,0.7351,0.785
0.488608615,0.1364,0.2939,0.8344,0.895
0.490994692,0.1372,0.3457,0.9693,1.038
0.493428,0.0759,0.2704,0.9678,1.008
0.496492846,0.0234,0.1809,0.8864,0.905
0.498017846,-0.0154,0.0928,0.7635,0.769
0.500616538,-0.0494,-0.0073,0.5970,0.599
0.504361769,-0.0839,-0.0895,0.4020,0.420
0.506126769,-0.0990,-0.1345,0.2503,0.301
0.508348307,-0.1137,-0.1594,0.1547,0.250
0.510575615,-0.1107,-0.1303,0.2703,0.320
0.513256,-0.0699,-0.0523,0.5171,0.524
0.515485538,-0.0177,0.0373,0.7288,0.730
0.517831692,0.0366,0.1255,0.8365,0.847
0.520671692,0.0456,0.1643,0.9040,0.920
0.523109538,0.0468,0.1795,0.9406,0.959
0.525415077,0.0652,0.1870,0.9581,0.978
0.527869154,0.0996,0.1895,0.9497,0.974
0.53052923,0.1423,0.1937,0.9297,0.960
0.53269323,0.1504,0.1919,0.9038,0.936
0.535250154,0.1690,0.2012,0.8505,0.890
0.538492538,0.1753,0.2012,0.7701,0.815
0.54024,0.1482,0.2088,0.7268,0.771
0.542825846,0.1667,0.2119,0.6599,0.713
0.545104846,0.2039,0.2186,0.6027,0.673
0.547557769,0.2765,0.1900,0.5569,0.650
0.549894769,0.2665,0.2091,0.5391,0.637
0.552351077,0.3244,0.2474,0.5452,0.681
0.554953538,0.3855,0.2767,0.5403,0.719
0.557280923,0.4288,0.3186,0.5423,0.761
0.559732538,0.4681,0.3526,0.5516,0.805
0.562315384,0.5255,0.3662,0.5415,0.839
0.564975307,0.5656,0.4114,0.5228,0.873
0.567099692,0.5646,0.4309,0.5364,0.890
0.569679307,0.5717,0.4664,0.5448,0.917
0.572249154,0.5747,0.4857,0.5529,0.934
0.574498461,0.5632,0.4923,0.5406,0.923
0.576939615,0.5402,0.4989,0.5269,0.905
0.579480615,0.5092,0.5077,0.4981,0.875
0.581826384,0.4764,0.4915,0.4947,0.845
0.584674154,0.4524,0.4877,0.4870,0.824
0.587122154,0.4314,0.4766,0.4834,0.804
0.589561538,0.4109,0.4845,0.4988,0.808
0.591981846,0.4503,0.5341,0.4672,0.840
0.594181154,0.4943,0.5360,0.4837,0.875
0.596700923,0.5202,0.3582,0.5477,0.836
0.599331307,0.4896,0.2883,0.5900,0.819
0.601665538,0.4644,0.2340,0.6144,0.805
0.60430923,0.5292,0.1868,0.5413,0.780
0.606821538,0.6516,0.3586,0.5230,0.909
0.609068307,0.8139,0.5463,0.5531,1.125
0.612151077,1.0869,0.8501,0.5369,1.481
0.61405623,1.1096,0.9283,0.5142,1.535
0.617087307,1.1087,0.9452,0.5482,1.557
0.618929461,1.0771,0.9083,0.5672,1.519
0.621334769,1.0319,0.8202,0.5587,1.432
0.623793154,0.9948,0.7320,0.5377,1.347
0.626466154,0.9654,0.6418,0.4812,1.255
0.629399307,0.9430,0.5649,0.4431,1.185
0.631106692,0.9190,0.4882,0.3859,1.110
0.633382461,0.8850,0.4456,0.3385,1.047
0.636497538,0.8373,0.4021,0.3155,0.981
0.638732846,0.8214,0.3916,0.3427,0.972
0.641446769,0.8019,0.4114,0.3588,0.970
0.643456923,0.8037,0.4309,0.3933,0.993
0.646238077,0.7816,0.4635,0.4177,1.000
0.648416307,0.7557,0.4866,0.4502,1.005
0.651189846,0.7562,0.5192,0.4676,1.030
0.653672538,0.7601,0.5376,0.4979,1.056
0.655918461,0.7653,0.5565,0.5399,1.089
0.658070154,0.7718,0.5635,0.5802,1.118
0.660596,0.7809,0.5715,0.6086,1.143
0.663398769,0.7970,0.5639,0.6366,1.166
0.665832615,0.8139,0.5544,0.6543,1.182
0.668025538,0.8422,0.5568,0.6701,1.212
0.670451615,0.8620,0.5561,0.6838,1.233
0.673309846,0.8655,0.5278,0.6985,1.231
0.675417154,0.8631,0.5069,0.7058,1.225
0.677920923,0.8494,0.4833,0.7112,1.209
0.680316846,0.8368,0.4503,0.7442,1.207
0.683054692,0.8144,0.4234,0.7589,1.191
0.685354384,0.8130,0.3985,0.7754,1.192
0.688421154,0.8100,0.3684,0.7955,1.194
0.690797231,0.7880,0.3517,0.8033,1.179
0.692626769,0.7907,0.3364,0.8118,1.182
0.695193538,0.7699,0.3134,0.8246,1.171
0.697627077,0.7702,0.3039,0.8197,1.165
0.700157538,0.7746,0.2946,0.8104,1.159
0.702778769,0.7872,0.2858,0.8036,1.161
0.705019,0.7985,0.2848,0.7779,1.151
0.707379,0.8156,0.2795,0.7626,1.151
0.709870769,0.8209,0.2821,0.7324,1.136
0.712725769,0.8354,0.2811,0.7029,1.127
0.714695307,0.8469,0.2851,0.6674,1.115
0.717350154,0.8447,0.2919,0.6426,1.101
0.720199615,0.8433,0.3102,0.6017,1.081
0.722182384,0.8415,0.3186,0.5827,1.072
0.724627692,0.8347,0.3286,0.5526,1.054
0.727005769,0.8324,0.3586,0.5037,1.037
0.729663923,0.8368,0.3855,0.4695,1.034
0.732043,0.8445,0.3985,0.4472,1.035
0.734519615,0.8515,0.4190,0.4042,1.032
0.737724,0.8599,0.4486,0.3908,1.046
0.739626154,0.8660,0.4444,0.3658,1.040
0.741837461,0.8736,0.4542,0.3295,1.038
0.745218384,0.8723,0.4705,0.3180,1.041
0.747305538,0.8789,0.4703,0.3033,1.042
0.749630384,0.8955,0.4847,0.2874,1.058
0.752107384,0.9165,0.4906,0.2874,1.079
0.754179077,0.9481,0.4940,0.2899,1.108
0.756889231,0.9923,0.4815,0.3016,1.144
0.759220615,1.0409,0.4764,0.3321,1.192
0.762375,1.0712,0.4750,0.3852,1.234
0.763976923,1.1169,0.4581,0.4357,1.283
0.766511,1.1658,0.4542,0.4800,1.340
0.768719692,1.2257,0.4493,0.4986,1.397
0.771638384,1.2739,0.4424,0.4993,1.438
0.773832846,1.3293,0.4454,0.4788,1.481
0.776346154,1.3799,0.4386,0.4837,1.527
0.778861769,1.4076,0.4358,0.4995,1.556
0.781495077,1.4452,0.4281,0.5198,1.594
0.784067307,1.4643,0.4268,0.5489,1.621
0.787164846,1.4816,0.4253,0.5567,1.639
0.788667307,1.4948,0.4268,0.5660,1.654
0.791261538,1.5055,0.4373,0.5827,1.673
0.793938769,1.5060,0.4432,0.5907,1.677
0.7962,1.5078,0.4605,0.6181,1.693
0.798692615,1.5099,0.4808,0.6413,1.709
0.800941231,1.5178,0.4906,0.6545,1.724
0.803627307,1.5244,0.4996,0.6657,1.737
0.806016,1.5134,0.5206,0.6841,1.740
0.808532538,1.4909,0.5314,0.7027,1.732
0.811233538,1.4645,0.5341,0.7302,1.721
0.813534769,1.4300,0.5483,0.7571,1.708
0.816059615,1.4012,0.5400,0.7589,1.683
0.818094154,1.3726,0.5463,0.7740,1.668
0.820736,1.3277,0.5385,0.7843,1.633
0.823378692,1.2995,0.5397,0.8060,1.622
0.825560307,1.2597,0.5355,0.8197,1.595
0.828426692,1.2138,0.5367,0.8502,1.576
0.830486077,1.2037,0.5378,0.8421,1.564
0.833064615,1.1973,0.5383,0.8583,1.568
0.835380846,1.1910,0.5451,0.8573,1.565
0.838384538,1.2115,0.5532,0.8488,1.579
0.840419077,1.2252,0.5644,0.8409,1.590
0.843195615,1.2529,0.5724,0.8207,1.603
0.846057538,1.2741,0.5822,0.8050,1.616
0.847832615,1.2890,0.5779,0.7801,1.614
0.850185231,1.2954,0.5521,0.7505,1.596
0.852599307,1.2909,0.5514,0.7273,1.581
0.855147,1.2934,0.5468,0.7144,1.575
0.857732615,1.2797,0.5434,0.7112,1.562
0.860111077,1.2790,0.5372,0.6962,1.552
0.862535615,1.2676,0.5429,0.6809,1.538
0.865163307,1.2501,0.5583,0.6713,1.525
0.867283077,1.2404,0.5658,0.6371,1.505
0.870121846,1.2323,0.5886,0.6284,1.503
0.872690461,1.2194,0.5949,0.6300,1.496
0.874828231,1.1956,0.6218,0.6093,1.479
0.877261461,1.1812,0.6260,0.5990,1.465
0.879746692,1.1678,0.6409,0.6034,1.462
0.881964615,1.1532,0.6455,0.6014,1.452
0.884741538,1.1209,0.6541,0.5916,1.426
0.887401769,1.1047,0.6560,0.5941,1.416
0.889550769,1.0861,0.6670,0.5958,1.407
0.892259692,1.0539,0.6717,0.6044,1.388
0.894976538,1.0358,0.6697,0.6044,1.374
0.897298154,1.0023,0.6685,0.6054,1.348
0.899407923,0.9943,0.6685,0.5907,1.336
0.902112538,0.9796,0.6558,0.5924,1.319
0.904720538,0.9591,0.6558,0.5827,1.300
0.907026692,0.9628,0.6497,0.5714,1.294
0.909221846,0.9556,0.6534,0.5792,1.294
0.911935307,0.9412,0.6465,0.5834,1.282
0.914103923,0.9395,0.6421,0.5904,1.282
0.916507923,0.9395,0.6382,0.5755,1.273
0.918980846,0.9449,0.6380,0.5674,1.274
0.921604846,0.9493,0.6287,0.5597,1.269
0.924153538,0.9542,0.6338,0.5557,1.273
0.926531692,0.9731,0.6292,0.5582,1.286
0.928892846,0.9943,0.6397,0.5662,1.311
0.931789538,1.0078,0.6487,0.5643,1.325
