time,gFx,gFy,gFz,TgF
0.002013615,-0.1669,0.1690,0.6853,0.725
0.003229615,-0.1422,0.1824,0.6995,0.737
0.003926846,-0.1186,0.1900,0.7158,0.750
0.004831077,-0.0858,0.2017,0.7221,0.755
0.006040692,-0.0643,0.2156,0.7407,0.774
0.006843077,-0.0438,0.2254,0.7510,0.785
0.007811385,-0.0243,0.2433,0.7549,0.793
0.008696308,-0.0184,0.2433,0.7586,0.797
0.016491769,-0.0010,0.2396,0.7633,0.800
0.017117,0.0117,0.2440,0.7769,0.814
0.017856,0.0303,0.2467,0.7762,0.815
0.018363385,0.0454,0.2403,0.7691,0.807
0.020539769,0.0647,0.2450,0.7811,0.821
0.033398846,0.0901,0.2394,0.7742,0.815
0.034182231,0.1108,0.2264,0.7698,0.810
0.034782231,0.1401,0.2142,0.7715,0.813
0.035545308,0.3130,0.1690,0.7835,0.860
0.036292,0.2433,0.1846,0.8470,0.900
0.037209539,0.1629,0.2017,0.9262,0.962
0.038154539,0.1020,0.2156,0.9942,1.022
0.050800077,0.0759,0.2354,1.0392,1.068
0.051902462,0.0850,0.2545,1.0536,1.087
0.052847769,0.1196,0.2726,1.0618,1.103
0.053552,0.1511,0.2941,1.0570,1.108
0.054237923,0.1790,0.3024,1.0506,1.108
0.054907462,0.1934,0.3086,1.0222,1.085
0.055550231,0.2047,0.2995,1.0169,1.080
0.077209846,0.1814,0.2981,1.0071,1.066
0.077882154,0.1692,0.2867,0.9949,1.049
0.078343077,0.1431,0.2741,0.9805,1.028
0.079504308,0.1103,0.2533,0.9812,1.019
0.080007692,0.0947,0.2548,0.9776,1.015
0.080486539,0.0852,0.2357,0.9746,1.006
0.080913923,0.0792,0.2322,0.9621,0.993
0.081494462,0.0932,0.2154,0.9465,0.975
0.082109615,0.1271,0.2000,0.9385,0.968
0.082565539,0.1578,0.1914,0.9257,0.958
0.083184308,0.2093,0.1856,0.9267,0.968
0.085833308,0.2721,0.1723,0.9346,0.989
0.087055692,0.3393,0.1490,0.9336,1.004
0.089704923,0.4209,0.1413,0.9446,1.044
