time;gFx;gFy;gFz;TgF
0.003328229;-0,1577;0,1966;0,5046;0,564
0.003741771;-0,1614;0,2062;0,5170;0,580
0.003971614;-0,1653;0,2136;0,5421;0,606
0.004204114;-0,1692;0,2150;0,5802;0,641
0.010297135;-0,1705;0,2157;0,6313;0,689
0.010748333;-0,1636;0,2108;0,6826;0,733
0.010959219;-0,1510;0,2052;0,7351;0,778
0.011154375;-0,1369;0,1957;0,7891;0,824
0.015669271;-0,1260;0,1839;0,8342;0,863
0.017284114;-0,1188;0,1709;0,8815;0,906
0.028859323;-0,1066;0,1620;0,9217;0,942
0.029460781;-0,1014;0,1571;0,9567;0,975
0.029716146;-0,0843;0,1512;0,9912;1,006
0.029952604;-0,0740;0,1456;1,0209;1,034
0.030206771;-0,0705;0,1451;1,0516;1,064
0.031302031;-0,0651;0,1424;1,0836;1,095
0.043659948;-0,0676;0,1488;1,1071;1,119
0.044179948;-0,0884;0,1480;1,1249;1,138
0.044418489;-0,0794;0,1512;1,1375;1,150
0.044644323;-0,0580;0,1487;1,1385;1,150
0.044863073;-0,0505;0,1443;1,1266;1,137
0.047919583;-0,0519;0,1453;1,0955;1,106
0.049459479;-0,0628;0,1463;1,0566;1,068
0.053294896;-0,0474;0,1473;1,0258;1,037
0.055758333;-0,0367;0,1397;0,9945;1,005
0.057568229;-0,0369;0,1351;0,9642;0,974
0.064158854;-0,0409;0,1311;0,9375;0,947
0.064601302;-0,0403;0,1277;0,9158;0,926
0.066765312;-0,0263;0,1217;0,9019;0,910
0.067064791;-0,0173;0,1120;0,8937;0,901
0.071959219;-0,0044;0,1017;0,8884;0,894
0.072392083;0,0158;0,0920;0,8907;0,896
0.075363177;0,0394;0,0802;0,8959;0,900
0.077634948;0,0668;0,0679;0,9003;0,905
0.079698177;0,0889;0,0544;0,8985;0,904
0.081469062;0,1232;0,0399;0,8746;0,884
0.086948594;0,1656;0,0208;0,8188;0,836
0.087362291;0,1128;0,0331;0,8231;0,831
0.089721875;0,0583;0,0480;0,8332;0,837
0.091245781;0,0052;0,0562;0,8412;0,843
0.096539062;-0,0273;0,0629;0,8435;0,846
0.097036823;-0,0564;0,0675;0,8335;0,838
0.099959427;-0,0668;0,0675;0,8176;0,823
0.102669583;-0,0659;0,0638;0,7930;0,798
0.105276666;-0,0678;0,0615;0,7652;0,771
0.107409062;-0,0719;0,0508;0,7327;0,738
0.109687083;-0,0738;0,0475;0,7045;0,710
0.112027812;-0,0580;0,0623;0,7346;0,740
0.114327083;-0,0596;0,0605;0,7404;0,745
0.117873021;-0,0697;0,0481;0,7091;0,714
0.12073375;-0,0574;0,0477;0,7118;0,716
0.121153333;-0,0468;0,0445;0,7134;0,716
0.123548489;-0,0342;0,0402;0,7257;0,728
0.130019375;-0,0095;0,0481;0,7498;0,751
0.130378594;0,0151;0,0479;0,7688;0,770
0.131452291;0,0297;0,0440;0,7760;0,778
0.133836094;0,0286;0,0437;0,7788;0,781
0.137989687;0,0301;0,0494;0,7826;0,785
0.139612187;0,0204;0,0454;0,7796;0,781
0.141447916;0,0052;0,0415;0,7815;0,783
0.143412083;-0,0163;0,0385;0,7855;0,787
0.147803437;-0,0401;0,0305;0,7895;0,791
0.150338021;-0,0601;0,0289;0,7991;0,802
0.152842239;-0,0807;0,0327;0,8133;0,818
0.154558281;-0,1084;0,0351;0,8215;0,829
0.157683281;-0,1605;0,0436;0,8106;0,827
0.159675469;-0,1780;0,0622;0,8467;0,867
0.162193385;-0,1736;0,0779;0,8970;0,917
0.16444026;-0,1528;0,0901;0,9489;0,965
0.173509583;-0,1508;0,0899;0,9910;1,006
0.174054739;-0,2082;0,0709;1,0309;1,054
0.174326614;-0,2224;0,0553;1,0108;1,036
0.174572291;-0,2024;0,0482;0,9599;0,982
0.18027125;-0,1583;0,0372;0,9074;0,922
0.180923281;-0,1066;0,0105;0,8638;0,870
0.183051198;-0,0415;-0,0087;0,8606;0,862
0.184270521;0,0156;-0,0208;0,8798;0,880
0.195073073;0,0606;-0,0214;0,9039;0,906
0.195757187;0,0955;-0,0154;0,9175;0,923
0.195946823;0,1253;0,0012;0,9205;0,929
0.196097604;0,1511;0,0197;0,9146;0,927
0.197716458;0,2094;0,0406;0,9328;0,957
0.200390364;0,3028;0,0621;1,0299;1,075
0.203523646;0,2941;0,0554;0,9924;1,037
0.203919271;0,2673;0,0508;0,9606;0,998
0.210394739;0,2282;0,0311;0,9079;0,937
0.21075776;0,2220;0,0198;0,9315;0,958
0.211908958;0,2509;0,0065;0,9905;1,022
0.2133025;0,2953;-0,0004;1,0587;1,099
0.217683073;0,3385;-0,0030;1,1229;1,173
0.220202083;0,3725;0,0105;1,1723;1,230
0.221452708;0,3886;0,0265;1,2010;1,263
0.223725677;0,3970;0,0437;1,2046;1,269
0.227560104;0,3895;0,0566;1,1907;1,254
0.229716614;0,3681;0,0604;1,1709;1,229
0.231508698;0,3490;0,0596;1,1496;1,203
0.236021614;0,3315;0,0532;1,1207;1,170
0.239245312;0,3178;0,0454;1,0948;1,141
0.23976375;0,2966;0,0352;1,0619;1,103
0.242029062;0,2790;0,0235;1,0287;1,066
0.243835625;0,2689;0,0191;0,9953;1,031
0.249077344;0,2599;0,0102;0,9591;0,994
0.250366771;0,2583;0,0051;0,9335;0,969
0.2537125;0,2614;0,0041;0,9199;0,956
0.254077969;0,2793;0,0030;0,9106;0,952
0.258223958;0,2959;0,0019;0,9043;0,951
0.259808333;0,3070;-0,0014;0,9111;0,961
0.262283385;0,3129;-0,0066;0,9256;0,977
