time;gFx;gFy;gFz;TgF
0.003285312;-0,1286;0,1486;0,6176;0,648
0.003760104;-0,1705;0,1602;0,6417;0,683
0.00399776;-0,1861;0,1724;0,6668;0,713
0.004227656;-0,1862;0,1824;0,6911;0,739
0.005068437;-0,1812;0,1920;0,7157;0,763
0.009901666;-0,1647;0,1982;0,7389;0,783
0.010278646;-0,1468;0,1997;0,7654;0,805
0.011302812;-0,1297;0,2053;0,8020;0,838
0.015345989;-0,1159;0,2055;0,8420;0,874
0.017525885;-0,0923;0,2005;0,8847;0,912
0.019821198;-0,0740;0,1956;0,9234;0,947
0.021494635;-0,0477;0,1904;0,9636;0,983
0.035753698;-0,0224;0,1824;1,0033;1,020
0.036371771;-0,0074;0,1726;1,0469;1,061
0.036628125;0,0123;0,1613;1,0884;1,100
0.03685526;0,0320;0,1535;1,1346;1,145
0.037073021;0,0474;0,1444;1,1832;1,193
0.038188177;0,0580;0,1396;1,2354;1,245
0.048449791;0,0671;0,1380;1,2871;1,296
0.048939166;0,0785;0,1337;1,3426;1,352
0.049184114;0,0920;0,1357;1,3971;1,407
0.049425521;0,1121;0,1381;1,4499;1,461
0.049645625;0,1192;0,1427;1,4927;1,504
0.051856302;0,1186;0,1460;1,5197;1,531
0.054002239;0,1111;0,1473;1,5406;1,552
0.05905276;0,1152;0,1474;1,5453;1,557
0.059409062;0,1208;0,1373;1,5356;1,546
0.061753125;0,1318;0,1306;1,5171;1,528
0.065651562;0,1493;0,1233;1,4926;1,505
0.067695104;0,1677;0,1154;1,4588;1,473
0.070034271;0,1830;0,1035;1,4250;1,440
0.072536771;0,1992;0,0921;1,3824;1,400
0.07492401;0,2058;0,0877;1,3293;1,348
0.079145469;0,2041;0,0757;1,2561;1,275
0.079460104;0,1916;0,0749;1,1710;1,189
0.081737396;0,2099;0,0626;1,0996;1,121
0.083137656;0,2599;0,0404;1,1021;1,133
0.087497239;0,2377;0,0305;0,9844;1,013
0.09158651;0,2163;0,0288;0,8728;0,900
0.091949062;0,2088;0,0353;0,7959;0,824
0.093898958;0,1962;0,0548;0,7477;0,775
0.09749;0,1903;0,0733;0,7120;0,741
0.099420625;0,1616;0,0977;0,6856;0,711
0.101906927;0,1520;0,1169;0,6748;0,702
0.103672708;0,1461;0,1358;0,6714;0,700
0.108519271;0,1430;0,1547;0,6705;0,703
0.109336198;0,1323;0,1634;0,6796;0,711
0.111564479;0,1333;0,1681;0,6983;0,731
0.113482343;0,1411;0,1656;0,7268;0,759
0.117914896;0,1603;0,1650;0,7673;0,801
0.119746041;0,1900;0,1567;0,8063;0,843
0.122499583;0,2346;0,1409;0,8576;0,900
