time,gFx,gFy,gFz,gFTotal
0.0058193206787109375,0.283,-0.46,-0.847,1.005
0.006125211715698242,0.283,-0.46,-0.847,1.005
0.008432149887084961,0.253,-0.449,-0.858,1.001
0.01709127426147461,0.24,-0.438,-0.855,0.99
0.029024124145507812,0.234,-0.448,-0.851,0.99
0.03704214096069336,0.214,-0.458,-0.844,0.984
0.047654151916503906,0.205,-0.47,-0.835,0.98
0.05741119384765625,0.223,-0.492,-0.799,0.964
0.06786513328552246,0.248,-0.484,-0.743,0.921
0.09640622138977051,0.313,-0.572,-0.63,0.907
0.09747028350830078,0.313,-0.572,-0.63,0.907
0.0989081859588623,0.313,-0.572,-0.63,0.907
0.10617923736572266,0.365,-0.535,-0.633,0.906
0.11644816398620605,0.398,-0.439,-0.685,0.906
0.12922120094299316,0.372,-0.472,-0.749,0.96
0.13672518730163574,0.395,-0.455,-0.801,1.002
0.14677715301513672,0.439,-0.381,-0.841,1.022
0.15662813186645508,0.43,-0.639,-0.839,1.139
0.16805219650268555,0.377,-0.691,-1.049,1.311
0.1807560920715332,0.323,-0.486,-1.036,1.189
0.20059514045715332,0.358,-0.348,-0.967,1.088
0.20113921165466309,0.358,-0.348,-0.967,1.088
0.2056891918182373,0.298,-0.422,-0.975,1.103
0.2177121639251709,0.0,-0.274,-1.059,1.094
0.22816228866577148,-0.154,-0.185,-0.895,0.927
0.23546504974365234,-0.099,-0.253,-0.682,0.734
0.24605226516723633,-0.022,-0.366,-0.524,0.64
0.25609517097473145,-0.077,-0.403,-0.476,0.628
0.26619911193847656,-0.095,-0.409,-0.486,0.642
0.2950263023376465,0.312,-0.61,-0.574,0.894
0.296018123626709,0.312,-0.61,-0.574,0.894
0.29752421379089355,0.312,-0.61,-0.574,0.894
0.3047051429748535,1.094,-1.012,0.032,1.491
0.31526803970336914,1.555,-1.286,-0.108,2.021
0.327639102935791,0.582,-0.949,-0.316,1.157
0.335003137588501,-0.03,-0.367,-0.639,0.738
0.3452432155609131,-0.054,-0.152,-0.592,0.614
0.3556642532348633,-0.025,-0.35,-0.483,0.597
0.36495208740234375,-0.093,-0.507,-0.623,0.809
0.37781810760498047,-0.163,-0.405,-0.538,0.693
0.3970222473144531,-0.175,-0.092,-0.349,0.401
0.3974781036376953,-0.175,-0.092,-0.349,0.401
0.4039931297302246,-0.108,0.087,-0.278,0.311
0.41413211822509766,0.006,0.177,-0.285,0.336
0.4257931709289551,0.071,0.255,-0.286,0.39
0.43434810638427734,0.061,0.435,-0.136,0.46
0.444263219833374,0.053,0.719,0.107,0.729
0.4541482925415039,-0.041,1.048,0.288,1.088
0.46445226669311523,-0.118,1.332,0.414,1.4
0.4954543113708496,-0.251,1.6,0.14,1.626
0.4963221549987793,-0.251,1.6,0.14,1.626
0.4967632293701172,-0.251,1.6,0.14,1.626
0.5033211708068848,-0.385,1.751,0.078,1.795
0.5131392478942871,-0.496,1.876,0.015,1.941
0.5259301662445068,-0.604,1.842,-0.098,1.941
0.5333352088928223,-0.743,1.888,-0.133,2.033
0.5437581539154053,-0.793,2.054,-0.083,2.203
0.5538711547851562,-1.044,2.095,-0.114,2.343
0.565366268157959,-1.692,2.185,-0.245,2.774
0.5937271118164062,-3.512,2.195,-1.286,4.337
0.594022274017334,-3.512,2.195,-1.286,4.337
0.5941791534423828,-3.512,2.195,-1.286,4.337
0.6029012203216553,-3.709,2.182,-1.83,4.676
0.6127920150756836,-3.87,2.216,-2.127,4.941
0.6252260208129883,-4.004,1.832,-2.116,4.885
0.6326570510864258,-3.967,1.407,-1.859,4.601
0.642592191696167,-3.826,1.218,-1.531,4.297
0.6527791023254395,-3.777,0.568,-1.137,3.985
0.6637473106384277,-3.974,0.256,-0.751,4.052
0.6919281482696533,-2.876,-0.248,-1.362,3.192
0.6924312114715576,-2.876,-0.248,-1.362,3.192
0.6935820579528809,-2.876,-0.248,-1.362,3.192
0.7027921676635742,-2.555,-0.117,-0.923,2.719
0.7123532295227051,-2.187,-0.025,-0.655,2.283
0.7244043350219727,-1.739,-0.072,-0.538,1.822
0.7318782806396484,-1.314,0.006,-0.499,1.406
0.7418990135192871,-0.95,0.134,-0.411,1.044
0.75201416015625,-0.646,0.228,-0.247,0.728
0.7616782188415527,-0.461,0.312,-0.064,0.56
0.791445255279541,-0.497,0.229,-0.135,0.564
0.7922871112823486,-0.497,0.229,-0.135,0.564
0.7927651405334473,-0.497,0.229,-0.135,0.564
0.8008592128753662,-0.641,0.182,0.06,0.669
0.8111071586608887,-0.785,0.156,0.011,0.8
0.8236112594604492,-0.872,0.322,-0.471,1.042
0.8312931060791016,-0.838,0.502,-0.556,1.124
0.8412442207336426,-0.901,0.288,-0.672,1.16
0.8511371612548828,-1.339,0.383,-1.091,1.769
0.8608481884002686,-1.339,0.833,-1.188,1.974
0.8746190071105957,-0.882,0.737,-0.37,1.207
0.8953690528869629,-0.683,1.077,-0.988,1.613
0.8959102630615234,-0.683,1.077,-0.988,1.613
0.9009532928466797,-0.604,0.997,-1.082,1.59
0.9099493026733398,-0.365,1.063,-0.848,1.408
0.9231410026550293,-0.135,1.082,-0.659,1.274
0.930293083190918,0.046,1.164,-0.617,1.318
0.9405093193054199,0.067,1.056,-0.632,1.232
0.9502382278442383,-0.061,0.838,-0.452,0.954
0.9605681896209717,-0.548,0.58,0.073,0.801
0.9737982749938965,-1.127,0.391,0.678,1.372
0.9950852394104004,-1.154,0.379,0.066,1.216
0.9961709976196289,-1.154,0.379,0.066,1.216
0.9992742538452148,-0.483,0.311,-0.052,0.577
1.0094621181488037,-0.211,0.328,0.06,0.395
1.0219812393188477,-0.238,0.298,0.036,0.383
1.0293540954589844,-0.319,0.32,0.006,0.452
1.0395760536193848,-0.387,0.185,-0.001,0.429
1.050051212310791,-0.307,0.069,-0.015,0.315
1.0592823028564453,-0.235,-0.016,-0.015,0.236
1.0889081954956055,-0.198,-0.23,0.112,0.323
1.0901970863342285,-0.198,-0.23,0.112,0.323
1.0920841693878174,-0.198,-0.23,0.112,0.323
1.098466157913208,-0.126,-0.21,0.111,0.269
1.1089811325073242,-0.059,-0.131,-0.033,0.147
1.121164321899414,-0.039,-0.023,-0.158,0.164
1.1287031173706055,-0.038,0.144,-0.125,0.194
1.1389172077178955,-0.123,0.155,-0.087,0.216
1.149017333984375,-0.215,0.113,-0.022,0.244
1.1589701175689697,-0.455,0.093,0.183,0.499
1.172154188156128,-0.623,0.082,0.226,0.668
1.1924312114715576,-0.769,0.134,0.302,0.837
1.1929051876068115,-0.769,0.134,0.302,0.837
1.197679042816162,-0.783,-0.012,0.38,0.87
1.2079973220825195,-1.073,-0.039,0.296,1.114
1.2203161716461182,-1.734,0.139,0.304,1.766
1.2277541160583496,-2.149,0.215,0.457,2.208
1.2378931045532227,-1.877,0.285,0.313,1.924
1.2493062019348145,-1.327,0.526,0.091,1.43
1.2587511539459229,-1.093,0.725,-0.046,1.312
1.287722110748291,-1.04,0.745,0.24,1.302
1.2885313034057617,-1.04,0.745,0.24,1.302
1.288971185684204,-1.04,0.745,0.24,1.302
1.2969281673431396,-1.18,0.838,-0.003,1.447
1.3072731494903564,-1.113,0.73,0.206,1.347
1.3200352191925049,-2.299,1.471,0.258,2.741
1.3270111083984375,-2.095,1.03,0.134,2.338
1.3371541500091553,-1.828,0.908,0.116,2.044
1.3477582931518555,-1.497,1.091,-0.0,1.852
1.3569271564483643,-1.5,0.99,0.033,1.798
1.3704311847686768,-1.748,1.087,-0.006,2.058
1.3895282745361328,-1.3,0.537,-0.553,1.511
1.3902051448822021,-1.3,0.537,-0.553,1.511
1.3957710266113281,-1.176,0.363,-0.481,1.321
1.4059791564941406,-0.954,0.284,-0.07,0.998
1.4182322025299072,-0.726,0.249,0.174,0.787
1.426955223083496,-0.591,0.486,0.125,0.775
1.4363713264465332,-0.423,0.529,0.309,0.744
1.4465742111206055,-0.364,0.501,0.15,0.637
1.4561810493469238,-0.279,0.516,-0.125,0.6
1.4704313278198242,-0.15,0.607,-0.26,0.677
1.4891400337219238,-0.0,0.569,-0.125,0.583
1.489664077758789,-0.0,0.569,-0.125,0.583
1.4952561855316162,0.049,0.545,0.103,0.557
1.5051360130310059,0.032,0.496,0.201,0.536
1.5183520317077637,0.019,0.383,0.13,0.405
1.5253801345825195,-0.017,0.346,0.099,0.36
1.5354080200195312,-0.031,0.344,0.111,0.363
1.546619176864624,-0.017,0.379,0.125,0.399
1.5553522109985352,-0.008,0.343,0.168,0.382
1.585207223892212,-0.216,0.479,0.259,0.586
1.5860252380371094,-0.216,0.479,0.259,0.586
1.5864801406860352,-0.216,0.479,0.259,0.586
1.5944361686706543,-0.26,0.571,0.173,0.651
1.6049432754516602,-0.364,0.828,0.178,0.922
1.6179981231689453,-0.389,1.238,0.516,1.397
1.6245770454406738,-0.608,1.73,0.367,1.87
1.6349141597747803,-0.72,2.192,0.152,2.312
1.6461691856384277,-0.826,2.472,-0.025,2.606
1.6547441482543945,-0.911,2.21,-0.353,2.416
1.6845803260803223,-0.601,1.0,0.655,1.338
1.684812068939209,-0.601,1.0,0.655,1.338
1.6866631507873535,-0.601,1.0,0.655,1.338
1.6938180923461914,-0.414,0.986,0.657,1.255
1.704315185546875,-0.267,0.992,0.583,1.181
1.7174873352050781,-0.11,0.966,0.455,1.073
1.7238831520080566,0.093,0.972,0.266,1.012
1.7340691089630127,0.245,0.979,0.038,1.01
1.744103193283081,0.317,0.92,-0.175,0.989
1.7555170059204102,0.37,0.897,-0.244,1.001
1.7848241329193115,0.251,0.991,0.248,1.052
1.7855772972106934,0.251,0.991,0.248,1.052
1.7858622074127197,0.251,0.991,0.248,1.052
1.7928731441497803,-0.271,-0.292,0.247,0.469
1.8028252124786377,-1.069,-2.982,0.746,3.254
1.8158760070800781,0.477,1.942,1.075,2.27
1.823014259338379,0.299,1.766,0.527,1.867
1.8331501483917236,-0.224,0.856,0.372,0.96
1.8433411121368408,-0.05,1.539,0.315,1.572
1.8528680801391602,-0.197,1.417,0.236,1.45
1.8839771747589111,0.069,0.853,0.472,0.977
1.8848133087158203,0.069,0.853,0.472,0.977
1.8852810859680176,0.069,0.853,0.472,0.977
1.8920471668243408,0.134,0.689,0.494,0.858
1.9033801555633545,0.193,0.53,0.388,0.685
1.9150581359863281,0.193,0.481,0.193,0.553
1.9223401546478271,0.191,0.543,0.02,0.576
1.9325790405273438,0.227,0.626,-0.101,0.674
1.9423151016235352,0.296,0.776,-0.192,0.852
1.9523983001708984,0.275,0.985,-0.181,1.039
1.9664583206176758,0.122,1.086,-0.124,1.1
1.9871242046356201,-0.23,1.614,-0.006,1.63
1.9879112243652344,-0.23,1.614,-0.006,1.63
1.9912621974945068,-0.303,1.676,0.023,1.703
2.0020880699157715,-0.317,1.661,0.025,1.691
2.0142459869384766,-0.42,1.581,0.018,1.636
2.0221471786499023,-0.432,1.544,-0.08,1.605
2.031412124633789,-0.203,1.342,-0.198,1.372
2.0416040420532227,0.049,1.257,-0.393,1.318
2.0517420768737793,0.127,1.231,-0.511,1.339
2.0800890922546387,0.066,1.031,-0.099,1.038
2.081237316131592,0.066,1.031,-0.099,1.038
2.0826849937438965,0.066,1.031,-0.099,1.038
2.0906519889831543,0.083,0.686,0.261,0.739
2.101213216781616,0.157,0.686,0.394,0.807
2.1141490936279297,0.188,0.868,0.22,0.915
2.1205241680145264,0.108,0.771,0.084,0.783
2.1310691833496094,-0.007,0.724,0.097,0.731
2.140653133392334,-0.135,0.776,0.167,0.805
2.150595188140869,-0.207,0.762,0.372,0.873
2.1805481910705566,-0.069,0.779,0.371,0.866
2.1813793182373047,-0.069,0.779,0.371,0.866
2.181824207305908,-0.069,0.779,0.371,0.866
2.189877986907959,-0.106,0.873,0.234,0.91
2.200228214263916,-0.122,0.893,0.132,0.911
2.212412118911743,-0.112,0.836,0.03,0.844
2.2197201251983643,-0.121,0.795,-0.185,0.825
2.229870319366455,-0.1,0.808,-0.315,0.873
2.2401511669158936,-0.091,0.795,-0.245,0.837
2.2498302459716797,-0.118,0.831,-0.16,0.854
2.279271125793457,-0.13,1.146,0.094,1.157
2.280095100402832,-0.13,1.146,0.094,1.157
2.2805542945861816,-0.13,1.146,0.094,1.157
2.2891502380371094,-0.272,1.14,0.06,1.174
2.2994601726531982,-0.435,1.081,-0.048,1.166
2.3115882873535156,-0.447,1.033,-0.123,1.132
2.3192501068115234,-0.429,1.04,-0.073,1.127
2.3290951251983643,-0.462,1.027,0.054,1.127
2.3399930000305176,-0.445,0.997,0.131,1.1
2.3494651317596436,-0.443,0.873,0.184,0.996
2.3806920051574707,-0.418,0.987,0.351,1.128
2.381721019744873,-0.418,0.987,0.351,1.128
2.381946086883545,-0.418,0.987,0.351,1.128
2.3889780044555664,-0.475,1.062,0.282,1.197
2.3985753059387207,-0.511,1.12,0.108,1.236
2.4108171463012695,-0.517,1.096,-0.061,1.213
2.4183661937713623,-0.485,1.061,-0.22,1.187
2.428615093231201,-0.475,1.065,-0.405,1.234
2.438533306121826,-0.438,1.054,-0.509,1.25
2.448667049407959,-0.375,1.04,-0.487,1.208
2.478886127471924,-0.54,1.584,-0.01,1.674
2.4796953201293945,-0.54,1.584,-0.01,1.674
2.480140209197998,-0.54,1.584,-0.01,1.674
2.4874141216278076,-0.596,1.844,0.267,1.956
2.4978890419006348,-0.561,2.01,0.492,2.144
2.5108742713928223,-0.563,2.2,0.768,2.397
2.51831316947937,-0.569,2.37,1.07,2.662
2.5285000801086426,-0.625,2.313,1.223,2.69
2.5392282009124756,-0.751,2.117,1.092,2.498
2.547739028930664,-0.902,1.988,0.947,2.38
2.5756771564483643,-1.047,1.78,0.418,2.107
2.576458215713501,-1.091,1.587,0.326,1.953
2.5779712200164795,-1.091,1.587,0.326,1.953
2.586686134338379,-0.963,1.262,0.192,1.599
