time,gFx,gFy,gFz,gFTotal
0.011059999465942383,0.026,-0.32,-0.998,1.048
0.0187070369720459,0.013,-0.316,-0.973,1.023
0.028710126876831055,0.009,-0.308,-0.945,0.994
0.03901100158691406,-0.006,-0.299,-0.95,0.996
0.04880118370056152,0.001,-0.314,-0.968,1.018
0.058534860610961914,0.015,-0.328,-0.974,1.028
0.08745002746582031,0.019,-0.323,-0.927,0.982
0.08850598335266113,0.019,-0.323,-0.927,0.982
0.09035086631774902,0.019,-0.323,-0.927,0.982
0.09838104248046875,0.021,-0.33,-0.921,0.979
0.10783004760742188,0.021,-0.333,-0.92,0.979
0.11827492713928223,0.018,-0.332,-0.917,0.975
0.12842011451721191,0.02,-0.331,-0.925,0.983
0.13874101638793945,0.021,-0.329,-0.94,0.996
0.14873814582824707,0.021,-0.327,-0.95,1.005
0.15877890586853027,0.022,-0.326,-0.957,1.011
0.1880481243133545,0.023,-0.319,-0.964,1.016
0.18872618675231934,0.023,-0.319,-0.964,1.016
0.19072604179382324,0.023,-0.319,-0.964,1.016
0.19791293144226074,0.017,-0.321,-0.96,1.012
0.20731091499328613,0.017,-0.326,-0.955,1.009
0.21845006942749023,0.02,-0.328,-0.949,1.004
0.22708487510681152,0.02,-0.328,-0.944,1.0
0.23762106895446777,0.019,-0.326,-0.944,0.999
0.24834609031677246,0.018,-0.325,-0.947,1.001
0.25817298889160156,0.019,-0.327,-0.952,1.007
0.2875821590423584,0.024,-0.327,-0.954,1.009
0.28805088996887207,0.024,-0.327,-0.954,1.009
0.28844618797302246,0.024,-0.327,-0.954,1.009
0.2967488765716553,0.02,-0.325,-0.948,1.002
0.3070051670074463,0.017,-0.326,-0.949,1.004
0.3169119358062744,0.014,-0.328,-0.951,1.006
0.3267838954925537,0.012,-0.33,-0.951,1.007
0.33710503578186035,0.011,-0.327,-0.95,1.005
0.3466970920562744,0.01,-0.328,-0.95,1.005
0.357313871383667,0.008,-0.331,-0.942,0.998
0.3873012065887451,0.007,-0.329,-0.939,0.995
0.3876941204071045,0.007,-0.329,-0.939,0.995
0.38803887367248535,0.007,-0.329,-0.939,0.995
0.3955559730529785,0.007,-0.33,-0.939,0.995
0.4062070846557617,0.009,-0.333,-0.935,0.993
0.4165160655975342,0.008,-0.334,-0.933,0.991
0.4260871410369873,0.003,-0.33,-0.929,0.986
0.4360799789428711,0.005,-0.331,-0.93,0.987
0.44648194313049316,0.009,-0.335,-0.932,0.99
0.4563891887664795,0.005,-0.33,-0.936,0.992
0.4865150451660156,0.006,-0.326,-0.912,0.969
0.48690009117126465,0.006,-0.326,-0.912,0.969
0.48723816871643066,0.006,-0.326,-0.912,0.969
0.4952549934387207,0.007,-0.323,-0.903,0.959
0.505403995513916,0.011,-0.322,-0.908,0.963
0.5158441066741943,0.014,-0.327,-0.921,0.977
0.5251271724700928,0.016,-0.334,-0.933,0.991
0.5354089736938477,0.018,-0.338,-0.944,1.003
0.545943021774292,0.02,-0.336,-0.948,1.006
0.5557000637054443,0.019,-0.331,-0.942,0.999
0.5870990753173828,0.024,-0.332,-0.926,0.984
0.587501049041748,0.024,-0.332,-0.926,0.984
0.5878751277923584,0.024,-0.332,-0.926,0.984
0.5944399833679199,0.034,-0.337,-0.948,1.007
0.6047050952911377,0.046,-0.341,-0.968,1.027
0.6148431301116943,0.047,-0.344,-0.973,1.033
0.6245770454406738,0.046,-0.346,-0.971,1.032
0.6346020698547363,0.044,-0.342,-0.964,1.024
0.6449911594390869,0.042,-0.343,-0.954,1.015
0.6548240184783936,0.043,-0.347,-0.943,1.006
0.685967206954956,0.046,-0.358,-0.963,1.028
0.6864080429077148,0.046,-0.358,-0.963,1.028
0.6867702007293701,0.046,-0.358,-0.963,1.028
0.6935679912567139,0.05,-0.368,-0.979,1.047
0.7040719985961914,0.052,-0.374,-0.98,1.05
0.7140729427337646,0.051,-0.367,-0.972,1.04
0.7236390113830566,0.05,-0.354,-0.96,1.024
0.7341201305389404,0.043,-0.347,-0.952,1.014
0.7440550327301025,0.038,-0.35,-0.947,1.01
0.7544350624084473,0.043,-0.357,-0.946,1.012
0.7685279846191406,0.045,-0.362,-0.945,1.013
0.7894589900970459,0.031,-0.354,-0.922,0.988
0.78987717628479,0.031,-0.354,-0.922,0.988
0.7926561832427979,0.02,-0.352,-0.915,0.981
0.8029239177703857,0.013,-0.356,-0.912,0.979
0.8125779628753662,0.009,-0.358,-0.911,0.979
0.8230412006378174,0.005,-0.357,-0.915,0.982
0.8330371379852295,0.001,-0.355,-0.921,0.987
0.842789888381958,-0.007,-0.351,-0.92,0.985
0.8533041477203369,-0.013,-0.35,-0.913,0.978
0.8680222034454346,-0.018,-0.351,-0.907,0.973
0.8856220245361328,-0.021,-0.349,-0.911,0.976
0.8859689235687256,-0.021,-0.349,-0.911,0.976
0.8917591571807861,-0.018,-0.352,-0.917,0.982
0.901885986328125,-0.015,-0.352,-0.919,0.984
0.9122540950775146,-0.011,-0.351,-0.921,0.986
0.9221971035003662,-0.005,-0.35,-0.926,0.99
0.931922197341919,-0.004,-0.348,-0.923,0.986
0.9423620700836182,-0.008,-0.346,-0.915,0.978
0.9527099132537842,-0.009,-0.344,-0.905,0.968
0.9832520484924316,-0.017,-0.34,-0.88,0.944
0.9836571216583252,-0.017,-0.34,-0.88,0.944
0.9840080738067627,-0.017,-0.34,-0.88,0.944
0.9909050464630127,-0.018,-0.338,-0.877,0.94
1.0015108585357666,-0.012,-0.338,-0.881,0.944
1.0110361576080322,-0.003,-0.337,-0.885,0.947
1.0215160846710205,0.006,-0.341,-0.908,0.97
1.0313060283660889,0.016,-0.343,-0.938,0.999
1.0411860942840576,0.014,-0.333,-0.944,1.001
1.0516932010650635,0.004,-0.32,-0.928,0.982
1.0808470249176025,-0.019,-0.311,-0.895,0.948
1.081251859664917,-0.019,-0.311,-0.895,0.948
1.08160400390625,-0.019,-0.311,-0.895,0.948
1.0903198719024658,-0.01,-0.325,-0.909,0.965
1.100750207901001,0.02,-0.339,-0.93,0.99
1.1105940341949463,0.054,-0.345,-0.954,1.016
1.1204960346221924,0.064,-0.339,-0.956,1.016
1.1306111812591553,0.039,-0.318,-0.915,0.969
1.1407949924468994,-0.0,-0.308,-0.867,0.92
1.1502630710601807,-0.014,-0.315,-0.805,0.865
1.179636001586914,0.053,-0.32,-0.918,0.974
1.1802799701690674,0.053,-0.32,-0.918,0.974
1.1822640895843506,0.053,-0.32,-0.918,0.974
1.1891720294952393,0.082,-0.314,-0.932,0.987
1.199570894241333,0.086,-0.306,-0.982,1.032
1.2093021869659424,0.102,-0.299,-1.023,1.071
1.219696044921875,0.096,-0.32,-1.013,1.067
1.2294881343841553,0.069,-0.337,-1.057,1.112
1.239389181137085,0.059,-0.334,-1.125,1.175
1.2498390674591064,0.068,-0.284,-1.169,1.205
1.2645609378814697,0.073,-0.227,-1.213,1.236
1.2834060192108154,0.159,-0.23,-1.271,1.301
1.2837941646575928,0.159,-0.23,-1.271,1.301
1.2885479927062988,0.235,-0.268,-1.191,1.243
1.301367998123169,0.309,-0.261,-1.107,1.179
1.3087379932403564,0.288,-0.25,-0.98,1.052
1.318789005279541,0.198,-0.248,-0.84,0.898
1.3289880752563477,0.138,-0.271,-0.739,0.799
1.3393290042877197,0.079,-0.327,-0.676,0.755
1.3490440845489502,0.011,-0.37,-0.629,0.73
1.3639190196990967,-0.052,-0.367,-0.623,0.725
1.3799340724945068,-0.048,-0.464,-0.575,0.74
1.3802869319915771,-0.048,-0.464,-0.575,0.74
1.38779616355896,-0.04,-0.514,-0.643,0.824
1.3991692066192627,-0.081,-0.514,-0.77,0.929
1.4073290824890137,-0.102,-0.538,-0.838,1.001
1.4175450801849365,-0.039,-0.475,-0.85,0.974
1.427243947982788,0.092,-0.418,-0.863,0.963
1.4374959468841553,0.129,-0.412,-0.881,0.981
1.4473469257354736,0.09,-0.423,-0.877,0.978
1.4709489345550537,-0.018,-0.329,-0.79,0.856
1.4713151454925537,-0.018,-0.329,-0.79,0.856
1.4772160053253174,-0.006,-0.363,-0.891,0.962
1.4875719547271729,0.094,-0.414,-1.041,1.124
1.4983620643615723,0.175,-0.332,-1.085,1.148
1.5082640647888184,0.125,-0.272,-1.063,1.104
1.517745018005371,0.096,-0.332,-0.971,1.031
1.5278851985931396,0.152,-0.342,-0.909,0.983
1.5376088619232178,0.256,-0.278,-0.915,0.99
1.5477101802825928,0.328,-0.227,-0.918,1.001
1.5814189910888672,0.155,-0.522,-1.178,1.298
1.5819339752197266,0.155,-0.522,-1.178,1.298
1.5824050903320312,0.155,-0.522,-1.178,1.298
1.5862829685211182,0.34,-0.586,-1.119,1.308
1.5968780517578125,0.398,-0.554,-1.016,1.224
1.606661081314087,0.36,-0.436,-0.924,1.083
1.6166751384735107,0.31,-0.334,-0.862,0.975
1.6270990371704102,0.267,-0.295,-0.801,0.894
1.637026071548462,0.261,-0.258,-0.746,0.831
1.6469850540161133,0.225,-0.227,-0.731,0.798
1.6792681217193604,-0.014,-0.23,-0.85,0.881
1.6796801090240479,-0.014,-0.23,-0.85,0.881
1.6800549030303955,-0.014,-0.23,-0.85,0.881
1.6853060722351074,-0.067,-0.24,-0.896,0.93
1.6954748630523682,-0.119,-0.238,-0.892,0.931
1.705442190170288,-0.132,-0.253,-0.746,0.799
1.7157771587371826,-0.107,-0.215,-0.896,0.928
1.7254478931427002,-0.098,-0.137,-0.939,0.954
1.7355329990386963,-0.083,-0.079,-0.852,0.86
1.746143102645874,-0.071,-0.025,-0.858,0.861
1.7759978771209717,-0.087,0.017,-0.822,0.827
1.7763659954071045,-0.087,0.017,-0.822,0.827
1.776737928390503,-0.087,0.017,-0.822,0.827
1.784632921218872,-0.106,0.014,-0.815,0.822
1.794910192489624,-0.116,0.028,-0.813,0.822
1.8045051097869873,-0.099,0.045,-0.8,0.807
1.8148140907287598,-0.068,0.014,-0.8,0.803
1.824671983718872,-0.054,-0.041,-0.812,0.815
1.8348309993743896,-0.048,-0.046,-0.839,0.842
1.8452651500701904,-0.041,-0.004,-0.88,0.881
1.8760850429534912,0.144,0.01,-0.962,0.973
1.8764550685882568,0.144,0.01,-0.962,0.973
1.8767969608306885,0.144,0.01,-0.962,0.973
1.8840410709381104,0.246,-0.003,-0.963,0.994
1.8938100337982178,0.284,-0.005,-0.945,0.987
1.9042699337005615,0.29,0.009,-0.968,1.011
1.914119005203247,0.285,0.009,-0.965,1.006
1.9239330291748047,0.251,0.001,-0.771,0.811
1.934356927871704,0.195,0.045,-0.92,0.942
1.944411039352417,0.237,0.097,-1.047,1.078
1.9588160514831543,0.331,0.08,-1.132,1.182
1.978226900100708,0.499,0.068,-1.411,1.498
1.9786598682403564,0.499,0.068,-1.411,1.498
1.9829339981079102,0.533,0.076,-1.251,1.362
1.9931600093841553,0.512,0.061,-1.208,1.313
2.0030159950256348,0.479,0.08,-1.159,1.257
2.0133450031280518,0.468,0.118,-1.119,1.219
2.0232021808624268,0.48,0.149,-1.057,1.17
2.033336877822876,0.511,0.167,-1.042,1.173
2.0431721210479736,0.568,0.187,-1.065,1.221
2.0593550205230713,0.621,0.205,-1.052,1.239
2.078932046890259,0.668,0.248,-0.983,1.214
2.07926607131958,0.668,0.248,-0.983,1.214
2.0820369720458984,0.68,0.323,-0.952,1.214
2.100172996520996,0.672,0.383,-0.902,1.188
2.102886915206909,0.653,0.399,-0.835,1.133
2.11547589302063,0.656,0.418,-0.793,1.111
2.122083902359009,0.686,0.423,-0.796,1.133
2.1324920654296875,0.726,0.408,-0.849,1.189
2.1422178745269775,0.747,0.373,-0.933,1.252
2.1559510231018066,0.749,0.369,-0.966,1.277
2.174180030822754,0.675,0.457,-0.876,1.197
2.174513101577759,0.675,0.457,-0.876,1.197
2.1817209720611572,0.627,0.487,-0.819,1.141
2.19150710105896,0.588,0.49,-0.803,1.109
2.2017149925231934,0.574,0.478,-0.823,1.111
2.2113711833953857,0.593,0.457,-0.826,1.115
2.221590042114258,0.603,0.454,-0.843,1.132
2.2316930294036865,0.609,0.465,-0.877,1.165
2.2415058612823486,0.638,0.474,-0.837,1.154
2.273055076599121,0.642,0.475,-0.724,1.078
2.2734439373016357,0.642,0.475,-0.724,1.078
2.273845911026001,0.642,0.475,-0.724,1.078
2.280596971511841,0.677,0.489,-0.71,1.096
2.2908151149749756,0.716,0.476,-0.687,1.101
2.3011019229888916,0.747,0.461,-0.667,1.102
2.3110759258270264,0.751,0.459,-0.665,1.103
2.320418119430542,0.751,0.465,-0.648,1.096
2.330763101577759,0.742,0.467,-0.628,1.078
2.3411381244659424,0.73,0.466,-0.622,1.066
2.373491048812866,0.721,0.397,-0.576,1.005
2.3739311695098877,0.721,0.397,-0.576,1.005
