time,gFx,gFy,gFz,gFTotal
0.005048274993896484,0.038,-0.395,-0.887,0.972
0.005474090576171875,0.038,-0.395,-0.887,0.972
0.005984306335449219,0.038,-0.395,-0.887,0.972
0.013555049896240234,0.038,-0.398,-0.907,0.991
0.024180173873901367,0.04,-0.404,-0.906,0.993
0.03384828567504883,0.032,-0.403,-0.911,0.997
0.04384016990661621,0.025,-0.4,-0.929,1.012
0.05405998229980469,0.022,-0.397,-0.928,1.01
0.0642402172088623,0.021,-0.392,-0.921,1.001
0.0743260383605957,0.022,-0.392,-0.925,1.005
0.09789133071899414,0.024,-0.391,-0.912,0.993
0.09829211235046387,0.024,-0.391,-0.912,0.993
0.10313916206359863,0.017,-0.391,-0.909,0.99
0.11341428756713867,0.013,-0.392,-0.905,0.986
0.12348818778991699,0.014,-0.394,-0.922,1.003
0.1328420639038086,0.014,-0.391,-0.936,1.014
0.14391613006591797,0.015,-0.387,-0.948,1.024
0.15354108810424805,0.017,-0.387,-0.955,1.031
0.16353225708007812,0.021,-0.386,-0.955,1.03
0.17346715927124023,0.021,-0.388,-0.951,1.027
0.1987771987915039,0.02,-0.388,-0.94,1.017
0.19931411743164062,0.02,-0.388,-0.94,1.017
0.20275521278381348,0.017,-0.387,-0.941,1.018
0.2123401165008545,0.015,-0.389,-0.941,1.018
0.2228541374206543,0.01,-0.39,-0.942,1.02
0.23261308670043945,0.013,-0.387,-0.937,1.014
0.2429800033569336,0.016,-0.389,-0.93,1.008
0.25244808197021484,0.02,-0.389,-0.924,1.003
0.2628481388092041,0.025,-0.392,-0.921,1.001
0.2726891040802002,0.027,-0.392,-0.918,0.999
0.2965822219848633,0.027,-0.39,-0.927,1.006
0.297119140625,0.027,-0.39,-0.927,1.006
0.3014512062072754,0.027,-0.39,-0.937,1.015
0.31180620193481445,0.025,-0.391,-0.936,1.015
0.3218412399291992,0.024,-0.389,-0.929,1.007
0.3336372375488281,0.026,-0.388,-0.92,0.999
0.3424851894378662,0.029,-0.386,-0.903,0.982
0.3519582748413086,0.03,-0.386,-0.893,0.973
0.3616981506347656,0.03,-0.387,-0.894,0.975
0.37203311920166016,0.029,-0.388,-0.903,0.983
