time,gFx,gFy,gFz,gFTotal
0.014817237854003906,-0.181,-0.038,-1.034,1.05
0.015155315399169922,-0.181,-0.038,-1.034,1.05
0.02004408836364746,-0.235,-0.056,-1.015,1.043
0.029993057250976562,-0.264,-0.059,-0.995,1.031
0.04001903533935547,-0.259,-0.069,-0.958,0.995
0.050077199935913086,-0.236,-0.079,-0.933,0.966
0.07604718208312988,-0.2,-0.09,-0.864,0.891
0.07629013061523438,-0.2,-0.09,-0.864,0.891
0.07984614372253418,-0.189,-0.095,-0.852,0.878
0.08978605270385742,-0.185,-0.095,-0.835,0.861
0.09989714622497559,-0.183,-0.083,-0.833,0.857
0.11017227172851562,-0.178,-0.063,-0.868,0.888
0.12009429931640625,-0.165,-0.043,-0.891,0.907
0.13018131256103516,-0.155,-0.021,-0.924,0.937
0.14008331298828125,-0.137,0.006,-0.953,0.963
0.15000200271606445,-0.12,0.029,-0.922,0.93
0.18371009826660156,-0.162,-0.016,-0.903,0.918
0.18401813507080078,-0.162,-0.016,-0.903,0.918
0.18429017066955566,-0.162,-0.016,-0.903,0.918
0.18859004974365234,-0.201,-0.052,-0.948,0.97
0.19904017448425293,-0.303,-0.047,-0.954,1.002
0.2089991569519043,-0.348,0.042,-0.954,1.016
0.2190079689025879,-0.338,0.092,-0.989,1.049
0.22926998138427734,-0.275,0.011,-1.045,1.081
0.2389061450958252,-0.193,-0.101,-1.078,1.1
0.24908924102783203,-0.145,-0.12,-1.125,1.141
0.28345203399658203,-0.169,-0.037,-1.184,1.197
0.28374528884887695,-0.169,-0.037,-1.184,1.197
0.2840132713317871,-0.169,-0.037,-1.184,1.197
0.28811216354370117,-0.16,-0.034,-1.161,1.172
0.29824018478393555,-0.152,-0.02,-1.104,1.115
0.3086552619934082,-0.119,0.04,-1.026,1.034
0.3183560371398926,-0.093,0.08,-0.889,0.897
0.3286721706390381,-0.066,0.079,-0.794,0.801
0.33829307556152344,-0.041,0.089,-0.725,0.732
0.3487730026245117,0.227,0.123,-0.618,0.67
0.3797640800476074,0.317,0.611,-0.123,0.699
0.38005709648132324,0.317,0.611,-0.123,0.699
0.380324125289917,0.317,0.611,-0.123,0.699
0.387282133102417,0.218,0.603,-0.011,0.641
0.3979940414428711,0.122,0.495,-0.01,0.51
0.40741920471191406,-0.033,0.578,-0.109,0.589
0.41755104064941406,-0.212,0.591,-0.194,0.657
0.4276611804962158,-0.341,0.517,-0.228,0.66
0.4376211166381836,-0.479,0.514,-0.318,0.771
0.4476742744445801,-0.682,0.468,-0.48,0.956
0.4812161922454834,-1.608,0.029,-1.089,1.942
0.4815230369567871,-1.608,0.029,-1.089,1.942
0.48179197311401367,-1.608,0.029,-1.089,1.942
0.48666906356811523,-1.72,-0.051,-0.998,1.989
0.49733400344848633,-1.78,-0.09,-0.841,1.971
0.5067040920257568,-1.838,-0.035,-0.632,1.944
0.5170903205871582,-1.914,-0.073,-0.337,1.945
0.5268592834472656,-1.93,-0.189,0.034,1.94
0.5372719764709473,-1.963,-0.224,0.382,2.012
0.5471692085266113,-2.11,-0.243,1.623,2.673
0.5801091194152832,-1.589,0.226,0.195,1.617
0.5803999900817871,-1.589,0.226,0.195,1.617
0.5806670188903809,-1.589,0.226,0.195,1.617
0.5854251384735107,-1.292,0.204,-0.153,1.317
0.5961391925811768,-1.01,0.072,-0.142,1.022
0.6060152053833008,-0.807,0.115,-0.011,0.815
0.6158111095428467,-0.654,0.167,0.058,0.677
0.6262760162353516,-0.534,0.245,-0.018,0.588
0.6360011100769043,-0.558,0.205,-0.1,0.603
0.6465840339660645,-0.489,0.3,-0.181,0.602
0.6800711154937744,-0.35,0.478,0.002,0.592
0.6803731918334961,-0.35,0.478,0.002,0.592
0.6806402206420898,-0.35,0.478,0.002,0.592
0.6850271224975586,-0.203,0.539,0.084,0.582
0.6954622268676758,-0.168,0.705,0.069,0.728
0.7051820755004883,-0.121,0.763,0.033,0.773
0.7154271602630615,-0.145,0.722,0.063,0.739
0.7253732681274414,-0.443,0.816,-0.023,0.929
0.7352721691131592,-0.648,0.955,-0.043,1.155
0.746239185333252,-0.732,1.123,0.007,1.341
0.7781882286071777,-1.151,0.958,0.037,1.498
0.7784881591796875,-1.151,0.958,0.037,1.498
0.7787621021270752,-1.151,0.958,0.037,1.498
0.7842230796813965,-1.215,0.947,0.1,1.544
0.7944421768188477,-1.264,0.912,0.131,1.564
0.8044290542602539,-1.295,0.933,0.074,1.598
0.8146741390228271,-1.309,0.99,0.006,1.641
0.8245000839233398,-1.265,0.972,-0.038,1.596
0.8345160484313965,-1.169,0.99,-0.077,1.534
0.8454279899597168,-1.069,1.105,-0.18,1.548
0.8787450790405273,-0.834,0.922,-0.074,1.245
0.8790380954742432,-0.834,0.922,-0.074,1.245
0.8793051242828369,-0.834,0.922,-0.074,1.245
0.8834352493286133,-0.789,0.855,0.016,1.164
0.893726110458374,-0.763,0.77,0.088,1.088
0.903731107711792,-0.644,0.528,0.148,0.846
0.913546085357666,-0.398,0.173,0.347,0.556
0.9237771034240723,-0.233,0.248,0.483,0.591
0.9338192939758301,-0.148,0.343,0.431,0.57
0.9439473152160645,-0.126,0.385,0.251,0.477
0.9772951602935791,-0.025,0.484,0.017,0.485
0.9775891304016113,-0.025,0.484,0.017,0.485
0.9778571128845215,-0.025,0.484,0.017,0.485
0.9825701713562012,0.056,0.481,-0.027,0.485
0.9931252002716064,0.025,0.302,-0.02,0.304
1.0028882026672363,0.037,0.296,-0.033,0.3
1.0138311386108398,0.061,0.354,-0.045,0.362
1.0228972434997559,0.095,0.524,-0.061,0.536
1.032783031463623,0.07,0.351,-0.04,0.36
1.0442700386047363,0.088,0.324,-0.052,0.34
1.0761752128601074,0.166,0.504,-0.092,0.539
1.076533317565918,0.166,0.504,-0.092,0.539
1.0768532752990723,0.166,0.504,-0.092,0.539
1.0819091796875,0.189,0.706,-0.056,0.733
1.0920062065124512,0.331,1.048,-0.002,1.099
1.1021301746368408,0.514,1.555,-0.03,1.638
1.1119041442871094,0.833,2.714,0.039,2.839
1.1225919723510742,1.221,4.147,0.051,4.323
1.132615089416504,1.554,4.596,0.045,4.852
1.1430141925811768,1.575,3.112,-0.036,3.488
1.1737899780273438,0.271,0.594,-0.135,0.667
1.174086093902588,0.271,0.594,-0.135,0.667
1.1743550300598145,0.271,0.594,-0.135,0.667
1.1812782287597656,0.036,0.196,-0.016,0.2
1.1912660598754883,-0.003,0.209,-0.025,0.211
1.2015600204467773,0.134,0.555,-0.072,0.575
1.2114481925964355,0.186,0.705,-0.045,0.731
1.2214751243591309,0.266,0.877,-0.019,0.917
1.2311840057373047,0.261,0.893,-0.03,0.931
1.241408109664917,0.224,0.878,-0.044,0.907
1.2745420932769775,0.155,1.099,-0.063,1.112
1.2748432159423828,0.155,1.099,-0.063,1.112
1.2751402854919434,0.155,1.099,-0.063,1.112
1.280442237854004,0.16,1.141,-0.05,1.153
1.2905960083007812,0.151,1.13,0.046,1.141
1.3013191223144531,0.203,1.122,0.163,1.152
1.3114120960235596,0.201,1.062,0.118,1.087
1.3214130401611328,0.169,1.031,0.02,1.045
1.3307743072509766,0.185,1.05,-0.062,1.068
1.341184139251709,0.213,1.07,-0.14,1.1
1.3709771633148193,0.344,1.194,-0.37,1.296
1.37135910987854,0.344,1.194,-0.37,1.296
1.3717222213745117,0.344,1.194,-0.37,1.296
1.3806610107421875,0.479,1.263,-0.447,1.423
1.3897480964660645,0.609,1.311,-0.548,1.546
1.399827003479004,0.681,1.311,-0.573,1.585
1.410506248474121,0.704,1.224,-0.493,1.496
1.4201631546020508,0.678,1.072,-0.342,1.314
1.4303550720214844,0.558,0.925,-0.165,1.093
1.4407052993774414,0.376,0.889,0.053,0.967
1.4755241870880127,0.043,1.223,0.985,1.571
1.4759812355041504,0.043,1.223,0.985,1.571
