time,gFx,gFy,gFz,gFTotal
0.018016815185546875,0.023,-0.312,-0.846,0.902
0.018304824829101562,0.023,-0.312,-0.846,0.902
0.02375173568725586,0.043,-0.321,-0.869,0.927
0.03960084915161133,0.041,-0.365,-0.929,0.999
0.0431208610534668,0.023,-0.401,-0.96,1.041
0.052960872650146484,0.026,-0.395,-0.97,1.048
0.06301403045654297,0.029,-0.363,-0.984,1.049
0.07305383682250977,0.047,-0.35,-0.98,1.042
0.08329296112060547,0.08,-0.343,-0.965,1.027
0.09339475631713867,0.095,-0.323,-0.949,1.007
0.10311603546142578,0.095,-0.322,-0.937,0.995
0.11391401290893555,0.08,-0.319,-0.918,0.975
0.12389707565307617,0.072,-0.234,-0.924,0.956
0.1512758731842041,0.148,-0.548,-0.919,1.08
0.15160274505615234,0.148,-0.548,-0.919,1.08
0.15399789810180664,0.103,-0.467,-0.998,1.107
0.1630539894104004,0.075,-0.319,-0.921,0.978
0.1726517677307129,0.101,-0.377,-0.919,0.998
0.18297100067138672,0.077,-0.462,-0.916,1.029
0.1929149627685547,0.03,-0.459,-0.913,1.022
0.20311689376831055,-0.011,-0.446,-0.901,1.005
0.21285486221313477,-0.011,-0.44,-0.907,1.008
0.2229628562927246,0.039,-0.429,-0.887,0.986
0.25311994552612305,0.181,-0.39,-0.814,0.921
0.25348687171936035,0.181,-0.39,-0.814,0.921
0.25381898880004883,0.181,-0.39,-0.814,0.921
0.26240992546081543,0.178,-0.39,-0.811,0.917
0.2726449966430664,0.145,-0.381,-0.823,0.918
0.28247594833374023,0.098,-0.362,-0.837,0.917
0.29242706298828125,0.049,-0.349,-0.855,0.925
0.3027808666229248,0.014,-0.325,-0.851,0.911
0.31297874450683594,-0.009,-0.296,-0.811,0.863
0.3227410316467285,0.097,-0.171,-0.867,0.889
0.3568449020385742,-0.068,-0.299,-1.073,1.116
0.35721683502197266,-0.068,-0.299,-1.073,1.116
0.35754990577697754,-0.068,-0.299,-1.073,1.116
0.3616647720336914,-0.2,-0.261,-1.07,1.119
0.3715798854827881,-0.182,-0.299,-1.074,1.13
0.38164496421813965,-0.116,-0.296,-1.03,1.078
0.39166879653930664,-0.026,-0.256,-0.898,0.934
0.401519775390625,0.119,-0.142,-0.775,0.797
0.412045955657959,0.118,-0.19,-0.7,0.735
0.4219059944152832,0.074,-0.241,-0.649,0.696
0.4525160789489746,0.022,-0.122,-0.606,0.619
0.45286989212036133,0.022,-0.122,-0.606,0.619
0.4532017707824707,0.022,-0.122,-0.606,0.619
0.4609050750732422,-0.196,-0.238,-0.639,0.709
0.4706099033355713,-0.517,-0.315,-0.462,0.762
0.48107194900512695,-0.45,-0.34,0.014,0.564
0.4909698963165283,0.209,-0.557,-0.063,0.598
0.5013160705566406,-0.098,-0.282,-0.347,0.458
0.5116009712219238,-0.291,0.014,-0.31,0.425
0.5211048126220703,-0.196,0.037,-0.402,0.449
0.5516958236694336,-0.091,0.238,-0.247,0.355
0.5520577430725098,-0.091,0.238,-0.247,0.355
0.5523948669433594,-0.091,0.238,-0.247,0.355
0.5600500106811523,-0.167,0.252,-0.172,0.348
0.569882869720459,-0.21,0.245,-0.133,0.349
0.5804657936096191,-0.239,0.298,-0.077,0.39
