time,gFx,gFy,gFz,gFTotal
0.007990837097167969,0.041,-0.34,-0.903,0.966
0.013107776641845703,0.065,-0.321,-0.91,0.967
0.021210908889770508,0.072,-0.31,-0.917,0.971
0.034440040588378906,0.053,-0.32,-0.909,0.965
0.05333709716796875,0.03,-0.322,-0.928,0.983
0.05371379852294922,0.03,-0.322,-0.928,0.983
0.061347007751464844,0.021,-0.32,-0.931,0.985
0.0711669921875,0.023,-0.323,-0.931,0.986
0.0817270278930664,0.029,-0.324,-0.933,0.988
0.09110879898071289,0.032,-0.326,-0.938,0.994
0.1013188362121582,0.035,-0.328,-0.937,0.993
0.11130595207214355,0.038,-0.327,-0.939,0.995
0.12123990058898926,0.034,-0.327,-0.938,0.994
0.14969491958618164,0.032,-0.325,-0.939,0.994
0.15014195442199707,0.035,-0.325,-0.94,0.995
0.15239286422729492,0.035,-0.325,-0.94,0.995
0.1612558364868164,0.037,-0.324,-0.939,0.994
0.17118597030639648,0.039,-0.32,-0.938,0.992
0.1816730499267578,0.042,-0.315,-0.938,0.99
0.1910400390625,0.043,-0.315,-0.941,0.993
0.2011709213256836,0.04,-0.319,-0.939,0.993
0.21154999732971191,0.037,-0.322,-0.939,0.993
0.2221817970275879,0.039,-0.323,-0.94,0.995
0.2537078857421875,0.038,-0.32,-0.942,0.996
0.2541189193725586,0.038,-0.32,-0.942,0.996
0.2544689178466797,0.038,-0.32,-0.942,0.996
0.26098108291625977,0.038,-0.318,-0.934,0.987
0.27159595489501953,0.041,-0.314,-0.936,0.988
0.2826848030090332,0.042,-0.317,-0.93,0.983
0.2914469242095947,0.039,-0.318,-0.922,0.976
0.3013889789581299,0.041,-0.316,-0.92,0.974
0.311708927154541,0.047,-0.318,-0.918,0.973
0.32201099395751953,0.051,-0.32,-0.92,0.975
0.358767032623291,0.043,-0.324,-0.925,0.981
0.359224796295166,0.043,-0.324,-0.925,0.981
0.3595738410949707,0.043,-0.324,-0.925,0.981
0.3625459671020508,0.042,-0.32,-0.926,0.981
0.3710927963256836,0.043,-0.317,-0.928,0.982
0.381746768951416,0.044,-0.319,-0.928,0.982
0.3909440040588379,0.045,-0.323,-0.931,0.986
0.40140485763549805,0.041,-0.327,-0.933,0.989
0.4116969108581543,0.042,-0.327,-0.939,0.995
0.42148590087890625,0.041,-0.322,-0.95,1.004
0.4527430534362793,0.04,-0.31,-0.944,0.994
0.45319390296936035,0.04,-0.31,-0.944,0.994
0.4535408020019531,0.04,-0.31,-0.944,0.994
0.46146488189697266,0.044,-0.309,-0.947,0.997
0.47159290313720703,0.05,-0.314,-0.952,1.004
0.48222899436950684,0.047,-0.318,-0.947,1.0
0.49126577377319336,0.042,-0.314,-0.944,0.996
0.5010049343109131,0.042,-0.313,-0.945,0.996
0.511631965637207,0.042,-0.318,-0.942,0.995
0.5216751098632812,0.04,-0.322,-0.94,0.994
0.5585708618164062,0.04,-0.331,-0.942,0.999
0.5590648651123047,0.04,-0.331,-0.942,0.999
0.5594139099121094,0.04,-0.331,-0.942,0.999
0.5620198249816895,0.04,-0.336,-0.943,1.002
0.5709857940673828,0.035,-0.336,-0.932,0.991
0.5824370384216309,0.037,-0.329,-0.927,0.984
0.5913448333740234,0.045,-0.32,-0.926,0.981
0.6012649536132812,0.053,-0.317,-0.927,0.981
0.6112349033355713,0.054,-0.32,-0.923,0.978
0.6210250854492188,0.048,-0.319,-0.92,0.975
0.6475780010223389,0.044,-0.318,-0.924,0.978
0.6480050086975098,0.044,-0.318,-0.924,0.978
0.6506900787353516,0.046,-0.321,-0.925,0.98
0.6607880592346191,0.05,-0.323,-0.94,0.995
0.6709318161010742,0.051,-0.319,-0.953,1.006
0.6816868782043457,0.041,-0.314,-0.956,1.007
0.6907930374145508,0.031,-0.309,-0.953,1.002
0.7006778717041016,0.031,-0.305,-0.955,1.003
0.7110249996185303,0.04,-0.307,-0.958,1.007
0.7209091186523438,0.044,-0.314,-0.953,1.004
0.7474160194396973,0.041,-0.321,-0.932,0.987
0.7478289604187012,0.041,-0.321,-0.932,0.987
0.7507390975952148,0.043,-0.318,-0.931,0.985
0.7608890533447266,0.044,-0.324,-0.93,0.986
0.7708230018615723,0.038,-0.33,-0.924,0.982
