time,gFx,gFy,gFz,gFTotal
0.006381034851074219,-0.167,-0.198,-0.898,0.935
0.012433052062988281,-0.135,-0.173,-0.8,0.83
0.018491268157958984,-0.09,-0.138,-0.773,0.79
0.03270912170410156,-0.049,-0.14,-0.749,0.764
0.03901529312133789,-0.028,-0.169,-0.732,0.752
0.0625152587890625,-0.031,-0.219,-0.775,0.806
0.06323122978210449,-0.031,-0.219,-0.775,0.806
0.06852912902832031,-0.055,-0.225,-0.794,0.827
0.07905411720275879,-0.073,-0.22,-0.809,0.842
0.0884392261505127,-0.082,-0.211,-0.816,0.847
0.09854507446289062,-0.094,-0.206,-0.81,0.841
0.10863113403320312,-0.097,-0.207,-0.791,0.823
0.11860799789428711,-0.09,-0.208,-0.768,0.801
0.12922000885009766,-0.071,-0.215,-0.751,0.784
0.13852715492248535,-0.054,-0.226,-0.742,0.778
0.1575322151184082,-0.054,-0.25,-0.725,0.769
0.16057109832763672,-0.054,-0.25,-0.725,0.769
0.16850519180297852,-0.062,-0.251,-0.713,0.758
0.1786212921142578,-0.061,-0.252,-0.704,0.75
0.1883101463317871,-0.065,-0.258,-0.704,0.753
0.19856834411621094,-0.063,-0.277,-0.719,0.773
0.20827317237854004,-0.054,-0.301,-0.75,0.81
0.21853923797607422,-0.053,-0.299,-0.792,0.848
0.22990918159484863,-0.065,-0.398,-0.757,0.858
0.2383413314819336,-0.08,-0.476,-0.731,0.876
0.25673913955688477,-0.107,-0.496,-0.781,0.931
0.25938916206359863,-0.107,-0.504,-0.861,1.003
0.2685551643371582,-0.118,-0.514,-0.942,1.08
0.2789802551269531,-0.142,-0.537,-0.987,1.133
0.28836822509765625,-0.169,-0.561,-0.982,1.144
0.29830312728881836,-0.19,-0.566,-0.971,1.14
0.30820131301879883,-0.198,-0.554,-0.98,1.143
0.31874513626098633,-0.207,-0.538,-1.001,1.155
0.3293581008911133,-0.22,-0.521,-1.006,1.154
0.33864831924438477,-0.229,-0.512,-1.0,1.147
0.3604462146759033,-0.246,-0.511,-1.007,1.156
0.36099720001220703,-0.246,-0.511,-1.007,1.156
0.3687281608581543,-0.247,-0.517,-1.014,1.165
0.37905406951904297,-0.238,-0.524,-0.999,1.153
0.38913631439208984,-0.218,-0.526,-0.965,1.12
0.3987162113189697,-0.179,-0.528,-0.96,1.11
0.4091942310333252,-0.141,-0.53,-0.981,1.124
0.4190661907196045,-0.108,-0.522,-1.0,1.133
0.429227352142334,-0.091,-0.502,-1.002,1.124
0.43886804580688477,-0.104,-0.487,-0.98,1.099
0.4660000801086426,-0.14,-0.45,-1.015,1.119
0.46651721000671387,-0.14,-0.45,-1.015,1.119
0.46984100341796875,-0.152,-0.423,-1.054,1.146
0.47858715057373047,-0.159,-0.391,-1.081,1.16
0.48919105529785156,-0.166,-0.36,-1.085,1.155
0.4996662139892578,-0.167,-0.338,-1.066,1.131
0.5087432861328125,-0.157,-0.323,-1.031,1.092
0.5189323425292969,-0.146,-0.308,-0.981,1.039
0.5289971828460693,-0.144,-0.294,-0.94,0.995
0.5386261940002441,-0.182,-0.293,-0.933,0.995
0.5695810317993164,-0.044,-0.208,-0.834,0.861
0.5703692436218262,-0.044,-0.208,-0.834,0.861
0.571129322052002,-0.044,-0.208,-0.834,0.861
0.5788211822509766,-0.014,-0.241,-0.82,0.855
0.5889892578125,0.007,-0.271,-0.802,0.847
0.5995352268218994,0.022,-0.283,-0.795,0.844
0.6086940765380859,0.03,-0.289,-0.8,0.851
0.6188693046569824,0.026,-0.291,-0.809,0.86
0.62890625,0.018,-0.295,-0.816,0.868
0.6388142108917236,0.007,-0.298,-0.833,0.885
0.6660933494567871,-0.011,-0.309,-0.89,0.942
0.6666522026062012,-0.011,-0.309,-0.89,0.942
0.669971227645874,-0.014,-0.315,-0.916,0.969
0.6788573265075684,-0.021,-0.316,-0.931,0.983
0.6889700889587402,-0.034,-0.317,-0.893,0.948
0.6995930671691895,-0.04,-0.326,-0.901,0.959
0.7087712287902832,-0.041,-0.334,-0.868,0.931
0.7187721729278564,-0.053,-0.34,-0.835,0.903
0.7288172245025635,-0.062,-0.347,-0.806,0.88
0.73958420753479,-0.065,-0.353,-0.774,0.853
0.7684073448181152,-0.057,-0.375,-0.756,0.846
0.7691450119018555,-0.057,-0.375,-0.756,0.846
0.7716481685638428,-0.057,-0.375,-0.756,0.846
0.7781891822814941,-0.057,-0.354,-0.743,0.825
0.7883892059326172,-0.033,-0.349,-0.746,0.824
0.7987112998962402,-0.004,-0.364,-0.754,0.837
0.8086233139038086,0.007,-0.381,-0.792,0.879
0.8183491230010986,0.012,-0.393,-0.838,0.926
0.8284151554107666,0.006,-0.394,-0.885,0.969
0.8388521671295166,-0.004,-0.384,-0.924,1.001
0.8654513359069824,-0.042,-0.348,-0.991,1.051
0.866002082824707,-0.042,-0.348,-0.991,1.051
0.8693971633911133,-0.054,-0.33,-1.015,1.069
0.8783483505249023,-0.047,-0.313,-1.027,1.075
0.8883321285247803,-0.035,-0.303,-1.041,1.085
0.8986911773681641,-0.017,-0.305,-1.073,1.116
0.9081320762634277,0.0,-0.322,-1.119,1.164
0.9187602996826172,0.002,-0.349,-1.157,1.208
0.9292762279510498,-0.011,-0.365,-1.183,1.238
0.9384891986846924,-0.027,-0.364,-1.195,1.249
0.9660611152648926,-0.053,-0.333,-1.178,1.225
0.9666390419006348,-0.052,-0.32,-1.147,1.192
0.969832181930542,-0.052,-0.32,-1.147,1.192
0.978222131729126,-0.046,-0.306,-1.106,1.148
0.9881742000579834,-0.032,-0.293,-1.06,1.1
0.9985921382904053,-0.02,-0.291,-1.025,1.066
1.008040189743042,-0.021,-0.296,-1.033,1.075
1.0186891555786133,-0.025,-0.302,-1.052,1.095
1.0281763076782227,-0.029,-0.302,-1.06,1.103
1.0383720397949219,-0.038,-0.303,-1.069,1.112
1.0661063194274902,-0.079,-0.303,-1.118,1.161
1.0666751861572266,-0.079,-0.303,-1.118,1.161
1.0696542263031006,-0.09,-0.292,-1.123,1.164
1.0781071186065674,-0.093,-0.276,-1.091,1.129
1.0886621475219727,-0.1,-0.251,-1.042,1.076
1.099424123764038,-0.104,-0.218,-0.988,1.017
1.1082541942596436,-0.094,-0.19,-0.95,0.973
1.118401050567627,-0.078,-0.174,-0.94,0.959
1.1281852722167969,-0.067,-0.175,-0.941,0.959
1.1384031772613525,-0.071,-0.193,-0.946,0.968
1.1661732196807861,-0.105,-0.227,-0.909,0.943
1.1667201519012451,-0.113,-0.222,-0.895,0.929
1.169870138168335,-0.113,-0.222,-0.895,0.929
1.1783952713012695,-0.119,-0.213,-0.884,0.917
1.1885943412780762,-0.122,-0.214,-0.858,0.893
1.199418067932129,-0.128,-0.218,-0.838,0.875
1.2077181339263916,-0.128,-0.223,-0.836,0.875
1.2183732986450195,-0.124,-0.228,-0.843,0.882
1.2283902168273926,-0.12,-0.232,-0.855,0.894
1.2390680313110352,-0.122,-0.238,-0.865,0.905
1.2685601711273193,-0.108,-0.267,-0.886,0.932
1.269078254699707,-0.108,-0.267,-0.886,0.932
1.271681308746338,-0.108,-0.267,-0.886,0.932
1.2779521942138672,-0.106,-0.271,-0.865,0.913
1.2884793281555176,-0.108,-0.266,-0.834,0.882
1.2983381748199463,-0.11,-0.256,-0.802,0.849
1.3077781200408936,-0.101,-0.253,-0.769,0.816
1.3183822631835938,-0.091,-0.26,-0.733,0.783
1.3281371593475342,-0.087,-0.273,-0.697,0.754
1.338090181350708,-0.084,-0.287,-0.668,0.732
1.36582612991333,-0.063,-0.327,-0.659,0.738
1.366410255432129,-0.042,-0.357,-0.676,0.766
