time,gFx,gFy,gFz,TgF
0.001810192,-0.1390,0.2221,0.9462,0.982
0.002476808,-0.1390,0.2221,0.9462,0.982
0.002793,-0.1383,0.2235,0.9492,0.985
0.003094808,-0.1353,0.2231,0.9545,0.990
0.003367923,-0.1329,0.2216,0.9584,0.993
0.004833692,-0.1292,0.2238,0.9663,1.000
0.006682077,-0.1275,0.2238,0.9707,1.004
0.010545962,-0.1222,0.2231,0.9787,1.011
0.010797154,-0.1190,0.2228,0.9853,1.017
0.012671923,-0.1185,0.2209,0.9880,1.019
0.014600385,-0.1158,0.2191,0.9936,1.024
0.016573385,-0.1136,0.2179,0.9961,1.026
0.018760731,-0.1139,0.2133,1.0000,1.029
0.021299077,-0.1136,0.2108,1.0007,1.029
0.022585423,-0.1139,0.2060,1.0036,1.031
0.024411423,-0.1160,0.2008,1.0036,1.030
0.028235154,-0.1173,0.2003,1.0036,1.030
0.028557808,-0.1202,0.1984,1.0019,1.028
0.030637654,-0.1209,0.1967,1.0010,1.027
0.032336192,-0.1239,0.1928,1.0005,1.026
0.037753423,-0.1314,0.1898,0.9944,1.021
0.038207308,-0.1314,0.1898,0.9944,1.021
0.038972423,-0.1324,0.1893,0.9936,1.020
0.040420846,-0.1334,0.1886,0.9931,1.020
0.042300885,-0.1393,0.1871,0.9890,1.016
0.044778192,-0.1407,0.1862,0.9868,1.014
0.046289923,-0.1429,0.1852,0.9831,1.011
0.048330423,-0.1434,0.1859,0.9812,1.009
0.050268769,-0.1459,0.1857,0.9785,1.007
0.052362385,-0.1483,0.1889,0.9760,1.005
0.054380346,-0.1483,0.1901,0.9755,1.005
0.056472115,-0.1512,0.1918,0.9736,1.004
0.058982808,-0.1505,0.1928,0.9726,1.003
0.061000423,-0.1490,0.1962,0.9731,1.004
0.062387538,-0.1468,0.1967,0.9736,1.004
0.064506346,-0.1463,0.1989,0.9726,1.003
0.066388885,-0.1441,0.2008,0.9736,1.004
0.068351577,-0.1429,0.2016,0.9746,1.005
0.070221462,-0.1397,0.2050,0.9738,1.005
0.072215231,-0.1393,0.2052,0.9738,1.005
0.078783885,-0.1346,0.2045,0.9738,1.004
0.079307885,-0.1341,0.2047,0.9736,1.004
0.079591,-0.1341,0.2047,0.9736,1.004
0.080913423,-0.1322,0.2045,0.9738,1.004
0.082604115,-0.1312,0.2038,0.9743,1.004
0.084384346,-0.1290,0.2033,0.9758,1.005
0.086278654,-0.1275,0.2033,0.9768,1.006
0.088624038,-0.1275,0.2035,0.9768,1.006
0.090325808,-0.1280,0.2013,0.9785,1.007
0.092644,-0.1270,0.2006,0.9795,1.008
0.094955346,-0.1278,0.1998,0.9812,1.009
0.096640654,-0.1273,0.1981,0.9814,1.009
0.098314423,-0.1263,0.1989,0.9834,1.011
0.100485231,-0.1266,0.1984,0.9848,1.013
0.102296077,-0.1290,0.1976,0.9861,1.014
0.104400115,-0.1305,0.1950,0.9875,1.015
0.106242038,-0.1305,0.1937,0.9882,1.015
0.109754808,-0.1300,0.1933,0.9900,1.017
0.111689961,-0.1307,0.1930,0.9914,1.018
0.113113654,-0.1292,0.1947,0.9944,1.021
0.117841115,-0.1290,0.1908,0.9970,1.023
0.118825154,-0.1290,0.1908,0.9970,1.023
0.119944538,-0.1283,0.1898,0.9978,1.024
0.120415538,-0.1273,0.1896,0.9978,1.024
0.122240654,-0.1285,0.1879,0.9963,1.022
0.124468885,-0.1278,0.1881,0.9961,1.022
0.127031923,-0.1273,0.1879,0.9961,1.022
0.128976769,-0.1239,0.1884,0.9946,1.020
0.130659808,-0.1236,0.1889,0.9948,1.020
0.132503269,-0.1241,0.1876,0.9939,1.019
0.134441038,-0.1244,0.1874,0.9944,1.019
0.136419154,-0.1258,0.1889,0.9919,1.018
0.138464077,-0.1253,0.1898,0.9907,1.016
0.140333769,-0.1253,0.1937,0.9900,1.016
0.142884808,-0.1251,0.1952,0.9907,1.017
0.144823846,-0.1251,0.1952,0.9890,1.016
0.146393308,-0.1261,0.1959,0.9890,1.016
0.148505577,-0.1258,0.1967,0.9882,1.015
0.1503775,-0.1231,0.1979,0.9870,1.014
0.152386154,-0.1212,0.1996,0.9865,1.014
0.157827115,-0.1200,0.2033,0.9826,1.011
0.158002115,-0.1200,0.2028,0.9817,1.010
0.158811615,-0.1200,0.2028,0.9817,1.010
0.164781923,-0.1180,0.2045,0.9802,1.008
0.165300961,-0.1182,0.2062,0.9797,1.008
0.165483269,-0.1173,0.2069,0.9790,1.007
0.170545961,-0.1163,0.2042,0.9777,1.006
0.170708269,-0.1156,0.2030,0.9770,1.005
0.176414577,-0.1148,0.2028,0.9731,1.001
0.176562654,-0.1156,0.2035,0.9724,1.000
0.176687115,-0.1153,0.2045,0.9711,0.999
0.177118346,-0.1151,0.2047,0.9702,0.998
0.178321038,-0.1156,0.2045,0.9685,0.997
0.180366461,-0.1170,0.2055,0.9675,0.996
0.182345615,-0.1175,0.2062,0.9665,0.995
0.184481885,-0.1185,0.2072,0.9650,0.994
0.186423231,-0.1190,0.2074,0.9663,0.995
0.188526115,-0.1197,0.2062,0.9653,0.994
0.1904435,-0.1200,0.2062,0.9658,0.995
0.193130461,-0.1185,0.2074,0.9667,0.996
0.198502961,-0.1187,0.2082,0.9650,0.994
0.198790577,-0.1180,0.2074,0.9663,0.995
0.198933923,-0.1180,0.2074,0.9663,0.995
0.200443884,-0.1160,0.2072,0.9670,0.996
0.202329231,-0.1143,0.2084,0.9680,0.997
0.204489846,-0.1129,0.2089,0.9677,0.996
0.206215846,-0.1131,0.2099,0.9675,0.996
0.208877038,-0.1114,0.2079,0.9689,0.997
0.210529384,-0.1109,0.2064,0.9687,0.997
0.212565115,-0.1085,0.2055,0.9699,0.997
0.214352769,-0.1077,0.2057,0.9704,0.998
0.216520038,-0.1068,0.2045,0.9714,0.998
0.218213192,-0.1085,0.2042,0.9729,1.000
0.221060038,-0.1092,0.2047,0.9731,1.000
0.223295269,-0.1095,0.2047,0.9768,1.004
0.224470038,-0.1104,0.2057,0.9797,1.007
0.226997808,-0.1131,0.2060,0.9812,1.009
0.2285385,-0.1141,0.2072,0.9829,1.011
0.230463384,-0.1153,0.2084,0.9846,1.013
0.232193192,-0.1158,0.2094,0.9878,1.016
0.235172538,-0.1151,0.2101,0.9917,1.020
0.2362145,-0.1143,0.2099,0.9931,1.021
0.238157423,-0.1139,0.2104,0.9941,1.022
0.240322423,-0.1114,0.2106,0.9953,1.023
0.242636808,-0.1109,0.2096,0.9951,1.023
0.244443692,-0.1104,0.2079,0.9941,1.022
0.246327154,-0.1107,0.2072,0.9946,1.022
