time,gFx,gFy,gFz,TgF
0.001082153,-0.0308,0.5492,0.6890,0.882
0.001270692,-0.0349,0.5551,0.6733,0.873
0.001701346,-0.0410,0.5590,0.6592,0.865
0.003595923,-0.0528,0.5607,0.6445,0.856
0.00558073,-0.0652,0.5617,0.6308,0.847
0.007494423,-0.0745,0.5656,0.6147,0.839
0.009441884,-0.0794,0.5702,0.5988,0.831
0.014387577,-0.0836,0.5754,0.5815,0.822
0.014534115,-0.0870,0.5798,0.5673,0.816
0.015551384,-0.0887,0.5834,0.5563,0.811
0.017598038,-0.0884,0.5883,0.5504,0.811
0.019510884,-0.0877,0.5932,0.5485,0.813
0.021470653,-0.0858,0.6005,0.5531,0.821
0.023476384,-0.0765,0.6123,0.5636,0.836
0.025462038,-0.0650,0.6237,0.5749,0.851
0.027458038,-0.0430,0.6272,0.5922,0.864
0.029958269,-0.0239,0.6284,0.6105,0.876
0.031675884,-0.0217,0.6291,0.6303,0.891
0.034019653,-0.0310,0.6291,0.6494,0.905
0.035695653,-0.0559,0.6294,0.6687,0.920
0.037522077,-0.0792,0.6325,0.6824,0.934
0.039850077,-0.0953,0.6364,0.6929,0.946
0.041853961,-0.1043,0.6421,0.7026,0.958
0.043812077,-0.1112,0.6474,0.7127,0.969
0.046617346,-0.1168,0.6521,0.7246,0.982
0.047595461,-0.1214,0.6550,0.7359,0.993
0.049879884,-0.1234,0.6540,0.7474,1.001
0.054863769,-0.1153,0.6425,0.7593,1.001
0.055063077,-0.1087,0.6333,0.7689,1.002
0.055485961,-0.1009,0.6228,0.7767,1.001
0.057497807,-0.0924,0.6110,0.7833,0.998
0.059535538,-0.0816,0.5939,0.7882,0.990
0.061497769,-0.0691,0.5766,0.7918,0.982
0.064818192,-0.0574,0.5561,0.7935,0.971
0.065743653,-0.0445,0.5331,0.7928,0.956
0.067789538,-0.0322,0.5116,0.7911,0.943
0.069833538,-0.0173,0.4891,0.7879,0.928
0.071673038,-0.0022,0.4691,0.7842,0.914
0.073564615,0.0166,0.4486,0.7779,0.898
0.075580577,0.0388,0.4278,0.7689,0.881
0.0777245,0.0603,0.4092,0.7598,0.865
0.081616769,0.0850,0.3909,0.7483,0.849
0.082446,0.1082,0.3748,0.7371,0.834
0.0836855,0.1339,0.3594,0.7237,0.819
0.085623423,0.1573,0.3462,0.7110,0.806
0.087547846,0.1810,0.3335,0.6968,0.793
0.089605384,0.2030,0.3213,0.6833,0.782
0.096824884,0.2248,0.3073,0.6733,0.774
0.097456807,0.2421,0.2964,0.6655,0.768
0.097805153,0.2570,0.2866,0.6596,0.764
0.099888461,0.2702,0.2775,0.6555,0.761
0.100516346,0.2822,0.2692,0.6526,0.760
0.101779692,0.2944,0.2607,0.6499,0.760
0.103637846,0.3083,0.2516,0.6469,0.760
0.105587769,0.3213,0.2431,0.6443,0.760
0.107587807,0.3347,0.2343,0.6421,0.761
0.10961123,0.3467,0.2265,0.6403,0.763
0.111535384,0.3572,0.2182,0.6391,0.764
0.115302884,0.3655,0.2101,0.6389,0.765
0.11574873,0.3736,0.2028,0.6401,0.768
0.11794723,0.3809,0.1969,0.6479,0.777
0.119915576,0.3845,0.1925,0.6584,0.786
0.12149173,0.3782,0.1915,0.6753,0.797
0.12392023,0.3670,0.1928,0.6934,0.808
0.125613269,0.3459,0.1981,0.7161,0.820
0.127547653,0.3166,0.2084,0.7400,0.831
0.129669961,0.2878,0.2209,0.7613,0.843
0.13649723,0.2516,0.2404,0.7845,0.858
0.137114038,0.2226,0.2560,0.8031,0.872
0.137350307,0.1994,0.2685,0.8180,0.884
0.137786807,0.1823,0.2775,0.8290,0.893
0.140152384,0.1757,0.2814,0.8348,0.898
0.141795038,0.1808,0.2793,0.8368,0.900
0.143892038,0.1915,0.2753,0.8365,0.901
0.146111076,0.2123,0.2702,0.8316,0.900
0.148531807,0.2338,0.2651,0.8258,0.898
0.150046307,0.2587,0.2595,0.8170,0.895
0.151755346,0.2832,0.2536,0.8082,0.893
0.153626,0.3032,0.2468,0.7982,0.889
0.155685538,0.3169,0.2394,0.7882,0.883
0.157606192,0.3259,0.2326,0.7794,0.876
0.159559384,0.3279,0.2245,0.7711,0.867
0.161516384,0.3264,0.2170,0.7637,0.858
0.164181115,0.3186,0.2079,0.7571,0.847
0.165910846,0.3054,0.1979,0.7515,0.835
0.167877807,0.2900,0.1876,0.7474,0.823
0.169663346,0.2626,0.1693,0.7452,0.808
0.176239307,0.1976,0.1341,0.7510,0.788
0.176524346,0.1380,0.1033,0.7596,0.779
0.176834769,0.0904,0.0789,0.7664,0.776
0.177726307,0.0464,0.0577,0.7764,0.780
0.179682153,0.0039,0.0401,0.7957,0.797
0.181791038,-0.0320,0.0274,0.8187,0.820
0.18431373,-0.0586,0.0242,0.8556,0.858
0.186106192,-0.0752,0.0271,0.8954,0.899
0.187836884,-0.0711,0.0432,0.9440,0.948
0.189561115,-0.0564,0.0638,0.9880,0.992
0.194324346,-0.0208,0.0965,1.0247,1.029
0.194734653,0.0291,0.1380,1.0464,1.056
0.195559115,0.0770,0.1781,1.0584,1.076
0.1975855,0.1256,0.2213,1.0579,1.088
0.200335307,0.1669,0.2597,1.0569,1.101
0.201570846,0.2016,0.2880,1.0911,1.146
0.203657192,0.2321,0.3042,1.1778,1.238
0.205770846,0.2568,0.3171,1.2406,1.306
0.207992807,0.2648,0.3354,1.2455,1.317
0.209579923,0.2658,0.3525,1.2299,1.307
0.217482576,0.2482,0.3565,1.1761,1.254
0.218211269,0.2341,0.3596,1.1331,1.212
0.218531692,0.2228,0.3621,1.0987,1.178
0.220768307,0.1996,0.3486,1.0596,1.133
0.221460423,0.1740,0.3296,1.0220,1.088
0.221842192,0.1405,0.2990,0.9814,1.036
0.22358223,0.1092,0.2695,0.9467,0.990
0.226190076,0.0799,0.2436,0.9277,0.962
0.227969653,0.0574,0.2248,0.9220,0.951
0.233188461,0.0393,0.2099,0.9264,0.951
0.234365846,0.0220,0.1950,0.9262,0.947
0.236312153,0.0071,0.1815,0.9218,0.940
0.236583846,-0.0076,0.1681,0.9115,0.927
0.237906615,-0.0203,0.1564,0.9008,0.914
0.23965223,-0.0318,0.1424,0.8866,0.899
0.241755538,-0.0413,0.1290,0.8729,0.883
0.243927615,-0.0484,0.1153,0.8597,0.869
0.245536961,-0.0513,0.1051,0.8492,0.857
0.248137615,-0.0518,0.0985,0.8419,0.849
0.249815769,-0.0476,0.0989,0.8404,0.848
0.255862999,-0.0349,0.1107,0.8549,0.863
0.25604873,-0.0215,0.1219,0.8712,0.880
0.256158461,-0.0107,0.1310,0.8842,0.894
0.25740873,0.0012,0.1400,0.8986,0.909
0.259398307,0.0181,0.1507,0.9162,0.929
0.261575923,0.0354,0.1612,0.9323,0.947
0.264075769,0.0557,0.1730,0.9465,0.964
0.265638884,0.0745,0.1840,0.9572,0.978
0.267524115,0.0933,0.1955,0.9616,0.986
0.26943523,0.1107,0.2064,0.9594,0.988
0.271454461,0.1253,0.2160,0.9545,0.987
0.273505384,0.1380,0.2248,0.9443,0.980
0.275427576,0.1483,0.2321,0.9330,0.973
0.277357192,0.1571,0.2389,0.9189,0.962
0.279742346,0.1644,0.2446,0.9054,0.952
0.282192884,0.1710,0.2485,0.8908,0.940
0.283570192,0.1759,0.2512,0.8761,0.928
0.285642653,0.1793,0.2524,0.8629,0.917
0.287658499,0.1805,0.2504,0.8495,0.904
0.28950673,0.1808,0.2470,0.8370,0.891
0.301126423,0.1776,0.2348,0.8158,0.867
0.301387807,0.1749,0.2250,0.7987,0.848
0.301540615,0.1727,0.2172,0.7850,0.833
0.301678692,0.1700,0.2067,0.7693,0.815
0.301817499,0.1671,0.1962,0.7549,0.798
0.301965384,0.1637,0.1840,0.7400,0.780
0.303624192,0.1605,0.1720,0.7266,0.764
0.306195807,0.1568,0.1581,0.7134,0.747
0.308125346,0.1532,0.1432,0.6997,0.730
0.309473499,0.1498,0.1297,0.6870,0.715
0.311449692,0.1471,0.1163,0.6736,0.699
0.314906038,0.1451,0.1043,0.6611,0.685
0.315857153,0.1427,0.0924,0.6482,0.670
0.317678461,0.1402,0.0816,0.6367,0.657
0.319840807,0.1375,0.0713,0.6247,0.644
0.321691269,0.1351,0.0616,0.6125,0.630
0.323662576,0.1324,0.0530,0.6015,0.618
0.325572807,0.1292,0.0445,0.5905,0.606
0.327437038,0.1263,0.0371,0.5810,0.596
0.329877576,0.1231,0.0303,0.5719,0.586
0.336667461,0.1180,0.0237,0.5619,0.575
0.336970269,0.1139,0.0186,0.5539,0.566
0.337111576,0.1104,0.0144,0.5475,0.559
0.337897615,0.1073,0.0107,0.5419,0.553
0.34100323,0.1026,0.0073,0.5375,0.547
0.342160384,0.0982,0.0046,0.5348,0.544
0.34377373,0.0931,0.0015,0.5348,0.543
0.345788269,0.0872,-0.0020,0.5377,0.545
0.349835692,0.0811,-0.0049,0.5421,0.548
0.35007523,0.0735,-0.0090,0.5492,0.554
0.351414192,0.0662,-0.0129,0.5568,0.561
0.353591384,0.0596,-0.0173,0.5666,0.570
0.355810615,0.0545,-0.0215,0.5761,0.579
0.358120615,0.0513,-0.0264,0.5871,0.590
0.362169999,0.0494,-0.0318,0.5993,0.602
0.362551922,0.0481,-0.0366,0.6105,0.614
0.363806846,0.0474,-0.0413,0.6225,0.626
0.366143269,0.0469,-0.0454,0.6335,0.637
