time,gFx,gFy,gFz,TgF
9.31846E-4,-0.6250,-0.7723,0.1637,1.007
0.001131539,-0.6201,-0.7715,0.1744,1.005
0.002048,-0.6088,-0.7689,0.2060,1.002
0.002266,-0.6020,-0.7703,0.2196,1.002
0.002897731,-0.6655,-0.8043,0.2631,1.077
0.0048595,-0.7195,-0.8263,0.2912,1.134
0.006919231,-0.7092,-0.8522,0.3044,1.150
0.009032539,-0.6802,-0.8602,0.3120,1.140
0.011101769,-0.6650,-0.8605,0.3191,1.133
0.013100192,-0.6262,-0.8566,0.3232,1.109
0.021026654,-0.5683,-0.8238,0.3408,1.057
0.021272154,-0.5683,-0.8238,0.3408,1.057
0.021401885,-0.5683,-0.8238,0.3408,1.057
0.021523462,-0.5683,-0.8238,0.3408,1.057
0.022881231,-0.5622,-0.8128,0.3433,1.046
0.025252616,-0.5639,-0.8079,0.3428,1.043
0.027928731,-0.5668,-0.7996,0.3396,1.037
0.029082885,-0.5700,-0.7962,0.3372,1.036
0.030868192,-0.5800,-0.7899,0.3303,1.034
0.032946,-0.5932,-0.7830,0.3174,1.032
0.034934462,-0.5991,-0.7820,0.3091,1.032
0.036857808,-0.6110,-0.7862,0.2929,1.038
0.038845769,-0.6184,-0.7916,0.2868,1.045
0.040906308,-0.6320,-0.8065,0.2727,1.060
0.043218923,-0.6396,-0.8128,0.2658,1.068
0.045578308,-0.6538,-0.8206,0.2546,1.080
0.046950731,-0.6670,-0.8211,0.2392,1.085
0.048862192,-0.6726,-0.8187,0.2297,1.084
0.051062577,-0.6824,-0.8175,0.2106,1.085
0.053038077,-0.6863,-0.8197,0.2064,1.089
0.055987462,-0.6963,-0.8282,0.2106,1.102
0.056836462,-0.7000,-0.8282,0.2106,1.105
0.059034808,-0.7034,-0.8250,0.2106,1.104
0.061005269,-0.7070,-0.8312,0.2157,1.112
0.063042885,-0.7075,-0.8351,0.2211,1.117
0.064940731,-0.7070,-0.8329,0.2245,1.115
0.066909039,-0.7026,-0.8338,0.2257,1.114
0.068891577,-0.6848,-0.8390,0.2387,1.109
0.070977577,-0.6662,-0.8353,0.2404,1.095
0.072875346,-0.6545,-0.8246,0.2372,1.079
0.075067846,-0.6350,-0.8158,0.2372,1.061
0.077965308,-0.6276,-0.8077,0.2365,1.050
0.079324462,-0.6171,-0.7886,0.2238,1.026
0.080999846,-0.6123,-0.7813,0.2155,1.016
0.082903539,-0.6035,-0.7745,0.2025,1.002
0.084988192,-0.5934,-0.7618,0.1840,0.983
0.086947231,-0.5908,-0.7535,0.1696,0.972
0.088985692,-0.5805,-0.7417,0.1468,0.953
0.090907192,-0.5705,-0.7376,0.1419,0.943
0.094283539,-0.5404,-0.7241,0.1307,0.913
0.096997346,-0.4877,-0.7019,0.1099,0.862
