time,gFx,gFy,gFz,TgF
0.001002961,-0.1935,0.2736,0.9025,0.963
0.001183654,-0.1854,0.2761,0.8976,0.957
0.001290884,-0.1840,0.2753,0.8976,0.957
0.002379615,-0.1857,0.2675,0.9010,0.958
0.004754384,-0.1906,0.2585,0.9059,0.961
0.006380884,-0.1942,0.2541,0.9103,0.965
0.008414769,-0.2040,0.2419,0.9154,0.969
0.010777423,-0.2101,0.2355,0.9174,0.970
0.012655577,-0.2201,0.2260,0.9203,0.973
0.014428192,-0.2294,0.2228,0.9201,0.974
0.016531577,-0.2343,0.2133,0.9181,0.971
0.018643461,-0.2404,0.2060,0.9147,0.968
0.020442308,-0.2426,0.2020,0.9115,0.965
0.0223705,-0.2477,0.1935,0.9030,0.956
0.024488192,-0.2502,0.1898,0.9005,0.954
0.026567423,-0.2497,0.1842,0.8961,0.948
0.033445654,-0.2387,0.1815,0.9008,0.949
0.033984461,-0.2387,0.1815,0.9008,0.949
0.034227692,-0.2387,0.1815,0.9008,0.949
0.034459808,-0.2380,0.1815,0.9044,0.953
0.036490769,-0.2358,0.1815,0.9145,0.962
0.038339115,-0.2348,0.1830,0.9191,0.966
0.040767038,-0.2370,0.1854,0.9294,0.977
0.042621538,-0.2411,0.1871,0.9416,0.990
0.045043269,-0.2431,0.1862,0.9472,0.995
0.047319615,-0.2487,0.1852,0.9570,1.006
0.048382461,-0.2509,0.1845,0.9619,1.011
0.0502395,-0.2553,0.1823,0.9731,1.022
0.052407038,-0.2570,0.1798,0.9795,1.028
0.054255192,-0.2612,0.1779,0.9885,1.038
0.056317961,-0.2634,0.1762,0.9988,1.048
0.058427961,-0.2656,0.1769,1.0017,1.051
0.060261269,-0.2658,0.1757,0.9963,1.046
0.062777307,-0.2631,0.1737,0.9858,1.035
0.064628769,-0.2487,0.1764,0.9875,1.034
0.066301307,-0.2341,0.1803,1.0066,1.049
0.073004307,-0.2138,0.1962,1.0215,1.062
0.073306269,-0.2138,0.1962,1.0215,1.062
0.073572769,-0.2138,0.1962,1.0215,1.062
0.074346769,-0.2096,0.2011,1.0222,1.063
0.076350654,-0.2079,0.2018,1.0205,1.061
0.079853077,-0.2079,0.2018,1.0161,1.057
0.080754577,-0.2106,0.2013,1.0080,1.049
0.082448654,-0.2128,0.2013,1.0007,1.043
0.084310654,-0.2194,0.2011,0.9843,1.028
0.086335307,-0.2223,0.2006,0.9753,1.020
0.088214231,-0.2253,0.1996,0.9575,1.004
0.090188615,-0.2243,0.2028,0.9484,0.995
0.092417384,-0.2240,0.2079,0.9345,0.983
0.094746,-0.2226,0.2118,0.9238,0.974
0.096653346,-0.2223,0.2145,0.9191,0.970
0.098310577,-0.2233,0.2152,0.9101,0.961
0.100302346,-0.2231,0.2143,0.9071,0.958
0.102256923,-0.2238,0.2111,0.9013,0.952
0.104405115,-0.2245,0.2084,0.8983,0.949
0.106245692,-0.2275,0.2011,0.8952,0.945
