time,gFx,gFy,gFz,TgF
0.001625307,0.0603,0.4913,1.0097,1.125
0.002158615,0.0730,0.5028,0.9782,1.102
0.002439884,0.0963,0.5187,0.9125,1.054
0.002670846,0.1070,0.5236,0.8773,1.027
0.009532961,0.1258,0.5113,0.6924,0.870
0.009907423,0.1258,0.5113,0.6924,0.870
0.010177307,0.1258,0.5113,0.6924,0.870
0.010393346,0.1222,0.5011,0.6670,0.843
0.012363769,0.1170,0.4884,0.6445,0.817
0.014105769,0.0970,0.4583,0.6091,0.768
0.016037423,0.0843,0.4425,0.5971,0.748
0.017973,0.0591,0.4131,0.5895,0.722
0.0197895,0.0327,0.3863,0.5976,0.712
0.021815269,0.0195,0.3721,0.6071,0.712
0.024459653,-0.0103,0.3447,0.6333,0.721
0.026126153,-0.0249,0.3345,0.6499,0.731
0.029840384,-0.0454,0.3201,0.6865,0.759
0.030216615,-0.0542,0.3154,0.7036,0.773
0.032240192,-0.0709,0.3081,0.7388,0.804
0.033909077,-0.0782,0.3061,0.7772,0.839
0.035834692,-0.0816,0.3069,0.7950,0.856
0.037690077,-0.0872,0.3130,0.8324,0.894
0.040165769,-0.0897,0.3166,0.8500,0.911
0.042400077,-0.0921,0.3232,0.8820,0.944
0.050104961,-0.0997,0.3430,0.9628,1.027
0.050516461,-0.0997,0.3430,0.9628,1.027
0.050642077,-0.0997,0.3430,0.9628,1.027
0.050758384,-0.0997,0.3430,0.9628,1.027
0.052027653,-0.1014,0.3467,0.9809,1.045
0.0546835,-0.1029,0.3477,0.9887,1.053
0.056184577,-0.1029,0.3469,1.0005,1.064
0.058119077,-0.1048,0.3435,1.0097,1.072
0.060363807,-0.1053,0.3401,1.0129,1.074
0.0621965,-0.1085,0.3325,1.0198,1.078
0.064153884,-0.1097,0.3296,1.0217,1.079
0.066218269,-0.1121,0.3218,1.0242,1.079
0.067829115,-0.1129,0.3166,1.0249,1.079
0.069804923,-0.1153,0.3093,1.0286,1.080
0.071983307,-0.1156,0.3027,1.0325,1.082
0.073800153,-0.1151,0.2993,1.0322,1.081
0.075866538,-0.1143,0.2954,1.0315,1.079
0.078128884,-0.1121,0.2942,1.0298,1.077
0.080843884,-0.1041,0.2910,1.0225,1.068
0.082306115,-0.0950,0.2920,1.0129,1.058
0.085350346,-0.0831,0.2927,1.0029,1.048
0.085639038,-0.0770,0.2937,0.9985,1.044
0.088200461,-0.0721,0.2949,0.9946,1.040
0.090182923,-0.0608,0.2961,0.9878,1.033
0.092187884,-0.0552,0.2964,0.9841,1.029
0.096255307,-0.0469,0.2976,0.9777,1.023
0.096457653,-0.0418,0.2981,0.9731,1.019
0.098125423,-0.0396,0.2971,0.9719,1.017
0.100264653,-0.0364,0.2956,0.9711,1.016
0.102208884,-0.0335,0.2951,0.9699,1.014
0.104169538,-0.0281,0.2939,0.9675,1.012
0.106132,-0.0269,0.2934,0.9658,1.010
0.107966615,-0.0249,0.2929,0.9628,1.007
0.10981,-0.0230,0.2898,0.9602,1.003
0.112679384,-0.0230,0.2898,0.9589,1.002
0.114164461,-0.0213,0.2900,0.9577,1.001
0.116131884,-0.0200,0.2912,0.9550,0.999
0.118070769,-0.0205,0.2932,0.9528,0.997
0.119944192,-0.0217,0.2951,0.9494,0.994
0.121849,-0.0220,0.2968,0.9489,0.995
0.125537538,-0.0244,0.3025,0.9467,0.994
0.12614323,-0.0244,0.3025,0.9467,0.994
0.128157153,-0.0298,0.3078,0.9440,0.993
0.130370384,-0.0313,0.3093,0.9428,0.993
0.132388076,-0.0320,0.3127,0.9428,0.994
0.134094846,-0.0347,0.3169,0.9435,0.996
0.135964076,-0.0359,0.3176,0.9426,0.995
0.138,-0.0393,0.3215,0.9411,0.995
0.1399745,-0.0413,0.3227,0.9404,0.995
0.1419525,-0.0450,0.3240,0.9401,0.995
0.144578846,-0.0467,0.3240,0.9399,0.995
0.146251192,-0.0491,0.3259,0.9394,0.996
0.148037192,-0.0506,0.3284,0.9384,0.995
0.149889769,-0.0518,0.3296,0.9382,0.996
