time;gFx;gFy;gFz;TgF
0.001807731;-0,1972;0,5543;0,8839;1,062
0.002171116;-0,1957;0,5563;0,8651;1,047
0.002390654;-0,1947;0,5617;0,8487;1,036
0.002600231;-0,1935;0,5644;0,8392;1,030
0.002809346;-0,1901;0,5702;0,8175;1,015
0.003027;-0,1901;0,5766;0,7911;0,997
0.003233885;-0,1889;0,5785;0,7781;0,988
0.008201346;-0,1830;0,5861;0,7415;0,963
0.008844885;-0,1830;0,5861;0,7415;0,963
0.009067231;-0,1762;0,5934;0,7151;0,946
0.011180846;-0,1630;0,6013;0,6968;0,935
0.013065462;-0,1556;0,6059;0,6909;0,932
0.014870693;-0,1385;0,6135;0,6858;0,931
0.016970577;-0,1143;0,6203;0,6887;0,934
0.019276231;-0,0992;0,6235;0,6943;0,938
0.020938539;-0,0667;0,6250;0,7036;0,943
0.032604846;-0,0369;0,6276;0,7061;0,945
0.033079385;-0,0239;0,6298;0,7068;0,947
0.033305385;-0,0024;0,6306;0,7068;0,947
0.033513039;0,0161;0,6325;0,7080;0,950
0.033716231;0,0205;0,6403;0,7083;0,955
0.033912693;0,0249;0,6445;0,7056;0,956
0.034912385;0,0232;0,6443;0,7061;0,956
0.036769923;0,0183;0,6423;0,7070;0,955
0.040129693;0,0098;0,6379;0,7075;0,953
0.040955962;0,0044;0,6350;0,7095;0,952
0.042900923;-0,0076;0,6284;0,7200;0,956
0.044944539;-0,0220;0,6223;0,7315;0,961
0.047105693;-0,0301;0,6196;0,7347;0,962
0.049931077;-0,0489;0,6118;0,7388;0,960
0.051265962;-0,0645;0,5995;0,7459;0,959
0.052975577;-0,0718;0,5917;0,7478;0,956
0.054993346;-0,0848;0,5793;0,7520;0,953
0.05773227;-0,0972;0,5724;0,7564;0,954
0.059519885;-0,1033;0,5641;0,7581;0,951
0.061051385;-0,1131;0,5607;0,7610;0,952
0.062887308;-0,1187;0,5583;0,7635;0,953
0.065968423;-0,1366;0,5509;0,7698;0,956
0.066954654;-0,1424;0,5478;0,7723;0,957
0.06906527;-0,1476;0,5456;0,7745;0,959
0.0707445;-0,1554;0,5453;0,7808;0,965
0.073360423;-0,1571;0,5460;0,7869;0,971
0.075160423;-0,1578;0,5485;0,7926;0,977
0.077133539;-0,1581;0,5605;0,8016;0,991
0.079065385;-0,1593;0,5746;0,8013;0,999
0.081005116;-0,1603;0,5815;0,8013;1,003
0.083014962;-0,1576;0,5912;0,8050;1,011
0.084967;-0,1510;0,5954;0,8057;1,013
0.086759808;-0,1473;0,6071;0,8060;1,020
0.090013077;-0,1363;0,6181;0,8077;1,026
0.091216693;-0,1310;0,6257;0,8092;1,031
0.093035;-0,1207;0,6408;0,8067;1,037
0.094993;-0,1124;0,6531;0,8004;1,039
0.097056385;-0,1095;0,6577;0,7994;1,041
0.099596846;-0,1031;0,6638;0,7945;1,040
0.101040577;-0,0960;0,6689;0,7886;1,039
0.102952769;-0,0931;0,6706;0,7850;1,037
0.104927885;-0,0828;0,6746;0,7833;1,037
0.107186577;-0,0750;0,6826;0,7813;1,040
0.109006462;-0,0733;0,6858;0,7777;1,039
0.110968885;-0,0709;0,6895;0,7737;1,039
0.113172193;-0,0721;0,6882;0,7740;1,038
0.115308154;-0,0726;0,6831;0,7752;1,036
0.117131616;-0,0716;0,6748;0,7796;1,034
0.1191455;-0,0706;0,6689;0,7838;1,033
0.121569654;-0,0667;0,6594;0,7923;1,033
0.133538;-0,0672;0,6540;0,7960;1,032
0.134020039;-0,0726;0,6494;0,7948;1,029
0.134239;-0,0755;0,6438;0,7935;1,025
0.134462962;-0,0823;0,6330;0,7943;1,019
0.134682116;-0,0858;0,6274;0,7945;1,016
0.134894962;-0,0906;0,6179;0,7989;1,014
0.135148308;-0,0909;0,6074;0,8119;1,018
0.136968269;-0,0911;0,6035;0,8185;1,021
0.1438115;-0,0928;0,5969;0,8233;1,021
0.144253808;-0,0941;0,5954;0,8246;1,021
0.144487808;-0,0982;0,5920;0,8255;1,021
0.145052846;-0,1029;0,5888;0,8224;1,017
0.148532308;-0,1041;0,5868;0,8206;1,014
0.150414231;-0,1046;0,5815;0,8182;1,009
0.151971846;-0,1014;0,5741;0,8192;1,005
0.153230269;-0,0980;0,5739;0,8167;1,003
0.155260193;-0,0938;0,5766;0,8104;0,999
0.158504308;-0,0872;0,5754;0,8045;0,993
0.159364693;-0,0836;0,5741;0,8026;0,990
0.160887193;-0,0762;0,5732;0,7943;0,982
0.163238193;-0,0689;0,5734;0,7872;0,976
0.165140077;-0,0638;0,5744;0,7838;0,974
0.1670745;-0,0537;0,5778;0,7742;0,968
0.169074923;-0,0503;0,5822;0,7689;0,966
0.170925539;-0,0472;0,5917;0,7544;0,960
0.173537385;-0,0440;0,6020;0,7422;0,957
0.175206654;-0,0440;0,6054;0,7373;0,955
0.177196577;-0,0447;0,6127;0,7237;0,949
0.179283308;-0,0428;0,6196;0,7129;0,945
0.181379193;-0,0396;0,6218;0,7105;0,945
0.183268116;-0,0347;0,6294;0,7070;0,947
0.186170346;-0,0313;0,6411;0,7002;0,950
0.186906;-0,0291;0,6445;0,6987;0,951
0.190237846;-0,0254;0,6491;0,6995;0,955
0.191162231;-0,0222;0,6487;0,6987;0,954
0.193400962;-0,0208;0,6487;0,6992;0,954
0.195005962;-0,0181;0,6482;0,7014;0,955
0.197504577;-0,0164;0,6472;0,7051;0,957
0.199058231;-0,0129;0,6477;0,7095;0,961
0.201613885;-0,0120;0,6482;0,7117;0,963
0.203087962;-0,0134;0,6460;0,7149;0,964
0.205318616;-0,0166;0,6391;0,7241;0,966
0.207229423;-0,0232;0,6323;0,7315;0,967
0.209397885;-0,0276;0,6289;0,7349;0,968
0.211241654;-0,0342;0,6208;0,7466;0,972
0.213556154;-0,0401;0,6142;0,7586;0,977
0.215425308;-0,0425;0,6110;0,7647;0,980
0.217587;-0,0494;0,6066;0,7757;0,986
0.219525654;-0,0569;0,6044;0,7930;0,999
0.221455;-0,0618;0,6022;0,8009;1,004
0.235409577;-0,0691;0,6010;0,8141;1,014
0.236021231;-0,0730;0,6000;0,8216;1,020
0.236277346;-0,0784;0,5966;0,8353;1,029
0.236494039;-0,0843;0,5944;0,8483;1,039
0.2367065;-0,0877;0,5954;0,8514;1,043
0.236908154;-0,0906;0,5956;0,8593;1,049
0.237112269;-0,0967;0,5917;0,8668;1,054
0.237325808;-0,1002;0,5915;0,8668;1,054
0.240211231;-0,1075;0,5912;0,8656;1,054
0.241697654;-0,1134;0,5898;0,8632;1,052
0.243282692;-0,1148;0,5898;0,8622;1,051
0.246238462;-0,1143;0,5939;0,8605;1,052
0.246990769;-0,1124;0,5939;0,8600;1,051
0.249684154;-0,1097;0,5949;0,8597;1,051
0.251292039;-0,1051;0,5991;0,8595;1,053
0.253352462;-0,1029;0,6008;0,8585;1,053
0.256261731;-0,0982;0,6059;0,8607;1,057
0.262994154;-0,0931;0,6108;0,8654;1,063
0.263494962;-0,0904;0,6140;0,8649;1,064
0.263809808;-0,0880;0,6218;0,8622;1,067
0.264044154;-0,0848;0,6291;0,8605;1,069
0.265063308;-0,0850;0,6306;0,8583;1,068
0.267162846;-0,0880;0,6352;0,8492;1,064
0.269793616;-0,0928;0,6401;0,8404;1,061
0.271302962;-0,0958;0,6430;0,8380;1,061
0.274060385;-0,0982;0,6501;0,8280;1,057
0.275070039;-0,1026;0,6535;0,8224;1,055
0.276973654;-0,1031;0,6582;0,8150;1,053
0.279372154;-0,1029;0,6577;0,8106;1,049
0.281526385;-0,1036;0,6579;0,8084;1,047
0.283172769;-0,1073;0,6604;0,8031;1,045
0.285277116;-0,1114;0,6599;0,8004;1,043
0.287000769;-0,1124;0,6594;0,8006;1,043
0.290206423;-0,1146;0,6572;0,7982;1,040
0.291755077;-0,1160;0,6531;0,7921;1,033
0.293463654;-0,1168;0,6484;0,7899;1,029
0.2952245;-0,1204;0,6386;0,7901;1,023
0.297328885;-0,1239;0,6291;0,7882;1,016
0.299338154;-0,1285;0,6245;0,7872;1,013
0.301425346;-0,1361;0,6105;0,7855;1,004
0.303270154;-0,1400;0,6057;0,7864;1,002
0.306789769;-0,1498;0,5934;0,7850;0,995
0.307499154;-0,1512;0,5883;0,7852;0,993
0.309333308;-0,1517;0,5829;0,7850;0,989
0.311583423;-0,1539;0,5722;0,7879;0,986
0.313997231;-0,1549;0,5653;0,7894;0,983
0.315248308;-0,1549;0,5634;0,7908;0,983
0.317280731;-0,1529;0,5592;0,7906;0,980
0.319478692;-0,1476;0,5575;0,7884;0,977
0.321548808;-0,1454;0,5578;0,7860;0,975
0.336046154;-0,1422;0,5583;0,7825;0,972
0.336598039;-0,1356;0,5553;0,7794;0,967
0.336845577;-0,1319;0,5556;0,7791;0,966
0.337074385;-0,1231;0,5583;0,7786;0,966
0.337300808;-0,1182;0,5595;0,7786;0,966
0.3375405;-0,1090;0,5644;0,7762;0,966
0.337768346;-0,0982;0,5685;0,7696;0,962
0.337998;-0,0926;0,5712;0,7657;0,960
0.340722731;-0,0845;0,5766;0,7579;0,956
0.341613654;-0,0755;0,5790;0,7503;0,951
0.343333577;-0,0716;0,5822;0,7471;0,950
0.345259077;-0,0618;0,5927;0,7415;0,951
0.347365769;-0,0520;0,6042;0,7334;0,952
0.349636269;-0,0467;0,6093;0,7298;0,952
0.351786577;-0,0352;0,6191;0,7251;0,954
0.353423846;-0,0242;0,6286;0,7205;0,956
0.359262231;-0,0198;0,6328;0,7183;0,957
0.359792115;-0,0137;0,6381;0,7154;0,959
0.360055346;-0,0115;0,6406;0,7127;0,958
0.366134577;-0,0046;0,6472;0,7107;0,961
0.366740962;-0,0007;0,6506;0,7110;0,964
0.367070385;0,0012;0,6526;0,7151;0,968
0.367730192;0,0010;0,6523;0,7171;0,969
0.369430731;0,0002;0,6501;0,7249;0,974
0.372182539;-0,0002;0,6482;0,7303;0,976
0.373880423;-0,0029;0,6425;0,7415;0,981
0.376737654;-0,0056;0,6403;0,7554;0,990
0.377342731;-0,0056;0,6377;0,7610;0,993
0.379381923;-0,0081;0,6318;0,7730;0,998
0.381483731;-0,0144;0,6308;0,7879;1,009
0.383148385;-0,0191;0,6276;0,7972;1,015
0.385333231;-0,0296;0,6247;0,8172;1,029
0.387250539;-0,0357;0,6225;0,8250;1,034
0.389984692;-0,0459;0,6206;0,8404;1,046
0.391796539;-0,0550;0,6218;0,8573;1,060
0.393356615;-0,0638;0,6225;0,8656;1,068
0.395201692;-0,0667;0,6252;0,8788;1,081
0.397348308;-0,0735;0,6259;0,8925;1,093
0.399751692;-0,0787;0,6272;0,9003;1,100
0.401353154;-0,0853;0,6284;0,9128;1,111
0.403350231;-0,0933;0,6298;0,9230;1,121
0.405397385;-0,0963;0,6298;0,9262;1,124
0.407906231;-0,1016;0,6320;0,9313;1,130
0.409703423;-0,1043;0,6333;0,9323;1,132
0.411471462;-0,1068;0,6342;0,9325;1,133
0.413408385;-0,1146;0,6303;0,9343;1,133
0.415357192;-0,1180;0,6281;0,9330;1,131
0.417391077;-0,1241;0,6237;0,9286;1,126
0.419374154;-0,1283;0,6215;0,9250;1,122
0.421674115;-0,1292;0,6198;0,9235;1,120
0.426811077;-0,1268;0,6149;0,9169;1,111
0.427678231;-0,1207;0,6118;0,9101;1,103
0.427972077;-0,1195;0,6083;0,9084;1,100
0.429542385;-0,1190;0,6071;0,9035;1,095
0.431177577;-0,1204;0,6066;0,8961;1,089
0.436182115;-0,1204;0,6091;0,8930;1,088
0.436714692;-0,1219;0,6176;0,8834;1,085
0.440291192;-0,1197;0,6232;0,8790;1,084
0.441669577;-0,1168;0,6330;0,8661;1,079
0.442493654;-0,1112;0,6425;0,8536;1,074
0.443947808;-0,1075;0,6479;0,8465;1,071
0.445638;-0,1029;0,6582;0,8307;1,065
0.447518962;-0,0941;0,6670;0,8153;1,058
0.449339538;-0,0892;0,6726;0,8077;1,055
0.451320577;-0,0794;0,6819;0,7935;1,049
