time;gFx;gFy;gFz;TgF
0.002040038;-0,1488;0,4488;0,7293;0,869
0.002365;-0,1432;0,4510;0,7432;0,881
0.002594731;-0,1344;0,4522;0,7601;0,895
0.002806923;-0,1300;0,4556;0,7701;0,904
0.003016308;-0,1182;0,4578;0,7928;0,923
0.003222923;-0,1121;0,4593;0,8075;0,936
0.004132846;-0,0987;0,4605;0,8397;0,963
0.006453115;-0,0823;0,4627;0,8722;0,991
0.009308231;-0,0745;0,4635;0,8876;1,004
0.011272731;-0,0564;0,4647;0,9142;1,027
0.012772654;-0,0393;0,4647;0,9401;1,049
0.014751385;-0,0322;0,4630;0,9514;1,059
0.016807308;-0,0193;0,4627;0,9699;1,075
0.018554154;-0,0134;0,4632;0,9777;1,082
0.020185308;-0,0056;0,4637;0,9890;1,092
0.022390154;-0,0007;0,4625;0,9963;1,098
0.027386692;0,0010;0,4635;0,9978;1,100
0.027747885;0,0044;0,4642;0,9992;1,102
0.029017192;0,0034;0,4632;0,9995;1,102
0.031030115;0,0032;0,4649;0,9995;1,102
0.032451654;0,0020;0,4654;0,9958;1,099
0.034496231;0,0012;0,4649;0,9870;1,091
0.036312885;-0,0010;0,4647;0,9829;1,087
0.038330346;-0,0061;0,4637;0,9741;1,079
0.049694115;-0,0103;0,4632;0,9597;1,066
0.050226961;-0,0139;0,4635;0,9518;1,059
0.050434615;-0,0213;0,4625;0,9367;1,045
0.050632692;-0,0254;0,4608;0,9286;1,037
0.050826923;-0,0359;0,4586;0,9042;1,014
0.051029846;-0,0391;0,4578;0,8986;1,009
0.052560308;-0,0418;0,4581;0,8932;1,005
0.054607769;-0,0467;0,4556;0,8839;0,996
0.056832038;-0,0530;0,4549;0,8798;0,992
0.059250385;-0,0559;0,4544;0,8790;0,991
0.060833423;-0,0589;0,4525;0,8739;0,986
0.062723077;-0,0623;0,4534;0,8717;0,985
0.065116538;-0,0638;0,4520;0,8710;0,983
0.067284308;-0,0662;0,4515;0,8707;0,983
0.069259385;-0,0657;0,4503;0,8722;0,984
0.070707115;-0,0643;0,4493;0,8727;0,984
0.073198308;-0,0628;0,4498;0,8717;0,983
0.078502731;-0,0621;0,4500;0,8727;0,984
0.079059154;-0,0628;0,4495;0,8717;0,983
0.079318385;-0,0613;0,4488;0,8727;0,983
0.081289654;-0,0616;0,4483;0,8727;0,983
0.082873961;-0,0603;0,4495;0,8710;0,982
0.084440269;-0,0603;0,4503;0,8698;0,981
0.086785577;-0,0608;0,4503;0,8683;0,980
0.088546038;-0,0616;0,4505;0,8671;0,979
0.091749038;-0,0596;0,4517;0,8651;0,978
0.092722077;-0,0606;0,4520;0,8632;0,976
0.094551769;-0,0630;0,4520;0,8615;0,975
0.096577038;-0,0638;0,4520;0,8568;0,971
0.098733308;-0,0635;0,4520;0,8553;0,970
0.100410231;-0,0633;0,4510;0,8522;0,966
0.102686154;-0,0621;0,4510;0,8502;0,964
0.104446692;-0,0608;0,4522;0,8509;0,966
0.107254846;-0,0557;0,4517;0,8483;0,963
0.109869577;-0,0518;0,4537;0,8429;0,959
0.110433;-0,0494;0,4542;0,8412;0,957
0.112407077;-0,0469;0,4549;0,8392;0,956
0.114988846;-0,0464;0,4549;0,8373;0,954
0.117037077;-0,0435;0,4583;0,8346;0,953
0.118619346;-0,0440;0,4596;0,8348;0,954
0.120747846;-0,0428;0,4600;0,8365;0,956
0.122635769;-0,0396;0,4620;0,8407;0,960
0.125424231;-0,0374;0,4637;0,8470;0,966
0.126535577;-0,0357;0,4664;0,8512;0,971
0.128638461;-0,0320;0,4686;0,8605;0,980
0.130799077;-0,0303;0,4693;0,8658;0,985
0.133001961;-0,0257;0,4698;0,8800;0,998
0.134856;-0,0205;0,4713;0,8935;1,010
0.136396192;-0,0195;0,4718;0,8986;1,015
0.138805115;-0,0178;0,4713;0,9091;1,024
0.155385923;-0,0181;0,4683;0,9159;1,029
0.156200346;-0,0188;0,4681;0,9196;1,032
0.156704423;-0,0183;0,4679;0,9259;1,038
0.157423577;-0,0188;0,4666;0,9296;1,040
0.157845115;-0,0203;0,4662;0,9299;1,040
0.158231308;-0,0208;0,4640;0,9313;1,041
0.158635461;-0,0225;0,4635;0,9340;1,043
0.159034346;-0,0239;0,4625;0,9325;1,041
0.159433192;-0,0249;0,4591;0,9291;1,037
0.159817692;-0,0259;0,4591;0,9279;1,036
0.179582231;-0,0259;0,4586;0,9264;1,034
0.180094692;-0,0259;0,4566;0,9225;1,030
0.180339192;-0,0269;0,4549;0,9211;1,028
0.180571538;-0,0279;0,4547;0,9142;1,021
0.180894269;-0,0293;0,4542;0,9071;1,015
0.181130577;-0,0310;0,4534;0,9027;1,011
0.181353115;-0,0318;0,4539;0,8961;1,005
0.181611615;-0,0337;0,4544;0,8873;0,998
0.181839961;-0,0347;0,4542;0,8825;0,993
0.182084423;-0,0362;0,4569;0,8759;0,989
0.182327192;-0,0376;0,4583;0,8705;0,984
0.189255615;-0,0369;0,4588;0,8695;0,984
0.189797077;-0,0381;0,4598;0,8651;0,980
0.190067615;-0,0388;0,4605;0,8636;0,980
0.190320346;-0,0391;0,4620;0,8600;0,977
0.190798961;-0,0398;0,4632;0,8585;0,976
0.192816808;-0,0408;0,4632;0,8573;0,975
0.194547384;-0,0406;0,4644;0,8539;0,973
0.197486308;-0,0428;0,4662;0,8534;0,973
0.198956654;-0,0440;0,4666;0,8539;0,974
0.200893269;-0,0445;0,4657;0,8561;0,976
0.202721654;-0,0440;0,4640;0,8595;0,978
0.205416577;-0,0440;0,4635;0,8607;0,979
0.206600461;-0,0401;0,4615;0,8663;0,982
0.2088595;-0,0371;0,4613;0,8700;0,985
0.210507731;-0,0347;0,4605;0,8720;0,987
0.212334192;-0,0293;0,4613;0,8754;0,990
0.214632538;-0,0269;0,4605;0,8773;0,991
0.216503461;-0,0239;0,4593;0,8812;0,994
0.218367307;-0,0215;0,4576;0,8822;0,994
0.220631884;-0,0205;0,4571;0,8834;0,995
0.222795384;-0,0208;0,4591;0,8854;0,998
0.236224807;-0,0200;0,4596;0,8856;0,998
0.236738731;-0,0195;0,4598;0,8869;0,999
0.236935192;-0,0198;0,4613;0,8866;1,000
0.237162192;-0,0200;0,4608;0,8854;0,998
0.237396615;-0,0213;0,4605;0,8844;0,997
0.237623538;-0,0225;0,4605;0,8849;0,998
0.237838231;-0,0249;0,4600;0,8844;0,997
0.238476269;-0,0276;0,4596;0,8854;0,998
0.241820461;-0,0315;0,4596;0,8864;0,999
0.242825115;-0,0332;0,4583;0,8844;0,997
0.244558654;-0,0366;0,4574;0,8832;0,995
0.246763038;-0,0381;0,4569;0,8854;0,997
