time;gFx;gFy;gFz;TgF
0.002239616;-0,2626;0,4376;1,1212;1,232
0.002573039;-0,2558;0,4192;1,1375;1,239
0.002787962;-0,2519;0,3980;1,1471;1,240
0.002989462;-0,2487;0,3882;1,1497;1,239
0.003186385;-0,2426;0,3677;1,1502;1,232
0.003381424;-0,2399;0,3574;1,1480;1,226
0.003646;-0,2367;0,3374;1,1400;1,212
0.003873924;-0,2380;0,3249;1,1258;1,196
0.009872077;-0,2409;0,3191;1,1180;1,187
0.010315308;-0,2492;0,3115;1,1011;1,171
0.010534847;-0,2639;0,3056;1,0816;1,154
0.011888231;-0,2712;0,3039;1,0718;1,147
0.025256654;-0,2942;0,3037;1,0459;1,128
0.025707924;-0,2942;0,3037;1,0459;1,128
0.025921847;-0,3064;0,3056;1,0303;1,117
0.026129924;-0,3164;0,3069;1,0185;1,110
0.026330154;-0,3188;0,3083;1,0129;1,106
0.026530847;-0,3222;0,3100;1,0012;1,097
0.026732693;-0,3203;0,3139;0,9868;1,084
0.026935654;-0,3166;0,3169;0,9807;1,078
0.028980116;-0,3122;0,3220;0,9643;1,064
0.031106731;-0,3059;0,3274;0,9470;1,048
0.032926;-0,3017;0,3303;0,9382;1,039
0.034787347;-0,2968;0,3369;0,9176;1,022
0.037093154;-0,2932;0,3413;0,8959;1,003
0.039064231;-0,2917;0,3445;0,8854;0,994
0.040853654;-0,2880;0,3530;0,8668;0,979
0.042635116;-0,2822;0,3569;0,8461;0,961
0.044929654;-0,2797;0,3640;0,8353;0,953
0.046914731;-0,2707;0,3726;0,8180;0,939
0.048885424;-0,2656;0,3765;0,8106;0,932
0.051032616;-0,2538;0,3824;0,7962;0,919
0.053168385;-0,2387;0,3877;0,7808;0,904
0.055013385;-0,2301;0,3892;0,7752;0,897
0.057039577;-0,2106;0,3951;0,7640;0,885
0.058825077;-0,1928;0,3958;0,7552;0,874
0.060837847;-0,1840;0,3975;0,7513;0,870
0.06367277;-0,1696;0,4004;0,7439;0,862
0.064943154;-0,1571;0,4021;0,7430;0,859
0.066843308;-0,1515;0,4029;0,7430;0,859
0.068897077;-0,1429;0,4034;0,7444;0,859
0.071069462;-0,1356;0,4014;0,7474;0,859
0.073735347;-0,1285;0,3973;0,7554;0,863
0.07487377;-0,1248;0,3938;0,7601;0,865
0.077076;-0,1180;0,3907;0,7652;0,867
0.078967539;-0,1131;0,3809;0,7772;0,873
0.09001027;-0,1048;0,3704;0,7926;0,881
0.090449731;-0,1016;0,3652;0,8018;0,887
0.090666539;-0,0970;0,3535;0,8214;0,899
0.090871;-0,0919;0,3411;0,8451;0,916
0.091261923;-0,0902;0,3354;0,8571;0,925
0.091559885;-0,0909;0,3227;0,8820;0,944
0.093078154;-0,0924;0,3091;0,9093;0,965
0.094845039;-0,0933;0,3037;0,9242;0,977
0.097403039;-0,0965;0,2920;0,9558;1,004
0.098954423;-0,0992;0,2768;0,9836;1,027
0.100963693;-0,1002;0,2700;0,9973;1,038
0.103043731;-0,1031;0,2585;1,0251;1,062
0.10677577;-0,1051;0,2529;1,0498;1,085
0.107564847;-0,1065;0,2414;1,0613;1,094
0.109068116;-0,1099;0,2301;1,0818;1,111
0.111059885;-0,1124;0,2245;1,0916;1,120
0.114715231;-0,1168;0,2145;1,1097;1,136
0.115230616;-0,1224;0,2028;1,1204;1,145
0.117230654;-0,1246;0,1981;1,1251;1,149
0.119014077;-0,1285;0,1903;1,1334;1,156
0.120906423;-0,1295;0,1818;1,1343;1,156
0.123226616;-0,1314;0,1774;1,1331;1,154
0.125205847;-0,1336;0,1708;1,1304;1,151
0.126869885;-0,1353;0,1674;1,1221;1,143
0.128910616;-0,1373;0,1649;1,1168;1,137
0.13090077;-0,1422;0,1627;1,1033;1,124
0.133978654;-0,1439;0,1627;1,0865;1,108
0.135204462;-0,1444;0,1639;1,0774;1,099
0.137048654;-0,1454;0,1688;1,0591;1,082
0.139181;-0,1432;0,1713;1,0479;1,071
0.140917;-0,1427;0,1757;1,0271;1,052
0.142714539;-0,1417;0,1825;1,0063;1,033
0.144953462;-0,1402;0,1864;0,9946;1,022
0.147577231;-0,1346;0,1952;0,9709;0,999
0.148975731;-0,1280;0,2040;0,9474;0,978
0.151001077;-0,1248;0,2082;0,9350;0,966
0.154447347;-0,1190;0,2130;0,9084;0,941
0.154952923;-0,1117;0,2213;0,8847;0,919
0.157075616;-0,1068;0,2257;0,8715;0,907
0.15898227;-0,0994;0,2316;0,8490;0,886
0.160931385;-0,0904;0,2370;0,8272;0,865
0.166525;-0,0862;0,2404;0,8170;0,856
0.166898231;-0,0796;0,2485;0,7967;0,838
0.1671125;-0,0718;0,2538;0,7801;0,823
0.169140539;-0,0682;0,2573;0,7725;0,817
0.171356654;-0,0647;0,2629;0,7579;0,805
0.173176731;-0,0623;0,2680;0,7459;0,795
0.175355039;-0,0623;0,2700;0,7412;0,791
0.1771815;-0,0601;0,2741;0,7320;0,784
0.178885462;-0,0603;0,2761;0,7283;0,781
0.183836923;-0,0599;0,2800;0,7227;0,777
0.184277846;-0,0625;0,2822;0,7224;0,778
0.18510077;-0,0645;0,2819;0,7219;0,778
0.187059616;-0,0691;0,2817;0,7215;0,778
