time,gFx,gFy,gFz,gFTotal
0.00799703598022461,-0.089,-0.184,-1.006,1.027
0.01888585090637207,-0.077,-0.187,-1.01,1.03
0.02892303466796875,-0.067,-0.193,-1.04,1.06
0.039231061935424805,-0.076,-0.195,-1.049,1.07
0.04884696006774902,-0.109,-0.167,-1.024,1.043
0.05930685997009277,-0.177,-0.176,-0.976,1.007
0.06941699981689453,-0.194,-0.189,-0.951,0.989
0.07952499389648438,-0.154,-0.154,-0.998,1.021
0.09368705749511719,-0.144,-0.171,-1.074,1.097
0.09863018989562988,-0.151,-0.214,-1.074,1.105
0.10803103446960449,-0.13,-0.24,-1.079,1.113
0.11866998672485352,-0.123,-0.25,-1.07,1.106
0.12934303283691406,-0.113,-0.222,-0.998,1.029
0.13914704322814941,-0.085,-0.195,-0.988,1.011
0.1494910717010498,-0.067,-0.167,-0.991,1.007
0.15929388999938965,-0.048,-0.18,-1.036,1.053
0.16917014122009277,-0.038,-0.204,-1.052,1.072
0.1788480281829834,-0.047,-0.204,-1.017,1.038
0.1929030418395996,-0.054,-0.215,-0.999,1.023
0.19846701622009277,-0.041,-0.24,-0.997,1.026
0.20798301696777344,-0.026,-0.248,-0.982,1.013
0.21834015846252441,-0.007,-0.243,-0.966,0.996
0.22874712944030762,0.023,-0.227,-0.932,0.96
0.23839688301086426,-0.077,-0.181,-0.907,0.928
0.2496049404144287,-0.176,-0.114,-0.852,0.877
0.25893187522888184,-0.22,-0.077,-0.747,0.783
0.26920390129089355,-0.26,-0.163,-0.796,0.853
0.2787020206451416,-0.269,-0.248,-0.829,0.906
0.29200005531311035,-0.268,-0.243,-0.778,0.858
0.2984910011291504,-0.3,-0.217,-0.676,0.771
0.3077671527862549,-0.349,-0.27,-0.626,0.766
0.3186991214752197,-0.33,-0.435,-0.726,0.908
0.32850003242492676,-0.25,-0.595,-0.877,1.089
0.3382880687713623,-0.219,-0.65,-0.935,1.16
0.34861302375793457,-0.234,-0.656,-0.923,1.156
0.3592090606689453,-0.314,-0.625,-0.928,1.162
0.3698430061340332,-0.419,-0.484,-0.918,1.119
0.3788759708404541,-0.419,-0.341,-1.014,1.149
0.3920271396636963,-0.396,-0.308,-1.183,1.285
0.3994009494781494,-0.574,-0.279,-1.096,1.268
0.40775513648986816,-0.636,-0.287,-0.904,1.142
0.4184081554412842,-0.444,-0.346,-0.827,1.0
0.4283900260925293,-0.265,-0.367,-0.842,0.956
0.43847203254699707,-0.213,-0.33,-0.838,0.925
0.4493680000305176,-0.371,-0.331,-0.715,0.871
0.45908188819885254,-0.431,-0.397,-0.649,0.874
0.4689171314239502,-0.347,-0.532,-0.657,0.914
0.4791879653930664,-0.332,-1.259,-0.698,1.477
0.4928929805755615,-0.405,-1.578,-0.792,1.811
0.49820399284362793,-0.414,-0.434,-0.373,0.706
0.5076940059661865,-0.43,-0.49,-0.437,0.785
0.5187299251556396,-0.436,-0.614,-0.518,0.914
0.5296251773834229,-0.541,-0.557,-0.419,0.882
0.5390298366546631,-0.678,-0.495,-0.352,0.91
0.5488100051879883,-0.794,-0.445,-0.295,0.957
0.5592801570892334,-0.828,-0.438,-0.22,0.962
0.5686380863189697,-0.739,-0.501,-0.14,0.904
0.578934907913208,-0.608,-0.555,-0.147,0.836
0.5920131206512451,-0.61,-0.542,-0.265,0.858
0.5981349945068359,-0.699,-0.576,-0.358,0.974
0.6077029705047607,-0.918,-0.592,-0.274,1.126
0.6183421611785889,-0.946,-0.517,-0.177,1.092
0.6281411647796631,-0.925,-0.499,-0.134,1.06
0.6382038593292236,-1.005,-0.52,-0.133,1.139
0.6488580703735352,-0.999,-0.489,-0.183,1.127
0.658789873123169,-0.894,-0.434,-0.197,1.013
0.6686539649963379,-0.763,-0.388,-0.16,0.871
0.6779229640960693,-0.628,-0.363,-0.127,0.736
0.6936190128326416,-0.599,-0.346,-0.132,0.704
0.6979038715362549,-0.612,-0.388,-0.11,0.733
0.7072830200195312,-0.783,-0.32,-0.047,0.847
0.7190170288085938,-0.865,-0.246,-0.033,0.9
0.728834867477417,-0.957,-0.202,-0.157,0.991
0.73850417137146,-0.892,-0.174,-0.128,0.918
0.7487151622772217,-0.844,-0.152,-0.207,0.882
0.7585780620574951,-0.85,-0.163,-0.198,0.888
0.7689950466156006,-0.777,-0.122,-0.078,0.79
0.7787740230560303,-0.683,-0.054,-0.067,0.688
0.7916970252990723,-0.965,-0.232,-0.203,1.013
0.7976510524749756,-1.079,-0.296,-0.175,1.132
0.8077390193939209,-1.086,-0.258,-0.079,1.119
0.8180930614471436,-1.203,-0.275,-0.121,1.24
0.8280899524688721,-1.37,-0.272,-0.166,1.407
0.8379759788513184,-1.401,-0.176,-0.198,1.426
0.8494369983673096,-1.384,-0.104,-0.178,1.399
0.8585898876190186,-1.364,-0.06,-0.1,1.369
0.8682060241699219,-1.313,-0.055,-0.039,1.315
0.8788211345672607,-1.283,-0.085,-0.046,1.287
0.8924770355224609,-1.323,-0.115,-0.125,1.334
0.8977248668670654,-1.272,-0.147,-0.134,1.287
0.9073021411895752,-1.34,-0.211,-0.018,1.357
0.9181239604949951,-1.372,-0.306,0.116,1.41
0.928757905960083,-1.51,-0.095,0.101,1.516
0.9382760524749756,-1.469,0.028,0.085,1.472
0.948591947555542,-1.086,0.109,0.07,1.094
0.9576671123504639,-0.617,0.089,-0.026,0.624
0.9688229560852051,-0.239,-0.062,-0.14,0.284
0.9784600734710693,-0.395,-0.159,-0.352,0.552
0.9922769069671631,-0.624,-0.237,-0.31,0.736
0.9976580142974854,-0.895,-0.243,-0.313,0.979
1.0072100162506104,-0.972,-0.264,-0.077,1.01
1.0178639888763428,-1.305,0.152,0.142,1.321
1.0278751850128174,-1.196,0.462,0.001,1.282
1.0387718677520752,-1.111,0.809,-0.447,1.445
1.0479719638824463,-0.84,0.525,-0.67,1.196
1.0585310459136963,-0.62,0.148,-0.312,0.71
1.0684149265289307,-0.715,0.143,0.093,0.735
1.0785510540008545,-0.826,0.078,0.085,0.834
1.0928750038146973,-0.947,0.017,-0.252,0.98
1.0976309776306152,-1.071,0.041,-0.607,1.232
1.1071789264678955,-0.974,0.062,-0.628,1.161
1.1178600788116455,-0.953,0.059,-0.46,1.06
1.1282579898834229,-1.012,0.077,-0.357,1.076
1.1381828784942627,-1.089,-0.009,-0.348,1.143
1.1484711170196533,-1.027,-0.096,-0.274,1.067
