time,gFx,gFy,gFz,gFTotal
0.004170894622802734,-0.052,-0.141,-1.071,1.081
0.012036800384521484,-0.103,-0.131,-0.924,0.939
0.021768808364868164,-0.114,-0.132,-0.883,0.9
0.036773681640625,-0.069,-0.164,-0.942,0.959
0.042407989501953125,0.024,-0.216,-1.033,1.056
0.05231881141662598,0.081,-0.227,-1.059,1.086
0.06212568283081055,0.092,-0.206,-1.047,1.071
0.0714559555053711,0.057,-0.168,-1.106,1.12
0.08209681510925293,-0.052,-0.156,-1.15,1.162
0.09178972244262695,-0.076,-0.193,-1.025,1.046
0.10212588310241699,-0.089,-0.162,-0.964,0.982
0.11181879043579102,-0.067,-0.114,-1.022,1.031
0.12122201919555664,-0.001,-0.084,-1.038,1.041
0.13692378997802734,0.016,-0.06,-1.014,1.016
0.14193296432495117,-0.041,-0.046,-1.006,1.008
0.15198802947998047,-0.105,-0.028,-0.953,0.959
0.16180181503295898,-0.146,-0.016,-0.885,0.897
0.17136192321777344,-0.151,-0.07,-0.812,0.829
0.18242383003234863,-0.109,-0.215,-0.749,0.787
0.1913309097290039,-0.038,-0.351,-0.726,0.807
0.20184087753295898,0.026,-0.451,-0.715,0.846
0.21163702011108398,0.084,-0.572,-0.747,0.945
0.2211589813232422,0.075,-0.614,-0.788,1.002
0.23664283752441406,-0.011,-0.596,-0.793,0.992
0.24175286293029785,-0.091,-0.615,-0.739,0.966
0.2521848678588867,-0.103,-0.773,-0.83,1.139
0.26169872283935547,-0.046,-1.019,-1.224,1.593
0.27155590057373047,-0.31,-0.724,-1.062,1.322
0.2819657325744629,-0.649,-0.468,-0.826,1.15
0.2912178039550781,-0.695,-0.684,-0.998,1.395
0.3019227981567383,-0.66,-0.638,-1.173,1.489
0.31177282333374023,-1.035,-0.569,-1.157,1.653
0.3211038112640381,-1.477,-0.74,-1.088,1.978
0.33620500564575195,-1.607,-0.706,-0.842,1.947
0.3407628536224365,-1.126,-0.747,-0.758,1.549
0.3515000343322754,-0.267,-0.798,-0.781,1.148
0.3612079620361328,0.439,-0.776,-0.976,1.322
0.3714308738708496,1.045,-0.681,-1.093,1.658
0.38193273544311523,1.58,-0.267,-1.103,1.945
0.3911738395690918,0.265,-0.055,-1.0,1.036
0.4019017219543457,-0.958,-0.636,-0.791,1.396
0.41142892837524414,-1.188,-0.718,-0.327,1.426
0.4209480285644531,-1.147,-0.486,-0.213,1.264
0.4361839294433594,-1.12,-0.308,-0.55,1.285
0.4417898654937744,-1.068,-0.077,-0.874,1.382
0.45163488388061523,-0.895,0.128,-0.778,1.193
0.46146678924560547,-0.912,0.07,-0.935,1.308
0.47106385231018066,-0.798,-0.044,-0.798,1.129
0.48175477981567383,-0.615,-0.058,-0.48,0.782
0.491060733795166,-0.591,0.122,-0.587,0.842
0.5018110275268555,-0.786,0.709,-0.601,1.217
0.511509895324707,-0.897,1.02,-0.481,1.441
0.5209238529205322,-0.844,0.628,-0.211,1.073
0.536552906036377,-0.871,-0.235,0.091,0.907
0.5416207313537598,-0.292,-1.366,-2.113,2.533
0.5517477989196777,0.147,-0.563,-2.253,2.327
0.5616648197174072,-0.67,0.367,-0.178,0.784
0.5709719657897949,-0.676,0.272,-0.623,0.959
0.58170485496521,-0.662,0.185,-0.9,1.132
0.5911707878112793,-0.689,0.223,-0.823,1.096
0.601496696472168,-0.855,0.212,-0.69,1.119
0.6112227439880371,-1.054,0.042,-0.635,1.231
0.6207690238952637,-1.045,-0.014,-0.404,1.12
0.6364898681640625,-0.9,0.146,-0.141,0.923
0.6412529945373535,-0.747,0.248,-0.088,0.792
0.6515138149261475,-0.699,0.368,-0.08,0.794
0.6617217063903809,-0.772,0.514,-0.04,0.928
0.6707549095153809,-0.949,0.465,-0.097,1.061
0.6815428733825684,-1.117,0.317,-0.239,1.185
0.6907448768615723,-1.187,0.21,-0.592,1.343
0.7015218734741211,-1.082,0.225,-1.061,1.532
0.7111539840698242,-0.904,0.346,-1.238,1.571
0.7208938598632812,-0.917,0.306,-1.113,1.474
0.7366878986358643,-1.056,0.005,-0.96,1.427
0.7414138317108154,-1.211,-0.342,-0.786,1.484
0.7513480186462402,-1.471,-0.434,-0.554,1.631
0.7610387802124023,-1.754,-0.443,-0.455,1.865
0.7706918716430664,-1.953,-0.548,-0.461,2.08
0.7816188335418701,-1.956,-0.655,-0.378,2.097
0.7906298637390137,-1.776,-0.721,-0.237,1.931
0.8010368347167969,-1.523,-0.721,0.023,1.685
0.8115878105163574,-1.298,-0.68,0.344,1.505
0.8201999664306641,-1.153,-0.617,0.545,1.417
0.8314146995544434,-1.056,-0.416,0.597,1.282
0.8412668704986572,-0.974,-0.17,0.526,1.12
0.8510117530822754,-0.861,0.024,0.401,0.95
0.8608670234680176,-0.815,0.321,0.526,1.022
0.870518684387207,-0.915,1.671,0.856,2.089
0.8810608386993408,-0.941,1.906,0.948,2.327
0.8905797004699707,-0.818,1.543,0.87,1.951
0.9014468193054199,-0.716,1.314,0.627,1.622
0.9109048843383789,-0.688,1.117,0.423,1.378
0.9205780029296875,-0.743,1.057,0.443,1.366
0.9361209869384766,-0.877,1.061,0.516,1.47
0.9409737586975098,-0.71,0.879,0.371,1.189
0.9513208866119385,-0.528,0.873,0.158,1.032
0.9611718654632568,-0.565,0.806,-0.118,0.991
0.9705877304077148,-0.502,0.744,-0.385,0.977
0.9810709953308105,-0.591,0.744,-0.355,1.014
0.990480899810791,-0.81,0.678,-0.148,1.067
1.0023918151855469,-1.022,0.665,0.06,1.221
1.0107669830322266,-1.186,0.571,0.138,1.324
1.0203258991241455,-1.227,0.391,0.184,1.301
1.0377197265625,-1.099,0.308,0.167,1.153
1.041430950164795,-0.689,-0.169,-0.045,0.711
1.0510787963867188,-0.332,-0.344,0.011,0.478
1.06123685836792,-0.631,0.0,0.283,0.692
1.0704498291015625,-1.134,0.161,0.504,1.251
1.0810418128967285,-1.416,0.273,0.627,1.572
1.0905368328094482,-1.325,0.257,0.624,1.487
1.102428913116455,-1.297,0.461,0.556,1.485
1.1106538772583008,-1.473,0.724,0.24,1.659
1.120858907699585,-1.518,0.939,0.044,1.785
1.1368846893310547,-1.394,0.708,0.018,1.564
1.141023874282837,-1.017,0.556,-0.177,1.172
1.1510658264160156,-0.68,0.445,-0.401,0.906
1.1610169410705566,-0.492,0.353,-0.463,0.762
1.170088768005371,-0.404,0.303,-0.405,0.647
1.1811108589172363,-0.546,0.283,-0.248,0.663
1.1903328895568848,-0.936,0.21,-0.047,0.96
1.2008488178253174,-1.333,0.015,0.203,1.348
1.210768699645996,-1.377,0.045,0.362,1.424
1.2201569080352783,-1.196,0.063,0.316,1.239
1.2365317344665527,-0.943,0.074,0.286,0.988
1.240891933441162,-0.66,0.141,0.311,0.743
1.250795841217041,-0.497,0.189,0.471,0.71
1.2608048915863037,-0.67,0.358,0.41,0.863
1.2702298164367676,-0.842,0.295,0.463,1.005
1.2809038162231445,-0.963,0.183,0.709,1.21
1.2902858257293701,-0.884,0.27,0.654,1.132
1.3009438514709473,-0.718,0.315,0.421,0.89
1.3106048107147217,-0.813,0.243,0.151,0.862
1.3203258514404297,-0.852,0.101,0.131,0.868
1.336075782775879,-0.629,0.277,0.048,0.689
1.3405768871307373,-0.449,0.497,-0.02,0.67
1.350827693939209,-0.548,0.441,0.123,0.714
1.3608999252319336,-0.623,0.449,0.488,0.91
1.3702778816223145,-0.548,0.725,0.861,1.252
1.380720853805542,-0.275,1.183,0.753,1.429
1.3900947570800781,-0.074,1.319,0.574,1.44
1.4005568027496338,-0.33,1.232,0.735,1.472
1.4110627174377441,-0.791,1.219,0.909,1.714
1.4201858043670654,-1.283,1.171,0.995,2.002
1.4361538887023926,-1.688,1.174,1.058,2.312
1.4403977394104004,-1.954,1.037,1.329,2.581
1.4507198333740234,-2.008,0.744,1.077,2.397
1.4612469673156738,-1.939,0.319,-0.028,1.965
1.4696917533874512,-1.83,0.084,-0.209,1.844
1.4804508686065674,-1.513,0.279,0.508,1.62
1.490203857421875,-1.516,0.345,0.474,1.625
1.500783920288086,-1.55,0.4,0.283,1.626
1.5106298923492432,-1.357,0.412,0.167,1.428
1.5198969841003418,-1.12,0.45,0.134,1.214
1.5362858772277832,-0.877,0.518,0.179,1.034
1.5404748916625977,-0.56,0.576,0.262,0.845
1.5503897666931152,-0.443,0.776,0.359,0.963
1.561105728149414,-0.39,0.822,0.379,0.986
1.5697968006134033,-0.206,0.796,0.391,0.91
1.5807099342346191,0.094,0.68,0.432,0.811
1.5898189544677734,0.237,0.552,0.36,0.7
1.6000049114227295,0.301,0.54,0.254,0.668
1.6105899810791016,0.413,0.648,0.172,0.787
1.6197988986968994,0.468,0.784,0.1,0.919
1.6359429359436035,0.475,0.839,0.076,0.967
1.640204906463623,0.433,0.84,0.118,0.952
1.6502089500427246,0.301,0.868,0.181,0.936
1.6602540016174316,0.142,0.931,0.195,0.962
1.6698148250579834,-0.012,1.014,0.152,1.025
1.6804490089416504,-0.151,1.118,0.078,1.131
1.6898808479309082,-0.481,1.237,-0.035,1.328
1.700448989868164,-0.876,1.205,-0.433,1.551
1.7102808952331543,-1.243,1.012,-0.372,1.645
1.719890832901001,-1.756,0.847,0.104,1.952
1.7356820106506348,-2.472,0.586,0.191,2.548
1.7405710220336914,-2.702,0.282,0.117,2.719
1.7514028549194336,-2.59,0.275,-0.029,2.605
1.7612178325653076,-2.124,0.255,-0.071,2.14
1.76975679397583,-1.437,0.096,-0.001,1.44
1.7800137996673584,-0.798,0.052,0.106,0.807
1.7895317077636719,-0.348,0.107,0.205,0.418
1.8001759052276611,-0.075,0.219,0.262,0.35
1.8101158142089844,0.08,0.329,0.212,0.399
1.8192520141601562,0.3,0.328,0.182,0.48
1.8351948261260986,0.946,0.39,0.524,1.15
1.839979887008667,0.896,0.077,0.535,1.046
1.8501839637756348,1.139,-0.0,0.54,1.261
1.8598699569702148,1.017,-0.043,0.42,1.101
1.8694257736206055,1.026,0.215,0.09,1.052
1.8798837661743164,0.995,0.659,0.377,1.252
1.8892369270324707,0.923,1.137,0.95,1.746
1.8998408317565918,0.9,1.404,0.891,1.891
1.910085678100586,0.79,1.043,0.609,1.443
1.9193367958068848,0.883,0.195,0.221,0.931
1.9355988502502441,0.917,0.428,-0.081,1.015
1.9401187896728516,0.179,1.086,-0.652,1.279
1.9500946998596191,-1.073,1.53,-1.064,2.15
1.9599547386169434,-2.098,1.556,-0.761,2.721
1.9693489074707031,-2.628,1.116,-0.161,2.86
1.9804558753967285,-2.763,0.935,0.261,2.929
1.9896759986877441,-2.148,0.94,0.46,2.389
1.9999847412109375,-1.585,0.766,0.278,1.782
2.010009765625,-1.154,0.6,0.165,1.311
2.0192978382110596,-0.991,0.595,0.201,1.173
2.0352768898010254,-0.856,0.612,0.332,1.103
