time,gFx,gFy,gFz,gFTotal
0.0050182342529296875,0.05,-0.054,-0.974,0.977
0.011390209197998047,0.053,-0.041,-0.948,0.95
0.021522045135498047,0.056,-0.03,-0.949,0.951
0.04428410530090332,0.057,-0.024,-0.958,0.96
0.04445004463195801,0.057,-0.024,-0.958,0.96
0.05089211463928223,0.054,-0.027,-0.965,0.967
0.06189918518066406,0.052,-0.032,-0.973,0.975
0.07105708122253418,0.052,-0.034,-0.983,0.985
0.08108210563659668,0.054,-0.032,-0.991,0.993
0.09213805198669434,0.058,-0.023,-0.985,0.987
0.10272502899169922,0.061,-0.015,-0.969,0.971
0.1114492416381836,0.055,-0.012,-0.952,0.954
0.1214141845703125,0.043,-0.017,-0.943,0.944
0.1441211700439453,0.021,-0.021,-0.935,0.935
0.14484405517578125,0.021,-0.021,-0.935,0.935
0.1509990692138672,0.02,-0.02,-0.936,0.936
0.1616060733795166,0.027,-0.017,-0.951,0.952
0.17102622985839844,0.043,-0.014,-0.964,0.965
0.18137598037719727,0.055,-0.01,-0.971,0.973
0.1917710304260254,0.057,-0.009,-0.985,0.987
0.20334410667419434,0.047,-0.011,-1.002,1.003
0.21167707443237305,0.032,-0.013,-1.018,1.019
0.2214500904083252,0.021,-0.012,-1.032,1.032
0.24448013305664062,0.02,0.003,-1.045,1.045
0.2450411319732666,0.02,0.003,-1.045,1.045
0.25069618225097656,0.024,0.011,-1.042,1.042
0.2614560127258301,0.026,0.015,-1.035,1.035
0.27117013931274414,0.019,0.018,-1.031,1.031
0.28183794021606445,0.007,0.014,-1.029,1.029
0.29224610328674316,-0.007,0.003,-1.023,1.023
0.303178071975708,-0.018,-0.009,-1.021,1.021
0.3113710880279541,-0.023,-0.021,-1.025,1.025
0.3211500644683838,-0.016,-0.027,-1.03,1.03
0.3438570499420166,0.02,-0.015,-1.054,1.054
0.3444790840148926,0.02,-0.015,-1.054,1.054
0.3506770133972168,0.031,-0.006,-1.068,1.068
0.3614349365234375,0.032,-0.0,-1.081,1.081
0.3708200454711914,0.028,0.002,-1.092,1.092
0.3818380832672119,0.025,0.004,-1.102,1.102
0.39138102531433105,0.028,0.006,-1.111,1.111
0.4032759666442871,0.037,0.008,-1.121,1.122
0.41130709648132324,0.052,0.011,-1.123,1.124
0.4212169647216797,0.065,0.013,-1.108,1.11
0.44409704208374023,0.069,0.006,-1.065,1.067
0.4444420337677002,0.069,0.006,-1.065,1.067
0.450606107711792,0.055,-0.006,-1.055,1.056
0.4612870216369629,0.042,-0.015,-1.047,1.048
0.4708881378173828,0.035,-0.024,-1.04,1.041
0.4814920425415039,0.037,-0.03,-1.043,1.044
0.4920060634613037,0.044,-0.032,-1.049,1.05
0.5030510425567627,0.057,-0.034,-1.061,1.063
0.5111680030822754,0.067,-0.037,-1.071,1.074
0.5208051204681396,0.073,-0.042,-1.075,1.078
0.5449929237365723,0.073,-0.042,-1.077,1.08
0.5455741882324219,0.073,-0.042,-1.077,1.08
0.5507450103759766,0.072,-0.035,-1.071,1.074
0.5612092018127441,0.071,-0.022,-1.056,1.059
0.570979118347168,0.071,-0.007,-1.037,1.039
0.5809600353240967,0.066,0.006,-1.02,1.022
0.5913770198822021,0.056,0.014,-1.005,1.007
0.6025781631469727,0.046,0.013,-0.996,0.997
0.6112720966339111,0.036,0.009,-0.988,0.989
0.6210012435913086,0.03,0.004,-0.973,0.973
0.6453089714050293,0.027,-0.003,-0.969,0.969
0.6456561088562012,0.027,-0.003,-0.969,0.969
0.6504230499267578,0.024,-0.007,-0.979,0.979
0.6610960960388184,0.019,-0.01,-0.981,0.981
0.6706972122192383,0.014,-0.013,-0.979,0.979
0.6815972328186035,0.005,-0.016,-0.976,0.976
0.6908910274505615,-0.002,-0.015,-0.975,0.975
0.7031760215759277,-0.007,-0.012,-0.978,0.978
0.7107939720153809,-0.009,-0.008,-0.991,0.991
0.7219541072845459,-0.008,-0.002,-0.998,0.998
0.742286205291748,-0.002,0.004,-1.001,1.001
0.7428569793701172,-0.002,0.004,-1.001,1.001
0.7501721382141113,-0.002,0.004,-0.999,0.999
0.7604289054870605,-0.005,0.002,-0.995,0.995
0.7703440189361572,-0.009,-0.001,-0.991,0.991
0.780440092086792,-0.013,-0.003,-0.983,0.983
0.7908270359039307,-0.011,-0.006,-0.981,0.981
0.80265212059021,-0.004,-0.007,-0.978,0.978
0.8110861778259277,0.007,-0.009,-0.967,0.967
0.8201351165771484,0.02,-0.009,-0.954,0.954
0.8420710563659668,0.037,-0.013,-0.954,0.955
0.8422610759735107,0.037,-0.013,-0.954,0.955
0.8507061004638672,0.041,-0.013,-0.96,0.961
0.8607721328735352,0.044,-0.01,-0.967,0.968
0.8702960014343262,0.05,-0.003,-0.973,0.974
0.8809409141540527,0.058,0.007,-0.979,0.981
0.8910379409790039,0.065,0.015,-0.988,0.99
0.9028360843658447,0.072,0.02,-0.998,1.001
0.9109811782836914,0.078,0.02,-1.005,1.008
0.9206950664520264,0.08,0.016,-1.01,1.013
0.9449591636657715,0.072,0.007,-1.012,1.015
0.9451730251312256,0.072,0.007,-1.012,1.015
0.9500241279602051,0.067,0.007,-1.002,1.004
0.9607000350952148,0.063,0.006,-0.997,0.999
0.970454216003418,0.056,0.003,-0.993,0.995
0.9807460308074951,0.046,-0.003,-0.987,0.988
0.9907450675964355,0.037,-0.012,-0.984,0.985
1.002234935760498,0.028,-0.02,-0.983,0.984
1.010740041732788,0.022,-0.026,-0.98,0.981
1.0206680297851562,0.018,-0.032,-0.978,0.979
1.0443229675292969,0.029,-0.033,-0.98,0.981
1.0446929931640625,0.029,-0.033,-0.98,0.981
1.0499539375305176,0.038,-0.031,-0.984,0.985
1.0604541301727295,0.044,-0.026,-0.993,0.994
1.070336103439331,0.049,-0.017,-0.999,1.0
1.0806360244750977,0.052,-0.006,-1.0,1.001
1.0910649299621582,0.053,0.009,-1.0,1.001
1.1030921936035156,0.051,0.024,-0.998,1.0
1.1104259490966797,0.049,0.035,-1.0,1.002
1.1205129623413086,0.049,0.039,-1.008,1.01
1.1442909240722656,0.055,0.024,-1.012,1.014
1.1444711685180664,0.055,0.024,-1.012,1.014
1.150054931640625,0.06,0.011,-1.018,1.02
1.1604180335998535,0.067,0.001,-1.022,1.024
1.170314073562622,0.071,-0.004,-1.017,1.019
