time,gFx,gFy,gFz,gFTotal
0.0014128684997558594,-0.018,-0.301,-1.004,1.048
0.011821985244750977,-0.062,-0.304,-0.927,0.978
0.02204298973083496,-0.078,-0.296,-0.872,0.924
0.03145790100097656,-0.067,-0.291,-0.921,0.968
0.04149293899536133,-0.068,-0.323,-0.973,1.027
0.051566123962402344,-0.052,-0.357,-1.005,1.068
0.0616450309753418,-0.049,-0.37,-1.012,1.079
0.07420492172241211,-0.062,-0.377,-0.979,1.051
0.08162307739257812,-0.076,-0.383,-0.931,1.01
0.0913848876953125,-0.08,-0.38,-0.912,0.991
0.10129404067993164,-0.088,-0.374,-0.916,0.993
0.11165809631347656,-0.095,-0.36,-0.905,0.979
0.12162590026855469,-0.098,-0.375,-0.89,0.971
0.13143301010131836,-0.102,-0.392,-0.888,0.976
0.14134788513183594,-0.103,-0.381,-0.891,0.975
0.1514759063720703,-0.113,-0.374,-0.9,0.981
0.16151714324951172,-0.12,-0.368,-0.88,0.961
0.17144393920898438,-0.112,-0.36,-0.873,0.951
0.18156719207763672,-0.096,-0.366,-0.93,1.004
0.1913318634033203,-0.093,-0.38,-0.976,1.051
0.20129108428955078,-0.124,-0.379,-0.973,1.052
0.2113950252532959,-0.182,-0.377,-0.95,1.038
0.22149300575256348,-0.227,-0.353,-0.893,0.987
0.23128318786621094,-0.253,-0.309,-0.865,0.953
0.24127912521362305,-0.276,-0.279,-0.891,0.974
0.2513420581817627,-0.265,-0.295,-0.948,1.028
0.2614579200744629,-0.215,-0.363,-1.026,1.109
0.27388906478881836,-0.168,-0.45,-1.084,1.186
0.2813911437988281,-0.122,-0.505,-1.085,1.203
0.29123806953430176,-0.085,-0.502,-1.039,1.157
0.30153799057006836,-0.024,-0.46,-0.957,1.062
0.3111429214477539,-0.022,-0.435,-0.907,1.006
0.3218240737915039,-0.04,-0.451,-0.942,1.045
0.3310818672180176,-0.029,-0.451,-0.948,1.05
0.3412489891052246,0.009,-0.463,-0.924,1.034
0.35104799270629883,0.044,-0.498,-0.9,1.03
0.36125707626342773,0.052,-0.523,-0.883,1.028
0.37132692337036133,0.034,-0.527,-0.87,1.018
0.3812379837036133,-0.031,-0.531,-0.862,1.013
0.3911170959472656,-0.108,-0.542,-0.866,1.027
0.401216983795166,-0.138,-0.475,-0.825,0.962
0.4111661911010742,-0.11,-0.418,-0.783,0.894
0.42148399353027344,-0.023,-0.41,-0.809,0.907
0.43115806579589844,0.047,-0.422,-0.826,0.929
0.4412810802459717,0.071,-0.453,-0.865,0.979
0.4510531425476074,0.046,-0.471,-0.845,0.968
0.4612112045288086,0.017,-0.462,-0.77,0.898
0.47127485275268555,0.001,-0.43,-0.704,0.825
0.48118019104003906,-0.028,-0.389,-0.671,0.776
0.49278903007507324,-0.021,-0.463,-0.747,0.879
0.501215934753418,0.034,-0.763,-0.991,1.251
0.511038064956665,0.007,-0.738,-0.867,1.139
0.5214271545410156,0.031,-0.645,-0.855,1.071
0.5329861640930176,0.004,-0.61,-0.634,0.88
0.5411710739135742,-0.168,-0.715,-0.808,1.092
0.5511021614074707,-0.284,-0.701,-0.916,1.188
0.5610740184783936,-0.364,-0.573,-0.873,1.106
0.5713620185852051,-0.379,-0.45,-0.804,0.996
