time,gFx,gFy,gFz,gFTotal
0.005410909652709961,-0.125,-0.186,-1.004,1.029
0.015353918075561523,-0.135,-0.207,-0.942,0.974
0.025603055953979492,-0.121,-0.218,-0.948,0.98
0.03551602363586426,-0.094,-0.22,-1.002,1.03
0.04596400260925293,-0.098,-0.228,-1.032,1.061
0.0555109977722168,-0.11,-0.231,-1.023,1.055
0.0654449462890625,-0.127,-0.208,-0.99,1.02
0.07639193534851074,-0.113,-0.205,-1.029,1.055
0.08890604972839355,-0.12,-0.227,-1.059,1.09
0.09522604942321777,-0.148,-0.195,-1.055,1.083
0.10528302192687988,-0.137,-0.225,-1.12,1.151
0.11522293090820312,-0.142,-0.261,-1.148,1.186
0.12561702728271484,-0.157,-0.245,-1.085,1.123
0.13551688194274902,-0.153,-0.188,-1.046,1.074
0.1453688144683838,-0.216,-0.136,-1.106,1.135
0.15527796745300293,-0.252,-0.154,-1.135,1.173
0.16503691673278809,-0.192,-0.285,-1.038,1.093
0.17525792121887207,-0.114,-0.392,-0.995,1.075
0.18747496604919434,-0.049,-0.433,-0.902,1.002
0.19488787651062012,-0.027,-0.407,-0.78,0.88
0.2053358554840088,-0.015,-0.313,-0.612,0.688
0.2154858112335205,0.01,-0.218,-0.431,0.483
0.22550606727600098,0.051,-0.222,-0.344,0.413
0.2353518009185791,0.126,-0.401,-0.467,0.628
0.24594807624816895,0.201,-0.634,-0.689,0.958
0.25524210929870605,0.274,-0.769,-0.777,1.127
0.26541781425476074,0.166,-0.766,-0.716,1.062
0.27551698684692383,-0.065,-0.732,-0.716,1.026
0.28822803497314453,-0.155,-0.698,-0.785,1.062
0.2948601245880127,-0.179,-0.58,-0.731,0.95
0.30531811714172363,-0.185,-0.429,-1.072,1.169
0.31517481803894043,-0.259,-0.305,-1.13,1.199
0.3256869316101074,-0.232,-0.292,-0.781,0.865
0.33501195907592773,-0.145,-0.332,-0.585,0.688
0.3455369472503662,-0.234,-0.381,-0.537,0.699
0.3550240993499756,-0.449,-0.424,-0.49,0.788
0.3651549816131592,-0.575,-0.455,-0.499,0.887
0.3752899169921875,-0.478,-0.436,-0.614,0.892
0.3884239196777344,-0.294,-0.409,-0.589,0.775
0.39487385749816895,-0.012,-0.199,-0.531,0.567
0.4051249027252197,0.02,-0.085,-0.621,0.627
0.4153621196746826,0.079,-0.372,-1.065,1.131
0.4253208637237549,0.215,-0.509,-1.146,1.272
0.4351780414581299,0.323,-0.446,-1.186,1.308
0.44490504264831543,0.182,-0.419,-1.148,1.236
0.4553821086883545,-0.071,-0.456,-1.021,1.12
0.4650750160217285,-0.266,-0.598,-0.725,0.977
0.47475409507751465,-0.266,-0.551,-1.038,1.205
0.4876730442047119,-0.266,-0.623,-1.301,1.467
0.4950399398803711,-0.436,-0.729,-1.172,1.447
0.5053420066833496,-0.482,-0.721,-1.013,1.334
0.5153911113739014,-0.453,-0.675,-0.844,1.172
0.5255100727081299,-0.513,-0.7,-0.604,1.057
0.5352609157562256,-0.561,-0.785,-0.557,1.114
0.5451648235321045,-0.567,-0.825,-0.703,1.223
0.55489182472229,-0.614,-0.704,-0.533,1.076
0.5651271343231201,-0.802,-0.655,-0.398,1.109
0.5749900341033936,-1.062,-0.727,-0.606,1.423
0.5883679389953613,-1.096,-1.119,-0.477,1.637
0.5949380397796631,-1.162,-0.935,-0.54,1.586
0.6047849655151367,-0.843,-0.528,-0.597,1.16
0.6149859428405762,-0.712,-0.549,-0.645,1.107
0.62546706199646,-0.721,-0.535,-0.607,1.084
0.6351709365844727,-0.633,-0.484,-0.535,0.96
0.6451659202575684,-0.587,-0.449,-0.589,0.945
0.6550359725952148,-0.605,-0.385,-0.653,0.97
0.6650598049163818,-0.808,-0.319,-0.587,1.048
0.6746418476104736,-0.808,-0.309,-0.573,1.038
0.6887891292572021,-0.709,-0.368,-0.648,1.029
0.69461989402771,-0.61,-0.373,-0.619,0.946
0.7049901485443115,-0.632,-0.282,-0.519,0.865
0.7146120071411133,-0.485,-0.114,-0.525,0.724
0.7251408100128174,-0.227,-0.275,-0.655,0.746
0.7351558208465576,-0.243,-0.468,-0.599,0.798
0.7448728084564209,-0.517,-0.555,-0.504,0.911
0.7548658847808838,-0.685,-0.5,-0.511,0.99
0.7648961544036865,-0.747,-0.515,-0.569,1.071
0.7750670909881592,-0.853,-0.609,-0.546,1.182
0.7883150577545166,-0.952,-0.58,-0.458,1.205
0.7944509983062744,-1.009,-0.57,-0.414,1.231
0.8048031330108643,-1.038,-0.452,-0.337,1.181
0.814661979675293,-1.034,-0.444,-0.287,1.161
0.8253190517425537,-1.071,-0.43,-0.226,1.176
0.8345820903778076,-1.003,-0.339,-0.21,1.079
0.8449380397796631,-0.928,-0.405,-0.174,1.027
0.8546388149261475,-0.944,-0.403,-0.134,1.035
0.8646438121795654,-0.894,-0.289,-0.161,0.953
0.8744549751281738,-0.862,-0.287,-0.15,0.921
0.8878419399261475,-0.863,-0.287,-0.162,0.924
0.8943459987640381,-0.952,-0.288,-0.129,1.003
0.9046649932861328,-0.903,-0.251,-0.21,0.96
0.9146459102630615,-0.924,-0.289,-0.295,1.012
0.9246509075164795,-1.37,-0.107,-0.2,1.389
0.9344809055328369,-0.863,0.014,-0.402,0.952
0.944831132888794,-0.727,-0.106,-0.484,0.88
0.9544651508331299,-0.839,-0.16,-0.361,0.927
0.9645459651947021,-0.789,-0.343,-0.365,0.935
0.9746179580688477,-0.836,-0.561,-0.326,1.058
0.9877798557281494,-0.883,-0.551,-0.317,1.088
0.9944159984588623,-0.993,-0.433,-0.26,1.114
1.0045080184936523,-0.961,-0.303,-0.212,1.03
1.0145399570465088,-0.783,-0.173,-0.261,0.843
1.0246460437774658,-0.726,-0.129,-0.364,0.822
1.0345659255981445,-0.649,-0.17,-0.331,0.748
1.0443789958953857,-0.576,-0.169,-0.28,0.662
1.0547800064086914,-0.583,-0.261,-0.301,0.706
1.0644938945770264,-0.778,-0.263,-0.354,0.894
1.0746040344238281,-0.916,-0.189,-0.393,1.015
1.0879859924316406,-0.963,-0.14,-0.457,1.075
1.0942800045013428,-1.071,0.021,-0.435,1.156
1.1046078205108643,-1.064,0.106,-0.399,1.141
1.1143889427185059,-0.962,0.132,-0.422,1.059
1.124680995941162,-0.991,0.22,-0.446,1.109
1.1344621181488037,-0.921,0.236,-0.356,1.015
1.1449921131134033,-0.984,0.301,-0.326,1.079
1.1543290615081787,-1.155,0.357,-0.341,1.256
1.1644330024719238,-1.101,0.061,-0.401,1.173
1.1742608547210693,-1.035,0.272,-0.48,1.173
1.1879069805145264,-1.122,0.696,-0.677,1.484
1.1941378116607666,-0.903,0.444,-0.933,1.372
1.2043430805206299,-0.686,0.017,-0.633,0.934
1.213974952697754,-1.051,0.547,-0.232,1.207
1.224376916885376,-0.873,0.382,-0.177,0.969
1.2345190048217773,-0.713,0.275,-0.544,0.938
1.2443280220031738,-0.833,0.402,-0.43,1.02
1.2540569305419922,-0.941,0.403,-0.101,1.029
1.2643499374389648,-0.554,0.256,0.04,0.612
1.274461030960083,-0.396,0.324,0.166,0.538
1.2880780696868896,-0.544,0.209,0.403,0.709
1.2939510345458984,-0.947,0.098,0.748,1.211
1.303990125656128,-1.325,0.022,0.92,1.613
1.3141779899597168,-1.442,0.027,0.757,1.629
1.3245928287506104,-1.292,0.16,0.495,1.393
1.3339240550994873,-1.113,0.363,0.344,1.22
1.3442628383636475,-1.006,0.202,-0.118,1.033
1.3541719913482666,-1.224,-0.1,-0.439,1.304
1.3638818264007568,-1.408,0.169,-0.072,1.42
1.3742320537567139,-1.285,0.123,0.019,1.291
1.3875501155853271,-1.225,0.066,-0.02,1.227
1.3938701152801514,-1.18,0.048,-0.05,1.182
1.4040400981903076,-1.03,0.094,0.132,1.043
1.4143059253692627,-0.971,0.238,0.368,1.065
1.42427396774292,-0.945,0.268,0.406,1.063
1.433974027633667,-0.956,0.245,0.313,1.035
1.4440901279449463,-1.063,0.294,0.228,1.126
1.454150915145874,-1.118,0.287,0.195,1.171
1.464228868484497,-1.077,0.263,0.107,1.114
1.474181890487671,-0.91,0.125,0.111,0.925
1.4877240657806396,-0.83,-0.033,0.131,0.841
1.4936859607696533,-0.925,-0.179,0.035,0.943
1.5043179988861084,-1.005,-0.09,-0.002,1.009
1.5137298107147217,-1.055,0.03,-0.289,1.094
1.5243418216705322,-1.016,0.07,-0.582,1.173
1.5338189601898193,-0.9,-0.031,-0.679,1.128
1.544281005859375,-0.758,-0.092,-0.692,1.03
1.5539648532867432,-0.703,0.04,-0.566,0.903
1.5636370182037354,-0.799,0.062,-0.545,0.969
1.573702096939087,-0.893,-0.073,-0.479,1.016
1.5873959064483643,-0.865,-0.023,-0.282,0.91
1.5943989753723145,-0.795,0.071,-0.206,0.824
1.6037280559539795,-0.722,0.127,-0.166,0.752
1.61381196975708,-0.704,0.171,-0.156,0.741
1.6239879131317139,-0.713,0.132,-0.183,0.748
1.6335818767547607,-0.683,0.041,-0.227,0.721
1.6438148021697998,-0.717,0.076,-0.241,0.76
1.654029130935669,-0.778,0.185,-0.211,0.827
1.6640918254852295,-0.798,0.263,-0.227,0.87
1.6738479137420654,-0.86,0.232,-0.416,0.983
1.6877319812774658,-0.893,0.15,-0.619,1.097
1.6935508251190186,-0.863,0.304,-0.65,1.122
1.7037408351898193,-0.977,0.692,-0.827,1.455
1.7137889862060547,-1.03,0.324,-0.807,1.348
