time,gFx,gFy,gFz,gFTotal
0.008519172668457031,0.008,-0.082,-0.931,0.935
0.018209218978881836,0.013,-0.063,-1.043,1.045
0.028332233428955078,0.02,-0.081,-1.068,1.071
0.038224220275878906,0.014,-0.115,-1.027,1.034
0.049413204193115234,0.017,-0.11,-1.013,1.019
0.05819416046142578,0.019,-0.087,-1.027,1.031
0.06843113899230957,0.017,-0.073,-1.027,1.03
0.09758520126342773,0.03,-0.086,-0.992,0.996
0.09773421287536621,0.03,-0.086,-0.992,0.996
0.09883308410644531,0.044,-0.099,-0.975,0.981
0.10849332809448242,0.056,-0.111,-0.956,0.964
0.11859822273254395,0.065,-0.121,-0.947,0.957
0.12873125076293945,0.072,-0.13,-0.953,0.965
0.1389942169189453,0.074,-0.135,-0.955,0.967
0.15375804901123047,0.071,-0.131,-0.951,0.963
0.16009116172790527,0.069,-0.125,-0.959,0.97
0.1701221466064453,0.07,-0.12,-0.975,0.985
0.20747113227844238,0.068,-0.114,-0.985,0.994
0.20808815956115723,0.068,-0.114,-0.985,0.994
0.20852112770080566,0.069,-0.113,-1.001,1.01
0.20940017700195312,0.069,-0.113,-1.001,1.01
0.21895217895507812,0.067,-0.11,-1.003,1.011
0.2287592887878418,0.066,-0.112,-0.998,1.006
0.23879432678222656,0.066,-0.119,-0.997,1.006
0.25135111808776855,0.068,-0.129,-0.998,1.009
0.2617912292480469,0.065,-0.133,-0.983,0.994
0.26917505264282227,0.061,-0.135,-0.963,0.974
0.30072021484375,0.043,-0.127,-1.004,1.013
0.3012881278991699,0.043,-0.127,-1.004,1.013
0.30141520500183105,0.043,-0.127,-1.004,1.013
0.3087801933288574,0.033,-0.109,-1.016,1.022
0.3190591335296631,0.028,-0.1,-1.029,1.034
0.3292062282562256,0.031,-0.11,-1.044,1.05
0.339144229888916,0.038,-0.128,-1.062,1.07
0.35382604598999023,0.044,-0.144,-1.061,1.072
0.3592190742492676,0.038,-0.139,-1.059,1.069
0.37116432189941406,0.015,-0.108,-1.051,1.057
0.39827632904052734,-0.022,-0.077,-0.984,0.987
0.3987393379211426,-0.019,-0.107,-0.969,0.975
0.4001493453979492,-0.019,-0.107,-0.969,0.975
0.4091682434082031,-0.008,-0.125,-0.971,0.979
0.419187068939209,0.004,-0.169,-0.954,0.969
0.4295692443847656,0.012,-0.212,-0.898,0.923
0.43938612937927246,0.03,-0.232,-0.845,0.877
0.45441317558288574,0.069,-0.242,-0.806,0.844
0.4595761299133301,0.119,-0.271,-0.789,0.843
0.47101521492004395,0.152,-0.313,-0.832,0.902
0.49889516830444336,0.201,-0.33,-0.935,1.012
0.4990231990814209,0.223,-0.334,-0.918,1.002
0.5003890991210938,0.223,-0.334,-0.918,1.002
0.5096311569213867,0.228,-0.346,-0.881,0.974
0.5197253227233887,0.217,-0.355,-0.864,0.959
0.5295310020446777,0.2,-0.357,-0.875,0.966
0.5396132469177246,0.187,-0.341,-0.902,0.982
0.5541973114013672,0.185,-0.317,-0.946,1.015
0.5614521503448486,0.183,-0.303,-0.971,1.034
0.570641040802002,0.168,-0.293,-0.939,0.998
0.5999431610107422,0.115,-0.244,-0.821,0.864
0.600471019744873,0.115,-0.244,-0.821,0.864
0.6016130447387695,0.115,-0.244,-0.821,0.864
0.6097283363342285,0.106,-0.228,-0.818,0.856
0.6199281215667725,0.111,-0.235,-0.877,0.915
0.629669189453125,0.128,-0.253,-0.917,0.96
0.6399121284484863,0.144,-0.26,-0.942,0.988
0.6549332141876221,0.138,-0.264,-0.927,0.974
0.6599912643432617,0.126,-0.249,-0.93,0.971
0.6719131469726562,0.107,-0.219,-0.942,0.973
0.6990401744842529,0.104,-0.177,-0.983,1.004
0.6995220184326172,0.105,-0.172,-0.982,1.002
0.7010440826416016,0.105,-0.172,-0.982,1.002
0.7100462913513184,0.096,-0.162,-0.972,0.99
0.7200570106506348,0.084,-0.149,-0.961,0.976
0.730147123336792,0.081,-0.159,-0.951,0.968
0.7416632175445557,0.084,-0.169,-0.937,0.956
0.7551882266998291,0.088,-0.179,-0.933,0.954
0.7615442276000977,0.093,-0.196,-0.935,0.96
0.7712981700897217,0.107,-0.206,-0.944,0.972
0.8003172874450684,0.077,-0.186,-0.952,0.973
0.8008551597595215,0.077,-0.186,-0.952,0.973
0.8019402027130127,0.077,-0.186,-0.952,0.973
0.8102312088012695,0.053,-0.17,-0.986,1.002
0.8205351829528809,0.037,-0.15,-1.027,1.039
0.8304862976074219,0.016,-0.127,-1.039,1.047
0.8405022621154785,0.001,-0.104,-1.039,1.044
0.855471134185791,-0.007,-0.09,-1.033,1.037
0.8604311943054199,-0.019,-0.088,-1.021,1.025
0.8723671436309814,-0.029,-0.087,-1.018,1.022
0.9001030921936035,-0.063,-0.134,-0.906,0.918
0.9004161357879639,-0.063,-0.134,-0.906,0.918
0.9016602039337158,-0.063,-0.134,-0.906,0.918
0.9104800224304199,-0.066,-0.146,-0.888,0.902
0.9206390380859375,-0.075,-0.146,-0.891,0.906
0.9305572509765625,-0.085,-0.141,-0.901,0.916
0.9420881271362305,-0.088,-0.138,-0.931,0.945
0.9546241760253906,-0.091,-0.145,-0.961,0.976
0.9607381820678711,-0.1,-0.158,-0.958,0.976
0.9725182056427002,-0.12,-0.163,-0.957,0.978
1.003068208694458,-0.147,-0.172,-0.977,1.003
1.003202199935913,-0.147,-0.172,-0.977,1.003
1.003446102142334,-0.147,-0.172,-0.977,1.003
1.0106022357940674,-0.163,-0.161,-0.977,1.004
1.0208282470703125,-0.18,-0.143,-0.979,1.006
1.0309391021728516,-0.191,-0.137,-0.995,1.022
1.0410501956939697,-0.183,-0.144,-1.029,1.055
1.0567231178283691,-0.176,-0.145,-1.041,1.066
1.060887336730957,-0.181,-0.124,-1.001,1.025
1.0726113319396973,-0.198,-0.1,-0.986,1.011
1.1027541160583496,-0.2,-0.125,-1.001,1.028
1.1032133102416992,-0.2,-0.125,-1.001,1.028
1.1034581661224365,-0.2,-0.125,-1.001,1.028
1.1108322143554688,-0.211,-0.125,-1.02,1.049
1.121267318725586,-0.198,-0.129,-1.026,1.053
1.131120204925537,-0.188,-0.127,-0.988,1.014
1.1414070129394531,-0.196,-0.114,-0.96,0.986
1.1556382179260254,-0.21,-0.113,-0.956,0.985
1.1626992225646973,-0.204,-0.135,-0.966,0.996
1.1724200248718262,-0.186,-0.14,-0.979,1.006
1.2009952068328857,-0.204,-0.088,-0.979,1.004
1.2015461921691895,-0.204,-0.088,-0.979,1.004
1.2025251388549805,-0.204,-0.088,-0.979,1.004
1.2112791538238525,-0.204,-0.085,-0.969,0.994
1.2214031219482422,-0.208,-0.075,-0.966,0.991
1.231391191482544,-0.219,-0.058,-0.95,0.977
1.2429442405700684,-0.234,-0.054,-0.947,0.977
1.2555971145629883,-0.239,-0.063,-0.948,0.98
