time,gFx,gFy,gFz,gFTotal
0.0021753311157226562,0.099,-0.369,-0.913,0.99
0.015998125076293945,0.062,-0.304,-0.899,0.951
0.017650127410888672,0.062,-0.304,-0.899,0.951
0.025516033172607422,0.065,-0.311,-0.951,1.003
0.03548121452331543,0.087,-0.349,-1.021,1.083
0.0456390380859375,0.115,-0.418,-1.065,1.15
0.055486202239990234,0.141,-0.484,-1.094,1.205
0.06732606887817383,0.162,-0.528,-1.122,1.251
0.07761526107788086,0.16,-0.538,-1.108,1.242
0.0882720947265625,0.094,-0.482,-1.031,1.142
0.09750819206237793,0.032,-0.22,-0.995,1.02
0.11230707168579102,-0.034,-0.25,-0.792,0.831
0.11560320854187012,0.009,-0.394,-0.734,0.833
0.12575817108154297,0.088,-0.412,-0.734,0.846
0.1357581615447998,0.021,-0.344,-0.731,0.808
0.14586400985717773,-0.133,-0.254,-0.792,0.842
0.16197514533996582,-0.293,-0.221,-0.77,0.853
0.16707229614257812,-0.394,-0.218,-0.746,0.871
0.17806315422058105,-0.424,-0.283,-0.846,0.988
0.18568134307861328,-0.387,-0.386,-0.742,0.922
0.2011411190032959,-0.302,-0.468,-0.582,0.806
0.21648025512695312,-0.311,-0.441,-0.632,0.831
0.21909332275390625,-0.311,-0.441,-0.632,0.831
0.22597217559814453,-0.331,-0.334,-0.634,0.789
0.23616719245910645,-0.365,-0.195,-0.572,0.706
0.24615907669067383,-0.382,-0.118,-0.539,0.671
0.25653719902038574,-0.399,-0.09,-0.568,0.7
0.27297210693359375,-0.395,-0.135,-0.72,0.832
0.2783360481262207,-0.366,-0.259,-1.019,1.113
0.28667616844177246,-0.348,-0.287,-1.178,1.261
0.29913330078125,-0.318,-0.184,-1.001,1.066
0.3131842613220215,-0.224,-0.168,-0.77,0.819
0.3161461353302002,-0.131,-0.212,-0.713,0.755
0.32634520530700684,-0.102,-0.255,-0.797,0.843
0.3359513282775879,-0.129,-0.281,-0.878,0.931
0.34645700454711914,-0.15,-0.231,-0.911,0.952
0.3594961166381836,-0.158,-0.145,-0.908,0.933
0.3674471378326416,-0.18,-0.099,-0.907,0.93
0.3820822238922119,-0.218,-0.093,-0.856,0.888
0.38604021072387695,-0.225,-0.168,-0.799,0.847
0.39839816093444824,-0.178,-0.192,-0.73,0.776
0.4124131202697754,-0.122,-0.127,-0.655,0.678
0.416384220123291,-0.092,-0.053,-0.593,0.602
0.4264340400695801,-0.107,-0.012,-0.591,0.601
0.4365200996398926,-0.148,-0.012,-0.568,0.587
0.44666004180908203,-0.208,-0.018,-0.57,0.607
0.456449031829834,-0.311,0.027,-0.611,0.686
0.47127532958984375,-0.468,0.112,-0.692,0.843
0.47769713401794434,-0.647,0.159,-0.657,0.936
0.4870600700378418,-0.891,0.159,-0.614,1.094
0.4986753463745117,-0.921,0.167,-0.786,1.222
0.513599157333374,-0.937,0.235,-0.82,1.267
0.5166561603546143,-1.085,0.248,-0.708,1.319
0.526881217956543,-1.173,0.262,-0.598,1.342
0.5366871356964111,-1.214,0.215,-0.574,1.36
0.5473592281341553,-1.253,0.1,-0.563,1.377
0.5575501918792725,-1.289,0.061,-0.529,1.395
0.5713973045349121,-1.356,0.248,-0.429,1.444
0.5828423500061035,-1.42,0.433,-0.336,1.522
0.586921215057373,-1.44,0.462,-0.29,1.54
0.5988881587982178,-1.405,0.405,-0.24,1.482
0.612429141998291,-1.345,0.351,-0.149,1.398
0.6167430877685547,-1.284,0.351,-0.04,1.332
0.6290760040283203,-1.224,0.422,0.07,1.297
0.6369941234588623,-1.144,0.488,0.17,1.255
0.6469912528991699,-1.065,0.467,0.21,1.182
0.6569600105285645,-0.997,0.399,0.198,1.092
0.6718692779541016,-0.961,0.357,0.176,1.04
0.6789112091064453,-0.964,0.386,0.141,1.048
0.6872110366821289,-1.055,0.474,0.114,1.162
0.7000691890716553,-1.152,0.535,0.205,1.287
0.7143912315368652,-1.173,0.521,0.215,1.301
0.7171940803527832,-1.165,0.529,0.094,1.283
0.7307882308959961,-1.028,0.483,-0.017,1.136
0.7372622489929199,-0.919,0.53,-0.108,1.066
0.7473421096801758,-0.817,0.633,-0.178,1.049
0.7574143409729004,-0.715,0.663,-0.234,1.003
0.7695901393890381,-0.653,0.643,-0.307,0.966
0.779421329498291,-0.671,0.592,-0.427,0.991
0.7899811267852783,-0.712,0.542,-0.563,1.057
0.8004791736602783,-0.719,0.511,-0.631,1.085
0.8152422904968262,-0.717,0.482,-0.602,1.053
0.8177711963653564,-0.664,0.451,-0.52,0.956
0.8277473449707031,-0.623,0.559,-0.386,0.922
0.8372821807861328,-0.707,0.694,-0.346,1.049
0.8472471237182617,-0.667,0.559,-0.388,0.953
0.8572521209716797,-0.667,0.547,-0.409,0.955
0.8699550628662109,-0.714,0.63,-0.397,1.032
0.882993221282959,-0.766,0.699,-0.334,1.089
0.8872761726379395,-0.794,0.705,-0.301,1.104
0.8996431827545166,-0.805,0.651,-0.296,1.077
0.9142570495605469,-0.8,0.565,-0.26,1.013
0.9176850318908691,-0.724,0.462,-0.168,0.875
0.928516149520874,-0.616,0.38,-0.067,0.727
0.9378390312194824,-0.532,0.327,0.025,0.625
0.9476962089538574,-0.487,0.302,0.066,0.577
0.9579901695251465,-0.549,0.452,0.137,0.724
0.973203182220459,-0.562,0.356,0.112,0.675
0.9796142578125,-0.459,0.065,0.029,0.464
0.9876480102539062,-0.506,0.092,-1.191,1.297
0.9997720718383789,-0.579,-0.248,-0.424,0.759
1.0170912742614746,-1.095,0.671,-0.488,1.374
1.0192670822143555,-1.095,0.671,-0.488,1.374
1.0279011726379395,-0.782,0.863,-0.861,1.448
1.0379531383514404,-0.536,0.656,-0.445,0.957
1.049497127532959,-0.578,0.591,0.152,0.841
1.057941198348999,-0.662,0.639,0.522,1.058
1.0736231803894043,-0.47,0.025,0.093,0.48
1.0790681838989258,-0.449,0.172,-0.104,0.492
1.088027000427246,-0.328,0.362,0.082,0.495
1.0999302864074707,-0.209,0.72,0.37,0.836
1.1171131134033203,-0.191,1.134,0.485,1.248
1.119413137435913,-0.177,1.524,0.559,1.633
1.1296420097351074,-0.2,1.641,0.178,1.663
1.1385140419006348,-0.336,1.704,0.011,1.737
1.148421287536621,-0.498,2.086,-0.084,2.146
1.1584222316741943,-0.68,2.596,-0.009,2.684
1.1710872650146484,-0.752,2.29,-0.047,2.411
1.1804790496826172,-0.639,1.091,-0.185,1.278
