time,gFx,gFy,gFz,gFTotal
0.008543014526367188,0.014,-0.256,-0.925,0.96
0.01812911033630371,0.013,-0.236,-0.943,0.972
0.02777719497680664,0.016,-0.239,-0.976,1.005
0.037943124771118164,0.037,-0.254,-0.998,1.03
0.04957103729248047,0.06,-0.272,-0.993,1.031
0.05982494354248047,0.064,-0.281,-0.963,1.005
0.06958389282226562,0.046,-0.289,-0.955,0.999
0.1015009880065918,0.044,-0.266,-0.942,0.98
0.1018362045288086,0.044,-0.266,-0.942,0.98
0.10196399688720703,0.044,-0.266,-0.942,0.98
0.10808897018432617,0.049,-0.247,-0.93,0.963
0.1181020736694336,0.059,-0.237,-0.932,0.963
0.12848806381225586,0.072,-0.237,-0.952,0.984
0.14036989212036133,0.086,-0.236,-0.969,1.001
0.15006494522094727,0.094,-0.223,-0.987,1.016
0.16040897369384766,0.102,-0.221,-0.987,1.017
0.17026209831237793,0.104,-0.234,-0.956,0.99
0.19898319244384766,0.112,-0.243,-0.99,1.026
0.19930124282836914,0.112,-0.243,-0.99,1.026
0.19942712783813477,0.112,-0.243,-0.99,1.026
0.2084510326385498,0.118,-0.252,-0.995,1.033
0.21838903427124023,0.113,-0.265,-0.984,1.025
0.2302250862121582,0.1,-0.269,-0.975,1.016
0.2398362159729004,0.086,-0.269,-0.992,1.031
0.2503929138183594,0.081,-0.278,-0.978,1.02
0.26035022735595703,0.072,-0.282,-0.96,1.003
0.270082950592041,0.048,-0.26,-0.902,0.94
0.3002750873565674,0.063,-0.278,-0.861,0.907
0.3005681037902832,0.063,-0.278,-0.861,0.907
0.30071306228637695,0.063,-0.278,-0.861,0.907
0.3084220886230469,0.089,-0.308,-0.913,0.968
0.3185849189758301,0.117,-0.314,-0.981,1.037
0.33039093017578125,0.127,-0.289,-0.998,1.047
0.34028005599975586,0.112,-0.261,-0.964,1.005
0.35010504722595215,0.09,-0.253,-0.918,0.956
0.36055612564086914,0.078,-0.258,-0.888,0.928
0.37024712562561035,0.078,-0.266,-0.857,0.901
0.40170717239379883,0.124,-0.303,-0.925,0.981
0.40205907821655273,0.124,-0.303,-0.925,0.981
0.4021871089935303,0.124,-0.303,-0.925,0.981
0.4088459014892578,0.105,-0.306,-0.904,0.96
0.418795108795166,0.081,-0.301,-0.908,0.96
0.4303591251373291,0.067,-0.281,-0.918,0.962
0.4404759407043457,0.04,-0.274,-0.85,0.894
0.4505290985107422,0.034,-0.25,-0.825,0.863
0.46073389053344727,0.083,-0.257,-0.844,0.886
0.4709780216217041,0.045,-0.401,-0.657,0.771
0.504432201385498,-0.187,-0.261,-0.709,0.778
0.5047769546508789,-0.187,-0.261,-0.709,0.778
0.5049030780792236,-0.187,-0.261,-0.709,0.778
0.5089502334594727,-0.204,-0.226,-0.73,0.791
0.5190091133117676,-0.204,-0.268,-0.75,0.822
0.5312519073486328,-0.197,-0.336,-0.789,0.88
0.5405840873718262,-0.185,-0.385,-0.856,0.957
0.5505580902099609,-0.189,-0.403,-0.928,1.029
0.561060905456543,-0.216,-0.395,-1.008,1.104
0.5707101821899414,-0.245,-0.374,-1.041,1.133
0.6012911796569824,-0.264,-0.305,-0.818,0.912
0.6015849113464355,-0.264,-0.305,-0.818,0.912
0.6017122268676758,-0.264,-0.305,-0.818,0.912
0.6091370582580566,-0.242,-0.239,-0.69,0.769
0.6193170547485352,-0.209,-0.136,-0.632,0.679
0.6312651634216309,-0.169,0.014,-0.71,0.73
0.6407580375671387,-0.15,0.058,-0.886,0.9
0.6511001586914062,-0.175,-0.05,-1.008,1.024
0.6615900993347168,-0.133,-0.083,-1.095,1.106
0.6712479591369629,-0.058,-0.024,-1.092,1.094
0.7013258934020996,0.112,0.113,-1.016,1.028
0.7016661167144775,0.112,0.113,-1.016,1.028
0.7017951011657715,0.112,0.113,-1.016,1.028
0.7095699310302734,0.098,0.15,-1.014,1.03
0.7197511196136475,0.007,0.2,-1.039,1.058
0.7312979698181152,-0.115,0.235,-1.025,1.058
0.741300106048584,-0.237,0.221,-1.003,1.054
0.7511451244354248,-0.355,0.184,-1.002,1.079
0.7621040344238281,-0.439,0.153,-0.957,1.064
0.7715349197387695,-0.526,0.118,-0.902,1.051
0.8051800727844238,-0.858,0.101,-0.851,1.213
0.8053221702575684,-0.858,0.101,-0.851,1.213
0.805448055267334,-0.858,0.101,-0.851,1.213
0.8097360134124756,-0.941,0.107,-0.805,1.243
0.8199682235717773,-1.011,0.097,-0.744,1.259
0.8302202224731445,-1.043,0.079,-0.702,1.26
0.8413200378417969,-1.062,0.036,-0.665,1.254
0.8514180183410645,-1.059,-0.001,-0.63,1.232
0.8618431091308594,-1.031,-0.017,-0.579,1.183
0.8715109825134277,-1.002,-0.019,-0.495,1.118
0.9022691249847412,-0.915,0.093,-0.435,1.017
0.9024100303649902,-0.915,0.093,-0.435,1.017
0.902534008026123,-0.915,0.093,-0.435,1.017
0.9098811149597168,-0.853,0.146,-0.399,0.953
0.9201960563659668,-0.809,0.206,-0.398,0.925
0.931427001953125,-0.76,0.268,-0.351,0.879
0.9413671493530273,-0.697,0.332,-0.287,0.824
0.9518752098083496,-0.66,0.364,-0.148,0.768
0.9619870185852051,-0.692,0.416,-0.036,0.808
0.9718420505523682,-0.873,0.484,-0.094,1.003
1.008430004119873,-1.807,0.47,-0.116,1.871
1.0085692405700684,-1.807,0.47,-0.116,1.871
1.0086941719055176,-1.807,0.47,-0.116,1.871
1.0101408958435059,-1.665,0.294,0.06,1.692
1.0205531120300293,-1.355,0.099,0.126,1.364
1.0321569442749023,-1.179,0.191,0.259,1.222
1.0416159629821777,-0.952,0.352,0.293,1.056
1.0521020889282227,-0.743,0.424,0.12,0.864
1.0621671676635742,-0.577,0.679,-0.135,0.901
1.0718159675598145,-0.465,1.289,-0.594,1.494
1.1036410331726074,-0.692,0.493,-0.369,0.926
1.1037921905517578,-0.692,0.493,-0.369,0.926
1.103917121887207,-0.692,0.493,-0.369,0.926
1.1104540824890137,-0.855,0.487,-0.324,1.036
1.12089204788208,-0.889,0.402,-0.335,1.032
1.1321091651916504,-0.761,0.453,-0.272,0.926
1.1422970294952393,-0.707,0.466,-0.215,0.874
1.1523420810699463,-0.768,0.473,-0.125,0.911
1.1621990203857422,-0.788,0.477,-0.084,0.925
1.1720571517944336,-0.707,0.509,-0.084,0.875
1.2073988914489746,0.174,0.168,-0.028,0.243
1.2075400352478027,0.174,0.168,-0.028,0.243
1.2076659202575684,0.174,0.168,-0.028,0.243
1.2106609344482422,0.839,-0.99,-0.078,1.3
1.2209620475769043,-0.542,-0.219,-0.283,0.649
1.2310400009155273,-1.256,1.398,0.117,1.883
1.2429170608520508,-1.056,1.306,0.064,1.681
1.2521600723266602,-0.76,0.96,-0.466,1.31
1.262998104095459,-0.512,0.94,-0.701,1.28
1.272517204284668,-0.447,1.031,-0.577,1.263
1.3028059005737305,-0.786,0.992,0.235,1.287
1.3029441833496094,-0.786,0.992,0.235,1.287
1.3030681610107422,-0.786,0.992,0.235,1.287
1.3108611106872559,-1.011,0.967,0.416,1.46
1.3211181163787842,-1.047,0.912,0.295,1.419
1.3326361179351807,-0.903,0.696,0.115,1.146
1.3431119918823242,-0.755,0.573,0.086,0.952
1.3525431156158447,-0.684,0.589,0.063,0.905
1.3629021644592285,-0.692,0.63,0.04,0.937
1.3725430965423584,-0.71,0.6,-0.095,0.934
1.4024450778961182,-0.706,1.581,-0.32,1.761
1.4025840759277344,-0.706,1.581,-0.32,1.761
1.4027140140533447,-0.706,1.581,-0.32,1.761
1.4111151695251465,-0.459,1.298,-0.404,1.435
1.4213800430297852,-0.071,0.141,-0.857,0.871
1.43284010887146,-0.002,0.294,-0.847,0.897
1.4429149627685547,-0.067,0.371,-0.702,0.797
1.4530351161956787,-0.154,0.382,-0.531,0.672
1.4628510475158691,-0.153,0.552,-0.076,0.578
1.4731040000915527,0.036,0.99,1.038,1.435
1.5090479850769043,-0.35,1.037,-0.102,1.099
1.5091872215270996,-0.35,1.037,-0.102,1.099
1.5093111991882324,-0.35,1.037,-0.102,1.099
1.5114469528198242,-0.369,1.141,-0.363,1.253
1.5214850902557373,-0.351,1.168,-0.496,1.317
1.5312390327453613,-0.318,1.147,-0.334,1.236
1.5449280738830566,-0.284,1.175,-0.151,1.218
1.5528900623321533,-0.249,1.205,-0.034,1.231
1.5630600452423096,-0.219,1.211,0.027,1.231
1.573185920715332,-0.199,1.174,0.002,1.191
1.602762222290039,-0.236,1.058,0.018,1.084
1.6029109954833984,-0.236,1.058,0.018,1.084
1.6030340194702148,-0.236,1.058,0.018,1.084
1.6115078926086426,-0.267,1.051,0.015,1.084
1.6218681335449219,-0.276,0.953,-0.022,0.992
1.6317510604858398,-0.426,-0.124,0.058,0.447
1.6445879936218262,-0.066,0.382,-0.13,0.409
1.6532001495361328,-0.084,0.563,-0.133,0.585
1.6648800373077393,-0.198,0.589,0.088,0.628
1.6733531951904297,-0.188,0.997,0.124,1.022
1.7069671154022217,-0.268,1.323,-0.033,1.35
1.707108974456787,-0.268,1.323,-0.033,1.35
1.70723295211792,-0.268,1.323,-0.033,1.35
1.7118029594421387,-0.272,1.242,-0.058,1.273
1.7219219207763672,-0.24,1.149,-0.149,1.183
1.7337112426757812,-0.366,1.609,-0.088,1.652
1.7440972328186035,-0.384,1.502,-0.086,1.553
1.7534799575805664,-0.263,1.435,-0.111,1.463
1.7633090019226074,-0.237,1.375,-0.004,1.395
1.7738990783691406,-0.246,1.35,0.06,1.374
1.8027310371398926,-0.096,1.345,-0.108,1.353
1.8028700351715088,-0.096,1.345,-0.108,1.353
1.8029930591583252,-0.096,1.345,-0.108,1.353
1.8118672370910645,-0.063,1.362,-0.01,1.363
1.8222908973693848,-0.087,1.355,0.128,1.364
1.832489013671875,-0.056,1.396,0.08,1.399
1.8443191051483154,0.022,1.349,0.048,1.35
1.8535480499267578,0.137,1.265,0.089,1.276
1.8641180992126465,0.201,1.209,0.098,1.23
1.8737359046936035,0.219,1.133,0.061,1.156
1.9045929908752441,0.15,0.934,0.027,0.946
1.9047410488128662,0.15,0.934,0.027,0.946
