time,gFx,gFy,gFz,gFTotal
0.0054492950439453125,-0.059,-0.136,-1.007,1.018
0.005692958831787109,-0.059,-0.136,-1.007,1.018
0.00994729995727539,-0.096,-0.11,-1.071,1.081
0.018644094467163086,-0.116,-0.126,-1.102,1.115
0.029082298278808594,-0.134,-0.152,-1.099,1.118
0.03879499435424805,-0.172,-0.15,-1.099,1.122
0.049024105072021484,-0.213,-0.137,-1.087,1.116
0.0590362548828125,-0.232,-0.141,-1.114,1.147
0.06914520263671875,-0.217,-0.178,-1.195,1.228
0.08039212226867676,-0.201,-0.232,-1.231,1.269
0.09926700592041016,-0.188,-0.298,-1.216,1.266
0.10085630416870117,-0.188,-0.298,-1.216,1.266
0.10937929153442383,-0.243,-0.329,-1.162,1.232
0.11931014060974121,-0.198,-0.326,-1.191,1.251
0.12964415550231934,-0.202,-0.338,-1.235,1.296
0.13954615592956543,-0.249,-0.378,-1.217,1.298
0.15007495880126953,-0.247,-0.421,-1.216,1.31
0.16045713424682617,-0.207,-0.446,-1.285,1.376
0.1708822250366211,-0.161,-0.449,-1.346,1.428
0.18055200576782227,-0.126,-0.447,-1.386,1.462
0.2005171775817871,-0.133,-0.439,-1.349,1.425
0.20079517364501953,-0.133,-0.439,-1.349,1.425
0.2100062370300293,-0.212,-0.416,-1.242,1.327
0.219926118850708,-0.235,-0.39,-1.149,1.236
0.23059511184692383,-0.219,-0.364,-1.047,1.13
0.24058318138122559,-0.211,-0.344,-0.925,1.009
0.25115013122558594,-0.187,-0.335,-0.83,0.914
0.26033926010131836,-0.154,-0.323,-0.736,0.818
0.2702751159667969,-0.146,-0.323,-0.635,0.727
0.2805180549621582,-0.131,-0.331,-0.55,0.655
0.30336904525756836,-0.085,-0.362,-0.509,0.63
0.30376625061035156,-0.085,-0.362,-0.509,0.63
0.3107771873474121,-0.064,-0.365,-0.503,0.625
0.32076501846313477,-0.045,-0.359,-0.493,0.612
0.33098506927490234,-0.033,-0.36,-0.476,0.598
0.34167909622192383,-0.018,-0.361,-0.451,0.578
0.3520021438598633,-0.013,-0.364,-0.441,0.572
0.36177515983581543,-0.015,-0.358,-0.45,0.575
0.37161827087402344,-0.004,-0.325,-0.485,0.584
0.3817601203918457,-0.011,-0.286,-0.543,0.614
0.40499114990234375,0.048,-0.258,-0.579,0.636
0.4053840637207031,0.048,-0.258,-0.579,0.636
0.4115421772003174,0.05,-0.245,-0.594,0.644
0.4213221073150635,0.044,-0.256,-0.62,0.672
