time,gFx,gFy,gFz,gFTotal
0.003607034683227539,0.07,-0.547,-0.856,1.018
0.012341976165771484,0.054,-0.456,-0.775,0.901
0.030340194702148438,0.013,-0.394,-0.776,0.87
0.03277707099914551,-0.023,-0.399,-0.794,0.889
0.04295015335083008,-0.028,-0.443,-0.817,0.93
0.05303001403808594,-0.001,-0.493,-0.827,0.963
0.06307005882263184,0.031,-0.513,-0.845,0.989
0.0732259750366211,0.062,-0.493,-0.865,0.998
0.08342313766479492,0.087,-0.46,-0.873,0.991
0.09551310539245605,0.08,-0.44,-0.885,0.992
0.10309219360351562,0.068,-0.433,-0.893,0.995
0.1128082275390625,0.058,-0.439,-0.9,1.003
0.12796592712402344,0.052,-0.446,-0.907,1.012
0.1329970359802246,0.058,-0.446,-0.917,1.021
0.14312124252319336,0.055,-0.445,-0.9,1.006
0.15316295623779297,0.046,-0.449,-0.882,0.991
0.1634979248046875,0.048,-0.439,-0.872,0.977
0.17329120635986328,0.05,-0.431,-0.875,0.977
0.18351316452026367,0.04,-0.441,-0.869,0.975
0.19366025924682617,0.027,-0.464,-0.856,0.974
0.20336508750915527,0.012,-0.483,-0.857,0.984
0.21391010284423828,0.009,-0.497,-0.864,0.997
0.23078393936157227,0.03,-0.495,-0.88,1.01
0.23372125625610352,0.062,-0.483,-0.9,1.023
0.24407720565795898,0.116,-0.473,-0.884,1.009
0.2538151741027832,0.145,-0.467,-0.843,0.975
0.264146089553833,0.134,-0.464,-0.813,0.946
0.2740602493286133,0.063,-0.444,-0.834,0.947
0.28429317474365234,0.118,-0.45,-0.855,0.973
0.294403076171875,0.164,-0.506,-0.835,0.99
0.30472707748413086,0.169,-0.586,-0.792,1.0
0.314439058303833,0.188,-0.636,-0.769,1.015
0.33390212059020996,0.201,-0.708,-0.848,1.123
0.3361492156982422,0.201,-0.708,-0.848,1.123
0.34482812881469727,0.19,-0.739,-0.858,1.148
0.35479021072387695,0.181,-0.762,-0.827,1.139
0.36492919921875,0.206,-0.733,-0.8,1.104
0.37499403953552246,0.241,-0.66,-0.745,1.024
0.3850221633911133,0.19,-0.658,-0.608,0.916
0.3952169418334961,0.173,-0.645,-0.497,0.832
0.40482616424560547,0.173,-0.723,-0.601,0.956
0.415208101272583,0.15,-0.867,-1.017,1.345
0.4333460330963135,0.2,-0.864,-1.167,1.466
0.43557119369506836,0.196,-0.794,-0.805,1.148
0.44545698165893555,0.032,-0.729,-0.681,0.998
0.4553842544555664,-0.146,-0.455,-0.999,1.107
0.4653949737548828,0.145,-0.156,-1.472,1.487
0.4756312370300293,0.382,-0.719,-0.741,1.101
0.48575925827026367,0.231,-1.285,-0.087,1.308
0.4958620071411133,0.125,-0.961,-1.046,1.426
0.5063352584838867,-0.107,-0.534,-0.987,1.127
0.5160369873046875,-0.083,-0.292,-0.932,0.98
0.5356590747833252,-0.171,-0.512,-0.932,1.077
0.5376551151275635,-0.171,-0.512,-0.932,1.077
0.5462701320648193,-0.38,-0.422,-0.925,1.085
0.5566792488098145,-0.444,-0.417,-0.874,1.065
0.5665450096130371,-0.296,-0.625,-0.688,0.975
0.5766081809997559,-0.302,-0.828,-0.364,0.954
0.5863909721374512,-0.354,-0.749,-0.291,0.878
0.5965490341186523,0.062,-0.328,-0.845,0.909
0.6068181991577148,0.294,-0.087,-1.156,1.196
0.6165320873260498,-0.466,-0.173,-0.355,0.611
0.6367950439453125,0.011,-0.703,-0.621,0.938
0.639246940612793,0.011,-0.703,-0.621,0.938
0.6470410823822021,-0.48,-0.48,-0.633,0.928
0.6576070785522461,-0.479,-0.155,-0.55,0.746
0.6673312187194824,-0.571,-0.238,-0.604,0.865
0.6770119667053223,-0.56,-0.295,-0.652,0.909
0.6869611740112305,-0.544,-0.137,-0.769,0.952
0.6970930099487305,-0.569,-0.165,-0.876,1.058
0.7073390483856201,-0.545,-0.224,-0.809,1.001
0.7172191143035889,-0.468,-0.277,-0.893,1.046
0.7404861450195312,-0.601,-0.318,-0.93,1.152
0.7408120632171631,-0.601,-0.318,-0.93,1.152
0.7470622062683105,-0.629,-0.338,-0.937,1.178
0.757620096206665,-0.664,-0.329,-0.891,1.159
0.7682309150695801,-0.689,-0.274,-0.836,1.117
0.7783501148223877,-0.664,-0.312,-0.775,1.067
0.7883329391479492,-0.596,-0.362,-0.824,1.079
0.7982921600341797,-0.649,-0.184,-0.771,1.024
0.8082852363586426,-0.683,-0.143,-0.706,0.993
0.8185000419616699,-0.678,-0.099,-0.712,0.988
0.8393039703369141,-0.761,-0.056,-0.746,1.067
0.8396430015563965,-0.761,-0.056,-0.746,1.067
0.8479230403900146,-0.818,-0.014,-0.714,1.086
0.8581440448760986,-0.877,0.041,-0.621,1.075
0.8683042526245117,-0.983,0.086,-0.588,1.149
0.8783559799194336,-1.025,0.059,-0.57,1.174
0.8888900279998779,-1.032,0.05,-0.539,1.165
0.899360179901123,-1.045,0.039,-0.503,1.16
0.9094431400299072,-1.053,0.044,-0.476,1.156
0.9191701412200928,-1.049,0.031,-0.468,1.149
0.9391720294952393,-1.088,0.034,-0.477,1.188
0.9395480155944824,-1.088,0.034,-0.477,1.188
