time,gFx,gFy,gFz,gFTotal
0.0034759044647216797,-0.141,-0.39,-0.965,1.05
0.012285947799682617,-0.114,-0.35,-0.866,0.941
0.02282094955444336,-0.111,-0.381,-0.84,0.929
0.03273892402648926,-0.049,-0.432,-0.924,1.021
0.04390692710876465,0.0,-0.483,-0.954,1.069
0.05289912223815918,0.007,-0.494,-0.928,1.051
0.06292414665222168,0.004,-0.474,-0.934,1.047
0.08534598350524902,-0.049,-0.449,-0.932,1.036
0.08554387092590332,-0.049,-0.449,-0.932,1.036
0.09312796592712402,-0.096,-0.439,-0.906,1.011
0.10355591773986816,-0.129,-0.442,-0.901,1.012
0.11444211006164551,-0.135,-0.452,-0.914,1.029
0.12355899810791016,-0.122,-0.481,-0.932,1.056
0.13332009315490723,-0.119,-0.511,-0.929,1.067
0.14348912239074707,-0.096,-0.506,-0.898,1.035
0.15357089042663574,-0.077,-0.484,-0.871,0.999
0.16334795951843262,-0.131,-0.506,-0.847,0.995
0.1801140308380127,-0.114,-0.538,-0.827,0.993
0.18456196784973145,-0.057,-0.512,-0.845,0.99
0.19353103637695312,-0.051,-0.486,-0.863,0.992
0.20365405082702637,-0.037,-0.494,-0.846,0.98
0.21387600898742676,-0.032,-0.504,-0.846,0.985
0.22391700744628906,-0.043,-0.495,-0.852,0.986
0.23363709449768066,-0.036,-0.47,-0.864,0.984
0.24399995803833008,-0.055,-0.494,-0.839,0.975
0.25483012199401855,-0.03,-0.538,-0.743,0.918
0.2641270160675049,0.02,-0.541,-0.706,0.89
0.28372693061828613,0.023,-0.514,-0.703,0.871
0.2857210636138916,0.023,-0.514,-0.703,0.871
0.29453396797180176,0.04,-0.52,-0.698,0.871
0.30540895462036133,-0.023,-0.497,-0.704,0.862
0.31424689292907715,-0.155,-0.418,-0.738,0.862
0.32592105865478516,-0.179,-0.439,-0.706,0.85
0.3358609676361084,-0.201,-0.483,-0.687,0.864
0.34600305557250977,-0.179,-0.554,-0.662,0.882
0.35576701164245605,-0.196,-0.619,-0.654,0.922
0.3663508892059326,-0.222,-0.594,-0.668,0.921
0.3880479335784912,-0.103,-0.526,-0.739,0.913
0.3883240222930908,-0.103,-0.526,-0.739,0.913
0.3950788974761963,-0.115,-0.514,-0.747,0.914
0.40564608573913574,-0.138,-0.493,-0.71,0.875
0.4157369136810303,-0.222,-0.496,-0.634,0.835
0.42615699768066406,-0.181,-1.062,-0.59,1.228
0.435870885848999,0.22,-2.282,-0.649,2.383
0.4462411403656006,-0.078,-0.749,-0.661,1.002
0.4565589427947998,-0.14,-0.059,-0.506,0.528
0.46677303314208984,0.077,-0.351,-0.524,0.635
0.48722386360168457,-0.188,-0.603,-0.546,0.835
0.4875509738922119,-0.188,-0.603,-0.546,0.835
0.49587082862854004,-0.49,-0.492,-0.458,0.832
0.5060298442840576,-0.683,-0.389,-0.594,0.985
0.5160648822784424,-0.905,-0.297,-0.792,1.239
0.5265519618988037,-0.774,-0.416,-0.496,1.009
0.5364580154418945,-0.027,-0.302,-0.116,0.325
0.5465450286865234,-0.657,-0.165,-0.37,0.772
0.5562119483947754,-0.775,0.083,-0.025,0.78
0.5663599967956543,-0.749,0.167,0.136,0.779
0.5861241817474365,-1.07,0.333,0.27,1.153
