time,gFx,gFy,gFz,gFTotal
0.005354881286621094,0.163,-0.347,-0.902,0.98
0.01485300064086914,0.178,-0.329,-0.918,0.991
0.024658918380737305,0.207,-0.344,-0.933,1.016
0.03709888458251953,0.233,-0.381,-0.898,1.003
0.04546189308166504,0.251,-0.396,-0.902,1.017
0.0548558235168457,0.262,-0.389,-0.912,1.026
0.06542086601257324,0.267,-0.383,-0.894,1.009
0.07793283462524414,0.26,-0.377,-0.88,0.992
0.08755183219909668,0.269,-0.367,-0.891,1.0
0.10723495483398438,0.246,-0.356,-0.897,0.996
0.10776090621948242,0.246,-0.356,-0.897,0.996
0.11601591110229492,0.24,-0.35,-0.912,1.006
0.1260988712310791,0.237,-0.358,-0.898,0.995
0.13969683647155762,0.234,-0.367,-0.884,0.985
0.1461009979248047,0.223,-0.367,-0.897,0.994
0.15671777725219727,0.215,-0.359,-0.897,0.99
0.16782093048095703,0.247,-0.363,-0.878,0.982
0.17620491981506348,0.239,-0.371,-0.86,0.967
0.1878948211669922,0.252,-0.376,-0.87,0.981
0.20797085762023926,0.239,-0.385,-0.874,0.984
0.20833086967468262,0.239,-0.385,-0.874,0.984
0.2163219451904297,0.231,-0.38,-0.877,0.983
0.22719287872314453,0.24,-0.388,-0.881,0.992
0.2400660514831543,0.221,-0.404,-0.877,0.991
0.24684476852416992,0.2,-0.419,-0.864,0.981
0.2572507858276367,0.205,-0.424,-0.865,0.985
0.26677989959716797,0.194,-0.426,-0.853,0.973
0.2777979373931885,0.184,-0.423,-0.796,0.92
0.28734779357910156,0.187,-0.413,-0.749,0.876
0.3070707321166992,0.193,-0.389,-0.801,0.911
0.3087458610534668,0.193,-0.389,-0.801,0.911
0.31681084632873535,0.209,-0.403,-0.817,0.935
0.32776403427124023,0.216,-0.432,-0.824,0.955
0.3393850326538086,0.201,-0.458,-0.794,0.938
0.34752392768859863,0.189,-0.477,-0.735,0.896
0.3578479290008545,0.172,-0.481,-0.673,0.845
0.36786985397338867,0.149,-0.479,-0.654,0.824
0.3781309127807617,0.119,-0.474,-0.671,0.83
0.387876033782959,0.071,-0.461,-0.73,0.866
0.40752387046813965,0.045,-0.46,-0.779,0.906
0.41005992889404297,0.045,-0.46,-0.779,0.906
0.4175689220428467,0.067,-0.473,-0.736,0.877
0.42806577682495117,0.132,-0.486,-0.705,0.866
0.4409499168395996,0.148,-0.498,-0.693,0.866
