time,gFx,gFy,gFz,gFTotal
0.007538795471191406,-0.007,-0.373,-1.294,1.347
0.017773866653442383,-0.063,-0.304,-1.193,1.233
0.027525901794433594,-0.102,-0.267,-1.13,1.166
0.037831783294677734,-0.1,-0.263,-1.08,1.116
0.0563969612121582,-0.069,-0.277,-1.049,1.087
0.05817604064941406,-0.068,-0.307,-1.004,1.052
0.06759881973266602,-0.062,-0.329,-0.946,1.003
0.07784271240234375,-0.022,-0.343,-0.882,0.947
0.08803081512451172,0.014,-0.337,-0.868,0.931
0.09785079956054688,0.021,-0.32,-0.894,0.95
0.10840177536010742,-0.018,-0.318,-0.9,0.955
0.11848092079162598,-0.07,-0.328,-0.9,0.96
0.12913990020751953,-0.107,-0.333,-0.899,0.965
0.13910889625549316,-0.124,-0.325,-0.876,0.943
0.16008901596069336,-0.115,-0.289,-0.775,0.835
0.16040277481079102,-0.115,-0.289,-0.775,0.835
0.16867971420288086,-0.095,-0.274,-0.737,0.792
0.17865705490112305,-0.073,-0.267,-0.698,0.751
0.1888279914855957,-0.055,-0.268,-0.655,0.71
0.19872379302978516,-0.039,-0.273,-0.618,0.677
0.20881080627441406,-0.018,-0.277,-0.605,0.666
0.21960973739624023,0.002,-0.28,-0.598,0.66
0.22998785972595215,0.02,-0.292,-0.588,0.657
0.23967599868774414,0.039,-0.299,-0.582,0.655
0.26133084297180176,0.048,-0.323,-0.602,0.685
0.26162004470825195,0.048,-0.323,-0.602,0.685
0.26907992362976074,0.053,-0.338,-0.601,0.692
0.2795848846435547,0.059,-0.342,-0.618,0.709
0.28939199447631836,0.065,-0.35,-0.652,0.743
0.2993149757385254,0.065,-0.371,-0.679,0.776
0.3095259666442871,0.062,-0.394,-0.693,0.8
0.32011985778808594,0.061,-0.41,-0.71,0.822
0.33043479919433594,0.055,-0.423,-0.722,0.839
0.33983802795410156,0.055,-0.435,-0.746,0.865
0.3629279136657715,0.062,-0.462,-0.802,0.928
0.36333489418029785,0.062,-0.462,-0.802,0.928
0.36989593505859375,0.054,-0.474,-0.814,0.943
0.38016271591186523,0.06,-0.483,-0.84,0.971
0.390042781829834,0.074,-0.499,-0.869,1.005
0.4008359909057617,0.087,-0.517,-0.898,1.04
0.41057300567626953,0.092,-0.531,-0.93,1.075
0.42041492462158203,0.092,-0.528,-0.94,1.082
0.43155789375305176,0.088,-0.521,-0.959,1.095
0.4410238265991211,0.076,-0.567,-0.999,1.151
0.46201586723327637,0.126,-0.475,-0.982,1.098
0.462479829788208,0.126,-0.475,-0.982,1.098
0.47039175033569336,0.124,-0.479,-1.001,1.117
0.48094797134399414,0.116,-0.493,-1.031,1.149
0.49060988426208496,0.088,-0.503,-1.064,1.18
0.5011599063873291,0.065,-0.506,-1.094,1.207
0.5113430023193359,0.053,-0.503,-1.108,1.218
0.5213339328765869,0.038,-0.483,-1.084,1.187
0.5314860343933105,0.019,-0.459,-1.027,1.125
0.5413060188293457,0.002,-0.451,-0.957,1.058
0.5636887550354004,0.039,-0.418,-0.929,1.019
0.5640478134155273,0.039,-0.418,-0.929,1.019
0.5710089206695557,0.083,-0.435,-0.971,1.067
0.581035852432251,0.117,-0.475,-1.012,1.124
0.5911769866943359,0.166,-0.508,-1.064,1.191
0.6012668609619141,0.243,-0.496,-1.13,1.258
0.6117918491363525,0.262,-0.44,-1.213,1.317
0.6221659183502197,0.249,-0.392,-1.235,1.319
0.6320290565490723,0.219,-0.355,-1.205,1.275
0.6423020362854004,0.172,-0.329,-1.172,1.229
0.6605978012084961,0.098,-0.267,-1.074,1.111
0.6629829406738281,0.098,-0.267,-1.074,1.111
0.6713018417358398,0.047,-0.253,-1.038,1.069
0.6817197799682617,0.022,-0.263,-0.98,1.015
0.691591739654541,0.035,-0.271,-0.92,0.96
0.7018208503723145,0.029,-0.294,-0.91,0.957
0.7123599052429199,0.014,-0.337,-0.91,0.97
0.7224009037017822,0.019,-0.377,-0.93,1.004
0.7328488826751709,0.048,-0.393,-0.976,1.053
0.742682933807373,0.086,-0.383,-1.003,1.077
0.7632548809051514,0.091,-0.388,-0.95,1.03
0.7635538578033447,0.091,-0.388,-0.95,1.03
0.771934986114502,0.047,-0.383,-0.875,0.956
0.7824859619140625,-0.008,-0.348,-0.807,0.879
0.7925958633422852,-0.047,-0.314,-0.748,0.813
0.8024587631225586,-0.073,-0.29,-0.708,0.769
0.8134489059448242,-0.081,-0.284,-0.694,0.754
0.8230929374694824,-0.075,-0.297,-0.708,0.771
0.8335700035095215,-0.071,-0.333,-0.728,0.804
0.843235969543457,-0.043,-0.368,-0.699,0.791
0.8645808696746826,-0.015,-0.378,-0.613,0.72
0.8648989200592041,-0.015,-0.378,-0.613,0.72
0.8724050521850586,-0.01,-0.364,-0.593,0.696
0.8828878402709961,0.002,-0.368,-0.585,0.691
0.8928537368774414,0.054,-0.354,-0.552,0.658
0.9036459922790527,0.087,-0.343,-0.514,0.624
0.9138739109039307,0.07,-0.331,-0.512,0.614
0.9235389232635498,0.018,-0.33,-0.518,0.614
0.9339017868041992,-0.068,-0.348,-0.555,0.659
0.9438467025756836,-0.155,-0.41,-0.555,0.707
0.9647479057312012,0.051,-0.531,-0.696,0.877
0.9650697708129883,0.051,-0.531,-0.696,0.877
0.9729228019714355,0.102,-0.546,-0.788,0.964
0.9835028648376465,0.1,-0.529,-0.766,0.936
0.9931759834289551,0.047,-0.495,-0.697,0.856
1.0036530494689941,-0.032,-0.447,-0.679,0.814
1.014042854309082,-0.126,-0.397,-0.687,0.803
1.023573875427246,-0.195,-0.398,-0.666,0.8
1.0343327522277832,-0.221,-0.415,-0.651,0.803
1.044501781463623,-0.223,-0.411,-0.613,0.771
1.0655229091644287,-0.278,-0.435,-0.541,0.748
1.0658559799194336,-0.278,-0.435,-0.541,0.748
1.0736749172210693,-0.239,-0.468,-0.552,0.762
1.084202766418457,-0.118,-0.552,-0.733,0.925
1.0940039157867432,-0.052,-0.656,-1.004,1.2
1.1042568683624268,-0.191,-0.634,-0.856,1.082
1.1144928932189941,-0.264,-0.604,-0.641,0.919
1.1245849132537842,-0.153,-0.636,-0.654,0.925
1.1343708038330078,-0.127,-0.65,-0.715,0.975
1.1449048519134521,-0.195,-0.652,-0.76,1.02
1.1660900115966797,-0.292,-0.8,-0.854,1.206
1.1663780212402344,-0.292,-0.8,-0.854,1.206
1.1740989685058594,-0.357,-0.819,-0.918,1.281
1.184532880783081,-0.455,-0.652,-1.006,1.282
1.1947007179260254,-0.493,-0.388,-1.134,1.296
1.204786777496338,-0.473,-0.177,-1.084,1.196
1.2149348258972168,-0.41,-0.071,-0.989,1.073
1.2254438400268555,-0.422,-0.158,-0.987,1.085
1.2355098724365234,-0.491,-0.34,-1.02,1.182
1.2459349632263184,-0.532,-0.278,-1.009,1.174
1.266770839691162,-0.569,-0.111,-0.935,1.1
1.2671027183532715,-0.569,-0.111,-0.935,1.1
1.2748327255249023,-0.611,-0.099,-0.924,1.112
1.2854058742523193,-0.696,-0.082,-0.965,1.193
1.295496940612793,-0.752,-0.095,-0.949,1.215
1.3057589530944824,-0.773,-0.081,-0.903,1.191
1.3157320022583008,-0.781,-0.051,-0.833,1.143
1.3253369331359863,-0.791,-0.004,-0.758,1.096
1.335601806640625,-0.844,0.026,-0.736,1.12
1.3463099002838135,-0.882,0.018,-0.776,1.175
1.3669929504394531,-0.807,0.009,-0.759,1.108
1.367445945739746,-0.807,0.009,-0.759,1.108
1.3753418922424316,-0.752,0.02,-0.761,1.07
1.385605812072754,-0.709,0.039,-0.74,1.026
1.3960189819335938,-0.672,0.061,-0.703,0.974
1.406092882156372,-0.641,0.088,-0.66,0.924
1.4169528484344482,-0.6,0.103,-0.633,0.878
1.4264130592346191,-0.576,0.124,-0.592,0.835
1.4367380142211914,-0.581,0.148,-0.548,0.812
1.4469709396362305,-0.599,0.155,-0.511,0.802
1.4671177864074707,-0.622,0.111,-0.506,0.809
1.467423915863037,-0.622,0.111,-0.506,0.809
1.475977897644043,-0.646,0.067,-0.514,0.828
1.4864709377288818,-0.7,0.034,-0.549,0.89
1.4964137077331543,-0.761,0.04,-0.551,0.94
1.5067048072814941,-0.844,0.025,-0.567,1.017
1.516892910003662,-0.926,-0.013,-0.565,1.085
1.5265769958496094,-1.007,-0.058,-0.559,1.153
1.536870002746582,-1.089,-0.104,-0.527,1.214
1.5477328300476074,-1.165,-0.165,-0.513,1.284
1.5683588981628418,-1.231,-0.259,-0.439,1.332
1.5686607360839844,-1.231,-0.259,-0.439,1.332
1.5767278671264648,-1.154,-0.282,-0.301,1.225
1.5872318744659424,-1.171,-0.32,-0.274,1.244
1.5972368717193604,-1.214,-0.367,-0.233,1.289
1.6072349548339844,-1.252,-0.409,-0.195,1.331
1.6180729866027832,-1.32,-0.473,-0.169,1.412
1.628072738647461,-1.332,-0.522,-0.136,1.437
1.63792085647583,-1.291,-0.557,-0.078,1.408
1.6485679149627686,-1.305,-0.592,-0.04,1.434
1.6697230339050293,-1.303,-0.638,0.091,1.454
1.6700568199157715,-1.303,-0.638,0.091,1.454
1.6772029399871826,-1.252,-0.648,0.167,1.42
1.6876740455627441,-1.192,-0.65,0.223,1.376
1.697619915008545,-1.138,-0.618,0.252,1.319
1.7077298164367676,-1.114,-0.6,0.282,1.296
1.7179417610168457,-1.103,-0.586,0.311,1.287
1.7274858951568604,-1.095,-0.565,0.323,1.274
1.737170934677124,-1.122,-0.545,0.346,1.294
1.7472708225250244,-1.079,-0.464,0.385,1.236
1.765807867050171,-1.044,-0.388,0.42,1.19
1.7683138847351074,-1.032,-0.373,0.407,1.17
1.777249813079834,-1.057,-0.267,0.372,1.152
1.7882778644561768,-1.034,-0.006,0.401,1.109
1.797541856765747,-0.979,0.098,0.3,1.029
1.8074407577514648,-0.929,-0.1,0.157,0.947
1.8176329135894775,-0.928,-0.104,0.002,0.934
1.8279657363891602,-0.989,0.172,-0.116,1.011
1.8387069702148438,-1.097,0.383,-0.148,1.171
1.8479499816894531,-1.223,0.495,-0.173,1.331
1.8688018321990967,-1.508,0.691,-0.176,1.668
1.8691508769989014,-1.508,0.691,-0.176,1.668
1.8786640167236328,-1.501,0.612,0.062,1.622
1.8880128860473633,-1.352,0.473,0.198,1.446
1.9235057830810547,-1.24,0.603,-0.148,1.387
1.9237968921661377,-1.24,0.603,-0.148,1.387
1.9249708652496338,-1.24,0.603,-0.148,1.387
1.9281349182128906,-1.292,0.585,-0.145,1.426
1.9383478164672852,-1.36,0.498,-0.15,1.456
1.9485678672790527,-1.374,0.561,-0.19,1.496
1.9676249027252197,-1.381,0.58,-0.22,1.514
1.9706978797912598,-1.33,0.454,-0.219,1.422
1.9795348644256592,-1.308,0.416,-0.247,1.395
1.989358901977539,-1.222,0.378,-0.239,1.301
1.9989938735961914,-1.154,0.316,-0.232,1.219
2.0089550018310547,-1.068,0.245,-0.222,1.118
2.019399881362915,-0.977,0.208,-0.211,1.021
2.0298190116882324,-0.906,0.188,-0.191,0.945
2.039872884750366,-0.832,0.193,-0.169,0.871
2.0491857528686523,-0.788,0.205,-0.136,0.826
2.072211742401123,-0.695,0.21,-0.083,0.731
2.0724499225616455,-0.695,0.21,-0.083,0.731
2.7276649475097656,-0.732,0.244,0.032,0.772
2.7280519008636475,-0.732,0.244,0.032,0.772
2.728243827819824,-0.732,0.244,0.032,0.772
2.7285189628601074,-0.732,0.244,0.032,0.772
2.728700876235962,-0.732,0.244,0.032,0.772
2.7288990020751953,-0.732,0.244,0.032,0.772
2.7291548252105713,-0.732,0.244,0.032,0.772
2.7293739318847656,-0.732,0.244,0.032,0.772
2.7313058376312256,-0.732,0.244,0.032,0.772
2.7314839363098145,-0.732,0.244,0.032,0.772
2.7316548824310303,-0.732,0.244,0.032,0.772
2.7318239212036133,-0.732,0.244,0.032,0.772
2.7319908142089844,-0.732,0.244,0.032,0.772
2.732271909713745,-0.732,0.244,0.032,0.772
2.732440948486328,-0.709,0.24,0.005,0.749
2.73305082321167,-0.709,0.24,0.005,0.749
2.7332398891448975,-0.709,0.24,0.005,0.749
2.7334208488464355,-0.709,0.24,0.005,0.749
2.7336008548736572,-0.709,0.24,0.005,0.749
2.733780860900879,-0.709,0.24,0.005,0.749
2.7339797019958496,-0.709,0.24,0.005,0.749
2.7341718673706055,-0.709,0.24,0.005,0.749
2.7343597412109375,-0.709,0.24,0.005,0.749
2.7345468997955322,-0.709,0.24,0.005,0.749
2.734724998474121,-0.709,0.24,0.005,0.749
2.7349138259887695,-0.709,0.24,0.005,0.749
2.735093832015991,-0.709,0.24,0.005,0.749
2.73527193069458,-0.709,0.24,0.005,0.749
2.7354507446289062,-0.709,0.24,0.005,0.749
2.7356488704681396,-0.709,0.24,0.005,0.749
2.735826015472412,-0.709,0.24,0.005,0.749
2.7360029220581055,-0.709,0.24,0.005,0.749
2.7361998558044434,-0.709,0.24,0.005,0.749
2.7363767623901367,-0.709,0.24,0.005,0.749
2.7365570068359375,-0.709,0.24,0.005,0.749
