time;gFx;gFy;gFz;TgF
0.00839224;-0,1863;0,1636;0,9204;0,953
0.010033125;-0,1848;0,1589;0,9050;0,937
0.011766771;-0,1834;0,1497;0,9042;0,935
0.013020261;-0,1812;0,1494;0,9082;0,938
0.014206459;-0,1846;0,1448;0,9013;0,931
0.015540521;-0,1836;0,1389;0,8998;0,929
0.016811198;-0,1858;0,1365;0,9018;0,931
0.018176407;-0,1841;0,1433;0,9023;0,932
0.019361563;-0,1868;0,1438;0,9074;0,938
0.020491459;-0,1838;0,1418;0,9125;0,942
0.021634479;-0,1799;0,1475;0,9194;0,948
0.022788229;-0,1768;0,1558;0,9250;0,955
0.023978334;-0,1726;0,1592;0,9380;0,967
0.025146927;-0,1728;0,1619;0,9419;0,971
0.026286667;-0,1653;0,1643;0,9480;0,976
0.027630209;-0,1609;0,1692;0,9590;0,987
0.02929;-0,1587;0,1768;0,9717;1,000
0.030646979;-0,1560;0,1753;0,9756;1,003
0.031855417;-0,1548;0,1738;0,9822;1,009
0.033188802;-0,1430;0,1797;0,9919;1,018
0.035543854;-0,1347;0,1814;1,0083;1,033
0.037153438;-0,1264;0,1782;1,0274;1,050
0.038541146;-0,1237;0,1792;1,0413;1,064
0.039392813;-0,1233;0,1790;1,0584;1,080
0.040313802;-0,1242;0,1758;1,0648;1,086
0.041411927;-0,1174;0,1770;1,0721;1,093
0.049980886;-0,1108;0,1736;1,0841;1,103
0.050920729;-0,1091;0,1690;1,0794;1,098
0.051565469;-0,1113;0,1648;1,0770;1,095
0.052036302;-0,1125;0,1580;1,0831;1,100
0.052563177;-0,1137;0,1533;1,0887;1,105
0.056095521;-0,1130;0,1509;1,0848;1,101
0.066627136;-0,1176;0,1582;1,0718;1,090
0.067406823;-0,1140;0,1570;1,0657;1,083
0.067933334;-0,1137;0,1553;1,0584;1,076
0.06837375;-0,1189;0,1560;1,0498;1,068
0.068829636;-0,1201;0,1572;1,0379;1,057
0.07329625;-0,1313;0,1553;1,0208;1,041
0.074013438;-0,1460;0,1570;1,0117;1,034
0.085757604;-0,1582;0,1572;0,9968;1,021
0.086483802;-0,1687;0,1562;0,9802;1,007
0.086955365;-0,1772;0,1519;0,9795;1,007
0.087577032;-0,1838;0,1494;0,9560;0,985
0.088326302;-0,1892;0,1489;0,9267;0,957
0.088962604;-0,1843;0,1550;0,9111;0,942
0.091238021;-0,1802;0,1497;0,9030;0,933
0.098032969;-0,1677;0,1487;0,8845;0,912
0.098999636;-0,1606;0,1506;0,8774;0,905
0.099901407;-0,1567;0,1528;0,8749;0,902
0.10087849;-0,1448;0,1514;0,8735;0,898
0.102469167;-0,1347;0,1533;0,8769;0,900
0.105181667;-0,1259;0,1523;0,8832;0,905
0.107863229;-0,1159;0,1506;0,8969;0,917
0.110765417;-0,1079;0,1575;0,9067;0,927
0.112103177;-0,0983;0,1589;0,9187;0,937
0.114256459;-0,0917;0,1614;0,9267;0,945
0.116556042;-0,0903;0,1606;0,9306;0,949
0.120019896;-0,0851;0,1655;0,9389;0,957
0.122794063;-0,0844;0,1628;0,9409;0,959
0.125002188;-0,0859;0,1631;0,9448;0,963
0.129420886;-0,0854;0,1704;0,9465;0,966
0.130694115;-0,0839;0,1704;0,9529;0,972
0.132107917;-0,0903;0,1702;0,9455;0,965
0.13513974;-0,0952;0,1763;0,9448;0,966
0.136306302;-0,1020;0,1748;0,9521;0,973
0.138599948;-0,1118;0,1790;0,9553;0,978
0.141712448;-0,1127;0,1821;0,9582;0,982
0.144305417;-0,1152;0,1861;0,9592;0,984
0.148915209;-0,1186;0,1821;0,9619;0,986
0.150276407;-0,1174;0,1821;0,9643;0,988
0.151242344;-0,1203;0,1841;0,9555;0,981
0.153677292;-0,1201;0,1836;0,9475;0,973
0.159741354;-0,1230;0,1836;0,9375;0,963
0.160749063;-0,1149;0,1895;0,9382;0,964
0.161965938;-0,1132;0,1946;0,9499;0,976
0.164052761;-0,1035;0,1814;0,9573;0,980
0.166534063;-0,0883;0,1795;0,9577;0,978
0.168825261;-0,0768;0,1758;0,9641;0,983
0.170883386;-0,0678;0,1724;0,9709;0,988
0.174391511;-0,0627;0,1621;0,9824;0,998
0.177888854;-0,0531;0,1555;0,9876;1,001
0.178817344;-0,0465;0,1501;0,9907;1,003
0.181143386;-0,0316;0,1448;1,0032;1,014
0.183593802;-0,0143;0,1391;1,0108;1,020
0.185791823;-0,0026;0,1291;1,0181;1,026
0.188040781;0,0118;0,1218;1,0396;1,047
0.191411719;0,0272;0,1186;1,0496;1,057
0.193294375;0,0316;0,1108;1,0494;1,056
0.195872917;0,0363;0,1030;1,0479;1,054
0.198176563;0,0387;0,0974;1,0572;1,062
0.201384688;0,0419;0,1008;1,0723;1,078
0.202777969;0,0468;0,1005;1,0775;1,083
0.205536146;0,0404;0,0996;1,0721;1,077
0.208776511;0,0414;0,1098;1,0723;1,079
0.211201875;0,0385;0,1079;1,0709;1,077
0.214503281;0,0321;0,1081;1,0601;1,066
0.216358438;0,0253;0,1106;1,0481;1,054
0.217900365;0,0184;0,1152;1,0398;1,046
0.220665938;0,0138;0,1194;1,0396;1,047
0.224729219;0,0048;0,1282;1,0327;1,041
0.225823177;-0,0004;0,1296;1,0225;1,031
0.22995625;-0,0062;0,1323;1,0134;1,022
0.231810729;-0,0126;0,1399;1,0034;1,013
0.232797448;-0,0121;0,1470;1,0034;1,014
0.235887761;-0,0099;0,1506;1,0090;1,020
0.23759974;-0,0079;0,1545;1,0015;1,013
0.241314636;-0,0109;0,1604;0,9910;1,004
0.243120573;-0,0079;0,1584;0,9849;0,998
0.245492917;-0,0060;0,1638;0,9785;0,992
0.248683229;-0,0053;0,1660;0,9739;0,988
0.249960625;0,0033;0,1619;0,9763;0,990
