time;gFx;gFy;gFz;TgF
0.002857135;-0,1824;0,7284;0,9316;1,197
0.003692291;-0,1746;0,7186;0,9492;1,203
0.004220625;-0,1706;0,7123;0,9729;1,218
0.004733854;-0,1697;0,7025;0,9963;1,231
0.005254166;-0,1687;0,6942;1,0081;1,236
0.005723958;-0,1711;0,6891;1,0271;1,249
0.006173073;-0,1809;0,6844;1,0403;1,258
0.006735364;-0,1770;0,6800;1,0574;1,270
0.007250885;-0,1834;0,6769;1,0657;1,276
0.022282031;-0,1875;0,6781;1,0691;1,280
0.022945052;-0,1919;0,6781;1,0797;1,289
0.023663698;-0,1917;0,6832;1,0782;1,291
0.024792916;-0,1868;0,6818;1,1263;1,330
0.025450312;-0,1895;0,6862;1,1092;1,318
0.026260781;-0,1965;0,6925;1,1363;1,345
0.026718073;-0,2007;0,7011;1,1117;1,329
0.027096146;-0,1990;0,6969;1,1297;1,342
0.035678593;-0,2041;0,7013;1,1158;1,334
0.036303854;-0,2161;0,6888;1,1148;1,328
0.036652968;-0,2303;0,6815;1,1168;1,328
0.037008437;-0,2432;0,6842;1,1339;1,346
0.04873401;-0,2586;0,6866;1,1205;1,339
0.049447135;-0,2657;0,6810;1,1358;1,351
0.049813906;-0,2711;0,6732;1,1102;1,326
0.050136302;-0,2706;0,6561;1,1192;1,325
0.050446302;-0,2803;0,6510;1,0865;1,297
0.051853854;-0,2911;0,6451;1,1119;1,318
0.061046927;-0,2950;0,6434;1,1129;1,319
0.061708593;-0,2994;0,6351;1,1019;1,307
0.062039635;-0,3036;0,6246;1,0941;1,296
0.062350468;-0,3033;0,6158;1,0980;1,295
0.064524739;-0,2987;0,6090;1,1236;1,312
0.066121927;-0,2923;0,5884;1,1329;1,310
0.069561979;-0,2728;0,5620;1,1261;1,288
0.076579843;-0,2779;0,5471;1,1231;1,280
0.077473229;-0,2904;0,5168;1,1329;1,279
0.078097916;-0,2777;0,5102;1,1429;1,282
0.078572916;-0,2696;0,5181;1,1420;1,283
0.081335625;-0,2596;0,5178;1,1446;1,283
0.083779635;-0,2403;0,5095;1,1556;1,286
0.088969375;-0,2237;0,5041;1,1615;1,286
0.092655364;-0,2068;0,4997;1,1591;1,279
0.093887604;-0,1956;0,4961;1,1488;1,267
0.094931354;-0,1848;0,4858;1,1571;1,268
0.096327187;-0,1709;0,4763;1,1578;1,264
0.0985925;-0,1643;0,4680;1,1700;1,271
0.101161198;-0,1597;0,4594;1,1781;1,275
0.10495276;-0,1477;0,4460;1,1847;1,274
0.111049791;-0,1369;0,4335;1,1952;1,279
0.112119375;-0,1362;0,4157;1,2011;1,278
0.112785;-0,1379;0,3966;1,2148;1,285
