time;gFx;gFy;gFz;TgF
0.004510208;-0,0766;0,4778;0,8610;0,988
0.005970885;-0,0820;0,4763;0,8544;0,982
0.006653646;-0,0793;0,4797;0,8549;0,983
0.007136354;-0,0766;0,4834;0,8488;0,980
0.007540208;-0,0663;0,4819;0,8375;0,969
0.017581667;-0,0641;0,4812;0,8327;0,964
0.018293125;-0,0656;0,4802;0,8246;0,956
0.01889026;-0,0651;0,4746;0,8248;0,954
0.021202917;-0,0702;0,4743;0,8285;0,957
0.021859167;-0,0695;0,4797;0,8310;0,962
0.022341354;-0,0751;0,4726;0,8437;0,970
0.022760469;-0,0749;0,4704;0,8503;0,975
0.036307552;-0,0717;0,4707;0,8510;0,975
0.03709974;-0,0695;0,4738;0,8568;0,982
0.037534531;-0,0732;0,4726;0,8652;0,989
0.038106927;-0,0678;0,4804;0,8671;0,994
0.039449531;-0,0678;0,4907;0,8678;0,999
0.040158073;-0,0639;0,4834;0,8656;0,994
0.041562812;-0,0456;0,4746;0,8634;0,986
0.042038854;-0,0333;0,4677;0,8598;0,979
0.045669427;-0,0280;0,4607;0,8571;0,973
0.0478175;-0,0231;0,4611;0,8571;0,974
0.048548385;-0,0228;0,4682;0,8649;0,984
0.051429323;-0,0214;0,4726;0,8793;0,999
0.054565208;-0,0333;0,4780;0,8893;1,010
0.057260364;-0,0453;0,4817;0,9013;1,023
0.058697708;-0,0421;0,4800;0,9150;1,034
0.063281302;-0,0009;0,4548;0,9370;1,042
0.064646667;-0,0216;0,4431;0,9404;1,040
0.0660075;-0,0399;0,4213;0,9343;1,026
0.069598385;-0,0263;0,3695;0,9226;0,994
0.073822708;-0,0526;0,3595;0,9223;0,991
0.0746175;-0,1103;0,3673;0,9453;1,020
0.080555729;-0,1318;0,3783;0,9509;1,032
0.081255729;-0,0947;0,3876;0,9333;1,015
0.081731458;-0,0504;0,4045;0,9099;0,997
0.083462864;-0,0246;0,4294;0,9201;1,016
0.085349531;-0,0316;0,4414;0,9389;1,038
0.089803125;-0,0412;0,4492;0,9511;1,053
0.090671562;-0,0424;0,4582;0,9590;1,064
0.094551562;-0,0321;0,4658;0,9509;1,059
0.096607396;-0,0131;0,4658;0,9507;1,059
0.098004739;0,0040;0,4660;0,9595;1,067
0.100639583;0,0302;0,4731;0,9695;1,079
0.102921562;0,0426;0,4692;0,9768;1,084
0.107739271;0,0592;0,4570;0,9792;1,082
0.111902344;0,0636;0,4531;0,9888;1,089
0.113192396;0,0671;0,4492;0,9951;1,094
0.114180885;0,0707;0,4428;0,9932;1,090
0.115203594;0,0761;0,4418;0,9934;1,090
0.120190885;0,0856;0,4426;0,9963;1,094
0.121377239;0,0942;0,4489;0,9968;1,097
0.130289531;0,1032;0,4445;1,0056;1,104
0.130975104;0,1096;0,4450;1,0025;1,102
