time;gFx;gFy;gFz;TgF
0.006622604;-0,0253;0,5146;0,6336;0,817
0.007286875;-0,0343;0,5166;0,6401;0,823
0.007711927;-0,0456;0,5144;0,6634;0,841
0.008277344;-0,0536;0,5127;0,6888;0,860
0.008774896;-0,0629;0,5151;0,6995;0,871
0.009232552;-0,0741;0,5076;0,7195;0,884
0.009665052;-0,0866;0,5056;0,7388;0,899
0.010106563;-0,1027;0,5049;0,7606;0,919
0.010560521;-0,1154;0,5000;0,7779;0,932
0.011086875;-0,1225;0,5000;0,7894;0,942
0.011800781;-0,1313;0,4946;0,8041;0,953
0.012756042;-0,1328;0,4861;0,8156;0,959
0.013587031;-0,1330;0,4817;0,8192;0,960
0.022024011;-0,1369;0,4814;0,8248;0,965
0.022902344;-0,1357;0,4800;0,8385;0,976
0.023443125;-0,1355;0,4778;0,8576;0,991
0.023893229;-0,1440;0,4824;0,8708;1,006
0.024373386;-0,1513;0,4778;0,8928;1,024
0.041877344;-0,1594;0,4770;0,9165;1,045
0.042926511;-0,1655;0,4804;0,9292;1,059
0.043694219;-0,1665;0,4804;0,9340;1,063
0.044458177;-0,1641;0,4790;0,9294;1,058
0.045255938;-0,1579;0,4773;0,9355;1,062
0.04601974;-0,1535;0,4743;0,9421;1,066
0.046771094;-0,1347;0,4751;0,9463;1,067
0.047944115;-0,1272;0,4763;0,9521;1,072
0.048715833;-0,1076;0,4778;0,9568;1,075
0.049184896;-0,0920;0,4831;0,9619;1,080
0.054079531;-0,0798;0,4846;0,9619;1,080
0.054749063;-0,0710;0,4856;0,9717;1,089
0.055685417;-0,0634;0,4804;0,9766;1,090
0.05964224;-0,0590;0,4851;0,9763;1,092
0.060316979;-0,0561;0,4841;0,9873;1,101
0.083013646;-0,0556;0,4817;0,9883;1,101
0.083768906;-0,0575;0,4868;0,9905;1,105
0.08421375;-0,0566;0,4914;0,9946;1,111
0.084708646;-0,0468;0,4924;0,9985;1,114
0.085253958;-0,0375;0,4939;0,9951;1,112
0.085796094;-0,0336;0,5000;1,0000;1,119
0.086291875;-0,0231;0,5034;0,9900;1,111
0.08701125;-0,0145;0,5066;0,9856;1,108
0.087879323;-0,0109;0,5085;0,9807;1,105
0.088423021;-0,0018;0,5110;0,9832;1,108
0.088819948;0,0065;0,5107;0,9741;1,100
0.091839167;0,0116;0,5115;0,9634;1,091
0.104713073;0,0150;0,5161;0,9570;1,087
0.106801563;0,0114;0,5115;0,9541;1,083
0.107448594;0,0131;0,5081;0,9472;1,075
0.107848542;0,0133;0,5127;0,9438;1,074
0.108292552;0,0162;0,5061;0,9375;1,065
0.10862026;0,0160;0,5022;0,9380;1,064
0.108972344;0,0158;0,5034;0,9260;1,054
0.133089375;0,0199;0,4990;0,9255;1,052
0.134726354;0,0236;0,4993;0,9216;1,048
0.13529099;0,0297;0,5022;0,9147;1,044
0.135747083;0,0380;0,5054;0,9165;1,047
0.136484063;0,0492;0,5051;0,9123;1,044
0.136996354;0,0575;0,5066;0,9069;1,040
0.13744375;0,0602;0,5017;0,9069;1,038
0.138244948;0,0671;0,4978;0,9008;1,031
0.139199792;0,0688;0,4985;0,9033;1,034
0.139654479;0,0666;0,5002;0,9030;1,034
0.140079375;0,0722;0,4953;0,9123;1,041
0.140498438;0,0715;0,4995;0,9121;1,042
0.145169323;0,0719;0,4956;0,9086;1,038
0.146343438;0,0719;0,4953;0,9189;1,046
0.147886771;0,0739;0,4936;0,9226;1,049
0.149048958;0,0778;0,4944;0,9130;1,041
0.162289167;0,0734;0,4927;0,9191;1,045
0.164063594;0,0719;0,4902;0,9221;1,047
0.165534323;0,0644;0,4902;0,9267;1,050
0.167087292;0,0614;0,4966;0,9262;1,053
0.167842865;0,0612;0,4990;0,9365;1,063
0.168553073;0,0556;0,4963;0,9402;1,065
0.169367813;0,0500;0,4975;0,9406;1,065
0.169960313;0,0546;0,4966;0,9392;1,064
0.170552969;0,0614;0,4956;0,9402;1,065
0.171882344;0,0663;0,4963;0,9387;1,064
0.209584479;0,0663;0,4934;0,9389;1,063
0.210443281;0,0732;0,4988;0,9326;1,060
0.210900417;0,0759;0,4980;0,9277;1,056
0.211396302;0,0795;0,5005;0,9289;1,058
0.211953958;0,0825;0,5044;0,9301;1,061
0.212550156;0,0825;0,5051;0,9250;1,057
0.213066979;0,0854;0,5032;0,9282;1,059
0.213731094;0,0861;0,5015;0,9275;1,058
0.214274271;0,0847;0,5017;0,9152;1,047
0.214916719;0,0812;0,4973;0,9040;1,035
0.215502552;0,0785;0,4958;0,8891;1,021
0.216089583;0,0827;0,4968;0,8871;1,020
0.21732875;0,0842;0,4961;0,8766;1,011
0.218014271;0,0839;0,4953;0,8759;1,010
0.218424115;0,0776;0,4905;0,8630;0,996
0.21879724;0,0722;0,4841;0,8627;0,992
0.219154167;0,0690;0,4888;0,8564;0,988
0.219521198;0,0673;0,4841;0,8529;0,983
0.219892708;0,0683;0,4844;0,8583;0,988
0.220453177;0,0649;0,4875;0,8566;0,988
0.223087604;0,0658;0,4853;0,8546;0,985
0.226056667;0,0602;0,4870;0,8576;0,988
0.229355833;0,0544;0,4844;0,8551;0,984
0.231055781;0,0531;0,4844;0,8649;0,993
0.23365776;0,0417;0,4851;0,8715;0,998
0.235745625;0,0439;0,4829;0,8747;1,000
0.238187292;0,0373;0,4856;0,8766;1,003
0.240404427;0,0316;0,4812;0,8891;1,011
0.243856354;0,0221;0,4768;0,8979;1,017
0.245846823;0,0140;0,4778;0,8986;1,018
0.250362865;0,0062;0,4753;0,9089;1,026
0.250873698;0,0067;0,4695;0,9125;1,026
0.25278026;0,0048;0,4716;0,9145;1,029
0.254832396;0,0028;0,4748;0,9277;1,042
0.258429427;0,0089;0,4756;0,9331;1,047
0.261857135;0,0101;0,4775;0,9348;1,050
0.266976823;0,0180;0,4765;0,9397;1,054
0.268007083;0,0180;0,4768;0,9450;1,059
0.269081563;0,0228;0,4809;0,9468;1,062
0.270233021;0,0311;0,4765;0,9511;1,064
0.272429219;0,0375;0,4785;0,9487;1,063
0.27521099;0,0397;0,4804;0,9558;1,070
0.291861198;0,0461;0,4829;0,9533;1,070
0.293063698;0,0480;0,4802;0,9514;1,067
0.294680052;0,0517;0,4834;0,9533;1,070
0.295648594;0,0507;0,4851;0,9431;1,062
0.296509583;0,0504;0,4824;0,9433;1,061
0.297604167;0,0548;0,4819;0,9380;1,056
0.298833333;0,0548;0,4829;0,9287;1,048
0.299658281;0,0529;0,4790;0,9287;1,046
0.300408958;0,0524;0,4802;0,9196;1,039
0.300997396;0,0524;0,4802;0,9084;1,029
0.304415833;0,0473;0,4800;0,9069;1,027
0.305264427;0,0439;0,4822;0,8910;1,014
0.30710776;0,0399;0,4826;0,8864;1,010
0.339253646;0,0360;0,4829;0,8798;1,004
0.341621562;0,0248;0,4875;0,8798;1,006
0.344758854;0,0136;0,4883;0,8788;1,005
0.347302865;0,0094;0,4868;0,8847;1,010
0.35066151;0,0055;0,4902;0,8810;1,008
0.352163073;0,0023;0,4890;0,8818;1,008
0.352909271;-0,0072;0,4927;0,8823;1,011
0.3535325;-0,0143;0,4980;0,8788;1,010
