time;gFx;gFy;gFz;TgF
0.00259;-0,0756;0,3102;1,0525;1,100
0.003414792;-0,0719;0,3150;1,0535;1,102
0.003841928;-0,0710;0,3124;1,0484;1,096
0.004247813;-0,0693;0,3102;1,0494;1,096
0.004799844;-0,0678;0,3170;1,0435;1,093
0.01856125;-0,0656;0,3224;1,0423;1,093
0.019776042;-0,0639;0,3231;1,0313;1,083
0.022107657;-0,0649;0,3175;1,0279;1,078
0.023090469;-0,0607;0,3209;1,0293;1,080
0.024157969;-0,0551;0,3207;1,0242;1,075
0.025263594;-0,0558;0,3172;1,0213;1,071
0.026091719;-0,0539;0,3172;1,0296;1,079
0.026705417;-0,0512;0,3158;1,0347;1,083
0.040673907;-0,0463;0,3163;1,0459;1,094
0.041389688;-0,0346;0,3102;1,0533;1,099
0.043571615;-0,0402;0,3102;1,0604;1,106
0.044702969;-0,0414;0,3072;1,0701;1,114
0.045287084;-0,0380;0,3033;1,0740;1,117
0.045733698;-0,0392;0,3043;1,0726;1,116
0.04616099;-0,0302;0,3080;1,0767;1,120
0.046621771;-0,0258;0,3116;1,0906;1,135
0.047116928;-0,0202;0,3165;1,0948;1,140
0.052063855;-0,0221;0,3241;1,1004;1,147
0.052690782;-0,0316;0,3326;1,0911;1,141
0.053671719;-0,0436;0,3341;1,0826;1,134
0.056873698;-0,0524;0,3351;1,0779;1,130
0.05911698;-0,0595;0,3302;1,0748;1,126
0.062857865;-0,0656;0,3297;1,0723;1,124
0.064094271;-0,0453;0,3224;1,0638;1,112
0.066740678;-0,0341;0,3165;1,0638;1,110
0.069644167;-0,0221;0,3177;1,0552;1,102
0.071388803;-0,0194;0,3163;1,0516;1,098
0.094336928;-0,0170;0,3273;1,0374;1,088
0.095087084;-0,0114;0,3390;0,9814;1,038
0.095490938;-0,0209;0,3361;0,9174;0,977
0.09588224;-0,0475;0,3243;0,8735;0,933
0.096274948;-0,0690;0,3165;0,8522;0,912
0.096673021;-0,0739;0,3170;0,8417;0,902
0.097061563;-0,0605;0,3339;0,8581;0,923
0.097450521;-0,0363;0,3556;0,8786;0,949
0.097848334;-0,0314;0,3654;0,8818;0,955
0.098231511;-0,0439;0,3690;0,8825;0,958
0.102352136;-0,0558;0,3602;0,8910;0,963
0.102999323;-0,0654;0,3463;0,9074;0,973
0.103503803;-0,0683;0,3324;0,9182;0,979
0.106531667;-0,0768;0,3295;0,9358;0,995
0.120668646;-0,0839;0,3234;0,9502;1,007
0.121515521;-0,0807;0,3290;0,9607;1,019
0.121906303;-0,0705;0,3314;0,9617;1,020
0.122493855;-0,0570;0,3405;0,9658;1,026
0.124671146;-0,0509;0,3515;0,9692;1,032
0.126034323;-0,0465;0,3578;0,9563;1,022
0.140632188;-0,0495;0,3602;0,9316;1,000
0.143214167;-0,0558;0,3671;0,9187;0,991
0.149757136;-0,0536;0,3732;0,8994;0,975
0.150912813;-0,0592;0,3737;0,8801;0,958
