time,gFx,gFy,gFz,gFTotal
0.005074024200439453,0.176,-0.373,-0.896,0.986
0.014867782592773438,0.155,-0.363,-0.934,1.014
0.02482891082763672,0.142,-0.362,-0.97,1.045
0.03481006622314453,0.139,-0.374,-0.977,1.055
0.0448460578918457,0.136,-0.387,-0.956,1.04
0.05501079559326172,0.134,-0.383,-0.959,1.041
0.06490707397460938,0.133,-0.362,-0.961,1.035
0.08162498474121094,0.126,-0.332,-0.95,1.014
0.08412599563598633,0.131,-0.323,-0.949,1.011
0.09434795379638672,0.128,-0.34,-0.946,1.013
0.10466289520263672,0.122,-0.358,-0.938,1.011
0.1144719123840332,0.138,-0.36,-0.925,1.002
0.12414097785949707,0.157,-0.363,-0.93,1.011
0.13422393798828125,0.161,-0.379,-0.929,1.016
0.1438899040222168,0.164,-0.38,-0.897,0.988
0.15398097038269043,0.162,-0.369,-0.893,0.98
0.16386795043945312,0.156,-0.37,-0.902,0.987
0.18043279647827148,0.15,-0.381,-0.91,0.998
0.18418097496032715,0.136,-0.393,-0.928,1.017
0.19385004043579102,0.125,-0.394,-0.92,1.009
0.20475006103515625,0.128,-0.373,-0.9,0.983
0.2147359848022461,0.13,-0.345,-0.915,0.986
0.2236008644104004,0.135,-0.328,-0.929,0.994
0.2347240447998047,0.136,-0.332,-0.918,0.986
0.2444148063659668,0.131,-0.358,-0.918,0.994
0.25328588485717773,0.133,-0.372,-0.903,0.986
0.2634768486022949,0.13,-0.358,-0.9,0.977
0.2799079418182373,0.122,-0.337,-0.922,0.989
0.2842679023742676,0.109,-0.307,-0.924,0.98
0.2936279773712158,0.083,-0.278,-0.931,0.975
0.30310678482055664,0.06,-0.263,-0.936,0.974
0.31323909759521484,0.048,-0.256,-0.937,0.973
0.3231511116027832,0.04,-0.253,-0.945,0.979
0.33418893814086914,0.036,-0.249,-0.958,0.99
0.3430209159851074,0.026,-0.256,-0.977,1.01
0.3532428741455078,0.014,-0.269,-0.969,1.006
0.36321091651916504,0.004,-0.272,-0.961,0.999
0.38373279571533203,0.018,-0.274,-0.922,0.962
0.3859999179840088,0.018,-0.274,-0.922,0.962
0.3932490348815918,0.036,-0.263,-1.002,1.037
0.4031047821044922,0.033,-0.248,-1.026,1.056
0.41277098655700684,0.033,-0.253,-1.007,1.039
0.4229469299316406,0.053,-0.271,-1.006,1.043
0.4328041076660156,0.067,-0.287,-0.99,1.033
0.44267702102661133,0.076,-0.297,-0.968,1.015
0.45279598236083984,0.065,-0.307,-0.954,1.004
0.46277284622192383,0.054,-0.304,-0.967,1.015
0.4845857620239258,0.078,-0.305,-0.959,1.009
0.4849669933319092,0.078,-0.305,-0.959,1.009
0.49309682846069336,0.12,-0.277,-0.92,0.968
0.5029468536376953,0.133,-0.262,-0.93,0.975
0.5128169059753418,0.104,-0.305,-0.967,1.019
0.5227518081665039,0.073,-0.308,-0.934,0.986
0.5325198173522949,0.057,-0.275,-0.912,0.954
0.5424680709838867,0.056,-0.242,-0.932,0.965
0.5527009963989258,0.054,-0.23,-0.967,0.995
0.5629339218139648,0.045,-0.242,-0.901,0.934
0.5857510566711426,0.035,-0.216,-0.859,0.886
0.5860967636108398,0.035,-0.216,-0.859,0.886
0.592336893081665,0.006,-0.197,-0.904,0.925
0.6025748252868652,0.047,-0.17,-0.934,0.951
0.612313985824585,0.133,-0.144,-0.921,0.942
0.6223640441894531,0.117,-0.146,-0.933,0.952
0.6323139667510986,0.082,-0.151,-1.062,1.076
0.6420788764953613,0.079,-0.124,-1.182,1.191
0.6523838043212891,0.116,-0.069,-1.079,1.087
0.6628129482269287,0.18,-0.033,-0.91,0.928
0.6855518817901611,0.139,-0.024,-1.009,1.019
0.6858730316162109,0.139,-0.024,-1.009,1.019
0.6918587684631348,0.081,-0.02,-1.137,1.14
0.702362060546875,0.069,-0.036,-1.16,1.163
0.71201491355896,0.069,-0.054,-1.122,1.125
0.7217459678649902,0.07,-0.052,-1.208,1.211
0.7320361137390137,0.089,-0.066,-1.218,1.223
0.7418770790100098,0.101,-0.087,-1.149,1.157
0.7522850036621094,0.123,-0.112,-1.099,1.112
0.7623348236083984,0.149,-0.124,-1.099,1.116
0.784761905670166,0.181,-0.134,-0.927,0.954
0.7850480079650879,0.181,-0.134,-0.927,0.954
0.7916607856750488,0.209,-0.122,-0.82,0.855
0.801426887512207,0.22,-0.06,-0.754,0.788
0.8118767738342285,0.215,0.007,-0.717,0.749
0.8218288421630859,0.217,0.061,-0.71,0.745
0.831669807434082,0.208,0.094,-0.741,0.775
0.8417439460754395,0.16,0.107,-0.729,0.754
0.8512799739837646,0.086,0.079,-0.712,0.722
0.8613948822021484,0.012,-0.008,-0.837,0.837
0.8854739665985107,-0.036,-0.246,-1.162,1.188
0.8859529495239258,-0.036,-0.246,-1.162,1.188
0.890967845916748,-0.002,-0.293,-1.146,1.183
0.901249885559082,0.028,-0.29,-1.073,1.112
0.9114139080047607,0.052,-0.266,-1.068,1.102
0.9219141006469727,0.11,-0.23,-1.074,1.104
0.9316198825836182,0.175,-0.19,-1.071,1.102
0.9413759708404541,0.23,-0.174,-1.079,1.117
0.9515957832336426,0.351,-0.239,-1.073,1.154
0.9615797996520996,0.475,-0.316,-0.99,1.143
0.9846339225769043,0.477,-0.39,-0.861,1.059
0.984950065612793,0.477,-0.39,-0.861,1.059
0.990574836730957,0.424,-0.392,-0.878,1.051
1.0008368492126465,0.377,-0.365,-0.904,1.045
1.0110969543457031,0.344,-0.296,-0.924,1.029
1.0207538604736328,0.325,-0.208,-0.933,1.01
1.0307178497314453,0.3,-0.154,-0.914,0.974
1.0415229797363281,0.278,-0.17,-0.885,0.943
1.0511229038238525,0.271,-0.203,-0.873,0.936
1.0611939430236816,0.268,-0.226,-0.897,0.963
1.084251880645752,0.323,-0.203,-0.859,0.94
1.0845308303833008,0.323,-0.203,-0.859,0.94
1.0902080535888672,0.3,-0.14,-0.882,0.942
1.1000690460205078,0.332,-0.098,-0.96,1.021
1.1107509136199951,0.394,-0.095,-1.052,1.127
1.1203670501708984,0.434,-0.122,-1.104,1.192
1.1304678916931152,0.411,-0.153,-1.07,1.156
1.1410150527954102,0.392,-0.173,-1.035,1.12
1.1505889892578125,0.388,-0.193,-1.019,1.107
1.1609578132629395,0.365,-0.201,-1.009,1.092
1.1836447715759277,0.32,-0.266,-0.783,0.887
1.1839449405670166,0.32,-0.266,-0.783,0.887
1.1896939277648926,0.298,-0.233,-1.049,1.115
1.1997990608215332,0.295,-0.224,-1.15,1.208
1.2101659774780273,0.23,-0.184,-1.036,1.077
1.2198829650878906,0.167,-0.097,-0.985,1.004
1.2299528121948242,0.078,-0.07,-1.07,1.075
1.2397379875183105,-0.022,-0.129,-1.177,1.184
1.2504539489746094,-0.054,-0.14,-1.173,1.183
1.260288953781128,-0.062,-0.127,-1.13,1.139
1.283160924911499,-0.19,-0.029,-1.065,1.082
1.283444881439209,-0.19,-0.029,-1.065,1.082
1.289099931716919,-0.19,0.008,-1.034,1.051
1.2993719577789307,-0.187,0.038,-0.969,0.988
1.309898853302002,-0.21,0.055,-0.865,0.892
1.3192768096923828,-0.223,0.08,-0.791,0.826
1.3296618461608887,-0.214,0.139,-0.698,0.743
1.3400578498840332,-0.215,0.202,-0.604,0.672
1.3499209880828857,-0.176,0.255,-0.57,0.649
1.3599200248718262,-0.104,0.28,-0.528,0.607
1.383577823638916,-0.026,0.465,-0.489,0.675
1.3838748931884766,-0.026,0.465,-0.489,0.675
1.3887958526611328,0.017,0.49,-0.457,0.67
1.399125099182129,0.099,0.531,-0.473,0.718
1.409505844116211,0.167,0.648,-0.537,0.858
1.4193389415740967,0.235,0.726,-0.586,0.962
1.430001974105835,0.38,0.785,-0.705,1.121
1.4393320083618164,0.558,0.88,-0.849,1.344
1.4494280815124512,0.706,0.882,-0.995,1.505
1.459414005279541,0.822,0.752,-1.045,1.527
1.4830009937286377,0.892,0.479,-0.766,1.27
1.4833729267120361,0.892,0.479,-0.766,1.27
1.4883489608764648,0.893,0.428,-0.647,1.183
1.4986448287963867,0.867,0.418,-0.54,1.104
1.5090579986572266,0.858,0.445,-0.421,1.054
1.5181488990783691,0.858,0.456,-0.359,1.036
1.5292930603027344,0.826,0.423,-0.402,1.011
1.538827896118164,0.752,0.331,-0.514,0.969
1.549118995666504,0.649,0.287,-0.614,0.938
1.5590238571166992,0.627,0.329,-0.748,1.03
1.5753679275512695,0.622,0.362,-0.865,1.125
1.5830497741699219,0.652,0.422,-0.891,1.182
1.5877470970153809,0.701,0.494,-0.905,1.247
1.5976300239562988,0.743,0.525,-0.886,1.27
1.6083049774169922,0.77,0.527,-0.841,1.256
1.6175570487976074,0.898,0.565,-0.758,1.304
1.628330945968628,1.027,0.622,-0.699,1.389
1.6381618976593018,1.133,0.679,-0.716,1.502
1.648036003112793,1.187,0.683,-0.761,1.567
1.6586999893188477,1.202,0.648,-0.802,1.584
1.6808857917785645,1.151,0.499,-0.769,1.471
1.6811728477478027,1.151,0.499,-0.769,1.471
1.687607765197754,1.079,0.452,-0.704,1.365
1.697916030883789,0.989,0.449,-0.649,1.265
1.7080299854278564,0.888,0.497,-0.591,1.177
1.7175350189208984,0.845,0.509,-0.56,1.134
1.7284529209136963,0.781,0.469,-0.642,1.114
1.738205909729004,0.717,0.442,-0.637,1.056
1.7483949661254883,0.666,0.489,-0.6,1.021
1.758246898651123,0.622,0.615,-0.574,1.046
1.7808969020843506,0.623,0.658,-0.706,1.149
1.7811779975891113,0.623,0.658,-0.706,1.149
1.7870750427246094,0.596,0.649,-0.766,1.168
1.7976961135864258,0.607,0.658,-0.796,1.198
1.8075518608093262,0.635,0.709,-0.76,1.218
1.8175721168518066,0.702,0.787,-0.697,1.264
1.8279390335083008,0.76,0.858,-0.676,1.331
1.8378169536590576,0.791,0.854,-0.727,1.372
1.8477020263671875,0.775,0.833,-0.753,1.364
1.85788893699646,0.768,0.854,-0.744,1.368
1.8817400932312012,0.75,0.895,-0.711,1.367
1.8821148872375488,0.75,0.895,-0.711,1.367
1.8866009712219238,0.623,0.912,-0.68,1.297
1.8970849514007568,0.509,0.906,-0.679,1.241
1.9070420265197754,0.415,0.829,-0.634,1.123
1.9166908264160156,0.303,0.854,-0.567,1.069
1.927562952041626,0.249,0.899,-0.545,1.08
1.9374017715454102,0.278,0.82,-0.653,1.084
1.947350025177002,0.294,0.748,-0.757,1.104
1.957413911819458,0.326,0.696,-0.769,1.087
1.9820199012756348,0.593,0.734,-0.558,1.096
1.9823939800262451,0.593,0.734,-0.558,1.096
1.9861230850219727,0.74,0.835,-0.49,1.219
1.9966928958892822,0.843,0.876,-0.431,1.29
2.006588935852051,0.928,0.852,-0.409,1.325
2.0166709423065186,0.96,0.782,-0.382,1.296
2.026448965072632,0.92,0.69,-0.373,1.209
2.037109851837158,0.901,0.614,-0.35,1.145
2.0469470024108887,0.926,0.562,-0.322,1.13
2.0567708015441895,0.933,0.546,-0.289,1.119
2.0799388885498047,0.765,0.405,-0.245,0.9
2.0803160667419434,0.765,0.405,-0.245,0.9
2.0860888957977295,0.644,0.337,-0.244,0.767
2.096074104309082,0.479,0.312,-0.175,0.598
2.10652494430542,0.341,0.291,-0.138,0.469
2.1167359352111816,0.331,0.296,-0.096,0.454
2.126555919647217,0.414,0.314,-0.077,0.525
2.136305809020996,0.5,0.388,-0.11,0.642
2.146575927734375,0.51,0.482,-0.158,0.719
2.1564950942993164,0.494,0.495,-0.202,0.728
2.1796908378601074,0.661,0.513,-0.391,0.924
2.180116891860962,0.661,0.513,-0.391,0.924
2.185447931289673,0.83,0.596,-0.407,1.1
2.195840835571289,0.935,0.688,-0.454,1.246
2.206331968307495,0.988,0.749,-0.483,1.331
2.2159481048583984,1.014,0.783,-0.496,1.374
2.2261738777160645,1.041,0.827,-0.436,1.399
2.235805034637451,1.021,0.856,-0.481,1.417
2.2461490631103516,1.043,0.863,-0.598,1.48
2.255776882171631,0.939,0.8,-0.713,1.425
2.277462959289551,0.837,0.699,-0.632,1.26
2.2778220176696777,0.837,0.699,-0.632,1.26
2.2851600646972656,0.886,0.747,-0.556,1.285
2.2955918312072754,0.823,0.765,-0.494,1.227
2.3056819438934326,0.756,0.801,-0.413,1.176
2.3157739639282227,0.729,0.821,-0.323,1.144
2.3258228302001953,0.686,0.843,-0.279,1.122
2.335439920425415,0.546,0.858,-0.321,1.066
2.345646858215332,0.533,0.846,-0.362,1.063
2.3569278717041016,0.586,0.721,-0.435,1.026
2.378422975540161,0.752,0.491,-0.533,1.044
2.3787178993225098,0.752,0.491,-0.533,1.044
2.384617805480957,0.924,0.521,-0.516,1.18
2.3948168754577637,1.072,0.655,-0.435,1.329
2.4047179222106934,1.056,0.825,-0.378,1.392
2.414989948272705,0.965,0.896,-0.304,1.351
2.4256248474121094,0.972,0.828,-0.235,1.298
2.4351449012756348,0.964,0.792,-0.248,1.272
2.445175886154175,0.919,0.774,-0.256,1.228
2.4550328254699707,0.934,0.723,-0.222,1.202
2.478257894515991,0.909,0.582,-0.28,1.115
2.4785728454589844,0.909,0.582,-0.28,1.115
2.483931064605713,0.751,0.454,-0.303,0.928
2.4944968223571777,0.604,0.413,-0.261,0.777
2.504819869995117,0.573,0.416,-0.221,0.742
2.514854907989502,0.567,0.437,-0.237,0.754
2.5254499912261963,0.539,0.461,-0.29,0.766
2.5346009731292725,0.545,0.455,-0.344,0.789
2.544696807861328,0.624,0.487,-0.361,0.87
2.554797887802124,0.774,0.549,-0.473,1.06
2.578680992126465,1.223,0.665,-0.44,1.46
2.5790910720825195,1.223,0.665,-0.44,1.46
2.583817958831787,1.213,0.525,-0.476,1.405
2.5941147804260254,1.111,0.367,-0.435,1.248
2.604361057281494,1.01,0.359,-0.294,1.111
2.614503860473633,0.975,0.415,-0.362,1.12
2.624598979949951,0.883,0.395,-0.336,1.024
2.634229898452759,0.838,0.39,-0.268,0.962
2.644460916519165,0.816,0.433,-0.172,0.94
2.6544318199157715,0.884,0.475,-0.171,1.018
2.677596092224121,1.097,0.538,-0.284,1.254
2.677968978881836,1.097,0.538,-0.284,1.254
2.683060884475708,0.93,0.341,-0.254,1.023
2.693567991256714,0.725,0.279,-0.304,0.834
2.704371929168701,0.571,0.319,-0.256,0.702
2.71419095993042,0.557,0.37,-0.202,0.699
2.7241477966308594,0.656,0.565,-0.154,0.879
2.7337398529052734,0.685,0.696,-0.159,0.989
2.7438149452209473,0.649,0.615,-0.304,0.944
2.7539210319519043,0.657,0.508,-0.389,0.917
2.777003765106201,0.456,0.09,-0.243,0.524
2.777308940887451,0.456,0.09,-0.243,0.524
2.782646894454956,0.499,0.287,-0.326,0.662
2.7935268878936768,0.457,0.257,-0.473,0.706
2.8028388023376465,0.448,0.138,-0.47,0.664
2.8135459423065186,0.463,0.198,-0.372,0.626
2.823544979095459,0.531,0.272,-0.412,0.725
2.833281993865967,0.577,0.334,-0.351,0.753
2.8431968688964844,0.597,0.336,-0.312,0.753
2.853722095489502,0.527,0.339,-0.238,0.67
2.871817111968994,0.39,0.298,-0.167,0.518
2.873769998550415,0.39,0.298,-0.167,0.518
2.882354974746704,0.396,0.304,-0.184,0.532
2.892030954360962,0.396,0.301,-0.201,0.536
2.902327060699463,0.439,0.327,-0.232,0.595
2.912868022918701,0.569,0.377,-0.234,0.722
2.922987937927246,0.724,0.398,-0.276,0.871
2.93318510055542,0.9,0.341,-0.319,1.014
2.9429049491882324,1.0,0.28,-0.316,1.085
2.9526000022888184,1.022,0.274,-0.321,1.106
2.975641965866089,1.097,0.434,-0.487,1.276
2.975944995880127,1.097,0.434,-0.487,1.276
2.981801986694336,1.081,0.47,-0.505,1.282
2.9917960166931152,1.091,0.385,-0.517,1.267
3.001883029937744,1.133,0.321,-0.533,1.293
3.0121607780456543,1.125,0.434,-0.534,1.319
3.021778106689453,1.089,0.584,-0.471,1.322
3.0319690704345703,1.037,0.683,-0.355,1.291
3.0421319007873535,1.05,0.679,-0.182,1.264
3.0514779090881348,1.025,0.825,-0.095,1.319
3.076295852661133,0.983,0.532,-0.127,1.125
3.07669997215271,0.983,0.532,-0.127,1.125
3.081605911254883,0.978,0.524,-0.152,1.12
3.091671943664551,0.872,0.756,-0.113,1.16
3.101517915725708,0.866,0.596,-0.034,1.052
3.112229824066162,0.879,0.753,-0.044,1.158
3.122114896774292,0.834,0.925,-0.062,1.247
3.131967067718506,0.784,0.795,-0.072,1.119
3.142061948776245,0.755,0.657,-0.171,1.015
3.151643991470337,0.762,0.609,-0.227,1.002
3.175632953643799,0.861,0.478,-0.234,1.012
3.176025867462158,0.861,0.478,-0.234,1.012
3.1808900833129883,0.865,0.446,-0.175,0.989
3.191396951675415,0.855,0.522,-0.116,1.008
3.201556921005249,0.8,0.628,-0.095,1.021
3.21187686920166,0.723,0.707,-0.093,1.015
3.221780776977539,0.647,0.711,-0.096,0.966
3.231827974319458,0.561,0.597,-0.136,0.83
3.2421131134033203,0.498,0.467,-0.194,0.71
3.2515668869018555,0.497,0.336,-0.215,0.637
3.2773380279541016,0.511,0.366,-0.205,0.661
3.2779459953308105,0.511,0.366,-0.205,0.661
3.281078815460205,0.559,0.346,-0.212,0.691
3.291505813598633,0.607,0.262,-0.222,0.697
3.3007020950317383,0.641,0.255,-0.193,0.716
3.3115530014038086,0.662,0.339,-0.099,0.75
3.321605920791626,0.643,0.413,-0.028,0.765
3.3313848972320557,0.597,0.462,-0.046,0.756
3.3415238857269287,0.534,0.608,0.021,0.809
3.3510618209838867,0.523,0.707,0.105,0.886
3.3765709400177,0.645,0.726,0.166,0.985
3.37721586227417,0.645,0.726,0.166,0.985
3.380544900894165,0.76,0.611,0.114,0.982
3.39044189453125,0.885,0.695,0.048,1.126
3.4008429050445557,1.104,0.595,0.014,1.254
3.4110350608825684,1.154,0.323,-0.077,1.201
3.4211277961730957,1.03,0.409,-0.249,1.136
3.430880069732666,1.027,0.512,-0.275,1.18
3.4409828186035156,1.058,0.616,-0.183,1.238
3.450666904449463,1.068,0.639,0.018,1.245
3.4727230072021484,1.085,0.655,-0.01,1.267
3.4730169773101807,1.085,0.655,-0.01,1.267
3.4798178672790527,1.113,0.515,0.07,1.228
3.489926815032959,1.035,0.498,0.007,1.149
3.4999349117279053,0.931,0.681,-0.008,1.154
3.5106759071350098,0.885,0.752,0.057,1.163
3.52048397064209,0.756,0.914,-0.0,1.186
3.5303609371185303,0.768,0.987,-0.093,1.254
3.540576934814453,0.8,1.021,-0.208,1.314
3.550088882446289,0.83,1.033,-0.368,1.375
3.5749828815460205,0.705,0.989,-0.542,1.33
3.575361967086792,0.705,0.989,-0.542,1.33
3.579486846923828,0.591,0.867,-0.447,1.141
3.5891270637512207,0.525,0.807,-0.4,1.043
3.600416898727417,0.498,0.821,-0.379,1.032
3.6096630096435547,0.457,0.851,-0.168,0.98
3.6198389530181885,0.446,0.869,-0.102,0.982
3.6300010681152344,0.546,0.861,-0.072,1.022
3.640038013458252,0.662,0.854,0.021,1.081
3.650026798248291,0.655,0.749,0.186,1.012
3.672830104827881,0.643,0.4,0.12,0.767
3.673327922821045,0.643,0.4,0.12,0.767
3.678658962249756,0.652,0.406,0.007,0.768
3.689094066619873,0.661,0.514,-0.138,0.849
3.699629783630371,0.772,0.716,-0.185,1.069
3.7095959186553955,0.878,0.745,-0.267,1.182
3.7194199562072754,0.791,0.509,-0.285,0.983
3.729473114013672,1.039,0.728,-0.155,1.278
3.739645004272461,1.055,0.718,-0.174,1.288
3.749332904815674,0.851,0.603,-0.31,1.088
3.7740609645843506,0.603,0.617,-0.081,0.867
3.7744359970092773,0.603,0.617,-0.081,0.867
3.7786619663238525,0.541,0.675,0.035,0.866
3.788393020629883,0.477,0.683,0.12,0.842
3.798841953277588,0.385,0.645,0.151,0.766
3.8092029094696045,0.317,0.667,0.193,0.763
3.8190698623657227,0.293,0.735,0.245,0.828
3.8292880058288574,0.298,0.786,0.306,0.895
3.8390278816223145,0.384,0.897,0.248,1.007
3.8488409519195557,0.51,0.985,0.1,1.114
3.8716139793395996,0.749,1.072,0.058,1.309
3.871907949447632,0.749,1.072,0.058,1.309
3.877984046936035,0.675,0.978,0.113,1.194
3.88811993598938,0.524,0.818,0.157,0.984
3.8982038497924805,0.43,0.738,0.128,0.864
3.9077188968658447,0.408,0.762,0.063,0.867
3.9178380966186523,0.393,0.8,0.003,0.891
3.9277029037475586,0.379,0.807,-0.03,0.892
3.9379730224609375,0.48,0.871,-0.129,1.003
3.94850492477417,0.552,0.926,-0.231,1.103
3.973127841949463,0.524,0.804,-0.09,0.964
3.973519802093506,0.524,0.804,-0.09,0.964
3.9776721000671387,0.583,0.763,0.086,0.964
3.987945079803467,0.534,0.731,0.227,0.933
3.998438835144043,0.278,0.686,0.23,0.775
4.008821964263916,0.067,0.596,0.143,0.617
4.018104076385498,0.049,0.608,0.036,0.611
4.028260946273804,0.175,0.716,-0.085,0.742
4.03827691078186,0.345,0.785,-0.184,0.877
4.04802393913269,0.248,0.708,-0.128,0.761
4.072885990142822,-0.032,0.625,0.066,0.629
4.073277950286865,-0.032,0.625,0.066,0.629
4.077367782592773,-0.051,0.647,-0.034,0.65
4.087333917617798,-0.02,0.715,-0.086,0.72
4.098280906677246,0.005,0.75,0.044,0.751
4.108199119567871,0.034,0.758,0.049,0.76
4.117953777313232,0.015,0.688,0.036,0.689
4.1277289390563965,0.023,0.627,0.192,0.656
4.137991905212402,0.069,0.621,0.263,0.678
4.147701978683472,0.091,0.608,0.151,0.633
4.1721789836883545,0.133,1.593,-0.237,1.616
4.1725640296936035,0.133,1.593,-0.237,1.616
4.1768529415130615,0.163,3.08,-0.094,3.086
4.187886953353882,-0.114,3.741,0.011,3.743
4.198684930801392,-0.619,2.635,-0.12,2.709
4.207131862640381,-0.504,1.304,0.002,1.398
4.216748952865601,0.062,0.642,0.185,0.671
4.227697849273682,0.333,0.302,0.056,0.453
4.237445831298828,-0.012,0.829,-0.159,0.844
4.2472569942474365,-0.143,1.332,-0.105,1.344
4.270411014556885,-0.195,1.086,-0.056,1.105
4.2708048820495605,-0.195,1.086,-0.056,1.105
4.276623964309692,-0.061,1.067,-0.047,1.07
4.286293983459473,0.049,1.043,-0.042,1.045
4.297455787658691,0.12,1.004,-0.096,1.016
4.307203769683838,0.186,0.975,-0.151,1.004
4.317203044891357,0.247,0.953,-0.137,0.994
4.326873779296875,0.288,0.929,-0.053,0.974
4.337065935134888,0.321,0.883,0.03,0.94
4.346895933151245,0.368,0.841,0.073,0.921
4.370621919631958,0.397,0.786,0.039,0.881
4.370913028717041,0.397,0.786,0.039,0.881
4.37588095664978,0.369,0.848,-0.003,0.925
4.385738849639893,0.327,0.913,-0.018,0.97
4.3965349197387695,0.289,0.973,-0.019,1.015
4.405986785888672,0.265,1.03,-0.031,1.064
4.416475772857666,0.241,1.067,-0.042,1.095
4.426506996154785,0.218,1.088,-0.046,1.111
4.4364659786224365,0.178,1.087,-0.038,1.102
4.4463090896606445,0.131,1.084,-0.032,1.092
4.4691548347473145,0.043,1.067,-0.058,1.069
4.469543933868408,0.043,1.067,-0.058,1.069
4.475373983383179,-0.037,1.046,-0.026,1.047
4.485489845275879,-0.077,1.023,-0.018,1.026
4.496863842010498,-0.129,1.014,-0.034,1.023
4.506141901016235,-0.167,1.038,-0.048,1.052
4.516014099121094,-0.184,1.086,-0.076,1.104
4.5260169506073,-0.18,1.174,-0.104,1.192
4.535867929458618,-0.136,1.274,-0.153,1.29
4.545964956283569,-0.083,1.301,-0.216,1.321
4.568849086761475,0.026,1.234,-0.195,1.25
4.569128036499023,0.026,1.234,-0.195,1.25
4.575014114379883,0.008,1.185,-0.13,1.192
4.585268020629883,-0.028,1.14,-0.112,1.146
4.595591068267822,-0.041,1.096,-0.138,1.105
4.605542898178101,-0.042,1.048,-0.212,1.07
4.615592956542969,-0.016,1.006,-0.354,1.067
4.625610828399658,0.019,1.016,-0.529,1.146
4.635360956192017,0.079,1.041,-0.602,1.205
4.645577907562256,0.169,1.12,-0.466,1.225
4.668014049530029,0.382,1.231,-0.313,1.326
4.668298959732056,0.382,1.231,-0.313,1.326
4.674861907958984,0.439,1.248,-0.252,1.347
4.684631824493408,0.484,1.219,-0.173,1.323
4.69508695602417,0.505,1.221,-0.153,1.33
4.704619884490967,0.473,1.214,-0.064,1.304
4.7146148681640625,0.372,1.145,0.006,1.204
4.725127935409546,0.237,1.05,-0.047,1.077
4.73495888710022,0.153,0.99,-0.143,1.012
4.745126962661743,0.1,0.951,-0.237,0.985
4.768059968948364,0.146,0.868,-0.348,0.946
4.768337965011597,0.146,0.868,-0.348,0.946
4.7744340896606445,0.184,0.82,-0.42,0.939
4.7840118408203125,0.151,0.714,-0.459,0.862
4.794727802276611,0.124,0.69,-0.543,0.887
4.804266929626465,0.107,0.676,-0.583,0.899
4.81423282623291,0.08,0.666,-0.538,0.86
4.824755907058716,0.098,0.718,-0.449,0.852
4.8345770835876465,0.148,0.753,-0.36,0.848
4.844698905944824,0.252,0.816,-0.316,0.911
4.86749792098999,0.441,0.867,-0.352,1.034
4.867894887924194,0.441,0.867,-0.352,1.034
4.8744797706604,0.47,0.857,-0.376,1.047
4.883586883544922,0.47,0.826,-0.406,1.033
4.894199848175049,0.444,0.782,-0.432,0.998
4.904058933258057,0.381,0.698,-0.435,0.906
4.914412021636963,0.376,0.666,-0.454,0.889
4.92415189743042,0.347,0.61,-0.462,0.84
4.9340269565582275,0.306,0.549,-0.452,0.774
4.944180965423584,0.265,0.504,-0.464,0.735
4.96752405166626,0.22,0.481,-0.504,0.731
4.96789288520813,0.22,0.481,-0.504,0.731
4.973761081695557,0.207,0.47,-0.507,0.722
4.9833149909973145,0.204,0.478,-0.517,0.733
4.994067907333374,0.224,0.483,-0.532,0.753
5.004226922988892,0.233,0.484,-0.519,0.747
5.013933897018433,0.232,0.495,-0.515,0.751
5.02401876449585,0.228,0.496,-0.538,0.766
5.03377890586853,0.243,0.477,-0.579,0.789
5.043946981430054,0.269,0.436,-0.603,0.791
5.066988945007324,0.323,0.382,-0.657,0.826
5.0673627853393555,0.323,0.382,-0.657,0.826
5.073022842407227,0.314,0.364,-0.652,0.81
5.082992076873779,0.301,0.364,-0.647,0.801
5.094003915786743,0.302,0.378,-0.654,0.814
5.103665828704834,0.322,0.409,-0.675,0.852
5.113605976104736,0.357,0.478,-0.718,0.934
5.1237359046936035,0.436,0.586,-0.749,1.046
5.133352994918823,0.574,0.745,-0.744,1.199
5.143457889556885,0.71,0.977,-0.736,1.414
5.1666460037231445,0.805,1.56,-0.962,2.002
5.167035102844238,0.805,1.56,-0.962,2.002
5.1725897789001465,0.767,1.649,-0.972,2.062
5.182516098022461,0.586,1.472,-1.024,1.886
5.193019866943359,0.237,1.181,-1.515,1.935
5.202272891998291,0.11,1.087,-1.518,1.87
5.213119983673096,0.022,0.834,-0.682,1.078
5.223270893096924,-0.032,0.61,-0.273,0.669
5.232892990112305,-0.0,0.655,-0.033,0.656
5.2429890632629395,-0.099,0.685,0.057,0.694
5.265781879425049,-0.218,0.74,-0.244,0.809
5.266155958175659,-0.218,0.74,-0.244,0.809
5.2719268798828125,-0.082,0.919,-0.243,0.954
5.282364845275879,0.153,1.15,-0.191,1.176
5.292995929718018,0.37,1.277,-0.195,1.344
5.3025360107421875,0.468,1.257,-0.301,1.375
5.31273889541626,0.439,1.19,-0.376,1.323
5.322478771209717,0.355,1.124,-0.371,1.236
5.332408905029297,0.296,1.054,-0.309,1.138
5.342536926269531,0.288,1.031,-0.242,1.097
5.3642449378967285,0.317,1.035,-0.168,1.095
