time,gFx,gFy,gFz,gFTotal
0.0025129318237304688,0.041,-0.275,-0.835,0.88
0.017621994018554688,0.006,-0.283,-0.867,0.912
0.01928400993347168,0.006,-0.283,-0.867,0.912
0.032631874084472656,-0.046,-0.278,-0.941,0.982
0.03890395164489746,-0.078,-0.295,-0.894,0.945
0.05053091049194336,-0.099,-0.318,-0.808,0.874
0.058656930923461914,-0.119,-0.297,-0.806,0.867
0.06813287734985352,-0.116,-0.275,-0.861,0.911
0.0787649154663086,-0.098,-0.279,-0.892,0.94
0.08816099166870117,-0.069,-0.304,-0.882,0.935
0.09837102890014648,-0.055,-0.342,-0.841,0.91
0.11806702613830566,-0.067,-0.368,-0.851,0.93
0.1200408935546875,-0.067,-0.368,-0.851,0.93
0.12850284576416016,-0.071,-0.353,-0.966,1.031
0.13807201385498047,-0.066,-0.352,-1.086,1.144
0.150007963180542,-0.062,-0.366,-1.048,1.112
0.15803098678588867,-0.077,-0.352,-0.93,0.997
0.16793012619018555,-0.09,-0.283,-0.89,0.938
0.17826509475708008,-0.104,-0.216,-0.869,0.901
0.18761110305786133,-0.133,-0.264,-0.835,0.886
0.19842815399169922,-0.042,-0.363,-0.841,0.917
0.21749305725097656,0.046,-0.463,-0.887,1.002
0.21960210800170898,0.046,-0.463,-0.887,1.002
0.22798681259155273,-0.008,-0.343,-0.848,0.915
0.237548828125,-0.043,-0.253,-0.798,0.838
0.24982500076293945,-0.046,-0.269,-0.773,0.82
0.25774502754211426,-0.058,-0.336,-0.769,0.841
0.26744699478149414,-0.099,-0.407,-0.838,0.937
0.2777838706970215,-0.189,-0.432,-0.973,1.081
0.2872469425201416,-0.265,-0.329,-1.008,1.093
0.2977559566497803,-0.237,-0.311,-1.044,1.115
0.3179619312286377,-0.278,-0.338,-0.927,1.025
0.318817138671875,-0.278,-0.338,-0.927,1.025
0.3267960548400879,-0.328,-0.342,-0.918,1.033
0.33798694610595703,-0.279,-0.351,-0.912,1.016
0.34937000274658203,-0.257,-0.313,-0.874,0.963
0.3573470115661621,-0.191,-0.259,-0.823,0.884
0.36748695373535156,-0.03,-0.31,-0.696,0.763
0.3772621154785156,0.023,-0.46,-0.729,0.862
0.38735294342041016,-0.013,-0.583,-0.832,1.016
0.39732789993286133,-0.117,-0.589,-0.863,1.051
0.4187920093536377,-0.342,-0.225,-0.79,0.89
0.4194049835205078,-0.342,-0.225,-0.79,0.89
0.42654895782470703,-0.291,-0.252,-0.819,0.905
0.43729686737060547,-0.229,-0.299,-0.763,0.851
0.4491081237792969,-0.186,-0.265,-0.671,0.745
0.4567418098449707,-0.178,-0.249,-0.631,0.701
0.4664621353149414,-0.233,-0.207,-0.656,0.726
0.4773421287536621,-0.339,-0.134,-0.716,0.803
0.48632383346557617,-0.352,-0.114,-0.687,0.78
0.49681711196899414,-0.344,-0.133,-0.635,0.734
0.5170178413391113,-0.34,-0.082,-0.567,0.666
0.5177769660949707,-0.34,-0.082,-0.567,0.666
0.5259628295898438,-0.387,-0.044,-0.538,0.664
0.5365509986877441,-0.44,0.009,-0.517,0.679
0.5484409332275391,-0.484,0.013,-0.495,0.692
0.5563869476318359,-0.532,0.007,-0.472,0.711
0.5662829875946045,-0.616,-0.004,-0.482,0.782
0.5763700008392334,-0.724,-0.039,-0.512,0.888
0.5861248970031738,-0.815,-0.038,-0.533,0.975
0.5969338417053223,-0.891,0.018,-0.513,1.028
0.6167659759521484,-0.962,0.064,-0.497,1.085
0.617682933807373,-0.962,0.064,-0.497,1.085
0.6261458396911621,-0.946,0.107,-0.463,1.059
0.6356179714202881,-0.956,0.111,-0.474,1.073
0.6477019786834717,-0.994,0.076,-0.518,1.123
0.6557950973510742,-1.08,0.086,-0.572,1.225
0.6658279895782471,-1.158,0.082,-0.59,1.302
0.676048994064331,-1.186,0.068,-0.577,1.321
0.6854028701782227,-1.238,0.181,-0.583,1.38
0.6960549354553223,-1.155,-0.095,-0.53,1.274
0.716926097869873,-1.278,0.026,-0.567,1.398
0.7175178527832031,-1.278,0.026,-0.567,1.398
0.7265470027923584,-1.323,-0.027,-0.554,1.435
0.7353100776672363,-1.349,-0.089,-0.582,1.472
0.7477388381958008,-1.385,-0.125,-0.638,1.53
0.7553768157958984,-1.387,-0.186,-0.638,1.538
0.7657089233398438,-1.39,-0.226,-0.643,1.548
