time,gFx,gFy,gFz,gFTotal
0.002042055130004883,0.288,-0.605,-0.685,0.958
0.019649982452392578,0.284,-0.591,-0.647,0.921
0.020246028900146484,0.284,-0.591,-0.647,0.921
0.029194116592407227,0.289,-0.604,-0.7,0.969
0.039077043533325195,0.29,-0.636,-0.747,1.023
0.052284955978393555,0.293,-0.647,-0.802,1.071
0.059591054916381836,0.283,-0.65,-0.834,1.095
0.0702979564666748,0.255,-0.659,-0.871,1.122
0.07966494560241699,0.248,-0.674,-0.873,1.13
0.0906069278717041,0.254,-0.674,-0.869,1.129
0.09950709342956543,0.229,-0.682,-0.909,1.159
0.11918497085571289,-0.005,-0.69,-0.912,1.144
0.1200249195098877,-0.005,-0.69,-0.912,1.144
0.12873005867004395,-0.052,-0.617,-0.907,1.098
0.13971900939941406,-0.065,-0.641,-0.831,1.052
0.15167593955993652,-0.026,-0.667,-0.781,1.027
0.15915989875793457,0.156,-0.645,-0.808,1.046
0.16924405097961426,0.319,-0.605,-0.915,1.142
0.17895913124084473,0.302,-0.593,-0.91,1.127
0.18932604789733887,0.293,-0.554,-0.828,1.038
0.19904589653015137,0.343,-0.525,-0.753,0.98
0.21907997131347656,0.481,-0.609,-0.918,1.202
0.21948504447937012,0.481,-0.609,-0.918,1.202
0.2286219596862793,0.487,-0.642,-0.985,1.273
0.2390890121459961,0.364,-0.54,-0.957,1.158
0.2503378391265869,0.262,-0.41,-0.985,1.099
0.25824499130249023,0.231,-0.381,-1.075,1.164
0.2685689926147461,0.146,-0.31,-1.043,1.098
0.2788808345794678,0.106,-0.224,-0.979,1.01
0.2885291576385498,0.104,-0.199,-0.962,0.988
0.29867100715637207,0.074,-0.194,-0.95,0.972
0.3186638355255127,0.018,-0.266,-0.954,0.991
0.319072961807251,0.018,-0.266,-0.954,0.991
0.32779812812805176,0.018,-0.307,-0.958,1.006
0.337993860244751,0.024,-0.348,-0.963,1.024
0.3507511615753174,0.058,-0.406,-0.981,1.063
0.358227014541626,0.053,-0.467,-0.968,1.076
0.3689100742340088,0.092,-0.65,-0.852,1.076
0.37821102142333984,0.148,-0.907,-0.851,1.252
0.38837409019470215,0.097,-0.791,-0.747,1.092
0.3982880115509033,0.068,-0.509,-0.797,0.948
0.4204249382019043,-0.083,-0.345,-0.814,0.888
0.4210970401763916,-0.083,-0.345,-0.814,0.888
0.4279639720916748,-0.167,-0.378,-0.744,0.851
0.4378988742828369,-0.15,-0.448,-0.733,0.872
0.45000481605529785,-0.096,-0.499,-0.809,0.955
0.4580409526824951,-0.046,-0.518,-0.842,0.99
0.46773600578308105,-0.015,-0.548,-0.769,0.944
0.4783618450164795,0.004,-0.574,-0.712,0.915
0.48780202865600586,0.011,-0.559,-0.725,0.916
0.4979259967803955,-0.013,-0.538,-0.731,0.908
0.5183970928192139,0.025,-0.476,-0.669,0.821
0.5192639827728271,0.025,-0.476,-0.669,0.821
0.5270259380340576,0.03,-0.495,-0.706,0.863
0.5378110408782959,0.076,-0.548,-0.631,0.839
0.5497400760650635,0.162,-0.543,-0.524,0.772
0.5581669807434082,0.012,-0.452,-0.548,0.71
0.5674498081207275,-0.165,-0.39,-0.723,0.838
0.5774109363555908,-0.181,-0.418,-0.692,0.828
0.5874588489532471,-0.134,-0.437,-0.596,0.751
