time,gFx,gFy,gFz,gFTotal
0.0038080215454101562,-0.419,0.064,-0.871,0.969
0.015237092971801758,-0.416,0.052,-0.86,0.957
0.024020910263061523,-0.413,0.048,-0.862,0.957
0.03380703926086426,-0.407,0.057,-0.857,0.95
0.04446601867675781,-0.408,0.065,-0.852,0.947
0.05419182777404785,-0.413,0.071,-0.851,0.949
0.06567192077636719,-0.418,0.069,-0.852,0.952
0.08583903312683105,-0.427,0.062,-0.878,0.978
0.08618283271789551,-0.427,0.062,-0.878,0.978
0.09329795837402344,-0.431,0.066,-0.909,1.008
0.10341906547546387,-0.435,0.068,-0.948,1.045
0.11489701271057129,-0.432,0.073,-0.979,1.073
0.12335801124572754,-0.421,0.077,-0.994,1.082
0.13479399681091309,-0.406,0.06,-0.975,1.058
0.1436760425567627,-0.401,0.038,-0.925,1.009
0.15507292747497559,-0.4,0.033,-0.868,0.956
0.16357803344726562,-0.397,0.035,-0.824,0.915
0.18626999855041504,-0.409,0.041,-0.823,0.92
0.18661999702453613,-0.409,0.041,-0.823,0.92
0.1929638385772705,-0.416,0.061,-0.868,0.964
0.2031691074371338,-0.416,0.089,-0.936,1.028
0.2156679630279541,-0.418,0.103,-0.996,1.085
0.22279810905456543,-0.427,0.089,-1.022,1.111
0.23377585411071777,-0.439,0.075,-1.009,1.103
0.24428796768188477,-0.453,0.069,-0.989,1.09
0.25334596633911133,-0.461,0.068,-0.969,1.075
0.2631239891052246,-0.449,0.068,-0.936,1.04
0.28586506843566895,-0.419,0.046,-0.857,0.955
0.28623414039611816,-0.419,0.046,-0.857,0.955
0.29272007942199707,-0.42,0.042,-0.833,0.934
0.30243897438049316,-0.429,0.049,-0.834,0.939
0.3141000270843506,-0.448,0.064,-0.864,0.975
0.3224329948425293,-0.458,0.081,-0.914,1.026
0.33246684074401855,-0.456,0.088,-0.974,1.079
0.34237194061279297,-0.451,0.095,-1.017,1.117
0.3537261486053467,-0.435,0.092,-1.027,1.119
0.3624739646911621,-0.421,0.074,-0.989,1.077
0.3842761516571045,-0.405,0.053,-0.851,0.944
0.38480114936828613,-0.405,0.053,-0.851,0.944
0.3919498920440674,-0.399,0.057,-0.804,0.899
0.4022328853607178,-0.4,0.065,-0.777,0.876
0.41344285011291504,-0.4,0.072,-0.77,0.871
0.4221508502960205,-0.394,0.075,-0.779,0.876
0.43187499046325684,-0.392,0.077,-0.795,0.89
0.4426867961883545,-0.402,0.081,-0.825,0.921
