time,gFx,gFy,gFz,gFTotal
0.004361867904663086,0.09,-0.072,-0.945,0.952
0.014710187911987305,0.089,-0.063,-1.019,1.025
0.026241064071655273,0.092,-0.042,-0.992,0.997
0.03812813758850098,0.082,-0.045,-0.927,0.932
0.04546499252319336,0.065,-0.081,-0.904,0.91
0.05579400062561035,0.021,-0.125,-0.868,0.877
0.06480622291564941,-0.019,-0.121,-0.874,0.883
0.0755910873413086,-0.033,-0.088,-0.897,0.902
0.08490395545959473,-0.034,-0.061,-0.892,0.895
0.09628605842590332,-0.022,-0.069,-0.852,0.855
0.10475301742553711,0.008,-0.096,-0.814,0.82
0.11523890495300293,0.01,-0.104,-0.822,0.829
0.1273481845855713,0.005,-0.09,-0.852,0.857
0.14017510414123535,0.053,-0.085,-0.936,0.941
0.14560294151306152,0.132,-0.095,-0.988,1.001
0.15660905838012695,0.198,-0.104,-0.982,1.007
0.16640019416809082,0.232,-0.098,-0.939,0.972
0.17685604095458984,0.203,-0.086,-0.891,0.918
0.1855299472808838,0.147,-0.106,-0.812,0.832
0.19576716423034668,0.129,-0.147,-0.73,0.756
0.20614409446716309,0.17,-0.172,-0.78,0.817
0.21558308601379395,0.232,-0.167,-0.845,0.892
0.2280750274658203,0.378,-0.098,-0.966,1.042
0.24036288261413574,0.431,-0.19,-0.949,1.059
0.24681901931762695,0.259,-0.392,-0.782,0.912
0.2571990489959717,0.118,-0.338,-0.781,0.859
0.265949010848999,0.017,-0.19,-0.844,0.865
0.277263879776001,-0.011,-0.127,-0.818,0.828
0.2873849868774414,0.071,-0.145,-0.784,0.8
0.2963221073150635,0.164,-0.196,-0.768,0.809
0.30608201026916504,0.203,-0.201,-0.745,0.798
0.3167259693145752,0.088,-0.15,-0.904,0.921
0.32735705375671387,-0.005,-0.098,-0.887,0.892
0.3383519649505615,-0.026,-0.069,-0.787,0.79
0.34751105308532715,-0.017,-0.03,-0.785,0.786
0.3576838970184326,-0.014,0.019,-0.853,0.853
0.36685800552368164,-0.027,0.065,-0.818,0.821
0.37792110443115234,-0.057,0.137,-0.775,0.789
0.38706421852111816,-0.077,0.209,-0.733,0.766
0.3974289894104004,-0.074,0.233,-0.702,0.743
0.4069950580596924,-0.08,0.251,-0.678,0.727
0.4181649684906006,-0.118,0.313,-0.689,0.766
0.4283559322357178,-0.092,0.383,-0.746,0.844
0.43985915184020996,0.02,0.454,-0.836,0.952
0.4485180377960205,0.107,0.453,-0.923,1.034
0.45836615562438965,0.155,0.452,-1.005,1.113
0.46733808517456055,0.203,0.507,-1.0,1.139
0.47885918617248535,0.212,0.556,-0.959,1.129
0.48780107498168945,0.195,0.566,-0.913,1.092
0.498244047164917,0.173,0.59,-0.92,1.107
0.513848066329956,0.201,0.688,-0.95,1.19
0.5180230140686035,0.266,0.678,-1.048,1.276
0.5313951969146729,0.349,0.66,-1.155,1.375
0.5412960052490234,0.441,0.689,-1.157,1.417
0.5489771366119385,0.505,0.687,-1.108,1.398
0.5590300559997559,0.543,0.696,-1.034,1.36
0.5683181285858154,0.537,0.705,-0.961,1.307
0.5794310569763184,0.555,0.72,-0.897,1.277
0.5884149074554443,0.623,0.734,-0.899,1.317
0.5985190868377686,0.718,0.724,-0.974,1.41
0.6089320182800293,0.811,0.69,-1.026,1.479
0.6186621189117432,0.878,0.667,-1.02,1.502
0.6306850910186768,0.937,0.668,-0.979,1.511
0.6405260562896729,0.993,0.653,-1.022,1.567
0.6498680114746094,1.03,0.621,-1.041,1.591
0.6599910259246826,1.09,0.616,-1.018,1.614
0.6688480377197266,1.185,0.623,-1.062,1.709
0.6800291538238525,1.305,0.613,-1.105,1.817
0.6891119480133057,1.409,0.574,-1.174,1.922
0.6993510723114014,1.493,0.476,-1.259,2.01
0.7103931903839111,1.524,0.375,-1.359,2.076
0.7194201946258545,1.504,0.281,-1.339,2.033
0.7304270267486572,1.481,0.215,-1.254,1.952
0.7413671016693115,1.425,0.129,-1.158,1.841
0.7507150173187256,1.37,0.062,-1.048,1.726
