time,gFx,gFy,gFz,gFTotal
0.005594968795776367,0.04,-0.505,-0.804,0.95
0.015192031860351562,0.054,-0.464,-0.88,0.996
0.025079965591430664,0.024,-0.461,-0.888,1.001
0.03461599349975586,0.028,-0.524,-0.893,1.036
0.04799509048461914,0.015,-0.536,-0.877,1.028
0.05571413040161133,-0.047,-0.504,-0.831,0.973
0.06512904167175293,-0.129,-0.474,-0.801,0.94
0.07579898834228516,-0.159,-0.42,-0.845,0.957
0.08591890335083008,-0.15,-0.374,-0.896,0.982
0.09498786926269531,-0.098,-0.378,-0.912,0.992
0.1060171127319336,-0.047,-0.414,-0.95,1.037
0.1160130500793457,-0.021,-0.417,-1.008,1.091
0.1259140968322754,-0.017,-0.389,-1.023,1.095
0.13761496543884277,-0.019,-0.374,-1.005,1.073
0.14698004722595215,-0.028,-0.373,-0.989,1.057
0.15772104263305664,-0.06,-0.375,-0.974,1.045
0.16827797889709473,-0.087,-0.365,-0.961,1.032
0.17930984497070312,-0.089,-0.361,-0.893,0.967
0.1864471435546875,-0.091,-0.376,-0.942,1.018
0.19840598106384277,-0.079,-0.411,-0.92,1.011
0.21042299270629883,-0.048,-0.451,-0.901,1.009
0.21654319763183594,-0.017,-0.46,-0.882,0.995
0.22678303718566895,-0.001,-0.457,-0.853,0.968
0.23827219009399414,0.003,-0.461,-0.827,0.947
0.2471461296081543,0.003,-0.466,-0.793,0.92
0.25902605056762695,0.002,-0.466,-0.762,0.893
0.26851415634155273,-0.002,-0.468,-0.759,0.892
0.2773551940917969,-0.016,-0.463,-0.787,0.913
0.28712892532348633,-0.004,-0.445,-0.76,0.881
0.29663705825805664,0.031,-0.443,-0.696,0.826
0.31093311309814453,0.057,-0.453,-0.688,0.826
0.31775999069213867,0.09,-0.423,-0.729,0.848
0.32761192321777344,0.094,-0.358,-0.661,0.758
0.33649301528930664,0.078,-0.281,-0.603,0.67
0.34737300872802734,0.109,-0.21,-0.605,0.65
0.3568429946899414,0.176,-0.14,-0.596,0.637
0.3672490119934082,-0.001,-0.101,-0.603,0.611
0.3780689239501953,0.02,-0.132,-0.516,0.533
0.38784098625183105,0.236,-0.296,-0.191,0.424
0.39763307571411133,0.272,-0.384,-0.255,0.535
0.40860414505004883,0.212,-0.288,-0.339,0.493
0.4180421829223633,0.196,-0.072,-0.287,0.355
0.42880916595458984,0.242,0.029,-0.315,0.398
0.4398488998413086,0.217,-0.053,-0.28,0.358
0.44837403297424316,0.027,-0.1,-0.256,0.276
0.4600830078125,-0.088,-0.008,-0.424,0.433
0.4675731658935547,-0.155,0.07,-0.437,0.469
0.4787001609802246,-0.302,0.098,-0.338,0.464
0.488785982131958,-0.373,0.116,-0.46,0.603
0.4977250099182129,-0.44,0.09,-0.559,0.717
0.5087060928344727,-0.532,0.066,-0.635,0.831
0.5187411308288574,-0.655,-0.029,-0.828,1.056
0.5288090705871582,-0.708,-0.05,-0.996,1.223
0.5381650924682617,-0.803,-0.034,-1.059,1.329
0.5491399765014648,-0.896,-0.117,-1.086,1.413
0.558344841003418,-0.919,-0.201,-1.119,1.462
0.5687851905822754,-0.931,-0.253,-1.123,1.481
0.5792360305786133,-0.917,-0.28,-1.128,1.48
0.5894298553466797,-0.921,-0.305,-1.24,1.574
0.5986440181732178,-0.894,-0.284,-1.392,1.679
0.6096889972686768,-0.834,-0.256,-1.446,1.689
0.6199731826782227,-0.828,-0.259,-1.477,1.713
0.6299829483032227,-0.873,-0.328,-1.42,1.699
0.6414351463317871,-0.716,-0.261,-1.381,1.577
0.6503660678863525,-0.803,-0.28,-1.371,1.613
0.6608681678771973,-0.995,-0.466,-1.204,1.63
0.669349193572998,-0.89,-0.414,-1.16,1.52
0.6801140308380127,-0.916,-0.378,-1.261,1.604
