time,gFx,gFy,gFz,gFTotal
0.010882139205932617,0.056,-0.397,-0.896,0.982
0.013610124588012695,0.053,-0.41,-0.894,0.985
0.023436784744262695,0.048,-0.408,-0.887,0.978
0.03790593147277832,0.043,-0.408,-0.898,0.987
0.043409109115600586,0.054,-0.416,-0.891,0.985
0.05697178840637207,0.06,-0.433,-0.891,0.992
0.06386995315551758,0.066,-0.432,-0.867,0.971
0.07937312126159668,0.066,-0.436,-0.81,0.922
0.08604192733764648,0.065,-0.459,-0.763,0.893
0.09566283226013184,0.062,-0.484,-0.71,0.862
0.11144495010375977,0.056,-0.511,-0.672,0.846
0.1147010326385498,0.049,-0.552,-0.657,0.86
0.12422990798950195,0.066,-0.597,-0.662,0.894
0.13427400588989258,0.01,-0.649,-0.694,0.95
0.14759612083435059,-0.094,-0.658,-0.725,0.984
0.15424513816833496,-0.097,-0.543,-0.696,0.888
0.168226957321167,-0.045,-0.48,-0.691,0.843
0.1759629249572754,0.095,-0.491,-0.86,0.995
0.18651700019836426,0.243,-0.508,-1.001,1.149
0.19527506828308105,0.338,-0.5,-0.924,1.104
0.21683096885681152,0.381,-0.424,-0.896,1.062
0.217756986618042,0.381,-0.424,-0.896,1.062
0.22510313987731934,0.389,-0.475,-0.927,1.112
0.235245943069458,0.394,-0.556,-0.95,1.169
0.24532294273376465,0.353,-0.609,-1.004,1.226
0.2573368549346924,0.388,-0.533,-1.012,1.208
0.268629789352417,0.438,-0.424,-0.933,1.114
0.2777278423309326,0.447,-0.404,-0.922,1.101
0.2893259525299072,0.42,-0.456,-1.135,1.293
0.2967498302459717,0.296,-0.545,-1.455,1.582
0.31655097007751465,0.114,-0.64,-0.97,1.168
0.3173511028289795,0.114,-0.64,-0.97,1.168
0.3255789279937744,0.295,-0.53,-0.759,0.972
0.33585095405578613,0.484,-0.443,-0.792,1.028
0.34603095054626465,0.519,-0.323,-0.284,0.674
0.3592410087585449,0.331,-0.193,-0.066,0.389
0.36597180366516113,0.145,-0.287,-0.413,0.523
0.3820979595184326,0.256,-0.431,-0.404,0.644
0.3882601261138916,0.369,-0.649,-0.557,0.931
0.39666199684143066,0.598,-1.005,-1.777,2.127
0.4148879051208496,0.687,-0.993,-1.345,1.807
0.41672205924987793,0.586,-0.747,-0.421,1.039
0.42642807960510254,0.403,-0.609,-0.488,0.878
0.4365379810333252,0.187,-0.542,-0.603,0.832
0.4491739273071289,0.023,-0.469,-0.457,0.655
0.4563758373260498,-0.084,-0.411,-0.286,0.508
0.4706728458404541,-0.184,-0.341,-0.26,0.467
0.4791560173034668,-0.224,-0.332,-0.464,0.613
0.4887878894805908,-0.234,-0.373,-0.647,0.783
0.4974379539489746,-0.169,-0.325,-0.678,0.771
0.5173599720001221,0.343,-0.002,-0.8,0.87
0.5180461406707764,0.343,-0.002,-0.8,0.87
0.5273330211639404,0.468,0.114,-0.791,0.926
0.5405309200286865,0.288,0.021,-0.738,0.792
0.5493237972259521,0.028,-0.033,-0.821,0.822
0.5573139190673828,-0.099,0.046,-0.644,0.653
0.5715339183807373,-0.09,0.093,-0.413,0.433
0.5793731212615967,-0.061,0.19,-0.424,0.469
0.5920939445495605,-0.055,0.313,-0.478,0.574
0.5984959602355957,-0.072,0.422,-0.497,0.656
0.6195409297943115,-0.001,0.444,-0.296,0.534
0.6202380657196045,-0.001,0.444,-0.296,0.534
0.6282918453216553,0.011,0.355,-0.335,0.488
0.638124942779541,-0.089,0.341,-0.333,0.485
0.6519858837127686,-0.303,0.464,-0.314,0.637
0.6603069305419922,-0.437,0.678,-0.579,0.993
0.6709380149841309,-0.532,0.779,-0.842,1.264
0.6800558567047119,-0.614,0.732,-0.918,1.325
0.6929459571838379,-0.616,0.675,-0.964,1.328
0.698387861251831,-0.669,0.659,-1.117,1.459
0.7169539928436279,-0.771,0.628,-1.305,1.641
0.718317985534668,-0.878,0.566,-1.427,1.768
0.7288339138031006,-1.019,0.468,-1.471,1.85
0.7391629219055176,-1.104,0.374,-1.515,1.912
0.7530148029327393,-1.15,0.275,-1.525,1.93
0.7587559223175049,-1.171,0.173,-1.56,1.958
0.7709968090057373,-1.234,0.062,-1.622,2.039
0.7863590717315674,-1.342,-0.033,-1.633,2.114
0.7908728122711182,-1.455,-0.085,-1.658,2.208
0.7987678050994873,-1.502,-0.138,-1.667,2.248
0.8184897899627686,-1.434,-0.307,-1.536,2.124
0.820842981338501,-1.434,-0.307,-1.536,2.124
0.8292801380157471,-1.406,-0.408,-1.507,2.101
0.8398759365081787,-1.511,-0.534,-1.474,2.177
0.8546597957611084,-1.905,-0.764,-1.297,2.428
0.8595719337463379,-1.847,-0.561,-0.798,2.089
0.8705418109893799,-1.672,-0.383,-0.738,1.867
0.881458044052124,-1.509,-0.681,-0.503,1.73
0.8943040370941162,-1.522,-0.772,-0.242,1.724
0.9000170230865479,-1.382,-0.633,-0.112,1.524
0.9229629039764404,-0.91,-0.323,-0.209,0.988
0.9242429733276367,-0.91,-0.323,-0.209,0.988
0.9302029609680176,-0.841,-0.217,-0.451,0.979
0.9402158260345459,-0.846,-0.056,-0.666,1.078
0.950509786605835,-0.787,0.022,-0.741,1.081
0.9618179798126221,-0.696,0.03,-0.765,1.035
0.9730110168457031,-0.656,0.048,-0.79,1.028
0.9819748401641846,-0.627,0.082,-0.787,1.01
0.9951198101043701,-0.598,0.091,-0.767,0.977
1.0037968158721924,-0.49,0.093,-0.748,0.899
1.0203940868377686,-0.317,0.118,-0.574,0.666
1.021911859512329,-0.317,0.118,-0.574,0.666
1.0302908420562744,-0.314,0.137,-0.588,0.681
1.0405709743499756,-0.385,0.139,-0.595,0.722
1.05110502243042,-0.496,0.149,-0.58,0.778
1.0643589496612549,-0.618,0.14,-0.544,0.835
1.0727479457855225,-0.717,0.11,-0.498,0.88
1.082124948501587,-0.795,0.083,-0.456,0.92
1.0956671237945557,-0.849,0.061,-0.414,0.947
1.1009459495544434,-0.889,0.023,-0.389,0.971
1.1229498386383057,-1.023,0.117,-0.393,1.102
1.124255895614624,-1.023,0.117,-0.393,1.102
1.131361961364746,-1.077,0.154,-0.301,1.129
1.1420629024505615,-1.023,0.096,-0.235,1.054
1.1545419692993164,-1.005,0.095,-0.185,1.026
1.1616060733795166,-1.019,0.073,-0.166,1.035
1.1750290393829346,-0.997,0.056,-0.245,1.028
