time,gFx,gFy,gFz,gFTotal
0.005327939987182617,0.222,-0.273,-0.78,0.856
0.014835119247436523,0.227,-0.277,-0.796,0.873
0.02382802963256836,0.228,-0.283,-0.789,0.869
0.034097909927368164,0.222,-0.289,-0.78,0.861
0.04413485527038574,0.204,-0.263,-0.826,0.891
0.05430912971496582,0.216,-0.251,-0.885,0.945
0.06430697441101074,0.238,-0.279,-0.89,0.963
0.07436299324035645,0.255,-0.316,-0.9,0.987
0.08447098731994629,0.276,-0.348,-0.936,1.036
0.09452986717224121,0.273,-0.386,-0.967,1.076
0.10450196266174316,0.243,-0.407,-0.927,1.041
0.11469292640686035,0.219,-0.365,-0.928,1.021
0.12482714653015137,0.232,-0.317,-0.968,1.045
0.13500189781188965,0.242,-0.324,-0.996,1.075
0.14491701126098633,0.218,-0.332,-1.014,1.089
0.1550130844116211,0.201,-0.339,-1.037,1.109
0.16494011878967285,0.191,-0.346,-1.058,1.129
0.17488789558410645,0.184,-0.346,-1.021,1.094
0.1852550506591797,0.19,-0.348,-0.977,1.054
0.19529008865356445,0.206,-0.356,-1.004,1.085
0.20537304878234863,0.224,-0.374,-1.039,1.127
0.2153770923614502,0.216,-0.387,-1.065,1.154
0.22529387474060059,0.212,-0.424,-1.05,1.152
0.2372739315032959,0.236,-0.421,-1.025,1.133
0.24562811851501465,0.245,-0.424,-1.043,1.152
0.25543999671936035,0.237,-0.477,-1.019,1.15
0.2659440040588379,0.222,-0.503,-0.97,1.115
0.2758150100708008,0.203,-0.466,-0.942,1.07
0.28581786155700684,0.205,-0.403,-0.89,0.998
0.2957329750061035,0.225,-0.326,-0.885,0.97
0.30617785453796387,0.234,-0.246,-0.93,0.99
0.3161928653717041,0.245,-0.22,-0.928,0.985
0.3262288570404053,0.305,-0.228,-1.024,1.093
0.3363668918609619,0.351,-0.223,-1.159,1.231
0.3463618755340576,0.322,-0.269,-1.205,1.276
0.3563060760498047,0.292,-0.26,-1.17,1.234
0.3664848804473877,0.255,-0.265,-1.032,1.096
0.37646985054016113,0.208,-0.268,-0.941,1.0
0.38652491569519043,0.16,-0.28,-0.841,0.901
0.3964569568634033,0.14,-0.292,-0.735,0.803
0.40707898139953613,0.211,-0.29,-0.788,0.866
0.41680312156677246,0.258,-0.269,-0.977,1.046
0.4271671772003174,0.267,-0.259,-1.072,1.135
0.4367539882659912,0.308,-0.246,-1.301,1.359
0.447221040725708,0.322,-0.327,-1.279,1.359
0.4580390453338623,0.224,-0.377,-0.844,0.951
0.4815540313720703,0.034,-0.29,-0.972,1.015
0.4836440086364746,0.034,-0.29,-0.972,1.015
0.487468957901001,0.161,-0.387,-0.747,0.857
0.49720215797424316,0.255,-0.449,-0.8,0.952
0.5111620426177979,0.336,-0.456,-0.767,0.953
0.5176889896392822,0.365,-0.474,-0.652,0.885
0.5278198719024658,0.334,-0.478,-0.449,0.736
0.5382311344146729,0.327,-0.541,-0.238,0.675
0.5479981899261475,0.344,-0.559,-0.087,0.662
0.5576951503753662,0.33,-0.488,0.002,0.589
0.5677850246429443,0.161,-0.504,-0.313,0.615
0.577672004699707,0.138,-0.446,-0.639,0.791
0.5881788730621338,0.17,-0.418,-0.769,0.892
0.5980441570281982,0.235,-0.419,-0.721,0.866
0.6083681583404541,0.235,-0.438,-0.647,0.816
0.6184179782867432,0.212,-0.418,-0.676,0.823
0.6283628940582275,0.283,-0.397,-0.777,0.917
0.6386380195617676,0.394,-0.414,-0.821,1.0
0.6485369205474854,0.414,-0.476,-0.84,1.051
0.6584529876708984,0.347,-0.535,-0.918,1.118
0.6685600280761719,0.266,-0.583,-0.881,1.089
0.6784379482269287,0.21,-0.634,-0.793,1.037
0.6888980865478516,0.168,-0.626,-0.874,1.088
0.6986210346221924,0.122,-0.521,-0.894,1.042
0.7086789608001709,0.12,-0.394,-0.695,0.808
0.7188169956207275,0.204,-0.275,-0.693,0.773
0.7291529178619385,0.155,-0.28,-0.757,0.822
0.7409679889678955,0.15,-0.461,-0.923,1.043
0.7491660118103027,0.14,-0.486,-0.966,1.09
0.7594559192657471,0.098,-0.404,-0.997,1.08
0.769150972366333,0.097,-0.401,-1.041,1.12
0.7796120643615723,0.116,-0.449,-1.091,1.185
0.7897059917449951,0.137,-0.49,-1.112,1.223
0.7997300624847412,0.143,-0.505,-1.115,1.232
0.8096239566802979,0.102,-0.484,-1.144,1.246
0.8196280002593994,0.043,-0.443,-1.147,1.23
0.829599142074585,-0.027,-0.413,-1.121,1.195
0.8396151065826416,-0.083,-0.427,-1.105,1.188
0.8498120307922363,-0.086,-0.479,-0.966,1.082
0.8601391315460205,-0.058,-0.545,-0.868,1.027
0.8702061176300049,-0.035,-0.602,-0.891,1.076
0.8798789978027344,0.015,-0.59,-0.947,1.116
0.8900899887084961,0.035,-0.539,-1.043,1.175
0.9004340171813965,0.044,-0.483,-1.129,1.229
0.9101510047912598,0.053,-0.466,-1.177,1.267
0.9204180240631104,0.033,-0.466,-1.169,1.259
0.9302639961242676,0.034,-0.46,-1.117,1.208
0.9403650760650635,0.024,-0.458,-1.044,1.14
0.9505610466003418,0.007,-0.441,-0.999,1.092
0.9606380462646484,0.015,-0.417,-0.964,1.05
0.9710969924926758,0.033,-0.389,-0.949,1.026
0.9806220531463623,0.014,-0.342,-0.937,0.998
0.9910361766815186,-0.004,-0.291,-0.906,0.952
1.0006859302520752,-0.018,-0.266,-0.872,0.912
1.0107769966125488,-0.04,-0.308,-0.875,0.928
1.0234460830688477,-0.034,-0.392,-0.903,0.985
1.0310561656951904,-0.011,-0.382,-0.932,1.007
1.041558027267456,0.006,-0.345,-0.959,1.019
1.0517518520355225,0.036,-0.316,-1.0,1.049
1.0643970966339111,0.06,-0.277,-1.049,1.087
1.0717189311981201,0.069,-0.24,-1.101,1.129
1.0814149379730225,0.076,-0.222,-1.117,1.141
1.0923280715942383,0.099,-0.225,-1.087,1.114
1.1044318675994873,0.119,-0.251,-1.05,1.086
1.1118760108947754,0.127,-0.282,-0.981,1.029
1.1218969821929932,0.117,-0.295,-0.929,0.982
1.1323750019073486,0.077,-0.28,-0.886,0.932
1.1445128917694092,0.035,-0.255,-0.869,0.906
1.1523139476776123,-0.018,-0.242,-0.854,0.888
1.1622731685638428,-0.099,-0.258,-0.795,0.842
1.1724750995635986,-0.178,-0.268,-0.722,0.79
1.183924913406372,-0.264,-0.299,-0.657,0.769
1.1924211978912354,-0.322,-0.343,-0.6,0.762
1.2030699253082275,-0.337,-0.361,-0.577,0.759
1.2123610973358154,-0.332,-0.38,-0.595,0.78
1.2238361835479736,-0.321,-0.378,-0.643,0.812
1.232374906539917,-0.301,-0.358,-0.703,0.844
1.242786169052124,-0.265,-0.329,-0.775,0.883
1.2526929378509521,-0.263,-0.316,-0.823,0.92
1.2650420665740967,-0.29,-0.283,-0.805,0.901
1.27286696434021,-0.316,-0.253,-0.75,0.852
1.2831051349639893,-0.348,-0.26,-0.7,0.824
1.2929420471191406,-0.36,-0.257,-0.644,0.781
1.303757905960083,-0.313,-0.228,-0.547,0.67
1.313889980316162,-0.27,-0.15,-0.472,0.564
1.3239891529083252,-0.216,-0.081,-0.444,0.5
1.3331329822540283,-0.125,-0.028,-0.396,0.416
1.3441131114959717,-0.111,0.003,-0.344,0.361
1.3533170223236084,-0.11,0.063,-0.27,0.298
1.3636648654937744,-0.118,0.159,-0.215,0.292
1.3742449283599854,-0.158,0.238,-0.268,0.392
1.3842689990997314,-0.212,0.275,-0.345,0.489
1.3936479091644287,-0.279,0.289,-0.399,0.566
1.4045751094818115,-0.401,0.28,-0.487,0.69
1.4144129753112793,-0.593,0.234,-0.515,0.82
1.4245600700378418,-0.766,0.145,-0.476,0.913
1.4339890480041504,-0.965,0.029,-0.5,1.087
1.444545030593872,-1.139,-0.046,-0.578,1.278
1.4543321132659912,-1.267,-0.106,-0.711,1.457
1.4641458988189697,-1.44,-0.144,-0.876,1.692
1.4749958515167236,-1.63,-0.22,-1.021,1.936
1.4851481914520264,-1.831,-0.347,-1.149,2.189
1.4943468570709229,-1.993,-0.46,-1.196,2.369
1.505634069442749,-2.046,-0.561,-1.161,2.418
1.5160081386566162,-2.03,-0.64,-1.109,2.4
1.5273349285125732,-1.94,-0.636,-1.026,2.285
1.5345439910888672,-1.807,-0.587,-0.936,2.118
1.5454909801483154,-1.649,-0.548,-0.819,1.921
1.5547449588775635,-1.464,-0.525,-0.684,1.699
1.5650551319122314,-1.401,-0.656,-0.268,1.57
