time;gFx;gFy;gFz;TgF
0.012407115;-0,1991;0,5451;0,5248;0,782
0.013990961;-0,1849;0,5524;0,5558;0,805
0.015189653;-0,1764;0,5561;0,5734;0,818
0.016473269;-0,1593;0,5600;0,6101;0,843
0.017652;-0,1400;0,5607;0,6501;0,870
0.018846346;-0,1305;0,5609;0,6724;0,885
0.020145653;-0,0997;0,5536;0,7351;0,926
0.021295807;-0,0902;0,5495;0,7557;0,939
0.022632192;-0,0799;0,5458;0,7742;0,951
0.024053077;-0,0579;0,5343;0,8065;0,969
0.025181346;-0,0376;0,5231;0,8378;0,988
0.026485692;-0,0198;0,5148;0,8593;1,002
0.027649269;-0,0117;0,5104;0,8680;1,007
0.028787577;0,0039;0,5008;0,8800;1,013
0.029882692;0,0103;0,4982;0,8844;1,015
0.031316192;0,0198;0,4952;0,8873;1,016
0.032595615;0,0305;0,4952;0,8866;1,016
0.033371692;0,0340;0,4950;0,8851;1,015
0.034137846;0,0393;0,4960;0,8783;1,009
0.035045961;0,0432;0,5004;0,8698;1,004
0.035910115;0,0432;0,5026;0,8646;1,001
0.036672;0,0398;0,5087;0,8424;0,985
0.037407461;0,0386;0,5116;0,8353;0,980
0.038176;0,0371;0,5153;0,8270;0,975
0.038919807;0,0264;0,5243;0,8021;0,959
0.039670769;0,0215;0,5280;0,7926;0,953
0.040351077;0,0117;0,5348;0,7737;0,941
0.041067307;0,0051;0,5372;0,7647;0,935
0.041809923;-0,0081;0,5407;0,7496;0,924
0.042518269;-0,0120;0,5424;0,7420;0,919
0.043590615;-0,0213;0,5470;0,7298;0,912
0.044355538;-0,0261;0,5478;0,7195;0,905
0.045087346;-0,0281;0,5475;0,7151;0,901
0.045883346;-0,0315;0,5460;0,7070;0,894
0.046602923;-0,0342;0,5438;0,7036;0,890
0.048338192;-0,0359;0,5429;0,7034;0,889
0.055194846;-0,0430;0,5402;0,6987;0,884
0.057070077;-0,0440;0,5392;0,6965;0,882
0.057941961;-0,0454;0,5380;0,6956;0,881
0.059039923;-0,0494;0,5338;0,6975;0,880
0.059768077;-0,0494;0,5309;0,6987;0,879
0.063535538;-0,0498;0,5277;0,7026;0,880
0.064621692;-0,0501;0,5255;0,7078;0,883
0.065285769;-0,0503;0,5211;0,7129;0,884
0.078584846;-0,0518;0,5204;0,7205;0,890
0.079421846;-0,0525;0,5192;0,7254;0,894
0.080007615;-0,0525;0,5179;0,7305;0,897
0.08041673;-0,0540;0,5182;0,7332;0,899
0.080811923;-0,0577;0,5201;0,7405;0,907
0.081230423;-0,0586;0,5201;0,7444;0,910
0.081632077;-0,0599;0,5201;0,7522;0,917
0.082028846;-0,0616;0,5219;0,7625;0,926
0.083745769;-0,0616;0,5219;0,7625;0,926
0.084835153;-0,0623;0,5233;0,7703;0,933
0.094547577;-0,0623;0,5285;0,7781;0,943
0.095346846;-0,0623;0,5285;0,7781;0,943
0.095746423;-0,0599;0,5304;0,7818;0,947
0.096162538;-0,0584;0,5299;0,7833;0,947
0.096537846;-0,0577;0,5299;0,7867;0,950
0.096905153;-0,0552;0,5282;0,7879;0,950
0.098590692;-0,0525;0,5255;0,7926;0,952
0.101140153;-0,0489;0,5255;0,7894;0,950
0.102196346;-0,0469;0,5248;0,7869;0,947
0.104657538;-0,0450;0,5248;0,7850;0,945
0.106492192;-0,0457;0,5238;0,7864;0,946
0.108307961;-0,0454;0,5236;0,7906;0,949
0.113439077;-0,0445;0,5263;0,7938;0,953
0.114072807;-0,0435;0,5265;0,7960;0,955
0.114421346;-0,0406;0,5272;0,8023;0,961
0.123701038;-0,0320;0,5260;0,8070;0,964
0.124410038;-0,0310;0,5267;0,8089;0,966
0.124822307;-0,0310;0,5267;0,8089;0,966
0.12516373;-0,0310;0,5267;0,8089;0,966
0.125547346;-0,0298;0,5275;0,8097;0,967
0.1303255;-0,0281;0,5263;0,8097;0,966
0.131123692;-0,0269;0,5248;0,8104;0,966
0.131653038;-0,0247;0,5216;0,8141;0,967
0.132161384;-0,0252;0,5219;0,8155;0,969
0.134373346;-0,0247;0,5204;0,8155;0,968
0.136562961;-0,0247;0,5204;0,8153;0,968
0.138343884;-0,0227;0,5199;0,8172;0,969
0.14103;-0,0210;0,5179;0,8180;0,968
0.142196038;-0,0213;0,5189;0,8175;0,969
0.144343769;-0,0232;0,5199;0,8175;0,969
0.147748423;-0,0222;0,5221;0,8194;0,972
0.148427038;-0,0222;0,5221;0,8194;0,972
0.151712846;-0,0252;0,5233;0,8199;0,973
0.15255;-0,0286;0,5243;0,8194;0,973
0.154215461;-0,0308;0,5245;0,8192;0,973
0.156154;-0,0332;0,5233;0,8167;0,971
0.158134423;-0,0364;0,5233;0,8126;0,967
0.162593846;-0,0362;0,5236;0,8109;0,966
0.163062884;-0,0362;0,5226;0,8082;0,963
0.165399115;-0,0359;0,5223;0,8048;0,960
0.166691346;-0,0354;0,5216;0,8050;0,960
0.169161461;-0,0357;0,5221;0,8031;0,959
