time;gFx;gFy;gFz;TgF
0.008300577;-0,1727;0,1964;0,9066;0,944
0.009623347;-0,1696;0,1972;0,9238;0,960
0.010851154;-0,1615;0,1964;0,9448;0,978
0.012032308;-0,1568;0,1959;0,9560;0,988
0.012821539;-0,1485;0,1947;0,9790;1,009
0.013550693;-0,1397;0,1945;0,9997;1,028
0.014505039;-0,1356;0,1942;1,0110;1,038
0.015240731;-0,1278;0,1935;1,0286;1,054
0.015987654;-0,1251;0,1942;1,0354;1,061
0.016802231;-0,1204;0,1920;1,0427;1,067
0.017489962;-0,1148;0,1918;1,0469;1,070
0.018268539;-0,1139;0,1908;1,0486;1,072
0.019003731;-0,1077;0,1886;1,0469;1,069
0.019738693;-0,0999;0,1847;1,0449;1,066
0.020449116;-0,0960;0,1840;1,0444;1,065
0.021195308;-0,0867;0,1791;1,0400;1,059
0.02195977;-0,0840;0,1769;1,0369;1,055
0.022647077;-0,0816;0,1749;1,0349;1,053
0.023337423;-0,0750;0,1730;1,0308;1,048
0.024632693;-0,0677;0,1693;1,0237;1,040
0.029545923;-0,0652;0,1671;1,0210;1,037
0.030720154;-0,0594;0,1678;1,0193;1,035
0.031456154;-0,0535;0,1693;1,0151;1,031
0.036029808;-0,0518;0,1691;1,0139;1,029
0.038021923;-0,0491;0,1674;1,0127;1,028
0.038910347;-0,0476;0,1676;1,0124;1,027
0.039594693;-0,0479;0,1666;1,0127;1,027
0.055826385;-0,0494;0,1666;1,0107;1,026
0.056864808;-0,0506;0,1666;1,0078;1,023
0.057311616;-0,0508;0,1664;1,0051;1,020
0.05769027;-0,0537;0,1686;1,0027;1,018
0.058405923;-0,0574;0,1705;0,9995;1,016
0.058847923;-0,0586;0,1708;0,9985;1,015
0.059243423;-0,0616;0,1727;0,9961;1,013
0.059634885;-0,0638;0,1744;0,9961;1,013
0.060217731;-0,0684;0,1735;0,9944;1,012
0.061069231;-0,0740;0,1735;0,9944;1,012
0.061483846;-0,0782;0,1759;0,9914;1,010
0.07212277;-0,0806;0,1757;0,9892;1,008
0.072815731;-0,0806;0,1764;0,9861;1,005
0.073170039;-0,0826;0,1764;0,9853;1,004
0.07357777;-0,0845;0,1754;0,9846;1,004
0.073948577;-0,0872;0,1744;0,9851;1,004
0.074306193;-0,0880;0,1754;0,9863;1,006
0.074645346;-0,0914;0,1757;0,9882;1,008
0.078437846;-0,0936;0,1730;0,9897;1,009
0.079719616;-0,0936;0,1730;0,9897;1,009
0.080812308;-0,0945;0,1732;0,9919;1,011
0.10166677;-0,0970;0,1735;0,9922;1,012
0.102449808;-0,0992;0,1737;0,9934;1,013
0.102848231;-0,1011;0,1744;0,9946;1,015
0.103177885;-0,0989;0,1722;0,9934;1,013
0.103496423;-0,0982;0,1730;0,9944;1,014
0.103835731;-0,0989;0,1740;0,9958;1,016
0.104181077;-0,0989;0,1735;0,9956;1,015
