time;gFx;gFy;gFz;TgF
0.004565885;-0,2057;0,2411;1,0100;1,059
0.004975;-0,2011;0,2389;1,0139;1,061
0.005185923;-0,1915;0,2328;1,0207;1,064
0.005371538;-0,1823;0,2309;1,0264;1,068
0.0055755;-0,1786;0,2299;1,0295;1,070
0.005847308;-0,1710;0,2257;1,0330;1,071
0.006067154;-0,1639;0,2226;1,0342;1,070
0.006279346;-0,1610;0,2211;1,0356;1,071
0.006468269;-0,1542;0,2206;1,0371;1,071
0.006654538;-0,1520;0,2204;1,0386;1,073
0.017165308;-0,1461;0,2209;1,0396;1,073
0.017593615;-0,1415;0,2199;1,0396;1,072
0.017879308;-0,1415;0,2199;1,0391;1,071
0.018075192;-0,1363;0,2211;1,0371;1,069
0.018255692;-0,1349;0,2265;1,0359;1,069
0.0191655;-0,1341;0,2277;1,0361;1,069
0.030728846;-0,1336;0,2289;1,0352;1,069
0.031154385;-0,1319;0,2331;1,0325;1,067
0.0313365;-0,1307;0,2341;1,0303;1,065
0.031514731;-0,1288;0,2345;1,0269;1,061
0.031686115;-0,1268;0,2348;1,0207;1,055
0.031855885;-0,1268;0,2355;1,0181;1,053
0.032592962;-0,1244;0,2348;1,0132;1,047
0.034877423;-0,1236;0,2336;1,0083;1,042
0.044427692;-0,1234;0,2336;1,0058;1,040
0.044860808;-0,1263;0,2341;0,9990;1,034
0.045040577;-0,1270;0,2350;0,9919;1,027
0.045218577;-0,1285;0,2363;0,9882;1,024
0.045398462;-0,1332;0,2375;0,9817;1,019
0.046589577;-0,1378;0,2380;0,9755;1,014
0.048739038;-0,1393;0,2387;0,9731;1,012
0.050522962;-0,1446;0,2389;0,9680;1,007
0.053083885;-0,1503;0,2402;0,9648;1,006
0.054597077;-0,1520;0,2406;0,9648;1,006
0.0565175;-0,1556;0,2414;0,9621;1,004
0.058637462;-0,1600;0,2448;0,9624;1,006
0.060643923;-0,1617;0,2453;0,9624;1,006
0.062730115;-0,1644;0,2465;0,9616;1,006
0.064594346;-0,1634;0,2465;0,9655;1,010
0.066547269;-0,1639;0,2468;0,9675;1,012
0.068819538;-0,1642;0,2472;0,9689;1,013
0.072083192;-0,1652;0,2453;0,9741;1,018
0.072480538;-0,1652;0,2453;0,9741;1,018
0.074714692;-0,1649;0,2446;0,9787;1,022
0.076443885;-0,1647;0,2443;0,9799;1,023
