time;gFx;gFy;gFz;TgF
0.009469654;-0,1222;0,3318;0,8439;0,915
0.010724462;-0,1222;0,3315;0,8431;0,914
0.011823539;-0,1226;0,3310;0,8407;0,912
0.013068923;-0,1219;0,3310;0,8378;0,909
0.014644308;-0,1190;0,3308;0,8307;0,902
0.015481308;-0,1195;0,3325;0,8214;0,894
0.016397077;-0,1195;0,3330;0,8194;0,893
0.017324846;-0,1185;0,3335;0,8185;0,892
0.018157923;-0,1153;0,3367;0,8158;0,890
0.018863154;-0,1141;0,3398;0,8131;0,889
0.019606462;-0,1117;0,3457;0,8087;0,887
0.020286577;-0,1109;0,3477;0,8072;0,886
0.021063808;-0,1097;0,3491;0,8075;0,887
0.021801808;-0,1075;0,3528;0,8062;0,887
0.022498731;-0,1046;0,3555;0,8040;0,885
0.023216346;-0,1024;0,3601;0,8026;0,886
0.023876692;-0,1016;0,3623;0,8038;0,888
0.024515039;-0,0985;0,3645;0,8043;0,889
0.025209692;-0,0963;0,3652;0,8055;0,890
0.025881;-0,0921;0,3682;0,8097;0,894
0.026567231;-0,0899;0,3699;0,8109;0,896
0.027281615;-0,0880;0,3706;0,8121;0,897
0.031746385;-0,0836;0,3718;0,8150;0,900
0.032740539;-0,0826;0,3733;0,8177;0,903
0.033605462;-0,0804;0,3728;0,8243;0,908
0.036236692;-0,0794;0,3721;0,8290;0,912
0.037310539;-0,0787;0,3721;0,8334;0,916
0.044904808;-0,0752;0,3733;0,8387;0,921
0.046225769;-0,0743;0,3745;0,8431;0,926
0.047194115;-0,0740;0,3748;0,8453;0,928
0.047752731;-0,0774;0,3765;0,8524;0,935
0.048275231;-0,0779;0,3775;0,8541;0,937
0.049295231;-0,0792;0,3787;0,8563;0,940
0.051331923;-0,0838;0,3816;0,8580;0,943
0.058049769;-0,0848;0,3853;0,8632;0,949
0.058751808;-0,0892;0,3885;0,8678;0,955
0.059162308;-0,0892;0,3885;0,8678;0,955
0.059526423;-0,0916;0,3911;0,8702;0,958
0.061278462;-0,0919;0,3921;0,8729;0,961
0.063104346;-0,0933;0,3941;0,8751;0,964
0.066599077;-0,0938;0,3929;0,8744;0,963
0.067189;-0,0936;0,3929;0,8734;0,962
0.069360231;-0,0928;0,3943;0,8766;0,966
0.073586154;-0,0926;0,3938;0,8768;0,966
0.074680962;-0,0938;0,3938;0,8781;0,967
0.076124885;-0,0931;0,3911;0,8827;0,970
0.0771305;-0,0928;0,3907;0,8832;0,970
0.079227;-0,0931;0,3914;0,8829;0,970
0.082572731;-0,0928;0,3933;0,8795;0,968
0.083384462;-0,0931;0,3943;0,8795;0,968
0.086386808;-0,0933;0,3968;0,8756;0,966
0.087528077;-0,0928;0,3975;0,8744;0,965
0.089407692;-0,0953;0,3987;0,8712;0,963
0.091345808;-0,0975;0,4012;0,8683;0,961
0.093491885;-0,0985;0,4043;0,8624;0,958
0.096466077;-0,0999;0,4075;0,8617;0,958
0.098658346;-0,1014;0,4090;0,8612;0,959
0.099623231;-0,1041;0,4158;0,8607;0,962
0.101751577;-0,1073;0,4183;0,8595;0,962
0.103520423;-0,1085;0,4197;0,8602;0,963
0.106587308;-0,1092;0,4244;0,8588;0,964
