time,gFx,gFy,gFz,TgF
0.001559769,-0.2702,0.4332,0.8070,0.955
0.001767115,-0.2641,0.4180,0.7913,0.933
0.001871461,-0.2619,0.4119,0.7825,0.922
0.001961615,-0.2607,0.3970,0.7657,0.901
0.002074231,-0.2585,0.3836,0.7525,0.883
0.002475692,-0.2570,0.3753,0.7461,0.874
0.004561807,-0.2536,0.3606,0.7369,0.859
0.006439192,-0.2482,0.3489,0.7373,0.853
0.010577192,-0.2455,0.3433,0.7383,0.850
0.010778654,-0.2392,0.3345,0.7459,0.852
0.012895807,-0.2306,0.3279,0.7576,0.857
0.014666154,-0.2255,0.3249,0.7647,0.861
0.016609846,-0.2160,0.3208,0.7791,0.870
0.018502923,-0.2042,0.3203,0.7955,0.882
0.020491461,-0.1991,0.3203,0.8040,0.888
0.022517577,-0.1908,0.3198,0.8087,0.890
0.026902115,-0.1810,0.3166,0.8055,0.884
0.027076538,-0.1776,0.3179,0.8094,0.888
0.029674769,-0.1725,0.3201,0.8231,0.900
0.030950692,-0.1705,0.3242,0.8351,0.912
0.032905269,-0.1693,0.3252,0.8429,0.919
0.034607961,-0.1659,0.3276,0.8580,0.933
0.036449384,-0.1590,0.3254,0.8654,0.938
0.038425269,-0.1547,0.3232,0.8673,0.938
0.040740077,-0.1520,0.3257,0.8756,0.947
0.043393384,-0.1522,0.3276,0.8817,0.953
0.044677961,-0.1520,0.3279,0.8856,0.957
0.046573192,-0.1559,0.3164,0.8959,0.963
0.048573077,-0.1661,0.2797,0.9110,0.967
0.050418,-0.1686,0.2695,0.9186,0.972
0.052335654,-0.1647,0.2575,0.9208,0.970
0.054455461,-0.1581,0.2490,0.9128,0.959
0.056416384,-0.1515,0.2428,0.9057,0.950
0.059316923,-0.1437,0.2385,0.8983,0.940
0.060859115,-0.1441,0.2397,0.8986,0.941
0.063139231,-0.1437,0.2419,0.9008,0.944
0.064669731,-0.1422,0.2460,0.9052,0.949
0.066525538,-0.1395,0.2470,0.9106,0.954
0.068395884,-0.1375,0.2490,0.9142,0.957
0.070431692,-0.1327,0.2524,0.9203,0.963
0.072421654,-0.1268,0.2553,0.9299,0.973
0.074514269,-0.1246,0.2575,0.9338,0.977
0.076708692,-0.1192,0.2612,0.9423,0.985
0.078771692,-0.1160,0.2614,0.9526,0.995
0.080544077,-0.1141,0.2629,0.9580,1.000
0.082827807,-0.1119,0.2641,0.9626,1.004
0.084542846,-0.1117,0.2636,0.9653,1.007
0.086645654,-0.1099,0.2612,0.9726,1.013
0.0885615,-0.1077,0.2578,0.9775,1.017
0.090715077,-0.1070,0.2556,0.9795,1.018
0.092690384,-0.1043,0.2421,0.9792,1.014
0.097649884,-0.0950,0.2150,0.9731,1.001
0.097902423,-0.0877,0.1986,0.9665,0.991
0.098636192,-0.0770,0.1630,0.9384,0.956
0.100550846,-0.0858,0.1515,0.9233,0.940
0.103441384,-0.1055,0.1488,0.9242,0.942
0.104607692,-0.1182,0.1488,0.9291,0.948
0.106491423,-0.1417,0.1510,0.9384,0.961
0.109445615,-0.1503,0.1537,0.9445,0.969
0.111066307,-0.1625,0.1595,0.9558,0.983
0.113055,-0.1678,0.1666,0.9655,0.994
0.114814,-0.1696,0.1708,0.9721,1.001
0.116846577,-0.1681,0.1779,0.9821,1.012
0.118907038,-0.1630,0.1825,0.9917,1.021
0.120999923,-0.1608,0.1827,0.9968,1.026
0.122791846,-0.1547,0.1783,1.0063,1.034
0.125116192,-0.1522,0.1730,1.0154,1.041
0.127016461,-0.1525,0.1696,1.0198,1.045
0.129068154,-0.1532,0.1627,1.0295,1.054
0.130817769,-0.1549,0.1561,1.0400,1.063
0.132848154,-0.1568,0.1532,1.0466,1.069
0.134812538,-0.1608,0.1481,1.0613,1.084
0.136743423,-0.1634,0.1437,1.0794,1.101
0.138761269,-0.1649,0.1412,1.0899,1.111
0.140678423,-0.1637,0.1361,1.1128,1.133
0.145686538,-0.1600,0.1322,1.1341,1.153
0.146017192,-0.1593,0.1285,1.1451,1.163
0.147081461,-0.1547,0.1222,1.1654,1.182
0.149185307,-0.1507,0.1173,1.1820,1.197
0.150994538,-0.1493,0.1139,1.1898,1.205
0.153202,-0.1441,0.1065,1.2042,1.217
0.154932692,-0.1373,0.1014,1.2159,1.228
0.1571085,-0.1332,0.0989,1.2221,1.233
0.159721961,-0.1273,0.0950,1.2282,1.238
0.160823884,-0.1219,0.0892,1.2340,1.243
0.163435115,-0.1160,0.0855,1.2392,1.248
0.164856615,-0.1129,0.0845,1.2404,1.248
0.166912115,-0.1043,0.0833,1.2433,1.250
0.168681307,-0.0911,0.0850,1.2409,1.247
0.170625884,-0.0577,0.0855,1.2272,1.232
0.172708115,-0.0464,0.0792,1.2111,1.215
