time,gFx,gFy,gFz,TgF
0.0017755,-0.1004,0.4410,0.8009,0.920
0.002118269,-0.1043,0.4376,0.7877,0.907
0.002308,-0.1075,0.4332,0.7762,0.895
0.002571077,-0.1073,0.4305,0.7706,0.889
0.002767923,-0.1097,0.4271,0.7618,0.880
0.002970577,-0.1126,0.4244,0.7562,0.874
0.004348192,-0.1129,0.4239,0.7530,0.871
0.006262615,-0.1136,0.4246,0.7498,0.869
0.009974692,-0.1141,0.4256,0.7478,0.868
0.011401077,-0.1143,0.4244,0.7478,0.867
0.012490923,-0.1156,0.4214,0.7503,0.868
0.0147005,-0.1143,0.4210,0.7532,0.870
0.016421692,-0.1131,0.4205,0.7544,0.871
0.018419807,-0.1112,0.4180,0.7579,0.873
0.020596115,-0.1073,0.4188,0.7649,0.879
0.022396461,-0.1051,0.4180,0.7667,0.880
0.027663038,-0.1004,0.4175,0.7720,0.883
0.027995192,-0.0943,0.4178,0.7745,0.885
0.028508692,-0.0906,0.4178,0.7764,0.886
0.030313461,-0.0850,0.4178,0.7784,0.887
0.032596461,-0.0787,0.4168,0.7796,0.888
0.034509192,-0.0745,0.4168,0.7801,0.888
0.036382038,-0.0684,0.4158,0.7794,0.886
0.038723461,-0.0633,0.4122,0.7796,0.884
0.04379573,-0.0625,0.4129,0.7833,0.888
0.044301884,-0.0608,0.4124,0.7850,0.889
0.045015384,-0.0591,0.4104,0.7894,0.892
0.046513538,-0.0599,0.4107,0.7913,0.894
0.048530615,-0.0591,0.4080,0.7948,0.895
0.050666307,-0.0586,0.4056,0.7994,0.898
0.052464461,-0.0564,0.4053,0.8001,0.899
0.054346,-0.0528,0.4048,0.8062,0.904
0.056435654,-0.0457,0.4048,0.8148,0.911
0.0666945,-0.0406,0.4024,0.8189,0.913
0.06708423,-0.0227,0.3980,0.8275,0.919
0.067438115,-0.0017,0.3948,0.8338,0.923
0.067675538,0.0010,0.3855,0.8443,0.928
0.067878192,-0.0095,0.3777,0.8451,0.926
0.068601692,-0.0156,0.3758,0.8475,0.927
0.070456577,-0.0252,0.3711,0.8505,0.928
0.072376269,-0.0274,0.3667,0.8502,0.926
0.074687692,-0.0264,0.3655,0.8500,0.926
0.07672823,-0.0213,0.3616,0.8475,0.922
0.078595807,-0.0144,0.3582,0.8441,0.917
0.080521461,-0.0117,0.3562,0.8429,0.915
0.082314961,-0.0073,0.3530,0.8392,0.910
0.084389692,-0.0049,0.3481,0.8358,0.905
0.086379769,-0.0029,0.3455,0.8385,0.907
0.088364538,0.0064,0.3352,0.8448,0.909
0.090319,0.0122,0.3237,0.8434,0.903
0.092622692,0.0144,0.3191,0.8431,0.902
0.094821307,0.0173,0.3064,0.8539,0.907
0.096326923,0.0252,0.2854,0.8942,0.939
0.098451077,0.0217,0.2783,0.9057,0.948
0.101463692,-0.0044,0.2661,0.9228,0.960
0.102495192,-0.0142,0.2648,0.9255,0.963
0.104460884,-0.0237,0.2643,0.9281,0.965
0.106264461,-0.0396,0.2629,0.9335,0.971
0.127695192,-0.0501,0.2602,0.9357,0.973
0.128030115,-0.0540,0.2582,0.9377,0.974
0.128240077,-0.0603,0.2556,0.9413,0.977
0.128453692,-0.0628,0.2475,0.9452,0.979
0.128642807,-0.0623,0.2436,0.9472,0.980
0.128828115,-0.0625,0.2336,0.9492,0.979
0.129011769,-0.0638,0.2196,0.9496,0.977
0.129202653,-0.0618,0.2113,0.9511,0.976
0.129591077,-0.0584,0.1947,0.9536,0.975
0.129788884,-0.0577,0.1769,0.9528,0.971
0.130056461,-0.0589,0.1671,0.9523,0.969
0.15704073,-0.0591,0.1478,0.9523,0.966
0.157707307,-0.0601,0.1292,0.9545,0.965
0.158078269,-0.0608,0.1192,0.9545,0.964
0.158432807,-0.0613,0.1024,0.9550,0.962
0.158684692,-0.0643,0.0855,0.9592,0.965
0.158933038,-0.0657,0.0772,0.9606,0.966
0.159182923,-0.0684,0.0621,0.9628,0.967
0.15955623,-0.0733,0.0513,0.9680,0.972
0.159828269,-0.0757,0.0450,0.9704,0.974
0.160072077,-0.0799,0.0354,0.9775,0.981
0.16032273,-0.0831,0.0313,0.9863,0.990
0.160572577,-0.0843,0.0269,0.9904,0.994
0.160820269,-0.0858,0.0220,1.0036,1.008
0.161067923,-0.0882,0.0200,1.0102,1.014
0.161315077,-0.0884,0.0169,1.0215,1.025
0.161562846,-0.0875,0.0115,1.0327,1.036
0.163814461,-0.0870,0.0090,1.0366,1.040
0.166035153,-0.0836,0.0044,1.0466,1.050
0.169417269,-0.0811,-0.0034,1.0520,1.055
0.169762461,-0.0804,-0.0071,1.0545,1.058
0.17025873,-0.0767,-0.0122,1.0601,1.063
0.172716769,-0.0699,-0.0171,1.0659,1.068
0.176917807,-0.0662,-0.0181,1.0694,1.072
0.177325346,-0.0562,-0.0208,1.0728,1.074
0.17890973,-0.0469,-0.0237,1.0789,1.080
0.181245653,-0.0437,-0.0259,1.0816,1.083
0.183093076,-0.0332,-0.0288,1.0855,1.086
0.184667153,-0.0186,-0.0286,1.0845,1.085
0.186412884,-0.0107,-0.0291,1.0818,1.082
0.190061846,0.0049,-0.0291,1.0804,1.081
0.21421923,0.0151,-0.0296,1.0772,1.078
0.216739615,0.0176,-0.0291,1.0755,1.076
0.219171307,0.0279,-0.0242,1.0713,1.072
0.220974846,0.0608,0.0088,1.0603,1.062
0.222655692,0.0735,0.0198,1.0564,1.059
0.224212,0.0845,0.0296,1.0530,1.057
0.225775884,0.0816,0.0315,1.0454,1.049
0.227016769,0.0770,0.0320,1.0405,1.044
0.227880269,0.0640,0.0342,1.0264,1.029
0.228212115,0.0525,0.0332,1.0075,1.009
0.228486423,0.0479,0.0332,0.9988,1.000
0.228746884,0.0474,0.0342,0.9797,0.981
0.228996346,0.0540,0.0376,0.9614,0.964
0.229245538,0.0584,0.0403,0.9538,0.956
0.22949423,0.0745,0.0462,0.9401,0.944
0.229739076,0.0921,0.0564,0.9269,0.933
0.229984038,0.1007,0.0613,0.9264,0.934
0.230208346,0.1097,0.0701,0.9467,0.956
0.230697153,0.1117,0.0887,0.9924,1.003
0.231085346,0.1136,0.1024,1.0181,1.029
0.231450269,0.1192,0.1305,1.0593,1.074
0.254306769,0.1319,0.1605,1.0764,1.096
0.255847192,0.1417,0.1757,1.0742,1.098
0.2567625,0.1649,0.2067,1.0586,1.091
0.257710576,0.1913,0.2226,1.0430,1.083
0.263232,0.2013,0.2526,1.0420,1.091
0.26450523,0.2052,0.2639,1.0618,1.113
0.265132346,0.2033,0.2673,1.0806,1.132
0.26547373,0.2077,0.2778,1.1094,1.162
0.266254615,0.2323,0.2968,1.0906,1.154
0.266842923,0.2504,0.3098,1.0579,1.130
0.267658884,0.2932,0.3557,0.9538,1.059
0.268302807,0.3254,0.4295,0.8431,1.001
0.268595461,0.3357,0.4698,0.7928,0.981
0.268863807,0.3472,0.5451,0.7019,0.954
0.269122038,0.3406,0.5981,0.6340,0.936
0.269376576,0.3296,0.6108,0.6103,0.924
0.269872461,0.2900,0.6057,0.5868,0.892
0.270141269,0.2155,0.5502,0.5927,0.837
0.27039323,0.1681,0.5089,0.6169,0.817
0.27074873,0.0970,0.4478,0.6775,0.818
0.276619115,0.0313,0.3914,0.7183,0.819
0.280280807,0.0024,0.3657,0.7390,0.825
0.280805999,-0.0454,0.3201,0.8710,0.929
0.281078692,-0.0821,0.2800,1.0124,1.054
0.292841769,-0.1085,0.2450,1.0911,1.124
0.293516076,-0.1131,0.2326,1.1190,1.148
0.294130576,-0.1099,0.2121,1.1615,1.186
0.294695961,-0.1041,0.2040,1.1798,1.202
0.295420615,-0.0855,0.1879,1.2040,1.222
0.296058115,-0.0657,0.1749,1.2184,1.233
0.296593346,-0.0555,0.1693,1.2238,1.237
0.297110461,-0.0369,0.1564,1.2335,1.244
0.297608692,-0.0195,0.1432,1.2406,1.249
0.303709999,-0.0117,0.1351,1.2431,1.250
0.304469076,0.0027,0.1202,1.2467,1.253
0.305069269,0.0147,0.1063,1.2409,1.245
0.305581576,0.0215,0.0989,1.2333,1.237
0.307526615,0.0388,0.0892,1.2074,1.211
